"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","221.38","218.50","221.74","218.04","1.13M","1.24%"
"01/28/2026","218.67","223.60","224.03","216.70","5.22M","-2.35%"
"01/27/2026","223.93","220.88","226.86","220.65","5.75M","1.43%"
"01/26/2026","220.77","219.11","221.48","218.50","6.55M","0.69%"
"01/23/2026","219.26","217.26","219.82","215.88","5.82M","0.53%"
"01/22/2026","218.11","216.28","219.05","214.76","5.65M","0.91%"
"01/21/2026","216.15","212.47","218.00","211.57","10.73M","0.99%"
"01/20/2026","214.04","211.70","214.04","209.96","8.25M","-0.14%"
"01/16/2026","214.35","215.61","217.35","213.88","8.65M","-1.11%"
"01/15/2026","216.75","222.52","223.03","215.83","6.95M","-2.32%"
"01/14/2026","221.89","221.00","223.34","217.00","8.43M","0.52%"
"01/13/2026","220.75","219.53","220.75","215.85","4.87M","0.32%"
"01/12/2026","220.04","221.19","222.49","218.39","6.55M","-0.02%"
"01/09/2026","220.08","223.75","225.12","219.00","6.71M","-1.81%"
"01/08/2026","224.13","231.13","231.54","223.12","9.37M","-3.98%"
"01/07/2026","233.42","225.24","237.04","224.74","10.29M","4.24%"
"01/06/2026","223.93","219.75","224.20","219.55","9.15M","1.70%"
"01/05/2026","220.18","227.00","227.24","217.86","9.34M","-3.98%"
"01/02/2026","229.31","228.74","230.74","225.71","3.34M","0.36%"
"12/31/2025","228.49","229.74","230.25","228.43","3.20M","-0.54%"
"12/30/2025","229.74","230.77","231.21","228.62","2.35M","-0.48%"
"12/29/2025","230.84","230.15","232.01","229.74","3.80M","0.37%"
"12/26/2025","229.98","229.82","230.60","228.68","1.59M","0.04%"
"12/24/2025","229.89","229.46","230.80","228.98","1.74M","0.48%"
"12/23/2025","228.79","228.22","230.79","227.91","3.61M","0.39%"
"12/22/2025","227.91","226.11","228.65","224.25","4.83M","0.48%"
"12/19/2025","226.82","222.95","229.47","222.35","18.97M","1.80%"
"12/18/2025","222.82","224.00","226.26","222.79","4.76M","-0.66%"
"12/17/2025","224.31","223.88","226.41","222.86","5.24M","0.29%"
"12/16/2025","223.67","226.41","226.84","221.91","6.41M","-1.66%"
"12/15/2025","227.45","224.24","228.30","223.56","5.97M","1.85%"
"12/12/2025","223.32","223.68","223.82","221.10","5.47M","-0.29%"
"12/11/2025","223.98","225.54","225.96","222.24","4.17M","-0.53%"
"12/10/2025","225.18","225.00","225.98","221.00","8.74M","0.98%"
"12/09/2025","222.99","223.89","224.82","220.23","4.27M","-0.06%"
"12/08/2025","223.12","226.08","226.12","222.39","4.01M","-1.31%"
"12/05/2025","226.08","228.93","229.25","225.05","3.99M","-1.15%"
"12/04/2025","228.71","230.11","230.94","227.59","3.73M","-0.66%"
"12/03/2025","230.24","224.84","230.79","224.52","4.87M","2.62%"
"12/02/2025","224.37","224.82","226.63","223.11","5.10M","-0.33%"
"12/01/2025","225.11","227.19","229.49","223.98","5.21M","-1.14%"
"11/28/2025","227.70","226.85","228.09","225.51","2.66M","0.02%"
"11/26/2025","227.66","232.04","232.48","226.64","5.92M","-1.79%"
"11/25/2025","231.80","230.32","234.08","230.31","7.13M","1.00%"
"11/24/2025","229.51","236.00","237.62","228.48","10.23M","-2.87%"
"11/21/2025","236.28","230.54","238.01","230.14","8.02M","2.98%"
"11/20/2025","229.45","233.26","234.95","228.00","4.28M","-1.49%"
"11/19/2025","232.91","233.54","238.15","230.36","7.62M","-0.41%"
"11/18/2025","233.87","235.00","237.19","232.11","6.23M","-0.06%"
"11/17/2025","234.00","233.26","235.35","229.23","5.02M","0.71%"
"11/14/2025","232.36","233.61","235.00","230.32","5.46M","0.03%"
"11/13/2025","232.29","233.74","239.29","232.16","7.97M","-0.40%"
"11/12/2025","233.23","225.40","234.00","225.29","8.58M","3.58%"
"11/11/2025","225.17","219.00","225.42","219.00","4.80M","2.95%"
"11/10/2025","218.71","217.00","219.86","216.15","4.53M","-0.21%"
"11/07/2025","219.16","219.31","220.99","217.09","4.65M","0.05%"
"11/06/2025","219.04","215.89","219.68","215.65","6.62M","1.05%"
"11/05/2025","216.77","215.74","217.43","212.60","4.93M","0.41%"
"11/04/2025","215.89","212.37","217.08","212.37","6.18M","1.85%"
"11/03/2025","211.96","216.68","219.00","211.69","8.87M","-2.79%"
"10/31/2025","218.04","223.00","223.87","216.00","10.83M","-4.45%"
"10/30/2025","228.20","227.05","229.65","226.41","5.02M","1.36%"
"10/29/2025","225.14","227.62","228.00","224.04","5.47M","-1.05%"
"10/28/2025","227.54","227.00","228.40","224.31","3.72M","-0.21%"
"10/27/2025","228.03","227.95","228.60","227.12","2.78M","0.02%"
"10/24/2025","227.99","228.78","229.04","226.25","3.55M","-0.11%"
"10/23/2025","228.25","228.99","229.86","227.25","5.82M","-0.19%"
"10/22/2025","228.68","231.67","232.16","228.43","3.52M","-1.17%"
"10/21/2025","231.39","232.15","232.81","229.83","3.30M","-0.29%"
"10/20/2025","232.06","231.00","232.26","230.00","5.25M","1.08%"
"10/17/2025","229.57","227.52","230.71","226.80","7.15M","1.19%"
"10/16/2025","226.87","226.22","228.11","225.46","4.74M","0.29%"
"10/15/2025","226.22","227.20","228.95","225.32","5.46M","-1.27%"
"10/14/2025","229.13","228.07","230.65","227.51","5.53M","-0.51%"
"10/13/2025","230.30","230.00","233.80","229.22","5.41M","-0.09%"
"10/10/2025","230.50","231.51","234.68","230.50","6.16M","-0.08%"
"10/09/2025","230.69","233.27","233.79","230.62","4.61M","-0.24%"
"10/08/2025","231.24","231.48","233.00","229.68","5.41M","-0.68%"
"10/07/2025","232.83","231.29","234.08","227.59","4.90M","1.15%"
"10/06/2025","230.19","231.71","232.95","227.92","11.94M","-1.59%"
"10/03/2025","233.91","236.90","238.84","233.71","6.55M","-1.12%"
"10/02/2025","236.56","240.89","242.67","234.52","8.11M","-3.20%"
"10/01/2025","244.38","233.64","244.81","232.00","12.24M","5.55%"
"09/30/2025","231.54","223.06","232.35","222.57","9.19M","3.76%"
"09/29/2025","223.16","220.75","223.24","219.79","4.96M","1.16%"
"09/26/2025","220.61","220.63","221.48","217.67","4.19M","0.95%"
"09/25/2025","218.54","220.10","222.26","218.03","6.67M","-0.66%"
"09/24/2025","219.99","222.00","222.24","218.54","5.07M","-1.18%"
"09/23/2025","222.61","222.01","224.40","221.93","4.63M","0.01%"
"09/22/2025","222.59","222.46","225.16","221.43","5.99M","0.05%"
"09/19/2025","222.47","222.41","223.49","221.59","14.42M","0.22%"
"09/18/2025","221.99","221.07","222.07","219.92","4.45M","0.53%"
"09/17/2025","220.81","219.10","221.55","217.30","5.26M","2.10%"
"09/16/2025","216.26","218.33","218.71","215.84","4.25M","-0.62%"
"09/15/2025","217.61","219.60","219.60","214.31","5.16M","-0.33%"
"09/12/2025","218.34","219.12","220.38","218.23","4.42M","-0.85%"
"09/11/2025","220.22","220.35","221.76","216.75","7.65M","4.05%"
"09/10/2025","211.64","210.23","212.27","208.43","4.52M","0.58%"
"09/09/2025","210.42","209.53","210.72","209.12","3.10M","0.30%"
"09/08/2025","209.79","210.99","212.00","207.61","5.53M","-1.30%"
"09/05/2025","212.56","212.55","214.34","211.00","4.47M","-0.21%"
"09/04/2025","213.00","212.25","214.19","211.66","3.53M","0.54%"
"09/03/2025","211.86","212.42","213.42","211.48","3.97M","-0.03%"
"09/02/2025","211.92","210.14","212.16","208.99","4.34M","0.72%"
"08/29/2025","210.40","208.00","211.00","207.90","4.27M","1.19%"
"08/28/2025","207.92","207.65","208.01","205.49","4.52M","-0.07%"
"08/27/2025","208.06","208.82","210.42","207.81","3.46M","-0.14%"
"08/26/2025","208.36","207.52","208.58","206.57","3.70M","0.39%"
"08/25/2025","207.55","210.30","211.30","207.05","2.80M","-1.45%"
"08/22/2025","210.60","210.84","211.47","207.12","5.52M","0.53%"
"08/21/2025","209.50","209.14","212.45","208.87","5.32M","0.17%"
"08/20/2025","209.15","206.65","211.69","206.65","5.78M","1.44%"
"08/19/2025","206.19","206.53","207.80","205.10","3.98M","-0.18%"
"08/18/2025","206.57","206.60","208.34","205.96","6.08M","-0.06%"
"08/15/2025","206.69","205.91","206.84","204.32","4.43M","0.98%"
"08/14/2025","204.68","201.80","205.06","200.86","4.64M","1.59%"
"08/13/2025","201.47","199.76","201.72","199.21","3.56M","1.42%"
"08/12/2025","198.64","198.09","200.02","197.05","3.05M","0.00%"
"08/11/2025","198.64","198.18","199.43","196.89","6.07M","0.30%"
