"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","105.96","106.30","107.14","105.46","4.11M","-0.08%"
"01/28/2026","106.05","107.80","108.63","105.27","15.12M","-2.05%"
"01/27/2026","108.27","108.01","109.35","106.96","16.59M","-0.46%"
"01/26/2026","108.77","107.75","110.39","107.59","19.09M","1.26%"
"01/23/2026","107.42","108.27","110.05","106.08","21.81M","-1.10%"
"01/22/2026","108.61","107.53","114.00","105.78","37.10M","-10.04%"
"01/21/2026","120.73","121.71","122.49","120.33","12.56M","-0.34%"
"01/20/2026","121.14","121.37","121.50","120.25","12.63M","-0.51%"
"01/16/2026","121.76","123.23","123.49","121.54","10.42M","-1.43%"
"01/15/2026","123.53","124.40","124.42","123.00","7.08M","-1.18%"
"01/14/2026","125.00","123.68","125.09","122.99","7.19M","0.56%"
"01/13/2026","124.30","124.55","124.67","122.20","5.17M","-0.27%"
"01/12/2026","124.64","126.39","126.61","123.45","5.52M","-1.02%"
"01/09/2026","125.92","126.42","127.14","125.23","4.32M","-0.21%"
"01/08/2026","126.18","127.10","128.10","126.06","4.34M","-0.68%"
"01/07/2026","127.04","128.45","128.60","126.27","6.63M","-0.58%"
"01/06/2026","127.78","126.84","129.46","126.55","8.33M","1.05%"
"01/05/2026","126.45","123.63","126.56","122.50","6.55M","1.82%"
"01/02/2026","124.19","124.70","125.25","123.64","5.01M","-0.88%"
"12/31/2025","125.29","125.88","126.24","125.24","3.16M","-0.39%"
"12/30/2025","125.78","124.43","126.20","124.36","5.27M","0.97%"
"12/29/2025","124.57","125.03","125.49","124.49","4.47M","-0.22%"
"12/26/2025","124.84","124.58","125.18","124.26","2.12M","0.02%"
"12/24/2025","124.81","124.01","125.33","124.00","1.63M","0.22%"
"12/23/2025","124.54","125.00","125.18","123.85","7.53M","-0.53%"
"12/22/2025","125.20","125.16","127.24","124.77","5.06M","-0.20%"
"12/19/2025","125.45","125.04","126.13","123.76","14.80M","0.26%"
"12/18/2025","125.12","126.57","127.57","124.93","5.89M","-1.25%"
"12/17/2025","126.71","126.75","127.67","125.94","8.05M","-0.12%"
"12/16/2025","126.86","128.41","128.60","126.30","5.76M","-1.25%"
"12/15/2025","128.47","125.72","129.64","125.20","7.72M","2.40%"
