"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","261.08","268.97","270.38","260.65","2.38M","-3.46%"
"01/28/2026","270.43","275.82","278.66","267.86","3.74M","-1.95%"
"01/27/2026","275.80","280.00","280.00","274.16","2.94M","-1.75%"
"01/26/2026","280.71","283.25","284.59","276.14","3.17M","-0.13%"
"01/23/2026","281.07","284.34","285.94","279.68","2.57M","-1.41%"
"01/22/2026","285.09","283.83","289.00","283.39","4.38M","1.56%"
"01/21/2026","280.72","275.00","285.54","274.95","4.23M","2.94%"
"01/20/2026","272.71","282.44","287.27","272.22","5.66M","-4.72%"
"01/16/2026","286.21","285.43","289.16","280.74","5.70M","-0.54%"
"01/15/2026","287.77","287.93","290.67","285.21","5.74M","-0.27%"
"01/14/2026","288.54","276.61","291.09","276.17","6.42M","4.24%"
"01/13/2026","276.80","278.90","280.50","273.00","3.62M","-1.48%"
"01/12/2026","280.96","279.54","281.39","276.61","4.09M","0.10%"
"01/09/2026","280.67","281.96","284.40","277.33","3.14M","-0.41%"
"01/08/2026","281.82","272.25","286.57","272.11","5.27M","2.86%"
"01/07/2026","273.98","276.01","281.87","271.89","4.30M","-0.71%"
"01/06/2026","275.93","263.03","275.99","262.09","4.08M","4.53%"
"01/05/2026","263.98","260.83","266.75","259.48","3.54M","1.55%"
"01/02/2026","259.95","268.79","269.84","258.00","4.90M","-3.11%"
"12/31/2025","268.30","269.74","270.93","268.30","1.97M","-0.63%"
"12/30/2025","270.00","270.43","272.42","269.52","1.79M","-0.49%"
"12/29/2025","271.34","270.98","273.27","269.95","2.75M","0.09%"
"12/26/2025","271.09","269.90","271.75","269.50","1.41M","0.41%"
"12/24/2025","269.98","270.03","271.92","269.74","1.06M","-0.29%"
"12/23/2025","270.77","269.82","271.67","268.78","2.60M","0.04%"
"12/22/2025","270.67","271.61","272.80","267.85","3.29M","-0.58%"
"12/19/2025","272.25","270.00","276.81","270.00","8.38M","0.85%"
"12/18/2025","269.96","265.00","272.37","261.50","6.92M","-1.38%"
"12/17/2025","273.74","272.65","279.38","272.00","5.59M","0.62%"
"12/16/2025","272.04","281.13","281.13","270.83","5.50M","-0.95%"
"12/15/2025","274.66","276.00","276.40","271.02","4.04M","1.14%"
"12/12/2025","271.56","271.96","273.44","270.30","2.98M","0.44%"
"12/11/2025","270.37","273.17","277.65","269.71","4.06M","-0.68%"
"12/10/2025","272.22","268.38","273.64","268.05","3.58M","1.00%"
"12/09/2025","269.53","267.93","272.40","267.25","3.52M","1.14%"
"12/08/2025","266.50","265.73","268.63","265.01","3.22M","-0.03%"
"12/05/2025","266.59","268.10","271.00","266.07","3.79M","-1.02%"
"12/04/2025","269.34","276.30","280.71","269.17","4.12M","-1.29%"
"12/03/2025","272.85","261.98","274.06","261.74","6.96M","4.53%"
"12/02/2025","261.02","257.80","262.96","257.00","4.97M","1.39%"
"12/01/2025","257.43","253.13","258.89","251.02","5.03M","2.97%"
"11/28/2025","250.00","247.49","251.45","245.13","1.49M","0.87%"
"11/26/2025","247.85","250.28","251.94","246.89","2.39M","-0.55%"
"11/25/2025","249.23","245.00","251.68","245.00","3.66M","2.30%"
"11/24/2025","243.62","250.99","251.33","243.24","5.60M","-3.27%"
"11/21/2025","251.85","241.88","253.97","241.29","5.96M","4.59%"
"11/20/2025","240.79","242.79","244.75","239.54","2.91M","-0.12%"
"11/19/2025","241.08","240.00","244.38","240.00","2.55M","0.45%"
"11/18/2025","240.00","241.06","241.75","237.43","3.38M","-0.55%"
"11/17/2025","241.33","243.93","244.98","240.59","3.19M","-1.58%"
"11/14/2025","245.21","245.77","249.15","244.09","2.85M","-0.95%"
"11/13/2025","247.57","245.43","248.58","244.32","3.70M","0.42%"
"11/12/2025","246.53","244.00","246.97","242.31","3.23M","1.64%"
"11/11/2025","242.56","244.89","244.89","238.53","3.77M","-0.81%"
"11/10/2025","244.55","247.34","248.26","240.40","2.82M","-0.49%"
"11/07/2025","245.76","240.00","246.55","239.44","4.05M","1.83%"
"11/06/2025","241.34","247.73","248.67","240.18","3.51M","-2.61%"
