"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","287.88","291.97","293.50","284.89","2.81M","-3.91%"
"01/28/2026","299.58","299.66","303.85","297.68","3.94M","0.73%"
"01/27/2026","297.42","303.81","304.21","292.93","4.17M","-2.40%"
"01/26/2026","304.72","301.40","306.30","301.40","4.12M","1.21%"
"01/23/2026","301.07","301.46","303.84","299.20","4.37M","0.45%"
"01/22/2026","299.73","296.00","301.82","295.20","4.97M","1.87%"
"01/21/2026","294.23","290.77","294.51","288.33","5.65M","1.33%"
"01/20/2026","290.37","294.32","295.00","288.33","6.96M","-1.94%"
"01/16/2026","296.12","304.56","304.88","295.42","8.53M","-2.62%"
"01/15/2026","304.09","304.97","305.82","301.40","4.77M","-0.11%"
"01/14/2026","304.44","308.57","309.73","302.47","5.71M","-1.77%"
"01/13/2026","309.93","322.49","323.00","307.91","7.22M","-5.41%"
"01/12/2026","327.65","327.77","330.67","323.50","3.54M","-1.89%"
"01/09/2026","333.95","335.88","335.88","328.00","3.25M","-1.50%"
"01/08/2026","339.04","337.38","343.95","334.67","3.11M","0.28%"
"01/07/2026","338.10","336.24","342.78","334.62","3.18M","0.63%"
"01/06/2026","335.99","330.00","336.40","329.50","3.19M","1.34%"
"01/05/2026","331.56","330.11","334.47","327.44","5.01M","-0.52%"
"01/02/2026","333.30","350.67","351.12","331.64","5.64M","-4.77%"
"12/31/2025","349.99","351.01","352.88","349.69","2.12M","-0.71%"
"12/30/2025","352.51","352.03","355.27","350.01","2.25M","-0.18%"
"12/29/2025","353.16","353.37","356.68","351.16","2.79M","-0.18%"
"12/26/2025","353.80","352.50","356.23","352.28","1.46M","0.23%"
"12/24/2025","352.98","352.21","354.75","351.11","1.17M","0.16%"
"12/23/2025","352.42","357.47","359.67","350.58","3.05M","-1.43%"
"12/22/2025","357.53","355.59","359.57","354.70","2.96M","0.47%"
"12/19/2025","355.86","355.52","357.55","351.59","8.71M","0.01%"
"12/18/2025","355.81","355.87","358.34","351.36","3.35M","0.32%"
"12/17/2025","354.66","347.89","357.80","347.80","4.37M","1.95%"
"12/16/2025","347.89","350.00","355.86","345.43","4.12M","-0.93%"
"12/15/2025","351.15","352.60","355.00","343.88","5.48M","-1.48%"
"12/12/2025","356.43","351.54","362.71","349.09","5.48M","1.71%"
"12/11/2025","350.43","341.64","357.00","333.79","10.16M","2.13%"
"12/10/2025","343.13","342.13","347.92","340.57","6.79M","-0.35%"
"12/09/2025","344.32","341.40","347.77","338.48","4.27M","1.53%"
"12/08/2025","339.12","347.45","348.48","338.06","4.29M","-2.06%"
"12/05/2025","346.26","330.60","348.59","329.71","7.65M","5.33%"
"12/04/2025","328.73","328.57","330.89","324.12","3.59M","0.60%"
"12/03/2025","326.78","321.98","326.99","320.63","3.08M","1.23%"
"12/02/2025","322.81","321.62","325.96","318.08","3.96M","-0.01%"
"12/01/2025","322.85","316.39","326.14","316.11","3.65M","0.85%"
"11/28/2025","320.13","317.80","322.31","317.52","1.80M","0.82%"
"11/26/2025","317.52","319.20","321.67","316.10","3.02M","-0.64%"
"11/25/2025","319.55","317.77","321.52","315.57","3.77M","0.26%"
"11/24/2025","318.73","325.00","325.77","318.34","5.41M","-1.68%"
"11/21/2025","324.19","313.57","327.75","311.58","4.83M","3.77%"
"11/20/2025","312.40","318.87","323.18","312.09","3.88M","-1.79%"
"11/19/2025","318.11","323.17","323.36","315.17","3.74M","-1.96%"
"11/18/2025","324.47","323.78","326.64","320.80","3.29M","-0.18%"
"11/17/2025","325.07","331.11","332.38","324.43","3.30M","-1.82%"
"11/14/2025","331.11","332.91","333.75","328.59","2.76M","-0.75%"
"11/13/2025","333.60","335.01","340.00","332.80","3.08M","-1.02%"
"11/12/2025","337.05","333.61","338.40","333.18","2.99M","1.15%"
"11/11/2025","333.22","329.50","334.00","329.13","2.83M","1.33%"
"11/10/2025","328.85","328.00","329.96","325.00","3.09M","0.58%"
"11/07/2025","326.95","325.83","331.01","323.03","4.11M","-0.12%"
"11/06/2025","327.35","333.00","333.20","324.55","3.89M","-2.44%"
"11/05/2025","335.53","332.61","336.84","331.24","2.65M","0.05%"
"11/04/2025","335.35","335.02","340.55","332.81","3.69M","-0.63%"
"11/03/2025","337.47","340.31","342.46","332.88","3.92M","-0.83%"
"10/31/2025","340.31","338.70","341.26","336.80","3.76M","0.32%"
"10/30/2025","339.24","338.20","344.70","333.10","4.37M","0.41%"
"10/29/2025","337.86","355.52","355.52","337.05","6.75M","-6.13%"
"10/28/2025","359.91","360.00","363.70","357.80","3.01M","0.59%"
"10/27/2025","357.80","355.57","358.56","352.41","2.83M","1.21%"
"10/24/2025","353.52","357.21","358.10","353.29","2.02M","-0.17%"
"10/23/2025","354.12","352.51","354.35","348.71","2.41M","0.01%"
"10/22/2025","354.09","355.48","360.19","352.87","3.44M","-0.97%"
"10/21/2025","357.55","343.59","358.37","343.32","4.39M","4.12%"
"10/20/2025","343.40","334.64","344.20","334.25","3.90M","3.04%"
"10/17/2025","333.26","327.74","335.10","327.70","4.04M","1.22%"
"10/16/2025","329.23","333.86","336.65","327.50","4.57M","-0.42%"
"10/15/2025","330.63","335.42","335.60","329.20","3.93M","-1.58%"
"10/14/2025","335.94","335.22","338.82","332.72","3.04M","-1.00%"
"10/13/2025","339.32","339.25","340.28","335.61","3.02M","0.54%"
"10/10/2025","337.51","347.91","348.72","336.94","4.28M","-2.87%"
"10/09/2025","347.47","349.77","350.60","344.30","2.90M","-0.37%"
"10/08/2025","348.77","350.00","354.05","347.52","3.29M","0.13%"
"10/07/2025","348.31","352.59","353.33","344.24","3.28M","-0.52%"
"10/06/2025","350.14","346.93","357.34","342.04","5.34M","0.98%"
"10/03/2025","346.74","352.00","352.59","346.30","3.12M","-1.35%"
"10/02/2025","351.48","343.76","351.73","342.42","3.96M","2.26%"
