"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","73.92","73.99","74.60","73.70","506.67K","0.72%"
"01/28/2026","73.39","73.49","74.20","73.28","3.29M","-0.65%"
"01/27/2026","73.87","73.80","73.99","73.07","2.97M","0.11%"
"01/26/2026","73.79","72.80","74.40","72.80","4.05M","2.03%"
"01/23/2026","72.32","71.82","72.43","71.25","3.86M","0.01%"
"01/22/2026","72.31","71.62","72.39","71.36","5.59M","0.58%"
"01/21/2026","71.89","72.65","73.30","71.71","3.79M","-0.76%"
"01/20/2026","72.44","72.72","73.71","72.24","4.15M","-0.67%"
"01/16/2026","72.93","73.60","73.98","72.80","5.74M","-1.49%"
"01/15/2026","74.03","72.80","74.27","72.68","7.06M","1.36%"
"01/14/2026","73.04","72.56","74.15","72.25","11.68M","1.04%"
"01/13/2026","72.29","74.07","74.32","72.11","8.39M","-2.43%"
"01/12/2026","74.09","75.45","76.04","73.99","8.42M","-1.78%"
"01/09/2026","75.43","78.00","78.35","75.05","9.38M","-3.17%"
"01/08/2026","77.90","77.65","79.13","77.07","7.04M","1.08%"
"01/07/2026","77.07","77.43","78.35","77.02","8.42M","-1.28%"
"01/06/2026","78.07","79.69","80.48","77.05","12.73M","-7.48%"
"01/05/2026","84.38","83.56","85.69","83.48","2.98M","0.13%"
"01/02/2026","84.27","85.23","85.29","83.68","3.05M","-1.50%"
"12/31/2025","85.55","86.07","86.39","85.53","1.92M","-0.67%"
"12/30/2025","86.13","86.46","86.71","86.11","1.71M","-0.40%"
"12/29/2025","86.48","86.40","86.78","86.28","1.81M","0.00%"
"12/26/2025","86.48","86.42","86.67","86.13","1.17M","-0.05%"
"12/24/2025","86.52","86.57","87.29","86.37","1.17M","-0.08%"
"12/23/2025","86.59","86.41","87.00","85.94","2.09M","0.19%"
"12/22/2025","86.43","86.13","86.83","85.52","3.04M","0.46%"
"12/19/2025","86.03","86.32","86.84","85.67","10.26M","-0.19%"
"12/18/2025","86.19","85.58","86.81","84.93","4.96M","0.06%"
"12/17/2025","86.14","84.73","86.34","84.46","7.40M","1.89%"
"12/16/2025","84.54","86.27","86.43","84.32","5.99M","-2.04%"
"12/15/2025","86.30","85.04","86.58","84.21","7.68M","1.65%"
"12/12/2025","84.90","83.53","84.99","82.98","6.72M","2.47%"
"12/11/2025","82.85","80.42","85.00","80.42","10.53M","2.18%"
"12/10/2025","81.08","76.31","82.69","76.24","13.42M","6.10%"
"12/09/2025","76.42","76.44","77.32","76.26","3.67M","0.14%"
"12/08/2025","76.31","76.80","76.80","75.55","4.15M","-0.93%"
"12/05/2025","77.03","76.52","77.28","76.45","4.22M","-0.32%"
"12/04/2025","77.28","76.64","77.90","76.57","3.46M","0.27%"
"12/03/2025","77.07","76.84","77.39","76.03","3.81M","0.16%"
"12/02/2025","76.95","76.55","77.01","75.91","4.29M","0.44%"
"12/01/2025","76.61","76.07","77.49","76.07","3.97M","0.59%"
"11/28/2025","76.16","76.04","76.76","75.81","1.43M","0.16%"
"11/26/2025","76.04","75.44","76.46","75.29","3.13M","1.37%"
"11/25/2025","75.01","75.52","76.24","74.95","4.06M","-0.13%"
"11/24/2025","75.11","76.00","76.00","74.80","4.71M","-1.12%"
"11/21/2025","75.96","76.08","76.94","75.50","5.55M","0.36%"
"11/20/2025","75.69","76.46","77.20","75.35","3.27M","-0.08%"
"11/19/2025","75.75","76.85","77.34","75.09","3.52M","-1.71%"
"11/18/2025","77.07","76.77","77.79","76.36","2.42M","0.80%"
"11/17/2025","76.46","77.98","78.58","76.41","4.02M","-1.66%"
"11/14/2025","77.75","78.47","78.86","77.42","4.34M","-0.77%"
"11/13/2025","78.35","78.11","79.24","77.90","4.68M","0.45%"
"11/12/2025","78.00","76.09","78.15","75.46","4.89M","2.43%"
"11/11/2025","76.15","77.16","77.35","76.13","4.58M","-1.00%"
"11/10/2025","76.92","76.61","77.33","75.67","4.42M","-0.01%"
"11/07/2025","76.93","76.54","77.49","76.37","4.26M","0.85%"
"11/06/2025","76.28","76.69","77.47","76.15","4.02M","-0.05%"
"11/05/2025","76.32","82.00","82.13","76.28","7.97M","-5.44%"
"11/04/2025","80.71","79.00","81.27","78.95","5.27M","2.22%"
"11/03/2025","78.96","79.01","79.30","78.42","4.20M","0.00%"
"10/31/2025","78.96","77.82","79.41","77.79","3.25M","0.98%"
"10/30/2025","78.19","78.16","80.45","77.20","2.77M","0.27%"
"10/29/2025","77.98","78.00","78.52","77.46","2.85M","-0.52%"
"10/28/2025","78.39","79.16","79.25","78.05","2.60M","-1.16%"
"10/27/2025","79.31","79.25","79.64","78.93","2.82M","0.39%"
"10/24/2025","79.00","78.92","79.74","78.65","2.63M","0.19%"
"10/23/2025","78.85","79.28","79.28","78.55","3.21M","-0.11%"
"10/22/2025","78.94","78.66","79.36","78.03","5.15M","0.71%"
"10/21/2025","78.38","77.71","78.60","77.35","2.64M","0.89%"
"10/20/2025","77.69","77.51","78.05","77.11","2.76M","0.43%"
"10/17/2025","77.36","77.19","78.21","77.19","4.03M","0.44%"
"10/16/2025","77.02","78.31","79.73","76.95","10.40M","-5.22%"
"10/15/2025","81.26","82.21","82.73","80.47","5.35M","-1.99%"
"10/14/2025","82.91","81.63","83.12","81.37","3.48M","1.33%"
"10/13/2025","81.82","81.11","82.12","80.83","2.73M","0.64%"
"10/10/2025","81.30","83.56","83.69","81.15","5.02M","-2.25%"
"10/09/2025","83.17","84.25","84.50","82.78","4.14M","-0.99%"
"10/08/2025","84.00","84.50","84.69","83.14","3.49M","-0.06%"
"10/07/2025","84.05","83.22","84.12","82.86","5.92M","1.24%"
"10/06/2025","83.02","81.58","83.17","81.32","5.07M","2.47%"
"10/03/2025","81.02","79.69","81.44","79.69","3.75M","1.73%"
"10/02/2025","79.64","79.35","80.09","78.81","2.73M","0.00%"
"10/01/2025","79.64","78.44","79.74","78.28","3.85M","1.40%"
"09/30/2025","78.54","77.80","78.77","77.69","3.97M","0.82%"
"09/29/2025","77.90","77.82","78.21","77.44","4.06M","-0.10%"
"09/26/2025","77.98","77.59","78.29","77.43","3.15M","1.14%"
"09/25/2025","77.10","78.00","78.47","76.81","3.00M","-1.03%"
"09/24/2025","77.90","76.51","77.95","76.25","4.27M","1.56%"
"09/23/2025","76.70","76.46","77.24","76.31","5.10M","0.22%"
"09/22/2025","76.53","76.66","76.84","76.03","5.24M","-0.58%"
"09/19/2025","76.98","77.91","78.12","76.56","13.51M","-1.35%"
"09/18/2025","78.03","76.44","78.14","76.36","8.33M","1.60%"
"09/17/2025","76.80","76.39","77.47","76.29","6.87M","0.60%"
"09/16/2025","76.34","76.28","76.71","75.90","5.74M","-0.90%"
"09/15/2025","77.03","78.86","78.93","76.82","5.19M","-2.41%"
"09/12/2025","78.93","78.68","79.03","78.44","4.75M","0.27%"
"09/11/2025","78.72","78.06","78.82","77.89","3.96M","0.92%"
"09/10/2025","78.00","78.16","78.92","77.72","4.14M","-0.61%"
"09/09/2025","78.48","78.67","79.27","78.44","4.00M","-0.37%"
"09/08/2025","78.77","78.93","79.15","78.15","5.39M","-0.56%"
"09/05/2025","79.21","81.46","81.57","78.84","4.67M","-3.08%"
"09/04/2025","81.73","81.68","81.94","81.24","3.46M","0.48%"
"09/03/2025","81.34","80.62","81.45","80.45","3.61M","0.36%"
"09/02/2025","81.05","81.38","81.45","79.90","6.01M","-0.33%"
"08/29/2025","81.32","81.96","82.15","81.19","4.04M","-0.34%"
"08/28/2025","81.60","82.22","82.22","81.28","3.27M","-0.74%"
"08/27/2025","82.21","82.52","82.89","81.99","4.51M","-0.45%"
"08/26/2025","82.58","82.29","82.94","82.06","4.16M","-0.25%"
"08/25/2025","82.79","83.22","83.34","82.68","2.45M","-0.71%"
"08/22/2025","83.38","83.23","83.78","83.00","3.12M","0.96%"
"08/21/2025","82.59","82.64","82.79","82.16","3.46M","0.07%"
"08/20/2025","82.53","81.63","82.84","81.49","3.42M","1.53%"
"08/19/2025","81.29","80.50","81.33","80.05","2.67M","1.13%"
"08/18/2025","80.38","79.80","80.55","79.36","3.33M","0.46%"
"08/15/2025","80.01","80.46","80.66","79.97","3.44M","-0.37%"
"08/14/2025","80.31","80.07","80.44","79.61","2.52M","0.53%"
"08/13/2025","79.89","78.51","80.08","78.45","4.29M","1.80%"
"08/12/2025","78.48","78.88","79.00","77.99","5.09M","-0.19%"
"08/11/2025","78.63","78.69","79.10","78.40","3.84M","0.64%"
"08/08/2025","78.13","77.27","78.68","76.74","4.17M","2.00%"
"08/07/2025","76.60","77.88","78.32","75.26","5.97M","-3.11%"
"08/06/2025","79.06","79.09","79.31","78.68","4.24M","0.79%"
"08/05/2025","78.44","78.65","79.12","78.08","2.79M","0.19%"
"08/04/2025","78.29","77.41","78.31","77.11","4.76M","1.68%"
"08/01/2025","77.00","77.40","77.61","76.37","4.44M","-0.81%"
"07/31/2025","77.63","77.22","78.53","77.22","5.03M","0.28%"
"07/30/2025","77.41","78.57","78.97","76.85","4.48M","-1.91%"
"07/29/2025","78.92","79.73","80.13","78.33","4.50M","-0.39%"
"07/28/2025","79.23","79.96","80.23","78.78","4.50M","-1.09%"
"07/25/2025","80.10","79.30","80.29","79.25","4.48M","1.10%"
"07/24/2025","79.23","79.04","79.63","78.63","6.07M","-0.35%"
"07/23/2025","79.51","80.97","81.05","77.95","5.58M","-2.35%"
"07/22/2025","81.42","80.88","81.57","80.60","3.33M","0.79%"
"07/21/2025","80.78","81.33","81.94","80.78","2.93M","-0.53%"
"07/18/2025","81.21","81.17","81.55","80.87","2.97M","0.27%"
"07/17/2025","80.99","80.89","81.15","79.61","4.00M","0.00%"
"07/16/2025","80.99","81.66","81.93","80.51","4.05M","-0.10%"
"07/15/2025","81.07","81.39","81.76","80.73","4.80M","-0.69%"
"07/14/2025","81.63","81.27","82.17","80.77","6.95M","-0.18%"
"07/11/2025","81.78","81.92","82.46","81.60","3.32M","-0.82%"
"07/10/2025","82.46","82.89","83.01","82.14","3.29M","-0.73%"
"07/09/2025","83.07","83.27","83.42","82.66","2.85M","-0.16%"
"07/08/2025","83.20","82.79","83.56","82.58","4.21M","0.20%"
"07/07/2025","83.03","83.06","83.33","82.35","4.34M","-0.18%"
"07/03/2025","83.18","82.72","83.68","82.60","2.80M","1.00%"
"07/02/2025","82.36","85.56","85.82","82.10","5.21M","-4.09%"
"07/01/2025","85.87","85.86","86.47","84.95","3.62M","0.33%"
"06/30/2025","85.59","84.60","85.67","84.48","4.60M","1.18%"
"06/27/2025","84.59","85.02","85.63","84.48","8.17M","-0.45%"
"06/26/2025","84.97","84.25","85.21","83.93","5.11M","1.28%"
"06/25/2025","83.90","85.16","85.53","83.77","5.06M","-1.83%"
"06/24/2025","85.46","86.00","86.15","85.37","3.17M","-0.42%"
"06/23/2025","85.82","85.01","85.95","84.44","3.89M","0.81%"
"06/20/2025","85.13","84.62","85.51","84.43","9.18M","1.04%"
"06/18/2025","84.25","84.19","85.06","84.01","4.10M","0.04%"
"06/17/2025","84.22","85.11","85.78","83.67","3.39M","-1.43%"
"06/16/2025","85.44","85.32","85.88","84.68","3.47M","0.98%"
"06/13/2025","84.61","85.00","85.82","84.38","3.43M","-1.39%"
"06/12/2025","85.80","83.73","85.88","83.72","3.53M","1.66%"
"06/11/2025","84.40","84.54","84.85","83.92","3.50M","0.08%"
"06/10/2025","84.33","84.73","85.21","83.88","3.33M","-1.00%"
"06/09/2025","85.18","86.69","86.93","82.84","6.85M","-2.47%"
"06/06/2025","87.34","86.25","87.46","86.12","3.82M","2.25%"
"06/05/2025","85.42","85.35","85.47","84.39","2.84M","0.48%"
"06/04/2025","85.01","85.55","85.68","84.83","3.69M","-0.63%"
"06/03/2025","85.55","85.51","85.89","83.94","3.19M","-0.24%"
"06/02/2025","85.76","84.11","85.76","83.96","3.30M","1.32%"
"05/30/2025","84.64","83.27","84.92","83.11","7.86M","1.26%"
"05/29/2025","83.59","82.59","83.78","82.59","3.00M","1.03%"
"05/28/2025","82.74","82.99","83.47","82.64","3.29M","-0.52%"
"05/27/2025","83.17","82.05","83.39","81.62","2.84M","1.90%"
"05/23/2025","81.62","81.25","82.03","81.13","3.31M","-0.49%"
"05/22/2025","82.02","82.75","82.90","81.40","3.17M","-0.74%"
"05/21/2025","82.63","83.85","83.96","82.59","2.64M","-1.72%"
"05/20/2025","84.08","83.96","84.57","83.85","2.17M","-0.31%"
"05/19/2025","84.34","84.33","84.57","83.85","2.04M","0.01%"
"05/16/2025","84.33","83.26","84.36","83.16","2.57M","1.32%"
"05/15/2025","83.23","82.14","83.35","81.86","2.86M","1.64%"
"05/14/2025","81.89","83.67","83.75","81.66","4.19M","-2.09%"
"05/13/2025","83.64","83.65","84.59","83.41","3.29M","0.20%"
"05/12/2025","83.47","82.98","83.49","81.48","5.27M","1.29%"
"05/09/2025","82.41","82.13","82.91","81.68","4.93M","0.72%"
"05/08/2025","81.82","82.22","83.00","81.70","3.71M","0.16%"
"05/07/2025","81.69","82.71","83.18","81.52","3.33M","-1.02%"
"05/06/2025","82.53","82.51","83.31","82.32","2.48M","-0.63%"
"05/05/2025","83.05","83.41","84.05","82.65","2.62M","-0.73%"
"05/02/2025","83.66","80.63","84.10","78.45","5.78M","3.49%"
