"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","346.37","341.97","346.41","338.80","606.70K","1.21%"
"01/28/2026","342.22","349.00","351.95","340.00","2.35M","-2.59%"
"01/27/2026","351.32","348.57","353.25","346.93","3.27M","0.47%"
"01/26/2026","349.69","344.70","350.43","343.62","3.12M","1.43%"
"01/23/2026","344.75","346.18","349.23","341.82","2.02M","-0.67%"
"01/22/2026","347.07","344.14","349.98","342.14","3.03M","1.01%"
"01/21/2026","343.60","329.95","343.98","329.32","4.15M","3.81%"
"01/20/2026","331.00","325.58","331.34","321.71","2.95M","0.18%"
"01/16/2026","330.41","328.70","333.03","326.90","4.03M","0.12%"
"01/15/2026","330.03","328.97","332.50","325.19","2.59M","0.32%"
"01/14/2026","328.97","324.09","329.20","323.55","1.90M","1.44%"
"01/13/2026","324.30","327.42","327.75","319.79","2.38M","-0.38%"
"01/12/2026","325.54","328.47","328.47","322.74","2.46M","-0.17%"
"01/09/2026","326.10","328.81","332.08","323.89","2.12M","-1.21%"
"01/08/2026","330.11","337.76","341.46","328.21","2.80M","-3.37%"
"01/07/2026","341.64","332.10","343.05","332.10","3.60M","3.47%"
"01/06/2026","330.17","319.49","330.94","318.83","2.72M","2.95%"
"01/05/2026","320.72","324.92","326.52","318.21","2.27M","-2.11%"
"01/02/2026","327.64","328.77","329.19","325.01","1.54M","0.10%"
"12/31/2025","327.31","328.69","329.50","327.06","1.42M","-0.42%"
"12/30/2025","328.69","328.65","329.77","325.83","1.26M","-0.29%"
"12/29/2025","329.63","332.46","333.50","329.47","2.18M","-0.99%"
"12/26/2025","332.93","333.65","333.98","330.85","792.58K","-0.31%"
"12/24/2025","333.96","330.72","334.38","330.72","833.66K","0.75%"
"12/23/2025","331.49","328.09","333.67","328.07","1.55M","0.03%"
"12/22/2025","331.39","327.01","331.88","326.08","2.40M","1.22%"
"12/19/2025","327.38","325.56","331.50","324.73","13.47M","0.91%"
"12/18/2025","324.42","326.27","328.24","321.91","2.67M","-0.49%"
"12/17/2025","326.01","327.52","330.04","325.42","2.52M","-0.22%"
"12/16/2025","326.74","324.82","327.34","323.02","2.64M","0.44%"
"12/15/2025","325.31","321.21","325.77","319.06","4.05M","2.38%"
"12/12/2025","317.74","317.30","319.46","315.19","2.25M","0.11%"
"12/11/2025","317.38","317.89","320.19","312.39","2.46M","0.63%"
"12/10/2025","315.38","316.24","317.47","313.00","3.07M","0.49%"
"12/09/2025","313.85","321.82","323.00","313.17","2.93M","-2.30%"
"12/08/2025","321.23","329.09","329.67","320.17","3.51M","-2.63%"
"12/05/2025","329.89","340.36","340.88","328.63","2.90M","-3.02%"
"12/04/2025","340.16","344.23","346.33","338.94","3.70M","-1.52%"
"12/03/2025","345.42","340.54","346.38","338.85","2.84M","2.09%"
"12/02/2025","338.36","338.86","342.50","336.33","2.45M","0.26%"
"12/01/2025","337.49","343.07","343.98","336.25","2.38M","-2.31%"
"11/28/2025","345.46","344.00","345.66","342.26","1.27M","0.26%"
"11/26/2025","344.57","341.52","345.03","340.00","2.33M","1.01%"
"11/25/2025","341.11","335.41","341.73","335.41","2.87M","2.04%"
"11/24/2025","334.30","335.84","338.66","331.70","3.55M","-0.96%"
"11/21/2025","337.54","334.87","342.84","334.74","4.13M","0.44%"
"11/20/2025","336.07","344.52","345.09","335.00","3.18M","-1.85%"
"11/19/2025","342.40","343.47","345.29","340.02","2.13M","-0.46%"
"11/18/2025","343.99","343.73","345.49","339.30","2.97M","0.67%"
"11/17/2025","341.71","337.64","344.06","336.83","3.00M","1.48%"
"11/14/2025","336.74","336.74","339.80","330.35","3.31M","0.22%"
"11/13/2025","336.00","337.90","345.84","335.12","3.41M","-0.08%"
"11/12/2025","336.28","338.64","342.40","335.82","2.94M","-0.64%"
"11/11/2025","338.45","323.42","338.55","323.42","3.14M","4.57%"
"11/10/2025","323.66","320.60","326.18","319.54","2.52M","1.08%"
"11/07/2025","320.20","316.08","321.42","314.00","2.67M","1.46%"
"11/06/2025","315.59","319.10","321.31","312.52","3.33M","-1.33%"
"11/05/2025","319.86","303.13","322.98","302.13","5.49M","7.81%"
"11/04/2025","296.70","298.71","299.06","294.48","3.41M","0.14%"
"11/03/2025","296.30","298.43","301.00","292.12","2.75M","-0.71%"
"10/31/2025","298.43","288.46","298.88","288.00","2.69M","2.20%"
"10/30/2025","292.00","290.58","294.56","289.00","2.06M","0.08%"
"10/29/2025","291.77","291.76","294.81","289.44","2.82M","-0.11%"
"10/28/2025","292.09","288.93","292.63","288.26","2.22M","0.32%"
"10/27/2025","291.16","291.21","292.00","288.26","1.79M","-0.21%"
"10/24/2025","291.76","292.89","293.94","290.66","1.38M","-0.39%"
