"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","179.44","178.02","179.99","176.86","485.28K","1.09%"
"01/28/2026","177.51","180.07","180.88","176.23","3.44M","-1.42%"
"01/27/2026","180.07","178.59","181.36","177.08","2.87M","0.34%"
"01/26/2026","179.46","179.82","182.64","178.99","4.30M","0.40%"
"01/23/2026","178.75","176.38","179.70","175.15","2.87M","1.02%"
"01/22/2026","176.95","177.29","181.08","176.51","3.74M","-0.68%"
"01/21/2026","178.17","178.99","179.68","176.68","2.76M","0.24%"
"01/20/2026","177.75","182.90","183.96","177.63","5.04M","-3.17%"
"01/16/2026","183.57","179.68","184.17","178.65","4.13M","1.11%"
"01/15/2026","181.55","177.45","181.81","176.37","3.87M","2.29%"
"01/14/2026","177.48","174.48","180.60","174.26","3.60M","2.02%"
"01/13/2026","173.96","171.40","174.12","169.71","2.87M","1.42%"
"01/12/2026","171.53","169.40","172.88","169.40","2.73M","1.79%"
"01/09/2026","168.51","169.44","170.07","166.88","2.36M","-1.07%"
"01/08/2026","170.33","168.57","171.32","168.34","2.71M","0.53%"
"01/07/2026","169.44","176.99","177.00","169.40","2.76M","-3.63%"
"01/06/2026","175.82","175.38","177.80","174.77","2.36M","-0.24%"
"01/05/2026","176.25","174.26","176.27","171.04","3.43M","0.83%"
"01/02/2026","174.80","175.26","175.81","173.17","1.79M","-0.44%"
"12/31/2025","175.57","175.92","176.76","175.40","1.68M","-0.65%"
"12/30/2025","176.72","175.67","176.85","175.00","1.72M","0.51%"
"12/29/2025","175.83","175.07","176.51","174.88","2.18M","-0.33%"
"12/26/2025","176.41","174.50","176.70","174.50","1.46M","0.92%"
"12/24/2025","174.80","174.72","175.18","174.29","1.04M","0.17%"
"12/23/2025","174.51","172.95","174.58","172.13","3.36M","1.15%"
"12/22/2025","172.53","171.63","173.37","170.77","4.15M","0.07%"
"12/19/2025","172.41","174.21","174.84","171.95","6.03M","-1.08%"
"12/18/2025","174.29","178.60","179.36","174.19","3.95M","-2.35%"
"12/17/2025","178.49","178.54","180.77","177.80","4.08M","-0.36%"
"12/16/2025","179.13","180.27","180.98","178.70","3.20M","-0.63%"
"12/15/2025","180.26","181.74","181.94","177.91","5.02M","-0.24%"
"12/12/2025","180.70","182.17","183.16","180.32","5.33M","-0.56%"
"12/11/2025","181.71","181.66","183.21","180.74","4.37M","0.80%"
"12/10/2025","180.26","179.81","182.63","179.55","2.50M","0.40%"
"12/09/2025","179.55","183.20","184.61","179.35","3.16M","-1.99%"
"12/08/2025","183.20","178.54","183.31","176.90","5.80M","2.43%"
"12/05/2025","178.86","178.82","180.37","178.10","3.00M","0.02%"
"12/04/2025","178.83","175.57","179.10","175.40","2.80M","1.50%"
"12/03/2025","176.18","176.03","176.77","174.35","2.69M","0.21%"
"12/02/2025","175.81","177.06","177.73","175.20","2.47M","-0.26%"
"12/01/2025","176.27","178.50","179.10","174.91","3.33M","-2.76%"
"11/28/2025","181.27","180.41","182.05","180.02","1.09M","0.02%"
"11/26/2025","181.24","180.02","182.30","178.50","1.94M","0.82%"
"11/25/2025","179.76","180.23","182.00","179.47","2.01M","0.11%"
"11/24/2025","179.57","179.58","180.36","176.57","6.03M","0.01%"
"11/21/2025","179.56","180.37","181.99","179.01","2.61M","0.25%"
"11/20/2025","179.12","180.50","180.66","178.01","3.09M","-0.76%"
"11/19/2025","180.50","181.54","182.36","178.92","2.67M","-0.58%"
"11/18/2025","181.55","180.00","182.36","178.94","3.44M","0.60%"
