"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","238.20","243.00","242.95","236.75","19.11M","-1.98%"
"01/28/2026","243.01","246.37","247.77","241.53","40.88M","-0.68%"
"01/27/2026","244.68","239.68","244.88","238.08","38.03M","2.63%"
"01/26/2026","238.42","239.98","240.95","237.54","32.83M","-0.31%"
"01/23/2026","239.16","234.96","240.45","234.57","33.78M","2.06%"
"01/22/2026","234.34","234.04","235.72","230.90","31.91M","1.31%"
"01/21/2026","231.31","231.09","232.30","226.88","47.28M","0.13%"
"01/20/2026","231.00","233.76","235.09","229.34","47.74M","-3.40%"
"01/16/2026","239.12","239.09","239.57","236.41","45.89M","0.39%"
"01/15/2026","238.18","239.31","240.65","236.63","43.00M","0.65%"
"01/14/2026","236.65","241.15","241.28","236.22","41.41M","-2.45%"
"01/13/2026","242.60","246.53","247.66","240.25","38.37M","-1.57%"
"01/12/2026","246.47","246.73","248.94","245.96","35.87M","-0.37%"
"01/09/2026","247.38","244.57","247.86","242.24","34.56M","0.44%"
"01/08/2026","246.29","243.06","246.41","241.88","39.51M","1.96%"
"01/07/2026","241.56","239.61","245.29","239.52","42.24M","0.26%"
"01/06/2026","240.93","232.10","243.18","232.07","53.76M","3.38%"
"01/05/2026","233.06","228.84","234.00","227.18","49.73M","2.90%"
"01/02/2026","226.50","231.34","235.46","224.70","51.46M","-1.87%"
"12/31/2025","230.82","232.90","232.99","230.12","24.38M","-0.74%"
"12/30/2025","232.53","231.21","232.77","230.20","21.91M","0.20%"
"12/29/2025","232.07","231.94","232.60","230.77","19.80M","-0.19%"
"12/26/2025","232.52","232.04","232.99","231.18","15.99M","0.06%"
"12/24/2025","232.38","232.13","232.95","231.33","11.42M","0.10%"
"12/23/2025","232.14","229.05","232.45","228.73","29.23M","1.62%"
"12/22/2025","228.43","228.61","229.48","226.71","32.26M","0.48%"
"12/19/2025","227.35","226.76","229.13","225.58","85.54M","0.26%"
"12/18/2025","226.76","225.71","229.23","224.41","50.27M","2.48%"
"12/17/2025","221.27","224.65","225.19","220.99","44.03M","-0.58%"
"12/16/2025","222.56","223.04","223.66","221.13","39.30M","0.01%"
"12/15/2025","222.54","227.93","227.93","221.50","47.29M","-1.61%"
"12/12/2025","226.19","229.87","230.08","225.12","35.64M","-1.78%"
"12/11/2025","230.28","230.71","232.11","228.69","28.25M","-0.65%"
"12/10/2025","231.78","228.80","232.42","228.46","38.79M","1.69%"
"12/09/2025","227.92","226.84","228.57","225.11","25.84M","0.45%"
"12/08/2025","226.89","229.59","230.83","226.27","35.02M","-1.15%"
"12/05/2025","229.53","230.32","231.24","228.55","33.12M","0.18%"
"12/04/2025","229.11","232.77","233.50","226.80","45.68M","-1.41%"
"12/03/2025","232.38","233.35","233.38","230.61","35.50M","-0.87%"
"12/02/2025","234.42","235.01","238.97","233.55","45.79M","0.23%"
"12/01/2025","233.88","233.22","235.80","232.25","42.90M","0.28%"
"11/28/2025","233.22","231.24","233.29","230.22","20.29M","1.77%"
"11/26/2025","229.16","230.74","231.75","228.77","38.50M","-0.22%"
"11/25/2025","229.67","226.38","230.52","223.80","39.38M","1.50%"
"11/24/2025","226.28","222.55","227.33","222.27","54.32M","2.53%"
"11/21/2025","220.69","216.35","222.21","215.18","68.49M","1.63%"
"11/20/2025","217.14","227.05","227.41","216.74","50.31M","-2.49%"
"11/19/2025","222.69","223.74","223.74","218.52","58.34M","0.06%"
"11/18/2025","222.55","228.10","230.20","222.42","60.61M","-4.43%"
"11/17/2025","232.87","233.25","234.60","229.19","59.92M","-0.78%"
"11/14/2025","234.69","235.06","238.73","232.89","38.96M","-1.22%"
"11/13/2025","237.58","243.05","243.75","236.50","41.40M","-2.71%"
"11/12/2025","244.20","250.24","250.37","243.75","31.19M","-1.97%"
"11/11/2025","249.10","248.41","249.75","247.23","23.56M","0.28%"
"11/10/2025","248.40","248.34","251.75","245.59","36.48M","1.63%"
"11/07/2025","244.41","242.90","244.90","238.49","46.37M","0.56%"
"11/06/2025","243.04","249.15","250.38","242.17","46.00M","-2.86%"
"11/05/2025","250.20","249.03","251.00","246.16","40.61M","0.35%"
"11/04/2025","249.32","250.38","257.01","248.66","51.55M","-1.84%"
"11/03/2025","254.00","255.36","258.60","252.90","96.00M","4.00%"
"10/31/2025","244.22","250.10","250.50","243.98","166.34M","9.58%"
"10/30/2025","222.86","227.06","228.44","222.75","102.25M","-3.23%"
"10/29/2025","230.30","231.67","232.82","227.76","52.04M","0.46%"
"10/28/2025","229.25","228.21","231.49","226.21","47.10M","1.00%"
"10/27/2025","226.97","227.66","228.40","225.54","38.27M","1.23%"
"10/24/2025","224.21","221.97","225.40","221.90","38.69M","1.41%"
"10/23/2025","221.09","219.00","221.30","218.18","31.54M","1.44%"
"10/22/2025","217.95","219.30","220.01","216.52","44.31M","-1.84%"
"10/21/2025","222.03","218.43","223.32","217.99","50.49M","2.56%"
"10/20/2025","216.48","213.88","216.69","213.59","38.88M","1.61%"
"10/17/2025","213.04","214.56","214.80","211.03","45.99M","-0.67%"
"10/16/2025","214.47","215.67","218.59","212.81","42.41M","-0.51%"
"10/15/2025","215.57","216.62","217.71","212.66","45.91M","-0.38%"
"10/14/2025","216.39","215.55","219.32","212.60","45.67M","-1.67%"
"10/13/2025","220.07","217.70","220.68","217.04","37.81M","1.71%"
"10/10/2025","216.37","226.21","228.25","216.00","72.37M","-4.99%"
"10/09/2025","227.74","224.99","228.21","221.75","46.41M","1.12%"
"10/08/2025","225.22","222.92","226.73","221.19","46.69M","1.55%"
"10/07/2025","221.78","220.88","222.89","220.17","31.19M","0.40%"
"10/06/2025","220.90","221.00","221.73","216.03","43.69M","0.63%"
"10/03/2025","219.51","223.44","224.20","219.34","43.64M","-1.30%"
"10/02/2025","222.41","221.01","222.81","218.95","41.26M","0.81%"
"10/01/2025","220.63","217.36","222.15","216.61","43.93M","0.48%"
"09/30/2025","219.57","222.03","222.24","217.89","48.40M","-1.17%"
"09/29/2025","222.17","220.08","222.60","219.30","44.26M","1.09%"
"09/26/2025","219.78","219.08","221.05","218.02","41.65M","0.75%"
"09/25/2025","218.15","220.06","220.67","216.47","52.23M","-0.94%"
"09/24/2025","220.21","224.15","224.56","219.45","49.51M","-0.23%"
"09/23/2025","220.71","227.83","227.86","220.07","70.96M","-3.04%"
"09/22/2025","227.63","230.56","230.57","227.51","45.91M","-1.66%"
"09/19/2025","231.48","232.37","234.16","229.70","97.94M","0.11%"
"09/18/2025","231.23","232.50","233.48","228.79","37.93M","-0.17%"
"09/17/2025","231.62","233.77","234.30","228.71","42.82M","-1.04%"
"09/16/2025","234.05","232.93","235.90","232.23","38.20M","1.13%"
"09/15/2025","231.43","230.63","233.73","230.32","33.24M","1.44%"
"09/12/2025","228.15","230.35","230.79","226.29","38.50M","-0.78%"
"09/11/2025","229.95","231.49","231.53","229.34","37.49M","-0.16%"
"09/10/2025","230.33","237.51","237.68","229.10","60.91M","-3.32%"
"09/09/2025","238.24","236.35","238.85","235.08","27.03M","1.02%"
"09/08/2025","235.84","234.94","237.60","233.75","33.95M","1.51%"
"09/05/2025","232.33","235.19","236.00","231.93","36.72M","-1.42%"
"09/04/2025","235.68","231.18","235.77","230.78","59.39M","4.29%"
"09/03/2025","225.99","225.21","227.17","224.36","29.22M","0.29%"
"09/02/2025","225.34","223.52","226.17","221.83","38.84M","-1.60%"
"08/29/2025","229.00","231.32","231.81","228.16","26.20M","-1.12%"
"08/28/2025","231.60","229.01","232.71","228.02","33.68M","1.08%"
"08/27/2025","229.12","228.57","229.87","227.81","21.25M","0.18%"
"08/26/2025","228.71","227.11","229.00","226.02","26.11M","0.34%"
"08/25/2025","227.94","227.35","229.60","227.31","22.63M","-0.39%"
"08/22/2025","228.84","222.79","229.14","220.82","37.32M","3.10%"
"08/21/2025","221.95","222.65","222.78","220.50","32.14M","-0.83%"
"08/20/2025","223.81","227.12","227.27","220.91","36.60M","-1.84%"
"08/19/2025","228.01","230.09","230.53","227.12","29.89M","-1.50%"
"08/18/2025","231.49","230.23","231.91","228.33","25.25M","0.20%"
"08/15/2025","231.03","232.58","234.08","229.81","39.65M","0.02%"
"08/14/2025","230.98","227.40","233.11","227.02","61.55M","2.86%"
"08/13/2025","224.56","222.00","224.92","222.00","36.51M","1.40%"
"08/12/2025","221.47","222.23","223.50","219.05","37.25M","0.08%"
"08/11/2025","221.30","221.78","223.05","220.40","31.65M","-0.62%"
"08/08/2025","222.69","223.14","223.80","221.88","32.97M","-0.20%"
"08/07/2025","223.13","221.00","226.22","220.82","40.60M","0.37%"
"08/06/2025","222.31","214.70","222.65","213.74","54.82M","4.00%"
"08/05/2025","213.75","213.05","216.30","212.87","51.51M","0.99%"
"08/04/2025","211.65","217.40","217.44","211.42","77.89M","-1.44%"
"08/01/2025","214.75","217.21","220.44","212.80","122.26M","-8.27%"
"07/31/2025","234.11","235.77","236.53","231.40","104.36M","1.70%"
"07/30/2025","230.19","231.64","231.80","229.29","32.99M","-0.35%"
"07/29/2025","231.01","234.15","234.72","230.31","33.72M","-0.76%"
"07/28/2025","232.79","233.35","234.29","232.25","26.30M","0.58%"
"07/25/2025","231.44","232.22","232.48","231.18","28.71M","-0.34%"
"07/24/2025","232.23","229.17","236.00","228.64","42.90M","1.73%"
"07/23/2025","228.29","228.47","228.79","227.09","28.29M","0.36%"
"07/22/2025","227.47","229.68","230.00","226.35","37.48M","-0.80%"
"07/21/2025","229.30","225.84","229.69","225.65","40.30M","1.40%"
"07/18/2025","226.13","225.14","226.40","222.98","37.83M","1.01%"
"07/17/2025","223.88","223.32","224.50","222.51","31.86M","0.31%"
"07/16/2025","223.19","225.88","226.10","222.18","39.54M","-1.40%"
"07/15/2025","226.35","226.20","227.27","225.46","34.91M","0.29%"
"07/14/2025","225.69","225.07","226.66","224.24","35.70M","0.30%"
"07/11/2025","225.02","223.58","226.68","222.37","50.52M","1.24%"
"07/10/2025","222.26","221.55","222.79","219.70","30.37M","-0.13%"
"07/09/2025","222.54","221.07","224.29","220.47","38.16M","1.45%"
"07/08/2025","219.36","223.91","224.00","218.43","45.69M","-1.84%"
"07/07/2025","223.47","223.00","224.29","222.37","36.60M","0.03%"
"07/03/2025","223.41","221.82","224.01","221.36","29.63M","1.59%"
