"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","320.98","333.00","335.89","320.29","7.32M","-3.68%"
"01/28/2026","333.24","338.85","339.99","326.70","23.00M","0.14%"
"01/27/2026","332.79","329.76","334.76","327.02","25.54M","2.44%"
"01/26/2026","324.85","319.80","328.68","317.60","25.01M","1.50%"
"01/23/2026","320.05","319.30","321.99","314.11","30.26M","-1.67%"
"01/22/2026","325.49","335.35","336.99","324.89","24.28M","-1.01%"
"01/21/2026","328.80","335.51","335.80","324.20","32.01M","-1.14%"
"01/20/2026","332.60","344.10","345.40","331.80","32.29M","-5.43%"
"01/16/2026","351.71","346.27","354.51","344.05","31.29M","2.53%"
"01/15/2026","343.02","349.12","349.68","341.67","22.22M","0.92%"
"01/14/2026","339.89","348.97","350.69","334.42","30.09M","-4.15%"
"01/13/2026","354.61","352.88","359.49","350.91","18.31M","0.68%"
"01/12/2026","352.21","340.95","353.90","340.95","20.95M","2.10%"
"01/09/2026","344.97","337.92","347.39","333.50","22.48M","3.76%"
"01/08/2026","332.48","342.78","343.68","330.50","24.39M","-3.21%"
"01/07/2026","343.50","341.70","349.70","335.88","20.25M","-0.08%"
"01/06/2026","343.77","343.60","349.05","338.00","27.14M","0.10%"
"01/05/2026","343.42","354.74","355.03","336.50","31.14M","-1.21%"
"01/02/2026","347.62","352.77","360.66","345.56","25.40M","0.44%"
"12/31/2025","346.10","349.73","349.88","345.42","15.35M","-1.07%"
"12/30/2025","349.85","349.97","352.68","349.30","16.63M","0.13%"
"12/29/2025","349.39","348.72","350.33","344.69","21.95M","-0.78%"
"12/26/2025","352.13","351.06","353.25","347.75","15.03M","0.55%"
"12/24/2025","350.22","350.68","352.86","347.14","11.42M","0.26%"
"12/23/2025","349.32","340.81","350.11","338.54","28.23M","2.30%"
"12/22/2025","341.45","346.03","346.24","337.22","28.74M","0.32%"
"12/19/2025","340.36","333.33","343.45","332.58","159.10M","3.18%"
"12/18/2025","329.88","336.00","336.02","323.63","54.50M","1.18%"
"12/17/2025","326.02","346.61","346.61","321.42","73.30M","-4.48%"
"12/16/2025","341.30","336.02","347.50","335.06","58.06M","0.44%"
"12/15/2025","339.81","361.89","362.00","337.51","65.89M","-5.59%"
"12/12/2025","359.93","379.96","382.00","355.15","95.59M","-11.43%"
"12/11/2025","406.37","404.83","409.30","394.19","45.68M","-1.60%"
"12/10/2025","412.97","402.20","414.61","399.56","31.53M","1.64%"
"12/09/2025","406.29","398.74","406.93","395.51","24.55M","1.29%"
"12/08/2025","401.10","402.48","407.29","397.40","30.41M","2.78%"
"12/05/2025","390.24","386.17","393.53","385.15","24.78M","2.42%"
"12/04/2025","381.03","380.68","383.89","376.53","15.85M","0.11%"
"12/03/2025","380.61","380.00","382.30","370.65","21.34M","-0.25%"
