"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","236.61","242.86","243.74","234.61","2.92M","-2.06%"
"01/28/2026","241.59","244.09","245.86","237.10","10.00M","-1.21%"
"01/27/2026","244.56","242.50","254.35","238.75","20.51M","-1.56%"
"01/26/2026","248.43","251.49","251.59","247.40","8.47M","-1.48%"
"01/23/2026","252.15","252.74","253.77","249.02","7.08M","0.29%"
"01/22/2026","251.41","252.00","254.14","249.78","9.74M","0.54%"
"01/21/2026","250.07","248.89","251.31","244.68","8.16M","0.43%"
"01/20/2026","249.00","244.40","249.52","243.70","11.29M","0.53%"
"01/16/2026","247.68","247.75","248.19","244.96","5.94M","-0.02%"
"01/15/2026","247.74","244.38","248.75","243.97","6.52M","2.11%"
"01/14/2026","242.61","244.44","244.88","239.60","7.75M","-0.79%"
"01/13/2026","244.55","241.12","247.40","240.10","11.46M","1.98%"
"01/12/2026","239.81","234.29","239.95","234.00","7.89M","2.25%"
"01/09/2026","234.53","228.34","235.13","228.30","8.62M","3.14%"
"01/08/2026","227.38","231.79","233.11","225.10","7.13M","-0.32%"
"01/07/2026","228.12","232.15","233.57","227.31","9.69M","-0.75%"
"01/06/2026","229.84","229.23","231.64","228.60","6.71M","0.75%"
"01/05/2026","228.13","228.79","230.96","227.50","8.28M","0.16%"
"01/02/2026","227.77","218.15","227.77","215.24","11.26M","4.91%"
"12/31/2025","217.12","218.93","219.32","216.14","5.56M","-0.63%"
"12/30/2025","218.50","219.14","221.88","218.40","5.65M","0.58%"
"12/29/2025","217.25","215.90","218.14","215.11","5.29M","0.37%"
"12/26/2025","216.44","218.05","218.67","216.14","2.80M","-0.79%"
"12/24/2025","218.16","217.00","219.27","216.19","2.94M","0.60%"
"12/23/2025","216.85","216.90","217.56","215.32","4.50M","0.00%"
"12/22/2025","216.84","215.34","217.15","214.22","5.46M","1.29%"
"12/19/2025","214.08","209.76","215.98","209.26","14.79M","2.79%"
"12/18/2025","208.27","207.99","210.55","207.66","5.65M","0.94%"
"12/17/2025","206.33","206.77","210.66","205.82","7.30M","-0.18%"
"12/16/2025","206.71","205.00","208.65","204.39","6.12M","0.59%"
"12/15/2025","205.50","204.38","206.63","203.17","6.72M","0.55%"
"12/12/2025","204.38","202.20","206.12","201.58","7.07M","1.83%"
"12/11/2025","200.71","198.73","201.86","198.05","7.92M","1.00%"
"12/10/2025","198.72","200.37","201.35","198.35","15.16M","-0.82%"
"12/09/2025","200.37","205.35","207.10","200.02","9.10M","-2.86%"
"12/08/2025","206.27","203.61","206.86","202.56","8.82M","2.17%"
"12/05/2025","201.89","201.40","202.95","200.56","6.86M","0.01%"
"12/04/2025","201.87","202.85","202.89","198.53","9.51M","-0.33%"
"12/03/2025","202.54","204.60","205.85","197.40","14.14M","-1.38%"
"12/02/2025","205.38","198.30","205.77","195.51","22.62M","10.15%"
"12/01/2025","186.46","188.96","189.95","186.41","6.76M","-1.34%"
"11/28/2025","189.00","187.87","189.75","186.91","3.76M","1.11%"
"11/26/2025","186.92","184.00","188.18","183.03","7.64M","2.46%"
"11/25/2025","182.44","179.49","183.48","177.52","9.68M","1.85%"
"11/24/2025","179.12","180.31","180.31","177.30","9.39M","-0.32%"
"11/21/2025","179.70","180.56","181.43","176.77","10.13M","0.18%"
"11/20/2025","179.38","187.74","188.10","178.42","13.71M","-3.40%"
"11/19/2025","185.70","189.21","189.21","183.01","12.55M","-2.07%"
"11/18/2025","189.63","190.00","191.15","187.85","8.20M","-1.14%"
"11/17/2025","191.81","194.84","194.84","190.23","5.88M","-1.39%"
"11/14/2025","194.52","192.88","197.03","192.15","6.19M","-0.03%"
"11/13/2025","194.58","195.63","196.20","193.11","6.74M","-0.47%"
"11/12/2025","195.50","195.75","196.66","193.80","8.29M","0.15%"
"11/11/2025","195.21","194.74","196.40","194.35","5.78M","0.21%"
"11/10/2025","194.81","195.89","196.44","193.19","7.45M","0.10%"
"11/07/2025","194.61","195.50","195.85","191.49","7.87M","-0.96%"
"11/06/2025","196.50","198.10","201.27","195.45","7.74M","-0.57%"
"11/05/2025","197.62","197.75","198.51","195.31","9.89M","-0.22%"
"11/04/2025","198.05","201.80","202.22","197.57","8.62M","-3.18%"
"11/03/2025","204.55","202.04","205.66","201.58","8.10M","1.76%"
"10/31/2025","201.02","201.25","202.60","198.30","10.70M","0.47%"
"10/30/2025","200.08","210.01","210.28","200.02","19.42M","-6.32%"
"10/29/2025","213.58","221.36","221.90","212.50","20.94M","-4.37%"
"10/28/2025","223.33","224.36","225.56","222.60","7.03M","0.15%"
"10/27/2025","223.00","222.78","223.58","221.82","6.08M","0.75%"
"10/24/2025","221.35","219.04","221.74","218.51","5.24M","1.64%"
"10/23/2025","217.77","216.40","219.30","216.25","5.36M","0.54%"
"10/22/2025","216.59","216.68","217.40","213.80","6.31M","-0.31%"
"10/21/2025","217.26","217.21","217.70","215.55","4.21M","0.20%"
"10/20/2025","216.82","215.13","217.38","214.56","5.87M","1.82%"
"10/17/2025","212.94","210.91","214.68","210.75","6.48M","0.50%"
"10/16/2025","211.89","214.66","214.96","210.66","5.56M","-0.99%"
"10/15/2025","214.00","215.04","215.93","212.48","5.06M","-0.14%"
"10/14/2025","214.30","213.54","217.95","212.24","5.98M","-0.58%"
"10/13/2025","215.56","212.09","215.80","212.06","5.66M","2.29%"
"10/10/2025","210.73","217.00","217.90","210.73","10.65M","-2.44%"
"10/09/2025","216.00","225.70","225.70","215.90","12.97M","-4.14%"
"10/08/2025","225.32","222.73","226.19","221.47","6.19M","1.58%"
"10/07/2025","221.82","220.11","223.95","219.20","7.61M","0.95%"
"10/06/2025","219.73","217.87","221.80","215.90","7.67M","1.59%"
"10/03/2025","216.30","216.75","218.83","215.25","6.63M","-0.52%"
"10/02/2025","217.43","215.45","218.86","215.31","8.28M","1.04%"
"10/01/2025","215.20","214.01","215.63","213.70","7.18M","-0.29%"
"09/30/2025","215.83","217.10","217.68","212.83","9.29M","-0.58%"
"09/29/2025","217.08","222.37","222.81","215.12","11.29M","-1.89%"
"09/26/2025","221.26","223.36","224.10","219.11","17.28M","3.62%"
"09/25/2025","213.53","214.87","216.85","211.98","6.65M","-0.73%"
"09/24/2025","215.10","217.55","218.18","214.77","7.35M","-0.57%"
"09/23/2025","216.34","217.12","219.82","214.01","12.76M","2.00%"
"09/22/2025","212.09","215.17","215.90","211.43","7.47M","-1.65%"
"09/19/2025","215.65","217.73","217.73","213.62","10.51M","0.00%"
"09/18/2025","215.66","215.23","217.40","213.70","6.41M","0.48%"
"09/17/2025","214.63","215.59","218.05","213.13","6.02M","-0.18%"
"09/16/2025","215.02","216.86","217.13","213.75","6.33M","-0.34%"
"09/15/2025","215.75","216.25","217.26","214.07","6.90M","-0.09%"
"09/12/2025","215.94","219.89","220.00","215.70","11.09M","-1.84%"
"09/11/2025","219.99","228.00","229.69","219.65","12.01M","-3.31%"
"09/10/2025","227.52","229.60","230.10","226.59","4.95M","-0.87%"
"09/09/2025","229.52","231.01","232.28","228.45","5.51M","-0.62%"
"09/08/2025","230.95","231.70","232.20","228.09","5.95M","0.58%"
"09/05/2025","229.61","231.80","232.23","225.50","8.20M","-0.49%"
"09/04/2025","230.75","233.01","233.10","229.21","4.09M","-0.70%"
"09/03/2025","232.38","237.06","237.06","230.76","6.00M","-2.11%"
"09/02/2025","237.38","231.28","238.33","230.80","6.34M","1.15%"
"08/29/2025","234.68","236.13","238.05","233.17","5.01M","-0.63%"
"08/28/2025","236.16","235.85","237.35","234.49","4.04M","0.23%"
"08/27/2025","235.62","235.36","236.34","232.40","4.76M","0.34%"
"08/26/2025","234.83","228.00","234.83","227.98","7.38M","3.51%"
"08/25/2025","226.87","229.60","230.25","226.60","4.76M","-1.41%"
"08/22/2025","230.12","225.41","233.70","225.24","8.68M","2.52%"
"08/21/2025","224.46","227.13","227.58","223.71","6.10M","-0.51%"
"08/20/2025","225.62","224.49","226.37","223.60","5.02M","0.28%"
"08/19/2025","225.00","232.00","232.43","223.75","9.06M","-3.19%"
"08/18/2025","232.41","234.47","235.16","229.11","8.46M","-1.21%"
"08/15/2025","235.26","233.36","236.45","231.43","6.29M","0.89%"
"08/14/2025","233.19","231.65","233.97","230.86","5.32M","-0.08%"
"08/13/2025","233.37","233.25","235.60","229.33","6.67M","0.33%"
"08/12/2025","232.61","226.95","232.61","226.46","7.40M","2.94%"
"08/11/2025","225.96","229.00","229.32","225.17","4.87M","-1.38%"
"08/08/2025","229.12","227.50","230.90","227.38","4.72M","0.79%"
"08/07/2025","227.33","226.15","230.39","224.58","4.56M","1.02%"
"08/06/2025","225.04","225.70","226.57","224.04","3.90M","0.08%"
"08/05/2025","224.86","222.37","226.03","221.07","5.69M","1.13%"
"08/04/2025","222.34","220.15","222.85","218.03","6.00M","0.20%"
"08/01/2025","221.90","219.45","222.46","215.90","8.57M","0.03%"
