"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","119.28","119.78","121.00","118.84","1.16M","0.32%"
"01/28/2026","118.90","118.95","119.14","117.96","2.46M","0.03%"
"01/27/2026","118.87","119.25","119.82","118.57","2.66M","-0.13%"
"01/26/2026","119.02","118.14","119.18","117.68","3.10M","1.20%"
"01/23/2026","117.61","119.15","119.52","117.35","3.86M","-2.14%"
"01/22/2026","120.18","120.72","121.47","119.95","3.44M","0.35%"
"01/21/2026","119.76","121.00","121.82","119.18","4.29M","-0.76%"
"01/20/2026","120.68","119.84","121.78","119.40","5.03M","-0.54%"
"01/16/2026","121.33","123.78","124.35","121.27","4.72M","-2.13%"
"01/15/2026","123.97","125.23","125.89","123.08","3.70M","-0.50%"
"01/14/2026","124.59","122.89","124.93","122.67","6.13M","1.35%"
"01/13/2026","122.93","121.26","123.01","119.88","7.29M","1.88%"
"01/12/2026","120.66","119.05","120.70","118.50","3.79M","1.36%"
"01/09/2026","119.04","119.73","120.78","119.02","3.00M","-0.84%"
"01/08/2026","120.05","120.32","121.28","119.41","2.87M","-0.33%"
"01/07/2026","120.45","121.62","122.11","120.18","2.82M","-0.71%"
"01/06/2026","121.31","122.01","122.04","119.86","3.61M","0.22%"
"01/05/2026","121.04","117.50","122.36","117.15","6.01M","3.42%"
"01/02/2026","117.04","116.01","117.06","115.31","3.17M","0.82%"
"12/31/2025","116.09","117.00","117.10","116.04","1.91M","-0.67%"
"12/30/2025","116.87","117.69","117.69","116.58","2.21M","-0.51%"
"12/29/2025","117.47","117.61","118.00","117.04","2.69M","0.00%"
"12/26/2025","117.47","118.02","118.36","117.28","1.53M","-0.63%"
"12/24/2025","118.22","117.33","118.43","117.02","1.42M","0.85%"
"12/23/2025","117.22","117.20","118.13","116.96","2.66M","-0.03%"
"12/22/2025","117.26","116.39","117.59","116.04","3.83M","1.23%"
"12/19/2025","115.84","114.58","116.09","114.58","8.47M","1.21%"
"12/18/2025","114.45","114.35","115.31","113.91","2.88M","0.78%"
"12/17/2025","113.56","114.35","115.44","113.45","3.77M","-0.69%"
"12/16/2025","114.35","117.03","117.06","114.08","5.19M","-2.23%"
"12/15/2025","116.96","117.56","118.02","116.50","3.55M","-0.06%"
"12/12/2025","117.03","118.97","119.18","116.75","3.42M","-1.39%"
"12/11/2025","118.68","117.85","119.40","117.58","4.79M","0.25%"
"12/10/2025","118.38","116.16","118.88","114.70","5.26M","2.11%"
