"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","5,092.17","5,106.02","5,146.90","5,050.01","77.34K","0.14%"
"01/28/2026","5,085.22","5,161.43","5,212.36","5,068.00","200.69K","-1.32%"
"01/27/2026","5,153.41","5,107.28","5,160.95","5,088.29","156.56K","0.90%"
"01/26/2026","5,107.28","5,113.83","5,162.00","5,087.27","180.76K","0.17%"
"01/23/2026","5,098.50","5,067.24","5,129.83","5,067.24","207.69K","-1.02%"
"01/22/2026","5,150.90","5,207.91","5,248.61","5,119.07","222.59K","-0.25%"
"01/21/2026","5,163.61","5,009.73","5,178.88","5,001.71","272.91K","2.72%"
"01/20/2026","5,027.00","5,012.07","5,057.40","4,952.44","286.64K","-1.74%"
"01/16/2026","5,115.91","5,193.06","5,228.00","5,103.56","373.15K","-1.49%"
"01/15/2026","5,193.06","5,191.15","5,227.51","5,143.15","189.66K","0.12%"
"01/14/2026","5,187.02","5,262.52","5,280.30","5,057.49","248.13K","-2.40%"
"01/13/2026","5,314.71","5,366.93","5,417.77","5,268.02","189.16K","-1.42%"
"01/12/2026","5,391.52","5,454.19","5,454.19","5,360.82","179.02K","-1.83%"
"01/09/2026","5,492.11","5,415.06","5,518.84","5,393.00","204.95K","0.87%"
"01/08/2026","5,445.00","5,441.00","5,456.99","5,358.00","160.83K","-0.01%"
"01/07/2026","5,445.72","5,321.41","5,473.89","5,321.41","180.65K","1.82%"
"01/06/2026","5,348.39","5,350.30","5,368.06","5,271.02","214.62K","-0.35%"
"01/05/2026","5,367.37","5,293.20","5,445.20","5,281.54","178.51K","0.83%"
"01/02/2026","5,323.20","5,356.79","5,358.56","5,251.32","169.96K","-0.60%"
"12/31/2025","5,355.33","5,415.01","5,438.91","5,352.89","112.92K","-1.32%"
"12/30/2025","5,427.15","5,413.24","5,455.29","5,413.24","135.49K","-0.26%"
"12/29/2025","5,441.33","5,443.39","5,462.00","5,403.79","104.90K","0.02%"
"12/26/2025","5,440.14","5,436.28","5,487.00","5,415.00","69.61K","-0.12%"
"12/24/2025","5,446.51","5,419.02","5,477.02","5,416.96","52.78K","0.13%"
"12/23/2025","5,439.27","5,395.77","5,441.32","5,392.28","120.68K","0.60%"
"12/22/2025","5,406.99","5,438.08","5,470.01","5,390.00","134.97K","0.25%"
"12/19/2025","5,393.74","5,340.31","5,435.00","5,327.56","462.77K","0.90%"
"12/18/2025","5,345.47","5,338.84","5,426.77","5,332.74","194.84K","0.08%"
"12/17/2025","5,340.98","5,425.26","5,451.46","5,334.18","178.53K","-1.76%"
"12/16/2025","5,436.93","5,425.00","5,520.15","5,418.88","228.80K","-0.38%"
"12/15/2025","5,457.70","5,357.89","5,485.00","5,346.48","366.39K","2.94%"
"12/12/2025","5,301.64","5,308.92","5,358.03","5,287.09","201.79K","0.42%"
"12/11/2025","5,279.68","5,276.42","5,359.80","5,240.03","247.04K","0.05%"
"12/10/2025","5,277.20","5,173.50","5,365.58","5,064.69","457.89K","1.57%"
"12/09/2025","5,195.76","5,153.99","5,228.69","5,002.19","339.72K","0.35%"
"12/08/2025","5,177.39","5,188.60","5,209.45","5,119.67","303.97K","-0.38%"
"12/05/2025","5,197.04","5,035.61","5,199.52","5,019.35","303.85K","3.38%"
"12/04/2025","5,027.20","5,065.00","5,081.59","5,019.88","186.43K","-0.40%"
"12/03/2025","5,047.21","5,092.97","5,167.12","5,042.16","205.19K","-1.71%"
"12/02/2025","5,135.07","4,905.00","5,176.22","4,903.00","433.49K","4.97%"
