"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","1,118.00","1,126.86","1,134.94","1,107.26","202.78K","-0.33%"
"01/28/2026","1,121.67","1,106.00","1,123.81","1,098.39","616.26K","1.35%"
"01/27/2026","1,106.69","1,121.56","1,125.50","1,098.00","537.36K","-1.32%"
"01/26/2026","1,121.54","1,133.57","1,141.48","1,121.11","739.41K","-0.74%"
"01/23/2026","1,129.91","1,133.91","1,136.49","1,121.00","730.69K","-0.86%"
"01/22/2026","1,139.72","1,137.60","1,148.02","1,132.46","683.81K","1.05%"
"01/21/2026","1,127.85","1,120.00","1,135.34","1,114.60","687.82K","1.60%"
"01/20/2026","1,110.05","1,144.00","1,148.36","1,105.99","1.03M","-4.57%"
"01/16/2026","1,163.17","1,159.50","1,181.36","1,159.00","1.13M","0.56%"
"01/15/2026","1,156.65","1,128.62","1,162.33","1,125.06","1.40M","5.93%"
"01/14/2026","1,091.85","1,070.53","1,094.01","1,070.41","954.29K","0.21%"
"01/13/2026","1,089.54","1,089.54","1,094.00","1,073.73","730.70K","0.03%"
"01/12/2026","1,089.26","1,078.48","1,090.92","1,073.91","726.82K","0.38%"
"01/09/2026","1,085.10","1,090.23","1,092.77","1,080.00","613.84K","-0.26%"
"01/08/2026","1,087.92","1,060.13","1,092.45","1,060.13","558.17K","1.19%"
"01/07/2026","1,075.09","1,108.16","1,112.80","1,074.97","839.78K","-3.34%"
"01/06/2026","1,112.28","1,119.32","1,124.28","1,106.76","537.67K","-0.67%"
"01/05/2026","1,119.76","1,085.88","1,131.65","1,083.25","926.28K","3.20%"
"01/02/2026","1,085.06","1,071.44","1,089.88","1,069.00","603.27K","1.38%"
"12/31/2025","1,070.34","1,082.95","1,085.36","1,070.08","327.67K","-1.20%"
"12/30/2025","1,083.31","1,088.54","1,090.00","1,082.01","273.10K","-0.47%"
"12/29/2025","1,088.40","1,091.04","1,092.05","1,082.76","295.27K","0.03%"
"12/26/2025","1,088.11","1,090.72","1,091.69","1,084.63","230.34K","-0.08%"
"12/24/2025","1,088.96","1,089.82","1,094.33","1,084.00","195.14K","0.22%"
"12/23/2025","1,086.55","1,085.55","1,091.74","1,083.40","265.49K","-0.15%"
"12/22/2025","1,088.21","1,066.33","1,090.96","1,065.77","575.52K","2.64%"
"12/19/2025","1,060.17","1,066.94","1,068.56","1,057.74","1.17M","-0.45%"
"12/18/2025","1,064.99","1,073.91","1,078.51","1,057.45","588.48K","0.00%"
"12/17/2025","1,065.00","1,072.80","1,083.75","1,064.64","648.29K","-0.29%"
"12/16/2025","1,068.14","1,081.36","1,083.19","1,063.89","651.58K","-1.30%"
"12/15/2025","1,082.16","1,095.43","1,098.85","1,078.50","564.75K","-0.64%"
"12/12/2025","1,089.09","1,107.26","1,107.26","1,085.01","608.04K","-1.16%"
"12/11/2025","1,101.84","1,084.86","1,104.33","1,081.00","774.45K","1.71%"
"12/10/2025","1,083.36","1,077.24","1,089.77","1,071.52","840.90K","1.12%"
"12/09/2025","1,071.31","1,060.26","1,074.08","1,059.18","445.35K","0.87%"
"12/08/2025","1,062.02","1,074.00","1,078.86","1,057.15","612.63K","-0.95%"
"12/05/2025","1,072.16","1,068.49","1,074.00","1,062.89","544.20K","-0.32%"
"12/04/2025","1,075.58","1,080.82","1,086.84","1,072.64","597.89K","-0.40%"
"12/03/2025","1,079.87","1,043.07","1,087.09","1,040.65","863.35K","3.97%"
"12/02/2025","1,038.62","1,043.00","1,045.12","1,031.00","376.58K","-0.13%"
"12/01/2025","1,039.94","1,039.00","1,052.57","1,037.00","624.62K","-0.70%"
"11/28/2025","1,047.30","1,049.89","1,053.94","1,043.86","300.28K","0.70%"
"11/26/2025","1,040.06","1,031.11","1,048.32","1,030.04","560.97K","1.00%"
"11/25/2025","1,029.77","1,019.49","1,033.00","1,010.92","688.75K","1.01%"
"11/24/2025","1,019.49","1,006.85","1,024.22","1,004.94","1.01M","0.47%"
"11/21/2025","1,014.72","999.00","1,015.38","990.81","1.23M","2.24%"
"11/20/2025","992.52","1,029.11","1,032.49","990.58","677.93K","-2.18%"
"11/19/2025","1,014.68","1,020.00","1,025.44","1,009.06","838.76K","-0.44%"
"11/18/2025","1,019.14","1,022.00","1,026.77","1,010.50","749.62K","-0.46%"
"11/17/2025","1,023.80","1,053.49","1,055.06","1,014.11","935.20K","-3.23%"
"11/14/2025","1,057.94","1,060.00","1,065.84","1,048.26","459.50K","-1.09%"
"11/13/2025","1,069.65","1,090.37","1,093.36","1,060.60","541.76K","-2.22%"
"11/12/2025","1,093.93","1,086.40","1,098.64","1,086.12","433.24K","0.75%"
"11/11/2025","1,085.76","1,082.16","1,086.65","1,076.70","309.75K","0.29%"
"11/10/2025","1,082.63","1,087.68","1,091.95","1,071.19","413.64K","0.04%"
"11/07/2025","1,082.20","1,064.43","1,083.39","1,057.77","470.36K","1.19%"
"11/06/2025","1,069.44","1,069.64","1,079.05","1,056.07","415.72K","-0.38%"
"11/05/2025","1,073.57","1,058.99","1,082.57","1,053.63","550.29K","1.29%"
"11/04/2025","1,059.91","1,061.00","1,067.38","1,057.00","935.02K","-0.83%"
"11/03/2025","1,068.83","1,079.08","1,081.83","1,057.20","790.93K","-1.29%"
"10/31/2025","1,082.81","1,090.00","1,092.52","1,073.76","895.50K","-1.39%"
"10/30/2025","1,098.05","1,097.40","1,106.89","1,090.95","632.07K","0.00%"
"10/29/2025","1,098.00","1,117.62","1,121.81","1,096.99","861.93K","-2.40%"
"10/28/2025","1,124.95","1,131.97","1,138.65","1,124.54","390.40K","-0.56%"
"10/27/2025","1,131.31","1,146.39","1,146.39","1,128.95","726.21K","-0.47%"
"10/24/2025","1,136.63","1,141.27","1,144.50","1,133.24","560.70K","1.03%"
"10/23/2025","1,125.00","1,131.51","1,132.52","1,119.99","371.64K","-0.41%"
"10/22/2025","1,129.68","1,129.50","1,134.94","1,120.22","618.55K","-0.03%"
"10/21/2025","1,130.00","1,158.16","1,159.72","1,129.47","1.05M","-2.59%"
