"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","54.92","54.75","55.10","54.52","1.87M","0.54%"
"01/28/2026","54.62","55.01","55.47","54.26","7.90M","-1.69%"
"01/27/2026","55.56","54.56","56.12","54.56","11.35M","1.76%"
"01/26/2026","54.60","54.55","55.21","54.48","8.57M","-0.09%"
"01/23/2026","54.65","54.98","55.18","54.22","9.70M","-0.53%"
"01/22/2026","54.94","54.61","55.53","54.36","12.28M","0.81%"
"01/21/2026","54.50","54.10","54.62","53.54","15.83M","0.52%"
"01/20/2026","54.22","54.52","54.91","53.88","15.35M","-1.88%"
"01/16/2026","55.26","56.46","56.56","55.10","13.70M","-2.40%"
"01/15/2026","56.62","56.73","57.00","55.33","11.85M","-0.70%"
"01/14/2026","57.02","56.11","57.04","55.73","13.35M","1.97%"
"01/13/2026","55.92","55.94","56.56","55.54","10.92M","0.27%"
"01/12/2026","55.77","56.11","56.58","55.51","13.25M","-0.16%"
"01/09/2026","55.86","55.72","56.33","55.62","9.48M","-0.07%"
"01/08/2026","55.90","56.58","56.97","55.81","12.07M","-1.45%"
"01/07/2026","56.72","55.24","56.74","55.23","18.04M","4.23%"
"01/06/2026","54.42","53.20","54.82","53.15","16.77M","2.56%"
"01/05/2026","53.06","53.00","53.36","52.06","14.09M","-0.75%"
"01/02/2026","53.46","53.21","53.87","52.94","8.87M","-0.89%"
"12/31/2025","53.94","54.21","54.35","53.91","7.87M","-0.50%"
"12/30/2025","54.21","54.20","54.35","53.92","7.91M","0.18%"
"12/29/2025","54.11","54.64","54.73","54.00","9.16M","-0.97%"
"12/26/2025","54.64","54.76","55.04","54.38","9.57M","-0.13%"
"12/24/2025","54.71","54.40","54.74","54.19","10.04M","0.79%"
"12/23/2025","54.28","54.66","54.78","54.01","16.58M","-0.70%"
"12/22/2025","54.66","54.14","54.81","54.04","25.15M","0.87%"
"12/19/2025","54.19","53.41","54.85","53.29","40.40M","1.61%"
"12/18/2025","53.33","53.31","53.80","53.09","17.30M","-0.41%"
"12/17/2025","53.55","54.07","54.49","53.49","14.99M","-1.25%"
"12/16/2025","54.23","54.25","54.72","53.40","18.04M","-0.11%"
"12/15/2025","54.29","53.49","54.80","53.01","21.94M","3.59%"
"12/12/2025","52.41","52.27","52.99","52.01","19.05M","2.36%"
"12/11/2025","51.20","51.11","51.48","50.44","9.68M","-0.02%"
"12/10/2025","51.21","50.79","51.61","50.33","12.13M","1.11%"
"12/09/2025","50.65","51.79","52.01","50.42","12.72M","-1.97%"
"12/08/2025","51.67","52.20","52.41","51.66","15.28M","-0.92%"
"12/05/2025","52.15","51.99","52.51","51.69","15.67M","0.38%"
"12/04/2025","51.95","50.80","52.08","50.22","20.47M","1.94%"
"12/03/2025","50.96","49.94","51.34","49.42","27.12M","5.62%"
"12/02/2025","48.25","48.95","49.18","48.22","14.48M","-1.89%"
"12/01/2025","49.18","49.23","49.86","48.76","11.77M","-0.04%"
"11/28/2025","49.20","49.23","49.37","49.01","6.19M","-0.10%"
"11/26/2025","49.25","49.02","49.50","48.80","11.37M","0.41%"
"11/25/2025","49.05","48.21","49.40","48.10","15.00M","2.70%"
"11/24/2025","47.76","48.19","48.63","47.58","27.38M","3.26%"
"11/21/2025","46.25","46.17","46.99","45.52","14.18M","0.67%"
"11/20/2025","45.94","45.90","46.20","45.26","12.14M","0.33%"
"11/19/2025","45.79","47.00","47.00","45.74","14.83M","-2.70%"
"11/18/2025","47.06","46.81","47.64","46.76","14.59M","0.53%"
"11/17/2025","46.81","46.52","47.72","46.52","12.85M","0.34%"
"11/14/2025","46.65","48.27","48.37","46.12","19.78M","-4.07%"
"11/13/2025","48.63","49.02","49.99","48.48","14.50M","-0.92%"
"11/12/2025","49.08","49.00","49.72","48.72","12.72M","0.74%"
"11/11/2025","48.72","47.48","48.74","47.45","14.45M","3.09%"
"11/10/2025","47.26","46.67","47.40","46.67","10.74M","1.22%"
"11/07/2025","46.69","46.72","46.99","46.32","9.01M","0.13%"
"11/06/2025","46.63","46.41","47.00","45.96","11.59M","0.34%"
"11/05/2025","46.47","45.55","46.63","45.42","11.73M","1.93%"
"11/04/2025","45.59","45.49","46.60","45.38","16.32M","-0.93%"
"11/03/2025","46.02","46.20","46.66","45.51","20.37M","-0.11%"
"10/31/2025","46.07","45.47","46.50","45.20","21.48M","0.99%"
"10/30/2025","45.62","43.27","45.82","43.19","41.93M","7.09%"
"10/29/2025","42.60","42.82","43.15","42.52","16.15M","-0.51%"
"10/28/2025","42.82","43.39","43.39","42.75","17.96M","-1.31%"
"10/27/2025","43.39","43.82","43.82","43.21","21.38M","-1.00%"
"10/24/2025","43.83","43.93","43.94","43.58","10.11M","0.00%"
"10/23/2025","43.83","44.35","44.35","43.51","15.38M","-1.26%"
"10/22/2025","44.39","44.59","45.22","44.33","14.32M","-0.34%"
"10/21/2025","44.54","43.60","44.58","43.34","16.47M","2.18%"
"10/20/2025","43.59","43.66","43.98","43.51","11.51M","-0.09%"
"10/17/2025","43.63","43.28","43.66","43.10","13.97M","0.55%"
"10/16/2025","43.39","43.73","43.93","43.22","12.92M","-0.50%"
"10/15/2025","43.61","43.78","44.24","43.40","11.94M","-0.43%"
"10/14/2025","43.80","43.43","43.90","43.27","16.81M","0.60%"
"10/13/2025","43.54","43.68","44.23","43.29","15.51M","-0.96%"
"10/10/2025","43.96","44.78","44.78","43.77","14.02M","-1.61%"
"10/09/2025","44.68","44.82","45.19","44.53","13.38M","0.31%"
"10/08/2025","44.54","44.74","44.90","44.46","10.82M","-0.27%"
"10/07/2025","44.66","45.03","45.17","44.25","13.02M","-1.06%"
"10/06/2025","45.14","45.35","45.91","44.87","19.16M","-0.68%"
"10/03/2025","45.45","45.20","46.17","44.66","17.89M","-0.61%"
"10/02/2025","45.73","47.09","47.41","45.66","27.61M","-3.58%"
"10/01/2025","47.43","46.00","48.58","45.64","36.62M","5.17%"
