"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","474.80","473.84","477.29","473.20","1.61M","0.28%"
"01/28/2026","473.49","473.84","476.88","471.91","4.56M","-0.25%"
"01/27/2026","474.67","482.60","483.50","474.67","6.31M","-1.82%"
"01/26/2026","483.47","478.47","484.89","477.08","5.08M","0.94%"
"01/23/2026","478.97","482.26","483.42","478.44","5.44M","-1.14%"
"01/22/2026","484.49","483.26","485.88","481.72","4.05M","0.14%"
"01/21/2026","483.83","484.00","488.00","481.57","5.73M","-0.32%"
"01/20/2026","485.39","490.80","490.97","482.72","5.52M","-1.60%"
"01/16/2026","493.29","491.67","495.16","490.90","4.81M","0.14%"
"01/15/2026","492.62","492.95","495.63","490.75","4.17M","-0.11%"
"01/14/2026","493.15","494.17","497.62","492.00","5.03M","-0.42%"
"01/13/2026","495.24","497.62","498.00","493.34","4.26M","-0.69%"
"01/12/2026","498.67","497.40","500.02","495.10","4.21M","-0.09%"
"01/09/2026","499.10","498.94","500.28","496.41","3.43M","-0.13%"
"01/08/2026","499.77","494.96","504.08","494.11","4.81M","0.74%"
"01/07/2026","496.12","497.88","499.15","493.09","4.45M","-0.59%"
"01/06/2026","499.05","496.80","500.67","496.06","4.04M","0.11%"
"01/05/2026","498.52","494.94","503.43","494.50","5.15M","0.34%"
"01/02/2026","496.85","500.96","501.88","492.91","5.88M","-1.15%"
"12/31/2025","502.65","503.92","505.89","502.48","3.11M","-0.21%"
"12/30/2025","503.71","500.98","505.11","500.33","2.90M","0.53%"
"12/29/2025","501.05","499.20","501.50","497.21","3.06M","0.55%"
"12/26/2025","498.30","500.45","501.56","496.83","2.25M","-0.61%"
"12/24/2025","501.34","500.29","501.51","499.25","2.00M","0.17%"
"12/23/2025","500.51","500.48","502.33","498.15","3.68M","0.11%"
"12/22/2025","499.95","496.34","500.31","495.55","4.07M","1.10%"
"12/19/2025","494.53","503.05","503.82","494.53","14.65M","-1.76%"
"12/18/2025","503.39","502.23","505.43","501.01","3.65M","-0.17%"
"12/17/2025","504.27","499.90","505.19","499.50","4.13M","0.89%"
"12/16/2025","499.84","507.05","508.10","499.45","4.38M","-1.29%"
"12/15/2025","506.38","500.42","506.62","500.27","5.17M","1.37%"
"12/12/2025","499.52","496.71","500.00","494.50","4.11M","0.74%"
"12/11/2025","495.85","491.83","498.14","491.83","4.49M","1.11%"
"12/10/2025","490.43","490.86","495.88","488.92","4.56M","-0.20%"
