"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","113.87","114.86","116.36","113.40","3.78M","-0.29%"
"01/28/2026","114.20","114.86","115.71","113.14","11.38M","-0.51%"
"01/27/2026","114.79","114.90","115.97","113.70","11.98M","-0.03%"
"01/26/2026","114.82","113.90","115.48","113.86","11.73M","1.08%"
"01/23/2026","113.59","114.97","115.63","113.20","12.16M","-1.79%"
"01/22/2026","115.66","114.57","116.64","114.05","11.27M","1.58%"
"01/21/2026","113.86","113.14","115.59","113.14","14.20M","0.94%"
"01/20/2026","112.80","114.46","116.52","112.39","20.45M","-4.44%"
"01/16/2026","118.04","117.80","119.35","117.00","17.15M","0.49%"
"01/15/2026","117.46","113.85","117.96","112.75","18.72M","4.49%"
"01/14/2026","112.41","117.91","118.75","110.46","27.98M","-3.34%"
"01/13/2026","116.30","117.72","118.23","115.54","18.33M","-1.19%"
"01/12/2026","117.70","116.90","118.74","116.67","19.93M","-2.98%"
"01/09/2026","121.32","120.94","121.74","120.15","7.57M","0.60%"
"01/08/2026","120.60","120.88","122.42","120.16","14.80M","-0.63%"
"01/07/2026","121.37","122.31","122.58","120.69","11.60M","-0.92%"
"01/06/2026","122.50","123.68","124.17","122.21","11.94M","-0.65%"
"01/05/2026","123.30","119.31","124.10","119.30","19.99M","3.88%"
"01/02/2026","118.70","117.21","118.72","116.59","9.25M","1.72%"
"12/31/2025","116.69","117.40","117.62","116.37","6.20M","-0.44%"
"12/30/2025","117.21","118.29","118.41","116.53","8.64M","-0.78%"
"12/29/2025","118.13","120.36","120.57","117.98","11.00M","-1.90%"
"12/26/2025","120.42","121.65","122.04","119.67","10.60M","-0.94%"
"12/24/2025","121.56","119.71","122.84","119.25","13.53M","1.81%"
"12/23/2025","119.40","118.16","120.27","118.07","16.14M","1.11%"
"12/22/2025","118.09","115.21","118.65","114.87","20.18M","2.81%"
"12/19/2025","114.86","113.19","115.61","113.04","37.66M","1.80%"
"12/18/2025","112.83","112.22","113.85","112.12","21.16M","1.23%"
"12/17/2025","111.46","111.89","113.01","110.96","9.95M","0.16%"
"12/16/2025","111.28","112.80","113.38","110.55","12.42M","-1.35%"
"12/15/2025","112.80","112.45","113.52","112.22","10.69M","0.89%"
"12/12/2025","111.80","113.29","113.43","111.19","11.23M","0.05%"
"12/11/2025","111.74","111.26","112.34","111.11","10.83M","0.59%"
"12/10/2025","111.09","109.36","111.90","109.26","16.58M","1.52%"
"12/09/2025","109.43","108.80","109.85","107.01","15.82M","0.47%"
