"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","666.97","657.91","679.32","643.05","1.77M","3.68%"
"01/28/2026","643.28","637.97","647.28","628.98","2.72M","0.68%"
"01/27/2026","638.91","640.00","644.13","633.23","1.83M","0.47%"
"01/26/2026","635.92","628.00","639.00","619.26","2.53M","1.48%"
"01/23/2026","626.62","644.12","646.50","623.57","2.27M","-3.36%"
"01/22/2026","648.41","649.11","655.78","640.90","1.57M","0.47%"
"01/21/2026","645.38","633.67","647.20","627.32","2.49M","2.60%"
"01/20/2026","629.00","642.00","644.10","625.12","2.66M","-2.77%"
"01/16/2026","646.89","651.97","655.68","641.01","2.55M","-0.04%"
"01/15/2026","647.18","644.94","652.36","644.04","2.05M","1.32%"
"01/14/2026","638.75","634.10","639.73","623.07","2.11M","0.35%"
"01/13/2026","636.53","633.20","644.59","633.00","1.96M","1.07%"
"01/12/2026","629.77","614.65","630.98","612.96","1.86M","1.97%"
"01/09/2026","617.62","609.97","619.15","608.20","1.82M","1.56%"
"01/08/2026","608.13","596.52","609.58","594.17","2.08M","1.95%"
"01/07/2026","596.52","623.00","625.00","595.78","3.31M","-4.26%"
"01/06/2026","623.09","616.00","626.77","608.90","2.71M","1.13%"
"01/05/2026","616.10","607.88","621.75","606.22","3.44M","2.96%"
"01/02/2026","598.41","577.59","599.61","575.31","2.76M","4.46%"
"12/31/2025","572.87","577.30","578.94","572.05","1.16M","-0.78%"
"12/30/2025","577.39","580.01","580.98","575.51","1.22M","-0.21%"
"12/29/2025","578.61","580.09","583.97","574.64","2.59M","-0.75%"
"12/26/2025","583.00","583.21","583.83","578.65","954.40K","-0.13%"
"12/24/2025","583.76","582.66","587.13","581.00","947.04K","0.23%"
"12/23/2025","582.42","580.50","588.71","580.50","1.73M","0.00%"
"12/22/2025","582.41","584.49","585.79","575.69","2.39M","1.07%"
"12/19/2025","576.22","572.69","581.73","570.33","5.36M","1.84%"
"12/18/2025","565.83","568.50","574.66","561.91","2.19M","0.70%"
"12/17/2025","561.89","587.59","591.00","557.46","3.75M","-4.59%"
"12/16/2025","588.93","590.70","598.66","586.28","2.32M","-0.14%"
"12/15/2025","589.76","602.53","604.15","587.89","3.97M","-1.36%"
"12/12/2025","597.89","626.00","627.50","595.78","4.58M","-4.43%"
"12/11/2025","625.61","610.45","626.81","604.26","2.78M","1.67%"
"12/10/2025","615.35","600.13","617.23","598.69","2.80M","3.53%"
"12/09/2025","594.36","593.05","599.99","592.23","1.76M","-0.36%"
"12/08/2025","596.50","604.66","604.85","591.93","1.82M","-1.11%"
"12/05/2025","603.17","604.00","607.00","597.74","2.18M","0.67%"
"12/04/2025","599.15","590.18","602.72","587.00","2.31M","1.30%"
"12/03/2025","591.49","581.40","593.24","562.21","2.55M","1.55%"
"12/02/2025","582.47","571.33","585.56","569.06","2.75M","2.54%"
"12/01/2025","568.06","570.41","575.59","567.00","1.76M","-1.34%"
"11/28/2025","575.76","573.79","577.36","572.40","1.02M","0.35%"
"11/26/2025","573.73","566.61","574.88","566.02","2.00M","1.26%"
"11/25/2025","566.61","564.59","567.14","547.55","3.11M","1.25%"
"11/24/2025","559.60","552.13","565.74","550.67","4.65M","1.67%"
"11/21/2025","550.43","545.82","554.99","537.08","2.92M","0.79%"
"11/20/2025","546.13","565.95","568.86","541.00","3.20M","-1.26%"
"11/19/2025","553.11","550.00","560.91","547.64","1.88M","1.14%"
"11/18/2025","546.88","543.35","551.57","538.05","1.92M","-0.94%"
"11/17/2025","552.05","552.59","561.59","547.57","1.94M","-0.36%"
"11/14/2025","554.03","548.96","558.31","541.00","2.76M","0.09%"
"11/13/2025","553.55","572.77","576.82","544.63","3.46M","-3.40%"
"11/12/2025","573.02","570.50","581.27","570.50","2.65M","0.90%"
"11/11/2025","567.93","568.72","570.45","560.26","1.52M","-0.51%"
"11/10/2025","570.85","570.00","574.18","561.51","1.83M","1.38%"
"11/07/2025","563.10","563.55","565.58","550.33","2.32M","-1.17%"
"11/06/2025","569.78","573.20","583.99","564.23","2.25M","0.11%"
"11/05/2025","569.15","551.94","574.01","550.35","2.70M","3.94%"
"11/04/2025","547.58","565.00","566.50","545.20","3.44M","-4.03%"
"11/03/2025","570.59","575.93","576.22","565.39","2.44M","-1.16%"
"10/31/2025","577.26","584.03","587.05","571.35","2.97M","-1.01%"
"10/30/2025","583.15","577.89","593.77","575.77","2.57M","-0.40%"
"10/29/2025","585.49","558.18","596.21","558.00","6.95M","11.63%"
"10/28/2025","524.47","525.96","530.29","521.67","2.78M","-0.49%"
"10/27/2025","527.07","527.05","529.47","521.43","2.49M","0.83%"
"10/24/2025","522.73","522.86","527.23","521.02","2.39M","0.43%"
"10/23/2025","520.50","518.33","522.89","513.01","2.62M","1.28%"
"10/22/2025","513.91","525.73","525.80","510.21","4.15M","-2.05%"
"10/21/2025","524.65","525.07","533.38","522.04","2.26M","-1.23%"
"10/20/2025","531.18","529.56","534.20","526.94","2.17M","0.78%"
"10/17/2025","527.08","537.38","542.21","526.97","2.81M","-2.57%"
"10/16/2025","540.96","538.06","544.99","534.70","3.46M","1.29%"
"10/15/2025","534.05","534.20","538.45","527.21","3.45M","1.25%"
"10/14/2025","527.47","500.58","531.56","499.01","5.46M","4.50%"
"10/13/2025","504.76","502.15","506.38","495.45","2.62M","2.74%"
"10/10/2025","491.30","503.11","511.50","491.30","3.89M","-1.81%"
"10/09/2025","500.36","504.06","506.53","497.14","3.11M","-0.35%"
"10/08/2025","502.12","490.99","509.48","489.34","3.96M","3.17%"
"10/07/2025","486.71","497.93","498.38","483.55","2.14M","-1.75%"
"10/06/2025","495.38","500.42","505.59","493.04","2.63M","-0.50%"
"10/03/2025","497.85","493.25","504.48","492.52","3.00M","1.48%"
"10/02/2025","490.57","486.86","495.98","484.19","2.65M","2.03%"
"10/01/2025","480.82","474.01","483.93","471.14","2.96M","0.77%"
"09/30/2025","477.15","471.62","477.44","470.24","2.32M","1.17%"
"09/29/2025","471.61","468.08","472.49","467.46","2.89M","1.26%"
"09/26/2025","465.76","465.48","468.45","462.38","2.33M","0.44%"
"09/25/2025","463.72","464.71","468.00","459.58","2.98M","-1.29%"
"09/24/2025","469.79","472.70","476.52","468.63","2.78M","-0.31%"
"09/23/2025","471.26","473.26","485.34","468.19","3.86M","-0.18%"
"09/22/2025","472.10","467.31","473.24","459.61","3.18M","1.19%"
"09/19/2025","466.54","470.26","472.12","462.71","5.07M","-0.09%"
"09/18/2025","466.96","450.96","467.71","448.86","4.33M","3.62%"
"09/17/2025","450.66","445.00","452.34","443.00","4.51M","2.27%"
"09/16/2025","440.67","436.13","440.80","434.28","2.37M","1.09%"
"09/15/2025","435.94","433.83","438.75","430.61","2.26M","1.02%"
"09/12/2025","431.52","429.06","432.61","427.75","2.34M","0.03%"
"09/11/2025","431.38","423.92","435.79","423.32","2.74M","2.00%"
"09/10/2025","422.91","419.82","426.50","419.50","2.22M","1.15%"
"09/09/2025","418.09","423.16","423.55","416.44","1.71M","-1.11%"
"09/08/2025","422.78","422.65","423.91","416.78","1.88M","-0.07%"
"09/05/2025","423.08","420.83","424.90","417.91","1.84M","0.68%"
"09/04/2025","420.22","415.81","420.79","414.29","1.63M","1.23%"
"09/03/2025","415.12","418.13","418.13","411.37","1.50M","-0.22%"
"09/02/2025","416.05","413.91","417.20","410.52","2.33M","-0.71%"
"08/29/2025","419.04","425.41","428.10","414.37","3.67M","-3.65%"
"08/28/2025","434.91","434.91","435.98","432.63","1.65M","0.52%"
"08/27/2025","432.67","429.73","435.06","428.95","1.97M","0.33%"
"08/26/2025","431.26","431.40","432.18","427.24","2.79M","-0.24%"
"08/25/2025","432.30","435.00","436.90","432.17","1.86M","-0.77%"
"08/22/2025","435.67","421.61","437.84","420.05","3.79M","4.25%"
"08/21/2025","417.89","419.93","420.58","414.16","2.50M","-0.64%"
"08/20/2025","420.59","414.80","421.92","412.05","4.06M","1.08%"
"08/19/2025","416.09","419.31","421.88","414.06","3.54M","0.84%"
"08/18/2025","412.64","407.00","413.14","405.46","3.19M","1.19%"
"08/15/2025","407.79","415.72","416.55","407.10","3.11M","-2.33%"
"08/14/2025","417.50","409.30","419.24","407.00","3.68M","0.92%"
"08/13/2025","413.70","415.18","415.54","410.54","4.40M","0.24%"
"08/12/2025","412.71","411.00","418.19","409.64","2.77M","1.02%"
"08/11/2025","408.54","416.98","418.29","406.80","3.42M","-1.92%"
"08/08/2025","416.52","420.52","421.90","415.76","2.97M","-0.14%"
"08/07/2025","417.12","426.84","427.33","409.96","4.26M","-2.48%"
"08/06/2025","427.72","433.34","434.71","425.54","2.63M","-1.50%"
"08/05/2025","434.23","427.65","439.74","426.57","4.33M","0.12%"
"08/04/2025","433.70","430.86","436.89","429.99","4.06M","1.17%"
"08/01/2025","428.69","426.97","430.86","421.29","4.03M","-2.13%"
"07/31/2025","438.02","434.13","441.15","433.68","4.12M","0.90%"
"07/30/2025","434.12","430.00","436.83","426.43","3.17M","0.95%"
"07/29/2025","430.05","434.55","435.21","424.80","2.38M","-0.67%"
"07/28/2025","432.94","431.25","436.40","431.12","2.55M","-0.19%"
"07/25/2025","433.75","429.69","434.87","428.62","2.22M","0.98%"
"07/24/2025","429.52","427.04","430.16","424.50","2.51M","0.45%"
"07/23/2025","427.59","420.00","428.16","419.45","3.25M","2.49%"
"07/22/2025","417.19","410.38","418.52","410.38","2.19M","1.74%"
"07/21/2025","410.07","417.22","417.43","409.84","1.83M","-0.88%"
"07/18/2025","413.71","418.70","419.90","412.16","2.53M","-1.04%"
"07/17/2025","418.07","414.86","419.90","412.88","2.45M","1.26%"
"07/16/2025","412.88","405.00","413.07","403.32","3.24M","2.04%"
"07/15/2025","404.64","406.26","408.75","403.02","2.17M","-0.28%"
"07/14/2025","405.77","404.00","406.79","402.23","2.50M","-0.04%"
"07/11/2025","405.92","405.45","406.88","401.70","2.07M","-0.59%"
"07/10/2025","408.33","404.66","412.00","403.44","3.38M","1.53%"
"07/09/2025","402.18","399.72","403.76","396.88","3.10M","2.00%"
"07/08/2025","394.29","392.43","395.95","391.52","2.00M","0.71%"
"07/07/2025","391.51","398.06","398.06","388.09","3.01M","-1.60%"
"07/03/2025","397.86","398.92","402.42","397.59","1.74M","-0.14%"
"07/02/2025","398.43","392.70","398.64","389.42","2.71M","1.92%"
"07/01/2025","390.92","386.59","393.89","384.25","2.39M","0.70%"
"06/30/2025","388.21","386.31","389.15","384.81","2.79M","0.91%"
"06/27/2025","384.71","383.02","387.49","382.75","4.46M","0.74%"
"06/26/2025","381.88","374.00","382.33","373.04","2.58M","2.77%"
"06/25/2025","371.58","373.00","374.19","369.51","1.74M","-0.39%"
"06/24/2025","373.02","369.89","374.11","367.92","3.84M","1.85%"
"06/23/2025","366.23","359.92","367.10","357.73","2.93M","1.58%"
"06/20/2025","360.52","362.95","364.25","359.14","6.27M","0.20%"
"06/18/2025","359.80","357.13","364.23","356.96","2.00M","0.59%"
"06/17/2025","357.68","360.72","362.39","357.03","1.56M","-1.31%"
"06/16/2025","362.44","361.00","364.61","360.20","1.58M","1.51%"
"06/13/2025","357.05","357.23","360.38","355.70","1.61M","-1.08%"
"06/12/2025","360.96","359.85","362.00","357.87","1.57M","-0.60%"
"06/11/2025","363.14","360.94","364.29","357.74","2.55M","1.27%"
"06/10/2025","358.57","359.44","360.36","356.08","1.89M","0.14%"
"06/09/2025","358.07","355.22","360.46","353.92","2.15M","1.34%"
"06/06/2025","353.35","353.57","357.44","352.26","1.61M","1.26%"
"06/05/2025","348.96","351.00","351.51","345.85","1.75M","-0.11%"
"06/04/2025","349.33","350.30","351.73","349.33","1.62M","-0.02%"
"06/03/2025","349.40","346.00","350.84","344.92","2.61M","1.37%"
"06/02/2025","344.67","346.47","346.47","339.50","2.55M","-0.97%"
"05/30/2025","348.03","351.83","353.24","347.02","4.87M","-1.07%"
"05/29/2025","351.79","352.20","353.09","348.74","2.29M","0.66%"
"05/28/2025","349.49","352.49","352.80","348.86","1.92M","-0.57%"
"05/27/2025","351.51","349.95","353.34","346.61","2.24M","2.36%"
"05/23/2025","343.39","337.63","344.94","336.24","1.94M","-0.52%"
"05/22/2025","345.19","342.00","347.37","340.59","2.17M","0.78%"
"05/21/2025","342.51","346.64","348.42","341.65","2.09M","-2.00%"
"05/20/2025","349.49","350.84","352.46","347.48","2.27M","-0.87%"
"05/19/2025","352.57","349.70","352.96","348.54","2.28M","-0.29%"
"05/16/2025","353.58","351.54","354.22","348.24","2.56M","1.08%"
