"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","85.69","85.63","85.96","84.81","2.06M","0.82%"
"01/28/2026","85.00","85.42","86.14","84.70","5.05M","-0.89%"
"01/27/2026","85.76","85.05","85.98","84.52","4.99M","0.66%"
"01/26/2026","85.20","86.67","86.89","85.18","7.11M","-1.68%"
"01/23/2026","86.66","86.15","86.83","85.67","5.35M","0.99%"
"01/22/2026","85.81","84.84","85.95","84.50","9.16M","1.27%"
"01/21/2026","84.73","84.69","85.15","83.82","6.62M","-0.83%"
"01/20/2026","85.44","84.14","85.84","83.56","9.85M","1.09%"
"01/16/2026","84.52","84.06","84.70","83.55","6.95M","0.21%"
"01/15/2026","84.34","84.23","84.55","83.29","5.40M","-0.25%"
"01/14/2026","84.55","83.10","85.09","83.03","9.95M","1.92%"
"01/13/2026","82.96","82.36","83.23","81.50","8.41M","1.26%"
"01/12/2026","81.93","82.00","82.16","80.84","6.73M","0.55%"
"01/09/2026","81.48","80.86","81.50","79.85","6.18M","0.75%"
"01/08/2026","80.87","77.79","81.36","77.56","10.13M","4.90%"
"01/07/2026","77.09","77.89","78.33","77.01","8.68M","-0.14%"
"01/06/2026","77.20","76.74","77.31","76.51","8.39M","0.35%"
"01/05/2026","76.93","76.92","77.23","75.96","7.67M","-0.98%"
"01/02/2026","77.69","78.93","78.96","77.48","3.89M","-1.68%"
"12/31/2025","79.02","79.30","79.68","78.99","2.64M","-0.62%"
"12/30/2025","79.51","79.58","79.89","79.24","2.52M","-0.23%"
"12/29/2025","79.69","79.69","80.10","79.43","3.26M","-0.05%"
"12/26/2025","79.73","80.17","80.35","79.55","2.93M","-0.65%"
"12/24/2025","80.25","79.77","80.40","79.70","1.88M","0.40%"
"12/23/2025","79.93","78.91","80.05","78.83","5.92M","1.13%"
"12/22/2025","79.04","77.90","79.07","77.77","5.24M","0.87%"
"12/19/2025","78.36","78.05","78.70","77.80","11.42M","0.81%"
"12/18/2025","77.73","79.41","79.57","77.50","9.91M","-2.51%"
