"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","29.53","27.74","30.09","27.62","29.26M","3.96%"
"01/28/2026","28.41","28.83","29.09","28.24","46.43M","-1.01%"
"01/27/2026","28.70","29.33","29.42","28.63","40.83M","-2.48%"
"01/26/2026","29.43","29.29","29.50","29.16","43.27M","0.44%"
"01/23/2026","29.30","28.98","29.33","28.75","29.38M","0.24%"
"01/22/2026","29.23","28.88","29.44","28.86","35.62M","1.18%"
"01/21/2026","28.89","28.08","29.01","28.08","44.87M","2.59%"
"01/20/2026","28.16","27.83","28.58","27.68","50.57M","1.22%"
"01/16/2026","27.82","28.25","28.38","27.56","38.60M","-1.87%"
"01/15/2026","28.35","28.41","28.55","28.19","31.08M","-0.25%"
"01/14/2026","28.42","28.05","28.53","28.03","27.34M","-0.21%"
"01/13/2026","28.48","28.90","29.25","28.40","35.16M","-2.00%"
"01/12/2026","29.06","28.74","29.32","28.49","40.31M","2.43%"
"01/09/2026","28.37","28.13","28.55","27.78","22.32M","0.57%"
"01/08/2026","28.21","27.66","28.50","27.50","30.81M","1.11%"
"01/07/2026","27.90","27.45","27.91","27.34","36.36M","1.75%"
"01/06/2026","27.42","27.84","27.94","27.10","34.55M","-2.52%"
"01/05/2026","28.13","27.73","28.93","27.70","47.57M","1.65%"
"01/02/2026","27.67","28.00","28.06","27.52","24.28M","-1.17%"
"12/31/2025","28.00","27.98","28.19","27.86","17.23M","-0.27%"
"12/30/2025","28.08","27.92","28.20","27.89","23.01M","-6.00%"
"12/29/2025","29.87","29.66","29.90","29.52","24.03M","0.71%"
"12/26/2025","29.66","29.74","29.85","29.51","12.42M","-0.40%"
"12/24/2025","29.78","29.38","29.86","29.37","10.35M","1.36%"
"12/23/2025","29.38","29.28","29.41","29.00","21.05M","0.41%"
"12/22/2025","29.26","29.48","29.80","29.19","30.73M","-1.05%"
"12/19/2025","29.57","30.14","30.37","29.48","91.48M","-2.31%"
"12/18/2025","30.27","29.92","30.43","29.74","46.35M","-0.16%"
"12/17/2025","30.32","29.56","30.59","29.43","71.66M","1.98%"
"12/16/2025","29.73","28.21","29.84","27.88","91.88M","5.39%"
"12/15/2025","28.21","27.55","28.30","27.47","40.01M","3.60%"
"12/12/2025","27.23","27.55","27.85","27.18","28.91M","-1.34%"
"12/11/2025","27.60","27.65","27.73","27.14","46.10M","0.07%"
"12/10/2025","27.58","26.88","27.70","26.77","36.93M","2.95%"
"12/09/2025","26.79","26.65","26.93","26.45","27.47M","0.53%"
"12/08/2025","26.65","27.33","27.34","26.58","40.13M","-2.42%"
"12/05/2025","27.31","27.23","28.08","27.21","47.69M","0.40%"
"12/04/2025","27.20","27.48","27.52","27.03","40.81M","-0.84%"
"12/03/2025","27.43","26.96","27.50","26.84","27.65M","1.52%"
"12/02/2025","27.02","26.72","27.26","26.40","45.78M","1.66%"
"12/01/2025","26.58","26.50","26.84","26.45","28.31M","-0.41%"
"11/28/2025","26.69","26.48","26.88","26.45","13.63M","0.45%"
"11/26/2025","26.57","26.77","26.80","26.50","24.23M","-0.41%"
"11/25/2025","26.68","26.55","27.09","26.52","30.45M","0.83%"
"11/24/2025","26.46","27.30","27.34","26.42","51.66M","-3.25%"
"11/21/2025","27.35","26.58","27.42","26.58","31.57M","2.70%"
"11/20/2025","26.63","26.98","27.14","26.55","24.69M","-0.89%"
"11/19/2025","26.87","27.29","27.37","26.77","27.47M","-1.79%"
"11/18/2025","27.36","27.36","27.55","27.07","29.24M","0.51%"
"11/17/2025","27.22","27.50","27.62","27.15","26.58M","-1.05%"
"11/14/2025","27.51","28.02","28.23","27.25","37.84M","-1.64%"
"11/13/2025","27.97","27.76","28.28","27.76","31.96M","0.29%"
"11/12/2025","27.89","27.44","27.95","27.42","30.94M","1.60%"
"11/11/2025","27.45","27.36","27.65","27.05","53.42M","1.22%"
"11/10/2025","27.12","27.25","27.48","26.75","55.47M","-0.84%"
"11/07/2025","27.35","27.57","27.77","27.01","36.52M","0.15%"
"11/06/2025","27.31","27.93","28.06","27.28","32.82M","-2.25%"
"11/05/2025","27.94","27.44","27.99","27.38","40.25M","1.82%"
"11/04/2025","27.44","27.03","27.54","26.89","45.56M","1.70%"
