"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","218.85","220.60","222.99","217.63","1.11M","0.20%"
"01/28/2026","218.41","217.03","223.48","217.03","5.93M","0.60%"
"01/27/2026","217.11","220.01","220.25","214.57","6.19M","-1.39%"
"01/26/2026","220.18","217.87","222.11","216.52","7.28M","1.33%"
"01/23/2026","217.30","223.79","227.06","216.82","14.21M","-7.56%"
"01/22/2026","235.07","233.05","237.98","232.31","5.52M","1.76%"
"01/21/2026","231.01","229.68","233.63","229.01","6.39M","1.00%"
"01/20/2026","228.72","233.05","237.00","227.65","6.99M","-4.36%"
"01/16/2026","239.14","240.73","243.36","237.59","6.69M","0.92%"
"01/15/2026","236.97","235.20","239.82","235.20","5.33M","1.09%"
"01/14/2026","234.42","230.31","234.53","224.26","7.75M","1.30%"
"01/13/2026","231.41","234.60","235.40","230.02","8.82M","-0.77%"
"01/12/2026","233.20","229.95","236.18","228.70","15.08M","-6.42%"
"01/09/2026","249.20","256.00","256.51","249.09","3.83M","-2.53%"
"01/08/2026","255.68","253.00","257.46","252.00","3.84M","0.96%"
"01/07/2026","253.25","257.24","258.71","252.37","3.88M","-1.82%"
"01/06/2026","257.94","250.96","259.64","250.00","5.25M","2.97%"
"01/05/2026","250.51","247.55","253.35","247.45","3.35M","1.04%"
"01/02/2026","247.93","244.35","247.99","242.50","3.00M","2.30%"
"12/31/2025","242.36","245.00","245.00","242.34","2.09M","-0.66%"
"12/30/2025","243.97","246.04","246.09","243.76","1.40M","-0.72%"
"12/29/2025","245.75","249.46","249.74","245.40","2.27M","-1.43%"
"12/26/2025","249.32","247.67","249.73","247.67","1.51M","0.42%"
"12/24/2025","248.27","248.00","249.65","247.46","901.86K","0.27%"
"12/23/2025","247.60","246.34","247.91","246.22","1.85M","0.34%"
"12/22/2025","246.77","245.00","247.24","243.02","1.89M","1.25%"
"12/19/2025","243.73","241.92","244.77","240.74","5.91M","0.38%"
"12/18/2025","242.80","241.08","244.79","241.08","3.79M","1.38%"
"12/17/2025","239.50","242.63","244.82","238.87","3.44M","-0.87%"
"12/16/2025","241.61","240.37","242.50","239.09","3.94M","0.75%"
"12/15/2025","239.81","239.38","241.00","238.04","4.05M","0.82%"
"12/12/2025","237.87","240.56","241.24","236.01","2.96M","-0.59%"
"12/11/2025","239.29","237.48","243.31","237.00","4.07M","0.64%"
"12/10/2025","237.76","229.95","238.47","229.14","4.15M","3.01%"
"12/09/2025","230.81","230.59","234.96","228.63","4.14M","0.10%"
"12/08/2025","230.59","231.10","233.04","229.43","3.72M","-0.04%"
"12/05/2025","230.68","228.56","233.01","228.56","3.92M","0.42%"
"12/04/2025","229.71","226.80","230.96","226.48","4.29M","1.09%"
"12/03/2025","227.24","223.93","228.41","222.98","4.09M","1.45%"
"12/02/2025","224.00","221.54","224.89","219.87","3.97M","1.65%"
"12/01/2025","220.37","218.15","223.03","217.56","3.42M","0.59%"
"11/28/2025","219.07","218.73","220.79","217.55","1.64M","0.74%"
"11/26/2025","217.47","214.60","219.15","214.50","2.43M","1.41%"
