"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","104.47","104.51","105.66","103.64","4.64M","3.04%"
"01/28/2026","101.39","100.43","101.52","99.84","6.82M","1.52%"
"01/27/2026","99.87","98.75","99.93","98.29","7.28M","1.44%"
"01/26/2026","98.45","99.55","99.69","97.77","7.28M","0.10%"
"01/23/2026","98.35","98.38","99.41","97.69","6.97M","1.52%"
"01/22/2026","96.88","97.01","97.01","95.97","7.77M","-0.28%"
"01/21/2026","97.15","97.04","97.92","96.38","10.60M","1.71%"
"01/20/2026","95.52","97.60","98.67","94.97","10.80M","-2.72%"
"01/16/2026","98.19","97.50","98.95","97.13","8.94M","-0.75%"
"01/15/2026","98.93","98.99","100.52","98.16","7.46M","-1.41%"
"01/14/2026","100.34","96.60","101.92","96.60","13.56M","4.02%"
"01/13/2026","96.46","97.00","97.75","95.90","7.87M","1.01%"
"01/12/2026","95.50","98.61","98.73","94.68","10.23M","-2.06%"
"01/09/2026","97.51","99.14","100.30","97.28","8.94M","-1.23%"
"01/08/2026","98.72","94.40","99.86","94.33","9.61M","5.09%"
"01/07/2026","93.94","97.19","97.24","93.91","7.99M","-3.26%"
"01/06/2026","97.11","100.20","100.31","96.98","9.03M","-2.11%"
"01/05/2026","99.20","101.20","102.98","97.11","15.71M","2.59%"
"01/02/2026","96.70","93.61","96.94","93.13","7.01M","3.30%"
"12/31/2025","93.61","94.45","94.59","93.42","3.55M","-0.52%"
"12/30/2025","94.10","93.35","94.31","93.11","4.55M","1.59%"
"12/29/2025","92.63","92.00","92.73","91.70","5.26M","1.19%"
"12/26/2025","91.54","91.91","92.48","90.75","4.58M","-0.28%"
"12/24/2025","91.80","92.75","93.16","91.69","3.08M","-1.00%"
"12/23/2025","92.73","93.35","93.78","92.44","5.67M","-0.62%"
"12/22/2025","93.31","93.11","94.53","92.57","4.85M","1.49%"
"12/19/2025","91.94","92.45","93.40","91.60","14.61M","-0.31%"
"12/18/2025","92.23","94.25","94.49","92.16","7.34M","-2.87%"
"12/17/2025","94.96","91.93","95.12","91.81","9.66M","4.62%"
"12/16/2025","90.77","93.33","93.41","90.76","9.06M","-3.80%"
"12/15/2025","94.36","95.54","95.60","93.31","8.94M","-1.24%"
"12/12/2025","95.54","97.44","97.66","95.24","5.73M","-1.21%"
"12/11/2025","96.71","96.15","97.71","95.91","8.23M","-0.09%"
"12/10/2025","96.80","93.73","97.41","93.56","10.64M","3.61%"
"12/09/2025","93.43","92.63","93.63","92.18","6.18M","0.59%"
"12/08/2025","92.88","92.53","94.24","92.26","7.98M","-0.86%"
"12/05/2025","93.69","92.27","95.07","92.08","9.87M","0.61%"
"12/04/2025","93.12","91.64","93.20","91.64","7.31M","1.43%"
"12/03/2025","91.81","90.02","91.84","89.96","5.65M","2.82%"
"12/02/2025","89.29","90.08","90.39","88.58","5.14M","-1.07%"
"12/01/2025","90.26","89.13","91.18","88.78","8.53M","1.77%"
"11/28/2025","88.69","87.09","89.39","86.88","3.30M","1.84%"
"11/26/2025","87.09","86.45","87.64","86.40","5.07M","0.54%"
"11/25/2025","86.62","86.66","86.98","85.70","6.93M","-1.07%"
"11/24/2025","87.56","87.10","88.13","86.32","7.14M","0.22%"
"11/21/2025","87.37","87.40","88.49","86.54","7.05M","-0.11%"
"11/20/2025","87.47","88.49","90.59","87.44","4.91M","-0.58%"
"11/19/2025","87.98","88.00","88.50","87.04","5.09M","-1.90%"
"11/18/2025","89.68","88.40","90.35","88.10","6.88M","1.08%"
"11/17/2025","88.72","90.53","90.72","88.10","8.61M","-2.90%"
"11/14/2025","91.37","90.24","91.82","88.67","7.63M","2.18%"
"11/13/2025","89.42","89.54","90.66","88.64","8.21M","0.39%"
"11/12/2025","89.07","89.33","90.26","88.94","6.94M","-1.79%"
"11/11/2025","90.69","89.12","91.39","88.80","6.56M","2.79%"
"11/10/2025","88.23","87.33","88.54","86.40","6.07M","1.61%"
"11/07/2025","86.83","86.10","87.38","85.59","7.57M","1.37%"
"11/06/2025","85.66","87.00","88.36","85.57","13.10M","-2.33%"
"11/05/2025","87.70","87.61","88.71","87.56","6.38M","-0.24%"
"11/04/2025","87.91","87.37","88.07","87.01","5.74M","-0.75%"
"11/03/2025","88.57","88.70","88.82","87.39","5.31M","-0.33%"
"10/31/2025","88.86","87.91","89.61","87.53","5.64M","0.82%"
"10/30/2025","88.14","87.93","89.25","87.29","6.11M","0.07%"
"10/29/2025","88.08","86.85","88.41","86.74","5.48M","1.49%"
"10/28/2025","86.79","88.30","88.36","86.69","5.23M","-2.14%"
"10/27/2025","88.69","88.70","89.39","88.31","5.72M","0.75%"
"10/24/2025","88.03","90.49","90.60","87.93","7.89M","-2.28%"
"10/23/2025","90.08","89.71","90.99","89.15","7.87M","3.05%"
"10/22/2025","87.41","87.27","87.76","86.52","8.31M","1.16%"
"10/21/2025","86.41","87.25","87.68","86.24","5.90M","-0.75%"
"10/20/2025","87.06","86.70","87.25","86.20","4.64M","0.67%"
"10/17/2025","86.48","86.93","87.49","86.13","5.78M","-0.49%"
"10/16/2025","86.91","87.62","88.43","85.60","7.82M","-0.95%"
"10/15/2025","87.74","88.93","88.99","86.59","6.04M","-0.49%"
"10/14/2025","88.17","86.90","88.89","86.75","6.00M","-0.69%"
"10/13/2025","88.78","88.36","88.98","87.58","5.89M","1.30%"
"10/10/2025","87.64","90.92","91.00","87.64","7.89M","-4.69%"
"10/09/2025","91.95","94.31","95.02","91.82","6.94M","-1.92%"
"10/08/2025","93.75","95.19","95.21","93.29","5.29M","-1.55%"
"10/07/2025","95.23","94.45","95.28","92.63","4.07M","0.34%"
"10/06/2025","94.91","94.78","95.42","94.34","3.45M","0.80%"
"10/03/2025","94.16","93.66","94.71","93.48","4.32M","0.84%"
"10/02/2025","93.38","95.00","96.14","93.13","5.43M","-2.18%"
"10/01/2025","95.46","94.27","95.94","93.83","4.79M","0.92%"
"09/30/2025","94.59","94.61","95.07","93.55","7.32M","-1.31%"
"09/29/2025","95.85","97.20","97.39","94.66","8.70M","-2.67%"
"09/26/2025","98.48","97.06","99.65","96.86","6.81M","1.73%"
"09/25/2025","96.81","95.20","97.07","95.20","8.08M","1.23%"
"09/24/2025","95.63","94.49","96.64","94.00","7.94M","2.31%"
"09/23/2025","93.47","92.60","95.53","92.60","8.24M","1.59%"
"09/22/2025","92.01","91.50","92.83","91.08","5.80M","0.10%"
"09/19/2025","91.92","93.79","93.82","91.36","15.28M","-1.67%"
"09/18/2025","93.48","93.60","94.40","92.91","4.42M","-0.36%"
"09/17/2025","93.82","94.02","95.20","93.14","7.07M","-0.76%"
"09/16/2025","94.54","93.08","95.10","92.65","7.86M","2.39%"
"09/15/2025","92.33","92.70","93.05","91.69","4.93M","-0.11%"
"09/12/2025","92.43","94.76","95.07","92.42","5.17M","-1.81%"
"09/11/2025","94.13","92.83","94.16","92.68","4.72M","-0.20%"
"09/10/2025","94.32","91.86","94.33","91.69","4.35M","2.68%"
"09/09/2025","91.86","92.31","93.66","91.45","5.84M","0.50%"
"09/08/2025","91.40","93.03","93.23","90.51","9.75M","-1.67%"
"09/05/2025","92.95","94.13","94.86","92.13","8.51M","-2.94%"
"09/04/2025","95.77","94.55","96.17","93.98","5.61M","1.18%"
"09/03/2025","94.65","97.63","98.28","94.33","9.79M","-4.38%"
"09/02/2025","98.99","99.10","99.65","97.79","5.19M","0.02%"
"08/29/2025","98.97","98.29","99.32","98.06","4.59M","0.53%"
"08/28/2025","98.45","98.07","98.66","96.83","4.24M","0.56%"
"08/27/2025","97.90","97.10","98.63","96.77","5.76M","0.88%"
"08/26/2025","97.05","97.59","98.00","96.38","7.05M","-1.15%"
"08/25/2025","98.18","96.79","98.22","96.20","6.85M","1.45%"
"08/22/2025","96.78","95.23","97.39","95.18","6.34M","2.11%"
"08/21/2025","94.78","94.76","95.37","93.81","5.34M","-0.12%"
"08/20/2025","94.89","94.00","95.19","93.95","6.13M","1.21%"
"08/19/2025","93.76","93.54","94.56","93.19","5.41M","-0.26%"
"08/18/2025","94.00","94.46","94.60","93.34","4.85M","-1.40%"
"08/15/2025","95.33","95.45","96.43","94.73","6.56M","-0.33%"
"08/14/2025","95.65","95.60","95.78","94.29","10.06M","-0.24%"
"08/13/2025","95.88","94.40","95.88","94.26","7.26M","1.36%"
"08/12/2025","94.59","94.39","96.78","93.53","7.53M","1.13%"
"08/11/2025","93.53","94.61","95.50","92.87","6.49M","-0.40%"
"08/08/2025","93.91","93.56","94.93","91.70","8.77M","1.41%"
"08/07/2025","92.60","92.04","95.14","91.18","10.31M","-0.55%"
"08/06/2025","93.11","94.59","95.70","92.57","7.08M","-0.10%"
"08/05/2025","93.20","93.15","93.51","91.96","7.72M","0.38%"
"08/04/2025","92.85","92.25","93.87","92.10","9.38M","0.10%"
"08/01/2025","92.76","94.94","95.49","92.38","6.35M","-2.71%"
"07/31/2025","95.34","95.26","96.95","95.10","5.65M","-1.38%"
"07/30/2025","96.67","97.39","97.45","95.87","6.61M","-1.35%"
"07/29/2025","97.99","97.31","98.07","96.65","5.16M","1.00%"
"07/28/2025","97.02","95.69","97.32","95.69","4.63M","2.18%"
"07/25/2025","94.95","95.70","96.01","94.74","4.50M","-0.70%"
"07/24/2025","95.62","94.40","95.79","94.30","5.05M","0.61%"
"07/23/2025","95.04","93.54","95.28","93.15","6.92M","2.22%"
"07/22/2025","92.98","91.25","93.30","91.15","5.55M","2.18%"
"07/21/2025","91.00","91.74","92.15","90.90","4.44M","-0.70%"
"07/18/2025","91.64","93.36","93.75","90.92","7.97M","-1.26%"
"07/17/2025","92.81","91.10","92.97","90.77","4.90M","1.42%"
"07/16/2025","91.51","92.41","93.00","91.10","3.77M","-1.12%"
"07/15/2025","92.55","94.27","94.56","92.47","4.15M","-1.72%"
"07/14/2025","94.17","94.96","95.66","93.81","5.50M","-1.51%"
"07/11/2025","95.61","94.70","96.19","94.66","4.90M","0.25%"
"07/10/2025","95.37","94.10","95.54","93.20","4.07M","0.89%"
"07/09/2025","94.53","95.22","95.79","94.40","5.35M","-1.32%"
"07/08/2025","95.79","92.55","96.92","92.52","12.93M","3.50%"
"07/07/2025","92.55","93.35","93.72","91.24","6.29M","-1.21%"
"07/03/2025","93.68","93.95","94.77","93.55","4.33M","-0.80%"
"07/02/2025","94.44","93.12","94.48","91.91","9.44M","2.66%"
"07/01/2025","91.99","89.86","92.33","89.20","11.90M","2.51%"
"06/30/2025","89.74","89.51","90.19","89.10","6.52M","-0.48%"
"06/27/2025","90.17","90.89","90.95","89.80","7.56M","-0.79%"
"06/26/2025","90.89","89.28","90.91","89.21","6.54M","2.12%"
"06/25/2025","89.00","89.31","90.02","88.80","8.38M","-0.44%"
"06/24/2025","89.39","90.24","91.65","89.04","11.02M","-2.53%"
"06/23/2025","91.71","96.25","96.31","91.15","9.75M","-3.15%"
"06/20/2025","94.69","94.35","95.18","93.69","16.03M","0.95%"
