"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","956.28","957.99","960.30","950.68","542.39K","-0.47%"
"01/28/2026","960.78","969.51","970.10","955.61","2.47M","-0.98%"
"01/27/2026","970.28","977.68","978.00","961.71","2.08M","-0.76%"
"01/26/2026","977.67","986.43","993.00","976.35","2.46M","-0.57%"
"01/23/2026","983.25","971.44","984.85","971.01","1.68M","0.73%"
"01/22/2026","976.17","977.89","984.00","971.56","2.07M","-0.68%"
"01/21/2026","982.86","959.60","989.64","959.60","4.07M","1.93%"
"01/20/2026","964.26","958.38","969.90","954.13","3.21M","0.07%"
"01/16/2026","963.61","962.00","964.98","951.00","3.86M","0.72%"
"01/15/2026","956.75","954.54","958.28","950.00","2.19M","0.61%"
"01/14/2026","950.98","938.33","955.61","938.29","2.89M","0.96%"
"01/13/2026","941.93","938.02","942.90","929.60","2.22M","-0.12%"
"01/12/2026","943.08","920.40","944.83","917.00","3.25M","1.97%"
"01/09/2026","924.88","915.97","929.85","911.33","2.90M","1.05%"
"01/08/2026","915.31","901.13","931.67","896.00","5.21M","3.71%"
"01/07/2026","882.58","892.00","893.59","879.62","2.68M","-0.73%"
"01/06/2026","889.10","875.95","894.08","871.30","2.74M","1.53%"
"01/05/2026","875.74","863.95","878.77","860.84","2.81M","2.49%"
"01/02/2026","854.50","861.14","863.10","852.50","2.37M","-0.91%"
"12/31/2025","862.34","864.58","868.00","861.34","1.49M","-0.38%"
"12/30/2025","865.65","864.00","867.82","861.43","1.68M","-0.25%"
"12/29/2025","867.84","873.29","874.50","865.69","1.79M","-0.63%"
"12/26/2025","873.35","870.64","877.59","869.00","1.32M","0.17%"
"12/25/2025","871.86","858.60","871.86","871.86","1.82M","0.00%"
"12/24/2025","871.86","858.60","876.00","858.35","1.82M","2.00%"
"12/23/2025","854.79","849.10","854.98","846.80","1.90M","0.56%"
"12/22/2025","850.00","854.00","855.50","847.31","2.37M","-0.66%"
"12/19/2025","855.62","856.57","858.45","849.32","10.10M","-0.23%"
"12/18/2025","857.59","860.29","863.15","852.51","2.47M","-0.59%"
"12/17/2025","862.65","858.50","868.58","858.23","2.36M","0.26%"
"12/16/2025","860.39","857.43","863.59","844.06","3.84M","-0.02%"
"12/15/2025","860.56","882.11","887.49","851.40","4.77M","-2.70%"
"12/12/2025","884.47","883.30","888.62","867.12","4.81M","0.00%"
"12/11/2025","884.48","875.86","886.00","872.55","3.04M","1.15%"
"12/10/2025","874.41","887.82","889.58","871.09","3.32M","-1.58%"
"12/09/2025","888.44","886.85","889.02","881.51","1.90M","0.10%"
