"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","212.00","216.67","217.26","208.84","9.16M","-7.00%"
"01/28/2026","227.96","229.39","231.86","227.67","8.47M","-0.25%"
"01/27/2026","228.53","231.94","235.74","226.27","9.84M","-0.38%"
"01/26/2026","229.40","229.43","230.95","227.59","7.24M","0.59%"
"01/23/2026","228.05","226.78","230.85","226.65","9.41M","-0.02%"
"01/22/2026","228.09","222.24","228.72","221.11","9.48M","2.94%"
"01/21/2026","221.58","220.15","223.39","218.96","12.62M","0.69%"
"01/20/2026","220.07","223.54","227.94","219.35","13.05M","-3.10%"
"01/16/2026","227.11","232.95","232.95","226.44","13.90M","-2.75%"
"01/15/2026","233.53","237.02","238.84","231.67","11.49M","-2.52%"
"01/14/2026","239.57","239.18","242.24","236.46","10.15M","-0.62%"
"01/13/2026","241.06","257.66","260.91","240.35","13.66M","-7.07%"
"01/12/2026","259.40","259.00","261.56","255.77","4.93M","-0.21%"
"01/09/2026","259.94","260.00","261.02","256.51","5.17M","-0.23%"
"01/08/2026","260.53","264.40","265.20","260.41","5.24M","-2.10%"
"01/07/2026","266.12","263.50","267.83","263.50","5.98M","1.22%"
"01/06/2026","262.90","255.20","263.55","255.00","6.10M","2.59%"
"01/05/2026","256.26","253.62","259.59","252.31","6.42M","1.04%"
"01/02/2026","253.62","265.00","265.38","252.48","9.68M","-4.26%"
"12/31/2025","264.91","265.29","266.10","264.39","3.37M","-0.38%"
"12/30/2025","265.92","266.66","268.28","265.33","3.29M","-0.12%"
"12/29/2025","266.23","264.71","269.11","264.71","4.30M","0.06%"
"12/26/2025","266.08","264.80","267.91","264.80","2.46M","0.31%"
"12/24/2025","265.26","263.23","266.30","262.55","2.08M","0.69%"
"12/23/2025","263.43","262.71","264.24","260.52","4.75M","-0.45%"
"12/22/2025","264.63","260.62","264.63","258.40","5.66M","1.82%"
"12/19/2025","259.91","260.68","262.04","255.50","20.73M","0.80%"
"12/18/2025","257.85","258.42","260.07","256.16","5.65M","-0.11%"
"12/17/2025","258.14","256.33","261.97","256.25","6.27M","1.27%"
"12/16/2025","254.91","254.00","255.86","252.11","6.15M","0.13%"
