"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","77.66","79.05","79.46","77.66","4.36M","-1.65%"
"01/28/2026","78.96","78.93","79.04","78.01","14.02M","0.36%"
"01/27/2026","78.68","77.19","78.91","77.05","17.76M","2.17%"
"01/26/2026","77.01","76.47","77.42","75.64","24.71M","3.24%"
"01/23/2026","74.59","73.95","75.07","73.71","13.13M","0.35%"
"01/22/2026","74.33","74.11","74.78","73.88","12.88M","0.87%"
"01/21/2026","73.69","73.94","74.36","73.00","18.21M","0.46%"
"01/20/2026","73.35","74.52","74.87","73.21","24.00M","-2.45%"
"01/16/2026","75.19","75.64","75.99","74.60","25.74M","-0.08%"
"01/15/2026","75.25","75.22","76.05","74.91","18.21M","1.13%"
"01/14/2026","74.41","74.93","75.11","73.82","17.80M","-1.40%"
"01/13/2026","75.47","73.99","75.50","73.86","17.81M","1.97%"
"01/12/2026","74.01","72.91","74.05","72.80","20.99M","0.18%"
"01/09/2026","73.88","73.45","74.33","73.33","19.10M","-0.11%"
"01/08/2026","73.96","74.31","74.46","73.55","17.19M","-1.02%"
"01/07/2026","74.72","75.12","75.38","74.19","20.35M","-0.68%"
"01/06/2026","75.23","75.53","75.72","74.81","17.02M","-0.46%"
"01/05/2026","75.58","76.45","76.77","75.21","16.33M","-0.60%"
"01/02/2026","76.04","76.64","76.95","75.61","15.75M","-1.29%"
"12/31/2025","77.03","77.34","77.82","76.88","13.57M","-0.49%"
"12/30/2025","77.41","77.81","77.81","77.17","13.95M","-0.49%"
"12/29/2025","77.79","78.03","78.30","77.52","17.94M","-0.47%"
"12/26/2025","78.16","78.10","78.28","77.93","10.16M","0.18%"
"12/25/2025","78.02","78.02","78.02","78.02","9.10M","0.00%"
"12/24/2025","78.02","78.02","78.29","77.85","9.10M","0.00%"
"12/23/2025","78.02","77.61","78.12","77.59","16.71M","-0.12%"
"12/22/2025","78.11","79.01","79.14","77.96","18.02M","-0.40%"
"12/19/2025","78.42","76.97","79.17","76.79","84.88M","1.91%"
"12/18/2025","76.95","76.33","77.81","76.26","19.25M","1.25%"
"12/17/2025","76.00","77.90","78.20","75.92","26.09M","-2.00%"
"12/16/2025","77.55","78.11","78.61","77.38","17.74M","-0.89%"
"12/15/2025","78.25","78.21","78.71","77.54","17.65M","0.58%"
"12/12/2025","77.80","79.46","79.56","77.71","16.67M","-1.85%"
"12/11/2025","79.27","80.24","80.37","78.82","18.65M","-1.22%"
"12/10/2025","80.25","78.83","80.82","78.80","21.30M","0.93%"
"12/09/2025","79.51","78.79","79.88","78.51","15.74M","0.82%"
"12/08/2025","78.86","78.21","79.38","78.12","17.45M","1.14%"
"12/05/2025","77.97","77.97","78.19","77.39","12.58M","0.27%"
"12/04/2025","77.76","77.69","77.86","77.17","12.57M","0.01%"
"12/03/2025","77.75","76.58","77.82","75.65","16.09M","1.14%"
"12/02/2025","76.87","76.15","77.00","75.76","14.62M","1.09%"
"12/01/2025","76.04","76.67","76.82","75.93","15.53M","-1.17%"
"11/28/2025","76.94","76.14","76.96","75.81","7.32M","1.14%"
"11/26/2025","76.07","76.46","76.60","75.34","15.97M","-0.33%"
"11/25/2025","76.32","76.49","77.06","76.07","18.82M","0.10%"
"11/24/2025","76.24","76.49","76.88","75.68","26.69M","0.18%"
"11/21/2025","76.10","75.64","76.94","75.47","24.43M","0.87%"
"11/20/2025","75.44","79.12","80.06","75.32","27.38M","-3.76%"
"11/19/2025","78.39","77.30","78.93","77.16","24.76M","1.32%"
"11/18/2025","77.37","77.55","78.20","76.45","26.03M","-0.53%"
"11/17/2025","77.78","77.89","79.39","77.46","28.72M","-0.28%"
"11/14/2025","78.00","76.58","78.67","75.84","38.82M","0.80%"
"11/13/2025","77.38","77.95","79.50","76.65","57.64M","4.62%"
"11/12/2025","73.96","71.90","74.21","71.72","57.59M","3.14%"
"11/11/2025","71.71","71.74","72.25","71.10","21.41M","-0.53%"
"11/10/2025","72.09","71.76","72.50","71.15","22.20M","1.44%"
"11/07/2025","71.07","71.39","71.58","70.54","16.91M","0.04%"
"11/06/2025","71.04","71.71","72.23","70.69","16.47M","-1.47%"
"11/05/2025","72.10","72.22","72.58","71.34","16.11M","-0.30%"
"11/04/2025","72.32","73.90","73.99","71.98","22.35M","-2.86%"
"11/03/2025","74.45","74.61","74.84","73.62","21.73M","1.83%"
"10/31/2025","73.11","72.72","73.48","72.43","24.01M","0.27%"
"10/30/2025","72.91","71.37","73.11","71.34","18.10M","2.22%"
"10/29/2025","71.33","72.68","72.82","70.92","18.02M","-1.78%"
"10/28/2025","72.62","71.20","72.68","71.03","19.90M","1.72%"
"10/27/2025","71.39","70.54","71.46","70.43","15.99M","1.08%"
"10/24/2025","70.63","70.64","70.94","70.06","13.08M","0.51%"
"10/23/2025","70.27","70.60","71.24","70.23","14.61M","-0.55%"
"10/22/2025","70.66","70.86","70.97","69.85","14.97M","-0.08%"
"10/21/2025","70.72","70.58","71.24","70.38","15.76M","0.10%"
"10/20/2025","70.65","70.12","70.97","70.12","12.18M","0.74%"
"10/17/2025","70.13","69.06","70.77","68.95","16.29M","1.51%"
"10/16/2025","69.09","69.78","70.07","68.57","13.95M","-0.62%"
"10/15/2025","69.52","69.31","70.30","68.82","16.26M","1.25%"
"10/14/2025","68.66","67.11","69.16","66.81","15.40M","1.78%"
"10/13/2025","67.46","68.55","68.89","67.13","14.13M","-0.71%"
"10/10/2025","67.94","70.41","70.81","67.89","20.96M","-2.89%"
"10/09/2025","69.96","70.31","70.62","69.03","21.21M","-0.53%"
"10/08/2025","70.33","69.81","70.75","69.00","34.25M","1.95%"
"10/07/2025","68.99","68.92","69.22","68.44","16.49M","0.11%"
"10/06/2025","68.91","68.43","68.95","67.81","21.95M","1.46%"
"10/03/2025","67.92","67.95","68.58","67.65","11.11M","-0.57%"
"10/02/2025","68.31","69.18","69.49","68.25","15.71M","-0.64%"
"10/01/2025","68.75","67.90","68.82","67.69","15.53M","0.48%"
"09/30/2025","68.42","67.71","68.77","67.69","20.50M","1.03%"
"09/29/2025","67.72","67.71","67.95","67.44","14.36M","0.74%"
"09/26/2025","67.22","67.87","67.91","66.85","15.08M","-0.93%"
"09/25/2025","67.85","67.32","68.24","67.11","22.35M","0.79%"
"09/24/2025","67.32","67.70","67.86","66.89","17.43M","-0.33%"
"09/23/2025","67.54","67.58","68.22","67.07","22.24M","-0.31%"
"09/22/2025","67.75","67.86","68.00","67.30","20.40M","-0.67%"
"09/19/2025","68.21","68.92","68.92","67.18","47.82M","-0.68%"
"09/18/2025","68.68","67.90","68.76","67.48","20.28M","1.42%"
"09/17/2025","67.72","67.00","67.88","66.38","18.65M","1.18%"
"09/16/2025","66.93","67.02","67.38","66.55","18.02M","-0.13%"
"09/15/2025","67.02","66.50","67.20","66.35","16.20M","0.74%"
"09/12/2025","66.53","66.88","67.34","66.13","18.53M","-1.71%"
"09/11/2025","67.69","68.31","68.57","67.50","17.56M","-0.65%"
"09/10/2025","68.13","67.59","68.32","67.12","14.69M","1.17%"
"09/09/2025","67.34","66.74","67.43","66.64","11.65M","0.69%"
"09/08/2025","66.88","66.72","67.00","66.35","14.04M","-0.03%"
"09/05/2025","66.90","67.71","68.10","66.48","21.05M","-1.60%"
"09/04/2025","67.99","68.10","68.41","67.41","14.39M","0.47%"
"09/03/2025","67.67","68.04","68.13","67.33","14.32M","-0.19%"
"09/02/2025","67.80","68.11","68.32","67.38","18.93M","-1.87%"
"08/29/2025","69.09","69.11","69.46","68.83","14.95M","-0.49%"
"08/28/2025","69.43","68.36","69.58","68.35","15.26M","1.45%"
"08/27/2025","68.44","68.32","68.75","68.15","13.88M","0.07%"
"08/26/2025","68.39","67.17","68.75","67.11","28.31M","1.86%"
"08/25/2025","67.14","67.28","67.50","67.11","11.72M","-0.27%"
"08/22/2025","67.32","67.33","68.04","67.00","16.83M","0.45%"
"08/21/2025","67.02","67.10","67.22","66.47","12.46M","-0.13%"
"08/20/2025","67.11","66.82","67.18","66.54","14.95M","0.52%"
"08/19/2025","66.76","66.76","67.52","66.48","18.75M","-0.28%"
"08/18/2025","66.95","66.08","67.11","65.75","20.90M","1.13%"
"08/15/2025","66.20","68.45","68.65","65.86","40.88M","-4.47%"
"08/14/2025","69.30","68.00","70.61","67.48","39.32M","-1.56%"
"08/13/2025","70.40","71.86","72.03","70.25","38.10M","-1.37%"
"08/12/2025","71.38","70.79","71.50","70.56","21.94M","1.00%"
"08/11/2025","70.67","72.30","72.55","70.34","28.91M","-1.56%"
"08/08/2025","71.79","70.24","72.02","70.21","31.66M","2.70%"
"08/07/2025","69.90","69.80","70.14","69.21","22.58M","1.00%"
"08/06/2025","69.21","67.96","69.35","67.76","23.11M","2.50%"
"08/05/2025","67.52","68.69","68.87","67.44","15.43M","-1.42%"
"08/04/2025","68.49","67.76","68.51","67.61","17.05M","2.06%"
"08/01/2025","67.11","67.51","67.61","66.52","21.65M","-1.42%"
"07/31/2025","68.08","68.31","69.14","67.88","18.53M","-0.29%"
"07/30/2025","68.28","67.84","68.57","67.35","15.52M","0.46%"
"07/29/2025","67.96","68.23","68.72","67.82","15.26M","0.06%"
"07/28/2025","67.92","67.75","67.96","67.37","20.56M","-1.12%"
"07/25/2025","68.69","68.38","68.82","68.07","11.59M","0.59%"
"07/24/2025","68.29","68.36","68.59","67.92","13.53M","-0.48%"
"07/23/2025","68.62","68.35","68.83","68.06","13.04M","0.67%"
"07/22/2025","68.16","68.34","68.60","68.07","14.53M","-0.26%"
"07/21/2025","68.34","67.90","68.62","67.79","14.67M","0.43%"
"07/18/2025","68.05","68.78","68.84","67.96","16.15M","-0.37%"
"07/17/2025","68.30","67.55","68.47","67.51","20.40M","1.38%"
"07/16/2025","67.37","67.15","67.56","66.98","15.16M","0.28%"
"07/15/2025","67.18","67.68","67.88","67.15","13.94M","-0.94%"
"07/14/2025","67.82","67.83","68.03","67.20","16.45M","-0.19%"
"07/11/2025","67.95","68.29","68.50","67.68","14.70M","-1.18%"
"07/10/2025","68.76","69.25","69.39","68.56","15.01M","-0.74%"
"07/09/2025","69.27","68.54","69.32","68.31","23.77M","0.99%"
"07/08/2025","68.59","68.80","68.92","68.35","21.18M","-0.49%"
"07/07/2025","68.93","69.08","69.30","68.61","23.99M","-0.63%"
"07/03/2025","69.37","68.18","69.47","68.18","17.97M","1.14%"
"07/02/2025","68.59","68.68","68.94","68.18","16.66M","-0.74%"
"07/01/2025","69.10","69.38","69.54","68.64","21.94M","-0.40%"
"06/30/2025","69.38","68.83","69.78","68.75","32.56M","1.06%"
"06/27/2025","68.65","68.87","69.21","68.34","26.22M","-0.44%"
"06/26/2025","68.95","68.72","69.16","68.42","23.15M","1.11%"
"06/25/2025","68.19","67.85","68.53","67.78","19.40M","0.44%"
"06/24/2025","67.89","67.78","68.04","67.36","23.16M","0.76%"
"06/23/2025","67.38","66.35","67.49","66.21","34.03M","1.60%"
"06/20/2025","66.32","66.49","66.65","65.72","50.42M","0.73%"
"06/18/2025","65.84","65.68","66.34","65.38","22.66M","0.78%"
"06/17/2025","65.33","65.64","66.15","65.02","18.85M","-0.27%"
"06/16/2025","65.51","65.19","65.61","64.85","16.96M","2.22%"
"06/13/2025","64.09","64.59","64.72","63.93","14.63M","-1.55%"
"06/12/2025","65.10","64.32","65.21","64.11","15.16M","1.42%"
"06/11/2025","64.19","65.11","65.15","63.87","20.44M","-1.47%"
"06/10/2025","65.15","66.00","66.08","64.81","17.21M","-1.14%"
"06/09/2025","65.90","66.11","66.36","65.59","13.69M","-0.24%"
"06/06/2025","66.06","65.32","66.16","65.23","20.94M","2.23%"
"06/05/2025","64.62","64.48","64.91","64.28","17.06M","0.36%"
"06/04/2025","64.39","64.66","64.89","64.35","14.77M","0.05%"
"06/03/2025","64.36","63.79","64.46","63.72","15.16M","0.80%"
"06/02/2025","63.85","62.72","63.88","62.71","15.82M","1.28%"
"05/30/2025","63.04","62.92","63.17","62.30","25.83M","-0.02%"
"05/29/2025","63.05","63.73","63.74","62.49","13.98M","-0.46%"
"05/28/2025","63.34","63.89","63.99","63.25","13.81M","-0.64%"
"05/27/2025","63.75","63.76","63.99","63.33","17.43M","1.01%"
"05/23/2025","63.11","62.71","63.22","62.53","15.65M","-0.39%"
"05/22/2025","63.36","63.40","63.72","62.95","15.64M","0.25%"
