"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","74.15","74.00","74.92","73.65","3.01M","0.16%"
"01/28/2026","74.03","71.63","74.36","71.42","13.57M","2.82%"
"01/27/2026","72.00","75.39","77.30","70.69","44.21M","-14.15%"
"01/26/2026","83.87","83.25","84.00","82.50","9.27M","1.04%"
"01/23/2026","83.01","82.33","83.29","81.99","7.34M","0.40%"
"01/22/2026","82.68","80.99","82.68","80.76","6.42M","1.46%"
"01/21/2026","81.49","80.45","82.08","80.24","9.14M","1.75%"
"01/20/2026","80.09","78.34","80.50","77.60","10.38M","1.90%"
"01/16/2026","78.60","81.31","81.56","78.47","9.60M","-3.39%"
"01/15/2026","81.36","79.28","81.42","78.12","10.43M","2.56%"
"01/14/2026","79.33","80.86","80.96","79.21","4.49M","-1.67%"
"01/13/2026","80.68","80.36","81.05","80.04","8.10M","0.40%"
"01/12/2026","80.36","80.75","80.95","78.98","7.40M","0.07%"
"01/09/2026","80.30","80.81","81.15","79.29","7.97M","-0.37%"
"01/08/2026","80.60","79.92","81.08","79.21","7.18M","1.02%"
"01/07/2026","79.79","80.96","81.34","79.73","5.95M","-1.13%"
"01/06/2026","80.70","80.35","81.75","79.36","10.64M","0.35%"
"01/05/2026","80.42","80.00","80.82","78.22","8.09M","0.36%"
"01/02/2026","80.13","79.28","80.79","78.61","5.43M","0.97%"
"12/31/2025","79.36","79.79","79.85","79.32","3.11M","-0.61%"
"12/30/2025","79.85","80.00","80.24","79.60","3.41M","-0.21%"
"12/29/2025","80.02","79.63","80.22","79.60","4.43M","0.52%"
"12/26/2025","79.61","79.02","79.68","79.02","3.24M","0.62%"
"12/25/2025","79.12","78.12","79.12","79.12","1.85M","0.00%"
"12/24/2025","79.12","78.12","79.25","78.12","1.85M","1.38%"
"12/23/2025","78.04","78.30","78.48","77.94","4.03M","-0.41%"
"12/22/2025","78.36","77.67","78.74","77.02","5.70M","0.82%"
"12/19/2025","77.72","77.88","78.95","77.39","12.11M","-0.09%"
"12/18/2025","77.79","77.64","78.23","77.36","6.44M","-0.12%"
"12/17/2025","77.88","78.50","78.59","77.13","6.31M","-0.52%"
"12/16/2025","78.29","79.65","79.98","77.79","4.48M","-1.76%"
"12/15/2025","79.69","79.75","79.90","79.18","5.85M","0.34%"
"12/12/2025","79.42","81.00","81.08","78.68","6.53M","-1.74%"
"12/11/2025","80.83","78.99","80.89","78.27","11.07M","2.36%"
"12/10/2025","78.97","78.99","79.69","78.15","14.87M","0.93%"
"12/09/2025","78.24","79.14","80.50","78.21","12.60M","2.23%"
"12/08/2025","76.53","75.94","76.94","75.00","8.55M","1.19%"
"12/05/2025","75.63","76.73","76.89","74.98","7.77M","-1.46%"
"12/04/2025","76.75","75.12","76.79","74.14","8.87M","2.33%"
"12/03/2025","75.00","77.87","77.88","75.00","8.16M","-3.38%"
"12/02/2025","77.62","79.38","79.43","77.19","7.70M","-1.87%"
"12/01/2025","79.10","79.97","81.06","78.99","6.75M","-1.57%"
"11/28/2025","80.36","80.04","80.40","79.70","2.29M","0.63%"
"11/26/2025","79.86","78.79","80.60","78.29","7.98M","1.77%"
"11/25/2025","78.47","78.35","78.91","78.18","4.73M","0.73%"
"11/24/2025","77.90","78.76","78.95","77.21","9.84M","-0.17%"
"11/21/2025","78.03","76.54","78.26","76.23","6.49M","2.62%"
"11/20/2025","76.04","77.19","77.50","75.95","5.26M","-0.67%"
"11/19/2025","76.55","77.96","78.17","76.30","7.37M","-1.78%"
"11/18/2025","77.94","78.35","78.44","77.33","6.25M","-0.60%"
"11/17/2025","78.41","77.91","79.87","77.74","8.67M","0.77%"
"11/14/2025","77.81","79.39","79.74","77.75","5.17M","-1.80%"
"11/13/2025","79.24","79.23","79.99","78.52","7.26M","-1.27%"
"11/12/2025","80.26","79.71","81.72","79.65","9.32M","0.49%"
"11/11/2025","79.87","78.00","79.90","77.66","5.93M","3.00%"
"11/10/2025","77.54","78.05","79.58","76.50","6.91M","-1.84%"
"11/07/2025","78.99","79.05","79.44","78.29","4.31M","0.42%"
"11/06/2025","78.66","78.71","79.86","78.54","5.81M","0.14%"
"11/05/2025","78.55","77.99","79.26","77.89","6.08M","0.60%"
"11/04/2025","78.08","78.44","79.35","77.56","7.13M","-0.46%"
"11/03/2025","78.44","78.06","78.78","77.43","8.24M","0.37%"
"10/31/2025","78.15","76.65","78.22","76.12","9.68M","1.90%"
"10/30/2025","76.69","76.08","79.00","75.92","14.12M","-4.85%"
"10/29/2025","80.60","82.50","85.15","80.33","14.78M","-1.95%"
"10/28/2025","82.20","83.74","83.74","81.61","9.85M","-0.30%"
"10/27/2025","82.45","81.35","82.56","80.88","6.13M","0.63%"
