"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","172.16","173.06","174.90","171.95","6.21M","1.31%"
"01/28/2026","169.93","169.96","170.42","168.20","9.20M","0.52%"
"01/27/2026","169.05","167.77","169.35","166.65","9.78M","0.93%"
"01/26/2026","167.50","168.32","168.41","166.77","8.91M","0.47%"
"01/23/2026","166.72","167.95","168.44","166.44","8.37M","0.04%"
"01/22/2026","166.66","166.26","167.56","165.73","8.96M","-0.04%"
"01/21/2026","166.73","167.00","168.48","166.06","10.92M","0.87%"
"01/20/2026","165.30","166.71","167.65","165.15","11.14M","-0.58%"
"01/16/2026","166.26","166.59","167.29","165.81","9.75M","0.06%"
"01/15/2026","166.16","165.77","167.33","165.10","8.10M","-0.65%"
"01/14/2026","167.24","164.10","169.37","164.10","16.41M","2.06%"
"01/13/2026","163.87","163.47","166.13","163.30","12.07M","0.94%"
"01/12/2026","162.34","162.70","163.56","160.71","9.80M","0.14%"
"01/09/2026","162.11","160.56","162.70","159.93","12.55M","1.80%"
"01/08/2026","159.25","155.50","160.44","155.21","12.93M","2.61%"
"01/07/2026","155.20","157.44","158.01","154.90","13.54M","-0.86%"
"01/06/2026","156.54","164.88","165.05","156.11","20.56M","-4.46%"
"01/05/2026","163.85","165.75","165.75","159.31","35.09M","5.10%"
"01/02/2026","155.90","152.16","155.90","151.25","6.86M","2.29%"
"12/31/2025","152.41","152.39","152.55","151.67","4.95M","0.07%"
"12/30/2025","152.31","151.50","152.67","151.47","5.15M","0.87%"
"12/29/2025","150.99","151.00","151.64","150.09","5.59M","0.65%"
"12/26/2025","150.02","150.38","151.14","149.65","3.71M","-0.32%"
"12/25/2025","150.50","150.38","150.50","150.50","2.23M","0.00%"
"12/24/2025","150.50","150.38","150.99","150.10","2.23M","-0.01%"
"12/23/2025","150.51","150.04","151.08","149.85","4.66M","0.47%"
"12/22/2025","149.80","148.81","150.49","148.70","8.14M","1.39%"
"12/19/2025","147.75","147.96","149.01","147.18","21.70M","0.04%"
"12/18/2025","147.69","148.85","149.27","147.08","7.00M","-1.22%"
"12/17/2025","149.52","147.50","149.87","147.35","8.81M","1.89%"
"12/16/2025","146.75","148.54","148.82","146.49","11.29M","-2.04%"
"12/15/2025","149.80","149.84","150.10","148.43","7.50M","-0.13%"
"12/12/2025","149.99","151.15","151.55","149.63","5.85M","-0.48%"
"12/11/2025","150.72","150.83","151.94","150.10","8.41M","-0.46%"
"12/10/2025","151.41","149.18","151.80","148.70","10.98M","1.97%"
"12/09/2025","148.49","149.05","150.10","148.22","8.92M","-0.15%"
"12/08/2025","148.71","149.25","150.07","147.66","10.24M","-0.86%"
"12/05/2025","150.00","152.00","152.63","149.83","12.66M","-1.48%"
"12/04/2025","152.26","151.75","152.94","151.22","7.25M","0.44%"
"12/03/2025","151.59","151.04","152.50","150.98","8.06M","0.89%"
"12/02/2025","150.25","152.02","152.46","149.26","9.20M","-1.50%"
"12/01/2025","152.54","151.75","153.95","151.50","8.21M","0.93%"
"11/28/2025","151.13","149.46","151.52","149.26","3.85M","1.08%"
"11/26/2025","149.51","148.26","150.46","148.20","7.58M","0.66%"
"11/25/2025","148.53","148.90","149.90","148.27","11.45M","-0.81%"
"11/24/2025","149.75","149.82","150.12","147.74","14.18M","-0.15%"
"11/21/2025","149.98","150.43","151.01","148.75","9.25M","-0.22%"
"11/20/2025","150.31","152.54","153.04","150.04","7.62M","-0.92%"
"11/19/2025","151.70","151.16","151.96","150.25","7.54M","-1.25%"
"11/18/2025","153.62","152.50","154.28","151.76","10.81M","-0.78%"
"11/17/2025","154.82","157.72","157.89","154.43","8.74M","-1.78%"
"11/14/2025","157.62","156.23","157.95","154.81","8.48M","1.31%"
"11/13/2025","155.58","154.00","156.20","153.93","8.00M","1.47%"
"11/12/2025","153.32","155.58","155.79","152.08","11.67M","-1.87%"
"11/11/2025","156.24","156.75","157.99","155.90","6.36M","0.38%"
"11/10/2025","155.65","155.42","155.98","152.37","8.44M","0.41%"
"11/07/2025","155.02","153.43","156.17","153.43","9.84M","1.36%"
"11/06/2025","152.94","152.91","154.79","152.68","6.47M","0.18%"
"11/05/2025","152.66","153.53","154.40","152.66","5.89M","-0.48%"
"11/04/2025","153.39","153.43","153.76","152.15","6.98M","-0.42%"
"11/03/2025","154.04","157.41","157.72","153.57","8.51M","-2.33%"
"10/31/2025","157.72","155.73","159.18","155.11","11.14M","2.74%"
"10/30/2025","153.52","155.23","155.23","153.24","8.97M","-1.02%"
"10/29/2025","155.10","153.86","156.15","153.86","7.34M","0.63%"
"10/28/2025","154.13","154.90","156.23","153.89","5.07M","-0.74%"
"10/27/2025","155.28","155.79","156.50","154.87","4.88M","-0.18%"
"10/24/2025","155.56","157.41","157.63","155.43","4.98M","-0.64%"
"10/23/2025","156.56","158.20","158.59","156.12","9.81M","0.64%"
"10/22/2025","155.57","154.65","155.98","153.61","6.04M","1.16%"
"10/21/2025","153.79","154.74","155.29","153.21","6.30M","-0.45%"
"10/20/2025","154.48","153.43","154.72","153.18","5.68M","0.91%"
"10/17/2025","153.08","152.26","154.19","152.20","7.74M","0.90%"
"10/16/2025","151.71","152.14","152.73","150.23","5.28M","-0.26%"
"10/15/2025","152.11","152.90","154.21","151.04","5.82M","-0.18%"
"10/14/2025","152.39","149.81","153.46","149.66","6.42M","0.30%"
"10/13/2025","151.94","150.00","151.98","149.43","5.98M","2.04%"
"10/10/2025","148.90","150.70","151.35","148.89","7.80M","-1.81%"
"10/09/2025","151.64","154.13","154.97","151.56","6.18M","-1.37%"
"10/08/2025","153.74","154.36","154.68","152.84","5.68M","-0.76%"
"10/07/2025","154.91","153.65","154.96","151.28","5.48M","0.58%"
"10/06/2025","154.02","153.96","154.65","152.92","4.78M","0.31%"
"10/03/2025","153.55","153.58","154.28","152.23","7.25M","0.12%"
"10/02/2025","153.37","153.96","156.60","153.32","7.56M","-0.78%"
"10/01/2025","154.58","154.83","155.09","153.19","6.77M","-0.46%"
"09/30/2025","155.29","154.89","155.73","153.93","7.76M","-0.52%"
"09/29/2025","156.10","159.13","159.13","155.56","8.32M","-2.53%"
"09/26/2025","160.16","160.57","161.30","159.51","7.02M","-0.35%"
"09/25/2025","160.72","159.44","161.01","159.35","6.31M","0.97%"
"09/24/2025","159.18","158.32","160.49","158.25","6.29M","1.12%"
"09/23/2025","157.42","157.12","159.83","156.99","7.18M","0.88%"
"09/22/2025","156.05","155.62","157.12","155.15","5.24M","-0.10%"
"09/19/2025","156.21","158.99","158.99","155.55","16.73M","-1.66%"
"09/18/2025","158.84","160.03","160.29","158.09","6.24M","-0.78%"
"09/17/2025","160.09","159.20","160.67","158.61","5.74M","0.34%"
"09/16/2025","159.54","158.25","160.10","158.12","8.01M","1.42%"
