"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","525.26","529.43","537.26","521.58","454.08K","0.05%"
"01/28/2026","525.01","519.94","528.77","519.09","1.11M","1.12%"
"01/27/2026","519.19","517.33","521.49","513.85","1.04M","0.51%"
"01/26/2026","516.54","515.72","518.66","512.57","750.61K","0.41%"
"01/23/2026","514.43","518.26","521.63","506.42","1.59M","-1.52%"
"01/22/2026","522.38","529.26","532.61","521.16","1.16M","-1.35%"
"01/21/2026","529.51","512.69","530.20","511.13","1.62M","4.09%"
"01/20/2026","508.68","514.56","515.26","507.09","1.38M","-1.11%"
"01/16/2026","514.40","516.26","516.81","510.00","1.32M","-0.12%"
"01/15/2026","515.04","513.80","519.18","508.15","1.20M","0.57%"
"01/14/2026","512.10","503.23","516.09","501.22","1.89M","2.52%"
"01/13/2026","499.52","492.33","499.59","490.00","849.34K","1.79%"
"01/12/2026","490.74","486.32","497.02","484.33","1.55M","0.54%"
"01/09/2026","488.08","500.70","503.55","484.86","1.73M","-2.54%"
"01/08/2026","500.80","473.92","503.88","472.72","1.80M","5.39%"
"01/07/2026","475.20","487.14","489.10","473.69","1.29M","-2.22%"
"01/06/2026","485.98","465.10","487.45","464.31","1.62M","4.27%"
"01/05/2026","466.10","462.31","467.89","458.95","1.32M","-0.15%"
"01/02/2026","466.80","466.00","470.48","458.92","1.18M","0.26%"
"12/31/2025","465.57","466.99","470.23","465.57","812.08K","-0.93%"
"12/30/2025","469.94","469.88","473.20","468.37","826.71K","-0.06%"
"12/29/2025","470.24","469.49","471.75","465.79","981.69K","0.28%"
"12/26/2025","468.93","467.73","469.41","466.13","503.20K","0.32%"
"12/25/2025","467.44","466.03","467.44","467.44","343.27K","0.00%"
"12/24/2025","467.44","466.03","468.39","464.40","343.27K","0.26%"
"12/23/2025","466.21","470.39","471.18","465.41","1.08M","-0.55%"
"12/22/2025","468.77","471.50","472.74","467.65","1.17M","-0.38%"
"12/19/2025","470.57","475.10","476.50","468.92","2.99M","-0.94%"
"12/18/2025","475.05","483.04","487.13","469.77","1.93M","-1.24%"
