"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","221.60","222.95","223.54","219.76","2.68M","-1.31%"
"01/28/2026","224.54","229.00","235.15","223.09","7.76M","-4.76%"
"01/27/2026","235.75","234.02","237.27","233.00","4.30M","-0.41%"
"01/26/2026","236.71","235.99","238.68","235.20","4.47M","0.72%"
"01/23/2026","235.01","239.64","240.79","233.57","3.07M","-2.11%"
"01/22/2026","240.08","242.33","242.80","239.49","2.96M","-0.81%"
"01/21/2026","242.05","235.34","242.22","234.29","5.04M","3.29%"
"01/20/2026","234.33","233.49","238.81","231.10","4.33M","-0.70%"
"01/16/2026","235.99","238.49","240.42","235.75","3.90M","-1.63%"
"01/15/2026","239.89","236.21","240.22","235.07","2.86M","0.82%"
"01/14/2026","237.95","236.13","239.28","235.39","3.14M","1.01%"
"01/13/2026","235.56","240.00","241.26","228.14","4.25M","-1.44%"
"01/12/2026","239.00","238.29","240.74","235.99","3.62M","0.26%"
"01/09/2026","238.37","237.20","238.50","233.98","2.54M","1.43%"
"01/08/2026","235.00","233.55","237.70","233.32","2.53M","-0.24%"
"01/07/2026","235.57","236.85","238.12","233.10","2.65M","-0.43%"
"01/06/2026","236.59","235.33","240.44","234.82","2.66M","0.52%"
"01/05/2026","235.36","229.28","235.63","229.28","3.19M","2.15%"
"01/02/2026","230.40","228.81","232.10","227.23","2.34M","0.65%"
"12/31/2025","228.92","230.90","231.25","228.87","1.27M","-0.76%"
"12/30/2025","230.67","230.06","231.08","228.86","1.38M","0.02%"
"12/29/2025","230.63","229.96","231.65","229.66","1.67M","0.13%"
"12/26/2025","230.32","231.54","231.54","229.23","1.14M","-0.50%"
"12/25/2025","231.47","231.78","231.47","231.47","785.81K","0.00%"
"12/24/2025","231.47","230.74","231.73","229.79","785.81K","0.28%"
"12/23/2025","230.83","227.06","231.22","226.05","1.87M","1.24%"
"12/22/2025","228.01","225.13","228.66","224.12","2.58M","1.41%"
"12/19/2025","224.84","224.64","225.99","223.40","6.32M","0.22%"
"12/18/2025","224.35","223.66","227.52","223.37","3.50M","0.77%"
"12/17/2025","222.63","225.59","226.67","222.62","5.09M","-0.92%"
"12/16/2025","224.70","228.24","228.24","222.69","2.99M","-1.68%"
"12/15/2025","228.53","227.85","228.77","224.32","4.83M","0.97%"
"12/12/2025","226.33","232.47","232.82","226.33","4.86M","-2.60%"
"12/11/2025","232.37","230.26","232.69","229.61","5.78M","0.85%"
"12/10/2025","230.42","224.11","230.48","223.27","3.91M","3.22%"
"12/09/2025","223.23","225.34","226.79","223.19","3.37M","-0.56%"
"12/08/2025","224.48","224.87","226.76","223.26","2.95M","-0.78%"
"12/05/2025","226.25","228.03","228.48","225.00","3.18M","-0.39%"
"12/04/2025","227.13","227.70","228.88","223.76","4.09M","-0.58%"
"12/03/2025","228.46","228.00","230.65","227.60","3.76M","0.83%"
"12/02/2025","226.59","225.86","228.32","223.96","2.74M","1.09%"
