"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","110.65","109.64","110.85","108.79","3.93M","0.99%"
"01/28/2026","109.56","110.28","111.43","109.00","9.02M","-0.95%"
"01/27/2026","110.61","111.50","111.80","110.03","8.96M","-0.63%"
"01/26/2026","111.31","111.68","112.41","111.13","8.86M","0.30%"
"01/23/2026","110.98","112.68","112.95","110.55","10.82M","-1.97%"
"01/22/2026","113.21","113.17","114.29","112.17","12.44M","0.02%"
"01/21/2026","113.19","110.57","113.25","110.50","10.04M","2.58%"
"01/20/2026","110.34","109.66","111.09","108.80","9.82M","-0.77%"
"01/16/2026","111.20","113.20","113.85","111.12","12.05M","-1.95%"
"01/15/2026","113.41","113.71","114.11","112.17","7.96M","-0.11%"
"01/14/2026","113.53","112.81","113.59","112.26","8.95M","0.49%"
"01/13/2026","112.98","112.84","113.22","111.61","8.95M","0.14%"
"01/12/2026","112.82","114.63","114.94","112.55","10.83M","-2.64%"
"01/09/2026","115.88","114.31","115.98","113.90","8.94M","1.50%"
"01/08/2026","114.17","112.54","114.99","112.54","9.78M","1.12%"
"01/07/2026","112.91","114.46","114.97","112.51","8.30M","-1.45%"
"01/06/2026","114.57","113.79","114.76","113.11","7.39M","0.44%"
"01/05/2026","114.07","111.42","116.03","111.38","12.03M","1.98%"
"01/02/2026","111.85","113.44","113.44","111.62","8.91M","-1.69%"
"12/31/2025","113.77","114.77","114.89","113.55","6.61M","-0.89%"
"12/30/2025","114.79","114.10","115.28","114.10","6.88M","0.53%"
"12/29/2025","114.19","113.32","114.49","113.31","7.97M","0.55%"
"12/26/2025","113.56","114.15","114.74","113.27","5.43M","-0.80%"
"12/25/2025","114.48","112.94","114.48","114.48","4.61M","0.00%"
"12/24/2025","114.48","112.94","114.53","112.80","4.61M","1.11%"
"12/23/2025","113.22","112.29","113.31","112.04","7.63M","0.75%"
"12/22/2025","112.38","111.41","112.80","111.15","8.80M","1.02%"
"12/19/2025","111.24","112.32","113.48","110.92","21.14M","-0.56%"
"12/18/2025","111.87","110.53","112.80","110.42","12.91M","1.12%"
"12/17/2025","110.63","111.06","112.13","110.46","12.14M","-0.89%"
"12/16/2025","111.62","111.21","112.85","110.86","15.58M","1.02%"
"12/15/2025","110.49","110.70","111.55","108.55","14.32M","-0.99%"
"12/12/2025","111.60","111.73","113.34","111.15","13.06M","0.13%"
"12/11/2025","111.46","109.20","111.56","109.11","13.28M","2.42%"
"12/10/2025","108.83","107.12","109.67","106.58","11.24M","1.69%"
"12/09/2025","107.02","107.59","107.75","106.55","8.55M","-0.57%"
"12/08/2025","107.63","105.30","108.04","104.83","13.73M","2.21%"
"12/05/2025","105.30","105.18","106.17","104.56","10.68M","-0.16%"
"12/04/2025","105.47","105.84","106.21","104.51","11.47M","-0.26%"
"12/03/2025","105.74","104.90","105.85","104.47","10.18M","0.87%"
"12/02/2025","104.83","106.53","106.57","104.82","8.55M","-1.82%"
"12/01/2025","106.77","104.92","106.83","104.47","12.63M","2.20%"
"11/28/2025","104.47","103.30","104.74","103.24","6.53M","1.01%"
"11/26/2025","103.43","103.32","104.25","102.88","10.13M","0.12%"
"11/25/2025","103.31","102.49","103.92","102.00","10.57M","1.34%"
"11/24/2025","101.94","104.08","104.33","101.89","15.02M","-2.24%"
"11/21/2025","104.28","103.48","104.78","102.69","10.79M","1.54%"
"11/20/2025","102.70","105.37","105.80","102.50","12.61M","-1.88%"
"11/19/2025","104.67","106.08","107.59","104.08","12.79M","-1.51%"
"11/18/2025","106.28","105.10","107.08","105.00","11.80M","0.56%"
"11/17/2025","105.69","105.75","107.67","105.12","12.30M","-0.10%"
"11/14/2025","105.80","107.52","108.73","105.30","16.69M","-1.68%"
"11/13/2025","107.61","108.89","109.36","104.91","44.05M","-7.75%"
"11/12/2025","116.65","114.57","117.09","114.39","15.25M","1.57%"
"11/11/2025","114.85","112.65","114.97","112.42","9.71M","2.33%"
"11/10/2025","112.24","111.14","112.79","111.03","9.16M","1.35%"
"11/07/2025","110.74","110.25","111.43","110.04","8.78M","0.23%"
"11/06/2025","110.49","111.17","111.71","109.18","10.29M","-0.78%"
"11/05/2025","111.36","111.35","111.97","110.60","5.75M","-0.10%"
"11/04/2025","111.47","110.97","111.79","110.64","7.95M","-0.58%"
"11/03/2025","112.12","112.55","112.81","111.03","8.54M","-0.44%"
"10/31/2025","112.62","111.57","113.10","110.53","8.70M","0.70%"
"10/30/2025","111.84","110.13","113.58","109.55","8.31M","1.45%"
"10/29/2025","110.24","111.18","111.53","110.01","7.10M","-1.26%"
"10/28/2025","111.65","111.91","112.48","111.46","6.84M","-0.61%"
"10/27/2025","112.34","111.94","112.60","111.31","6.03M","0.59%"
"10/24/2025","111.68","113.23","113.65","111.59","6.24M","-1.19%"
"10/23/2025","113.03","113.17","113.83","111.90","6.95M","-0.04%"
"10/22/2025","113.08","114.00","114.28","112.98","7.57M","-1.07%"
"10/21/2025","114.30","112.25","114.54","112.04","8.16M","2.09%"
"10/20/2025","111.96","111.03","112.25","110.60","8.05M","1.17%"
"10/17/2025","110.67","109.74","111.46","109.44","10.09M","0.72%"
"10/16/2025","109.88","111.79","112.08","108.51","7.53M","-1.64%"
"10/15/2025","111.71","111.47","112.68","111.14","7.01M","0.49%"
"10/14/2025","111.17","109.65","111.84","109.20","7.90M","0.82%"
"10/13/2025","110.27","110.39","110.96","109.38","7.44M","0.99%"
"10/10/2025","109.19","111.53","112.68","109.11","9.64M","-1.62%"
"10/09/2025","110.99","111.82","113.00","110.88","6.50M","-0.80%"
"10/08/2025","111.89","112.81","113.20","111.65","7.07M","-0.57%"
"10/07/2025","112.53","112.63","113.40","111.80","5.41M","-0.20%"
"10/06/2025","112.75","112.69","113.11","111.45","6.14M","0.25%"
"10/03/2025","112.47","112.04","113.57","111.56","7.15M","0.29%"
"10/02/2025","112.14","112.97","113.17","110.78","8.70M","-0.72%"
"10/01/2025","112.95","114.08","116.06","112.79","9.74M","-1.35%"
"09/30/2025","114.50","114.53","114.88","113.33","9.30M","-0.24%"
"09/29/2025","114.78","113.47","115.01","113.33","9.30M","1.15%"
"09/26/2025","113.47","113.13","113.57","112.76","6.15M","0.42%"
"09/25/2025","112.99","112.71","114.05","112.65","6.37M","-0.39%"
"09/24/2025","113.43","112.41","114.15","112.20","8.76M","1.05%"
"09/23/2025","112.25","112.72","113.62","111.60","13.15M","-0.28%"
"09/22/2025","112.56","111.76","113.63","111.52","15.48M","-1.05%"
"09/19/2025","113.76","114.60","114.60","111.93","23.40M","-0.96%"
"09/18/2025","114.86","115.33","115.78","114.05","9.46M","-1.07%"
"09/17/2025","116.10","115.24","116.66","115.22","7.33M","0.76%"
"09/16/2025","115.23","115.45","115.85","114.71","6.84M","-0.34%"
"09/15/2025","115.62","116.11","116.75","115.00","7.15M","-0.29%"
"09/12/2025","115.96","116.26","117.01","115.10","7.64M","-0.96%"
"09/11/2025","117.08","115.45","117.17","114.63","8.40M","1.11%"
"09/10/2025","115.79","116.85","117.51","114.50","7.48M","-1.35%"
"09/09/2025","117.37","118.53","119.05","117.22","5.44M","-1.24%"
"09/08/2025","118.84","117.96","118.88","116.74","6.45M","0.79%"
"09/05/2025","117.91","118.91","119.78","117.70","6.67M","-0.76%"
"09/04/2025","118.81","117.08","119.68","116.76","6.95M","1.22%"
"09/03/2025","117.38","117.83","118.62","116.35","6.29M","-0.75%"
"09/02/2025","118.27","117.02","118.28","116.00","6.02M","-0.09%"
"08/29/2025","118.38","117.39","118.64","117.25","5.21M","0.63%"
"08/28/2025","117.64","118.10","118.37","116.61","5.69M","-0.38%"
"08/27/2025","118.09","117.53","118.46","117.29","4.38M","0.37%"
"08/26/2025","117.65","117.43","118.38","117.16","5.79M","-0.05%"
"08/25/2025","117.71","118.49","119.05","117.70","5.42M","-0.97%"
"08/22/2025","118.86","117.58","119.78","117.13","7.16M","2.28%"
"08/21/2025","116.21","116.57","116.66","115.53","6.34M","-0.71%"
"08/20/2025","117.04","116.07","117.89","116.00","7.05M","0.66%"
"08/19/2025","116.27","116.50","116.99","115.72","5.91M","-0.24%"
"08/18/2025","116.55","115.19","117.00","115.16","5.80M","1.01%"
"08/15/2025","115.39","116.57","116.84","115.19","6.77M","-0.79%"
"08/14/2025","116.31","115.48","116.71","114.62","6.80M","-0.28%"
"08/13/2025","116.64","114.23","117.23","114.15","9.03M","2.57%"
"08/12/2025","113.72","113.31","114.40","112.49","7.28M","1.04%"
"08/11/2025","112.55","112.91","113.15","111.54","8.53M","0.11%"
"08/08/2025","112.43","113.30","114.29","112.02","9.49M","-0.40%"
"08/07/2025","112.88","115.75","116.40","111.82","15.48M","-1.99%"
"08/06/2025","115.17","115.78","116.12","112.20","22.15M","-2.66%"
"08/05/2025","118.32","119.25","119.57","117.33","15.37M","-0.86%"
"08/04/2025","119.35","117.72","119.52","117.72","8.85M","2.37%"
"08/01/2025","116.59","117.58","117.89","115.57","8.64M","-2.12%"
"07/31/2025","119.11","119.46","119.91","118.58","7.24M","-0.36%"
