"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","120.80","120.56","121.74","120.41","1.48M","0.47%"
"01/28/2026","120.24","120.20","121.10","119.60","4.46M","-0.04%"
"01/27/2026","120.29","118.78","120.32","118.20","4.81M","1.27%"
"01/26/2026","118.78","118.16","119.70","118.01","3.96M","1.15%"
"01/23/2026","117.43","117.89","117.94","116.25","4.49M","-0.24%"
"01/22/2026","117.71","119.15","119.51","117.62","3.81M","-1.39%"
"01/21/2026","119.37","120.19","120.84","118.46","4.75M","-0.15%"
"01/20/2026","119.55","119.07","119.65","118.10","4.60M","0.28%"
"01/16/2026","119.22","118.50","119.40","117.86","4.50M","0.27%"
"01/15/2026","118.90","118.63","119.41","118.45","3.72M","0.19%"
"01/14/2026","118.68","117.57","119.29","117.35","4.56M","1.10%"
"01/13/2026","117.39","116.48","117.56","115.98","3.28M","0.58%"
"01/12/2026","116.71","116.77","117.49","116.27","3.01M","-0.08%"
"01/09/2026","116.80","117.39","118.26","116.76","2.89M","-0.44%"
"01/08/2026","117.32","116.51","118.60","116.19","3.21M","0.97%"
"01/07/2026","116.19","118.12","118.30","115.95","3.23M","-1.32%"
"01/06/2026","117.74","116.76","117.91","116.40","3.30M","0.80%"
"01/05/2026","116.81","117.00","117.00","115.10","4.31M","-0.54%"
"01/02/2026","117.44","117.18","118.07","116.38","2.62M","0.20%"
"12/31/2025","117.21","117.70","117.81","117.10","1.97M","-0.40%"
"12/30/2025","117.68","117.59","117.94","117.25","1.84M","0.14%"
"12/29/2025","117.52","117.30","118.03","117.08","2.49M","0.29%"
"12/26/2025","117.18","117.16","117.80","116.77","1.44M","-0.26%"
"12/24/2025","117.48","117.19","117.51","116.82","1.06M","0.59%"
"12/23/2025","116.79","116.37","117.19","116.12","3.63M","0.42%"
"12/22/2025","116.30","115.30","116.46","115.00","2.48M","0.64%"
"12/19/2025","115.56","117.43","117.49","115.55","6.90M","-1.69%"
"12/18/2025","117.55","117.34","117.81","116.65","4.61M","0.10%"
"12/17/2025","117.43","115.47","117.91","115.39","4.44M","1.59%"
"12/16/2025","115.59","116.98","117.22","115.24","3.22M","-0.98%"
"12/15/2025","116.73","115.81","116.95","115.41","3.80M","1.24%"
"12/12/2025","115.30","114.50","115.35","114.40","2.96M","0.80%"
"12/11/2025","114.39","114.56","115.50","113.99","2.99M","0.34%"
"12/10/2025","114.00","115.28","115.40","113.89","3.37M","-1.08%"
"12/09/2025","115.24","115.79","116.21","115.05","2.93M","0.02%"
"12/08/2025","115.22","116.20","116.42","114.13","5.22M","-1.12%"
"12/05/2025","116.52","117.84","118.18","116.40","3.98M","-1.23%"
"12/04/2025","117.97","118.38","119.44","117.84","3.15M","-0.55%"
"12/03/2025","118.62","119.87","120.56","118.37","3.33M","-0.89%"
"12/02/2025","119.69","121.10","121.14","119.37","3.55M","-0.88%"
"12/01/2025","120.75","123.21","123.46","120.67","4.05M","-2.57%"
"11/28/2025","123.94","123.15","124.13","123.04","1.44M","0.41%"
"11/26/2025","123.43","122.41","123.60","121.95","3.37M","1.23%"
"11/25/2025","121.93","122.26","122.98","121.59","2.84M","-0.13%"
"11/24/2025","122.09","123.07","123.41","121.40","3.44M","-0.58%"
"11/21/2025","122.80","122.94","123.39","121.91","4.41M","0.21%"
"11/20/2025","122.54","122.28","122.98","121.86","2.64M","0.25%"
"11/19/2025","122.23","123.88","123.88","121.45","3.41M","-1.27%"
"11/18/2025","123.80","125.65","125.93","123.79","3.77M","-1.10%"
"11/17/2025","125.18","123.33","125.21","122.86","3.88M","2.01%"
"11/14/2025","122.71","123.33","124.20","122.25","3.88M","-0.71%"
"11/13/2025","123.59","123.76","124.59","123.10","3.28M","-0.25%"
