"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","149.68","149.97","152.50","148.54","1.01M","0.85%"
"01/28/2026","148.42","147.61","149.69","146.42","3.35M","0.51%"
"01/27/2026","147.67","148.00","148.75","147.14","2.54M","-0.98%"
"01/26/2026","149.13","148.29","149.59","147.69","1.91M","0.98%"
"01/23/2026","147.68","149.76","151.38","147.67","3.03M","-1.72%"
"01/22/2026","150.26","150.82","151.74","149.32","2.06M","0.46%"
"01/21/2026","149.57","146.85","150.55","145.87","2.40M","3.00%"
"01/20/2026","145.22","148.00","148.70","144.00","2.73M","-2.84%"
"01/16/2026","149.46","148.95","150.57","148.60","3.44M","0.97%"
"01/15/2026","148.02","150.01","151.34","147.72","3.01M","-0.09%"
"01/14/2026","148.15","145.93","148.42","145.88","4.14M","1.23%"
"01/13/2026","146.35","146.04","147.44","145.46","3.82M","0.68%"
"01/12/2026","145.36","143.54","145.91","143.05","2.27M","0.80%"
"01/09/2026","144.20","143.15","144.72","142.02","2.51M","0.24%"
"01/08/2026","143.85","142.10","144.11","141.41","2.59M","1.20%"
"01/07/2026","142.15","145.77","146.30","142.13","2.78M","-2.38%"
"01/06/2026","145.62","142.45","146.19","142.10","2.98M","1.94%"
"01/05/2026","142.85","138.08","144.37","138.00","5.45M","5.18%"
"01/02/2026","135.82","133.23","136.39","132.68","1.89M","2.34%"
"12/31/2025","132.72","135.35","135.51","132.65","1.90M","-1.90%"
"12/30/2025","135.29","135.01","135.95","134.50","2.25M","0.05%"
"12/29/2025","135.22","135.31","136.23","135.00","1.01M","-0.36%"
"12/26/2025","135.71","136.14","136.24","135.12","740.09K","-0.43%"
"12/25/2025","136.30","135.46","136.30","136.30","916.10K","0.00%"
"12/24/2025","136.30","135.46","137.25","135.46","916.10K","0.60%"
"12/23/2025","135.49","134.81","136.17","134.40","1.82M","0.37%"
"12/22/2025","134.99","134.20","135.75","133.65","2.02M","1.51%"
"12/19/2025","132.98","131.79","133.27","131.45","6.23M","1.05%"
"12/18/2025","131.60","133.45","134.37","131.55","2.31M","-0.03%"
"12/17/2025","131.64","134.30","135.31","130.50","3.51M","-1.83%"
"12/16/2025","134.09","137.36","137.62","133.67","3.16M","-2.31%"
"12/15/2025","137.26","138.00","138.14","136.52","2.07M","0.45%"
"12/12/2025","136.64","139.83","140.26","136.24","2.24M","-2.10%"
"12/11/2025","139.57","137.00","140.85","137.00","2.28M","1.87%"
"12/10/2025","137.01","134.04","137.58","134.04","2.65M","1.30%"
