"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","317.18","316.18","318.74","314.45","355.95K","0.80%"
"01/28/2026","314.65","316.17","317.49","311.70","1.39M","0.71%"
"01/27/2026","312.42","305.00","314.13","303.85","2.12M","2.61%"
"01/26/2026","304.47","305.22","306.08","300.94","1.51M","0.09%"
"01/23/2026","304.21","308.75","309.81","302.42","1.74M","-1.81%"
"01/22/2026","309.81","308.24","311.47","307.19","1.41M","0.93%"
"01/21/2026","306.95","301.85","309.72","299.25","1.92M","1.97%"
"01/20/2026","301.03","305.17","309.99","300.11","2.84M","-2.32%"
"01/16/2026","308.18","313.00","314.91","307.48","2.02M","-1.59%"
"01/15/2026","313.16","316.00","318.00","312.52","1.89M","-0.12%"
"01/14/2026","313.55","309.12","313.68","308.49","1.67M","1.26%"
"01/13/2026","309.66","310.60","312.12","308.03","1.43M","-0.72%"
"01/12/2026","311.92","310.47","313.45","308.51","1.35M","-0.14%"
"01/09/2026","312.36","314.02","318.83","309.01","2.24M","1.08%"
"01/08/2026","309.01","306.28","315.40","304.55","2.50M","0.55%"
"01/07/2026","307.33","305.90","310.64","304.41","1.97M","-0.19%"
"01/06/2026","307.93","297.13","308.10","297.13","3.03M","3.52%"
"01/05/2026","297.46","292.04","298.00","291.38","1.68M","1.48%"
"01/02/2026","293.13","288.93","293.40","287.75","1.30M","1.48%"
"12/31/2025","288.86","291.12","291.48","288.80","802.29K","-0.76%"
"12/30/2025","291.06","292.58","294.65","290.77","927.68K","-0.62%"
"12/29/2025","292.89","296.00","297.00","291.11","1.36M","-1.16%"
"12/26/2025","296.33","295.33","296.64","294.21","700.50K","0.15%"
"12/24/2025","295.90","294.37","296.10","292.71","643.99K","0.23%"
"12/23/2025","295.21","293.00","295.44","290.83","1.73M","0.83%"
"12/22/2025","292.78","287.49","292.88","286.47","2.40M","1.39%"
"12/19/2025","288.78","272.06","290.56","270.80","5.70M","0.58%"
