"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","351.98","356.00","359.08","350.10","420.51K","-1.32%"
"01/28/2026","356.68","351.79","359.67","343.80","2.33M","-2.71%"
"01/27/2026","366.62","364.50","367.97","362.10","1.39M","0.85%"
"01/26/2026","363.54","363.31","364.67","360.00","1.49M","0.07%"
"01/23/2026","363.27","366.59","369.00","361.76","1.18M","-0.70%"
"01/22/2026","365.83","364.81","366.99","362.63","869.64K","0.29%"
"01/21/2026","364.78","360.18","367.01","359.75","1.08M","1.56%"
"01/20/2026","359.17","366.25","369.00","358.52","1.70M","-2.23%"
"01/16/2026","367.38","367.27","369.70","365.42","1.90M","-0.36%"
"01/15/2026","368.69","365.27","368.78","360.13","1.50M","0.73%"
"01/14/2026","366.00","361.88","366.01","359.67","1.17M","0.74%"
"01/13/2026","363.30","365.11","366.13","359.98","1.25M","0.65%"
"01/12/2026","360.94","356.35","361.10","354.29","1.55M","1.99%"
"01/09/2026","353.89","352.94","356.75","351.65","2.02M","0.70%"
"01/08/2026","351.44","356.77","367.65","350.62","2.63M","1.68%"
"01/07/2026","345.64","362.00","363.00","345.34","2.05M","-4.18%"
"01/06/2026","360.71","357.89","361.94","356.97","1.39M","1.45%"
"01/05/2026","355.56","347.92","356.32","346.03","1.91M","3.54%"
"01/02/2026","343.40","336.54","343.47","334.28","972.21K","2.00%"
"12/31/2025","336.66","340.07","340.99","336.48","522.86K","-0.83%"
"12/30/2025","339.47","340.38","341.00","339.21","662.61K","-0.30%"
"12/29/2025","340.48","341.94","343.73","340.35","783.43K","-0.50%"
"12/26/2025","342.20","344.87","346.07","341.43","464.56K","-0.92%"
"12/24/2025","345.39","343.53","346.27","343.51","314.05K","0.45%"
"12/23/2025","343.84","345.67","347.44","343.18","1.25M","-0.39%"
"12/22/2025","345.19","338.87","345.67","337.44","1.20M","1.72%"
"12/19/2025","339.36","337.87","341.42","337.00","2.66M","0.60%"
"12/18/2025","337.34","337.22","340.43","336.44","992.66K","0.28%"
"12/17/2025","336.41","336.40","339.53","333.05","1.00M","-0.32%"
"12/16/2025","337.49","342.40","342.52","334.72","966.28K","-0.94%"
"12/15/2025","340.69","338.32","341.21","337.37","1.38M","0.95%"
"12/12/2025","337.49","340.86","341.95","336.73","1.23M","-1.17%"
"12/11/2025","341.48","342.36","344.53","340.12","1.33M","-0.22%"
"12/10/2025","342.23","333.74","344.94","333.53","1.65M","2.38%"
"12/09/2025","334.27","335.97","339.15","333.62","1.03M","-0.52%"
"12/08/2025","336.01","337.95","339.05","334.35","1.44M","-0.39%"
"12/05/2025","337.31","341.01","341.50","333.99","1.32M","-1.28%"
"12/04/2025","341.70","338.19","342.83","338.19","1.41M","1.07%"
"12/03/2025","338.08","336.75","338.48","333.53","985.28K","0.68%"
"12/02/2025","335.80","334.34","337.41","332.90","980.18K","1.03%"
"12/01/2025","332.38","339.63","340.30","332.08","1.19M","-2.71%"
"11/28/2025","341.63","340.47","342.09","339.60","361.45K","0.47%"
"11/26/2025","340.04","341.14","342.30","338.79","693.45K","-0.30%"
"11/25/2025","341.07","338.79","343.06","338.79","1.50M","0.87%"
"11/24/2025","338.13","337.19","339.93","334.35","1.48M","-0.65%"
"11/21/2025","340.34","339.01","342.21","335.45","1.36M","0.27%"
"11/20/2025","339.44","347.13","349.47","338.92","892.54K","-1.06%"
"11/19/2025","343.06","339.27","343.38","336.29","1.25M","0.52%"
"11/18/2025","341.29","343.57","344.90","340.54","1.21M","-0.14%"
"11/17/2025","341.78","345.67","346.77","341.24","909.08K","-0.72%"
"11/14/2025","344.25","341.83","345.59","339.10","1.08M","0.06%"
"11/13/2025","344.06","349.58","350.00","342.75","975.80K","-1.54%"
"11/12/2025","349.45","351.90","353.74","349.38","941.42K","-0.84%"
"11/11/2025","352.42","349.46","353.49","348.09","671.00K","0.84%"
"11/10/2025","349.49","345.91","349.98","344.34","924.14K","0.91%"
"11/07/2025","346.34","341.81","347.15","338.82","1.21M","1.77%"
"11/06/2025","340.30","343.11","344.29","339.74","899.00K","-0.76%"
"11/05/2025","342.91","342.38","346.54","341.05","1.09M","-0.16%"
"11/04/2025","343.47","340.79","345.23","339.00","1.25M","0.47%"
"11/03/2025","341.87","344.00","344.05","339.44","1.35M","-0.88%"
"10/31/2025","344.90","344.56","345.43","341.35","1.52M","0.07%"
"10/30/2025","344.66","344.10","349.25","343.86","1.30M","0.34%"
"10/29/2025","343.48","345.26","346.08","339.78","1.71M","-0.92%"
"10/28/2025","346.68","352.03","352.65","346.60","926.79K","-2.00%"
"10/27/2025","353.77","353.78","355.84","346.33","1.68M","0.86%"
"10/24/2025","350.77","357.00","360.50","343.52","2.10M","2.71%"
"10/23/2025","341.50","339.56","342.70","339.25","1.20M","0.96%"
"10/22/2025","338.24","341.24","342.28","338.09","1.17M","-0.72%"
"10/21/2025","340.69","337.91","341.77","337.91","946.57K","1.04%"
"10/20/2025","337.19","333.00","337.94","331.76","823.62K","1.82%"
"10/17/2025","331.15","328.92","332.16","328.21","916.72K","0.17%"
"10/16/2025","330.59","332.44","333.38","329.51","787.85K","-0.44%"
"10/15/2025","332.04","335.93","339.99","327.33","1.02M","-1.03%"
"10/14/2025","335.50","333.63","338.78","333.00","862.65K","0.33%"
"10/13/2025","334.39","333.10","336.80","332.24","839.50K","0.44%"
"10/10/2025","332.94","340.86","342.00","332.80","927.30K","-2.87%"
"10/09/2025","342.77","346.28","347.32","342.23","798.41K","-1.06%"
"10/08/2025","346.44","345.22","347.24","343.43","774.26K","0.88%"
"10/07/2025","343.43","344.56","347.37","342.85","740.65K","-0.89%"
"10/06/2025","346.50","344.52","347.36","343.39","886.01K","0.84%"
"10/03/2025","343.62","341.97","345.22","341.25","710.63K","0.75%"
"10/02/2025","341.05","339.56","341.68","338.07","943.17K","0.09%"
"10/01/2025","340.75","337.90","341.19","336.31","1.16M","-0.07%"
"09/30/2025","341.00","332.13","341.02","332.13","1.62M","2.66%"
"09/29/2025","332.17","335.00","337.52","331.33","1.69M","0.55%"
"09/26/2025","330.34","326.43","330.63","326.21","1.04M","1.82%"
"09/25/2025","324.43","325.32","328.52","322.50","1.01M","0.25%"
"09/24/2025","323.62","321.87","325.45","321.26","1.45M","0.13%"
"09/23/2025","323.20","322.61","325.74","321.12","1.25M","0.17%"
"09/22/2025","322.66","323.00","324.28","320.91","1.35M","-0.44%"
"09/19/2025","324.08","325.36","325.71","321.92","2.65M","-0.15%"
