"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","295.78","293.04","295.82","290.35","2.53M","1.13%"
"01/28/2026","292.48","297.00","298.27","291.15","7.54M","-1.68%"
"01/27/2026","297.47","295.51","300.63","294.60","7.45M","0.82%"
"01/26/2026","295.06","293.00","298.73","290.44","7.84M","0.40%"
"01/23/2026","293.87","297.00","299.11","290.07","7.78M","-0.38%"
"01/22/2026","295.00","305.87","310.00","294.84","13.94M","-7.38%"
"01/21/2026","318.50","313.06","320.33","310.66","9.78M","1.97%"
"01/20/2026","312.34","321.75","323.88","309.66","10.37M","-3.93%"
"01/16/2026","325.12","321.72","325.55","318.70","4.11M","1.62%"
"01/15/2026","319.94","320.59","324.45","317.95","4.04M","0.33%"
"01/14/2026","318.88","324.82","326.30","316.36","3.92M","-2.55%"
"01/13/2026","327.23","325.55","328.09","325.00","2.78M","0.94%"
"01/12/2026","324.17","320.20","324.54","319.41","4.13M","0.80%"
"01/09/2026","321.59","317.11","322.30","315.19","3.51M","2.27%"
"01/08/2026","314.44","330.15","330.15","310.27","5.77M","-2.84%"
"01/07/2026","323.64","328.42","330.26","322.95","4.66M","-1.19%"
"01/06/2026","327.54","325.92","332.79","321.46","4.32M","0.99%"
"01/05/2026","324.32","323.82","329.43","323.42","5.63M","1.11%"
"01/02/2026","320.75","309.75","320.98","308.66","4.34M","4.13%"
"12/31/2025","308.03","312.14","313.36","307.87","2.56M","-1.21%"
"12/30/2025","311.79","311.94","312.93","310.56","3.16M","0.07%"
"12/29/2025","311.58","313.34","314.00","311.25","2.77M","-1.13%"
"12/26/2025","315.14","316.60","318.06","314.54","1.88M","-0.51%"
"12/24/2025","316.75","315.99","317.16","315.12","878.48K","0.39%"
"12/23/2025","315.53","315.00","317.75","314.16","2.72M","0.25%"
"12/22/2025","314.73","309.65","316.40","305.93","6.96M","2.45%"
"12/19/2025","307.21","304.23","308.43","303.64","8.86M","1.83%"
"12/18/2025","301.69","296.00","302.31","295.42","4.50M","3.25%"
"12/17/2025","292.18","299.12","301.23","291.62","3.80M","-2.19%"
"12/16/2025","298.73","297.66","301.40","296.86","5.27M","-0.75%"
"12/15/2025","300.98","300.00","308.06","299.91","6.81M","0.39%"
"12/12/2025","299.81","290.93","304.01","290.70","9.38M","3.95%"
"12/11/2025","288.42","282.08","289.36","279.64","5.97M","1.70%"
"12/10/2025","283.60","285.45","285.88","281.31","5.81M","-0.60%"
"12/09/2025","285.31","287.20","290.45","284.77","3.55M","-0.65%"
"12/08/2025","287.19","285.00","288.84","283.30","4.33M","1.14%"
"12/05/2025","283.94","291.67","293.28","282.15","5.22M","-2.71%"
"12/04/2025","291.86","288.85","294.54","287.66","4.20M","1.17%"
"12/03/2025","288.49","288.04","289.35","284.50","4.06M","-0.29%"
"12/02/2025","289.32","290.80","292.00","288.46","4.26M","0.30%"
"12/01/2025","288.45","295.75","296.40","288.03","3.76M","-3.35%"
"11/28/2025","298.45","297.01","298.68","295.26","1.38M","0.62%"
"11/26/2025","296.62","295.21","298.61","293.46","4.11M","1.08%"
"11/25/2025","293.44","294.49","295.98","286.21","4.69M","-0.21%"
"11/24/2025","294.05","289.48","294.82","287.37","11.91M","2.30%"
"11/21/2025","287.44","290.62","291.71","284.04","5.60M","-1.09%"
"11/20/2025","290.62","305.40","307.08","290.48","3.73M","-3.39%"
"11/19/2025","300.82","295.86","301.67","295.50","2.95M","1.62%"
"11/18/2025","296.01","295.83","301.08","293.75","4.05M","-1.37%"
"11/17/2025","300.13","306.82","308.82","298.55","3.08M","-1.54%"
"11/14/2025","304.82","300.97","306.80","296.25","2.80M","0.21%"
"11/13/2025","304.17","309.98","311.38","302.58","4.15M","-1.57%"
"11/12/2025","309.02","310.78","312.45","302.00","3.88M","-0.55%"
"11/11/2025","310.72","310.50","312.72","307.05","2.68M","-0.39%"
"11/10/2025","311.94","309.93","313.76","308.92","3.72M","1.52%"
"11/07/2025","307.27","304.03","308.92","297.70","4.77M","0.66%"
"11/06/2025","305.27","303.73","308.02","301.44","3.47M","0.05%"
"11/05/2025","305.11","303.45","308.54","302.50","4.71M","0.30%"
"11/04/2025","304.20","305.82","309.23","303.07","3.94M","-1.43%"
"11/03/2025","308.62","309.10","311.69","306.28","3.30M","-0.11%"
"10/31/2025","308.95","311.74","314.92","307.18","4.02M","-0.58%"
"10/30/2025","310.75","310.41","314.84","308.50","3.78M","-1.12%"
"10/29/2025","314.28","310.00","315.12","309.02","3.60M","1.45%"
"10/28/2025","309.79","312.10","316.67","309.45","3.06M","-0.97%"
"10/27/2025","312.84","307.49","313.33","304.50","4.24M","2.95%"
"10/24/2025","303.87","309.19","310.30","303.57","3.59M","-0.82%"
