"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","86.16","86.48","86.54","85.14","2.66M","1.48%"
"01/28/2026","84.90","86.07","86.07","84.43","10.07M","-1.71%"
"01/27/2026","86.38","83.63","87.31","82.41","23.63M","8.75%"
"01/26/2026","79.43","79.25","80.61","79.17","10.94M","-0.31%"
"01/23/2026","79.68","80.67","80.75","79.23","6.87M","-1.80%"
"01/22/2026","81.14","81.21","82.28","80.76","6.79M","0.26%"
"01/21/2026","80.93","79.26","81.26","79.03","8.22M","4.01%"
"01/20/2026","77.81","79.75","79.99","77.35","12.07M","-3.72%"
"01/16/2026","80.82","81.00","81.64","80.23","9.84M","-0.11%"
"01/15/2026","80.91","81.86","82.16","80.61","6.42M","-0.39%"
"01/14/2026","81.23","83.00","83.69","80.95","7.55M","-2.41%"
"01/13/2026","83.24","82.97","83.86","82.62","6.02M","0.41%"
"01/12/2026","82.90","82.20","82.90","81.06","7.38M","0.04%"
"01/09/2026","82.87","83.51","84.41","81.00","12.14M","-2.65%"
"01/08/2026","85.13","82.80","85.18","82.43","11.64M","3.93%"
"01/07/2026","81.91","82.10","82.70","81.59","6.36M","-0.33%"
"01/06/2026","82.18","82.70","82.80","81.18","7.97M","-1.17%"
"01/05/2026","83.15","80.54","83.38","79.97","10.47M","2.68%"
"01/02/2026","80.98","81.41","81.49","79.56","7.47M","-0.42%"
"12/31/2025","81.32","82.25","82.27","81.25","4.48M","-1.23%"
"12/30/2025","82.33","83.17","83.21","82.18","3.24M","-0.72%"
"12/29/2025","82.93","83.07","83.36","82.50","4.76M","-0.16%"
"12/26/2025","83.06","82.80","83.08","82.56","3.41M","0.22%"
"12/24/2025","82.88","82.75","83.15","82.60","2.37M","0.16%"
"12/23/2025","82.75","82.73","83.43","82.66","4.82M","-0.34%"
"12/22/2025","83.03","82.60","83.68","82.58","9.12M","0.83%"
"12/19/2025","82.35","81.09","82.68","81.09","23.75M","1.45%"
"12/18/2025","81.17","80.50","81.98","80.39","9.09M","0.82%"
"12/17/2025","80.51","81.18","81.49","80.39","8.86M","-1.53%"
"12/16/2025","81.76","82.07","83.04","81.18","10.73M","-0.27%"
"12/15/2025","81.98","80.65","82.02","80.58","14.36M","1.35%"
"12/12/2025","80.89","80.86","81.54","80.64","9.65M","0.05%"
"12/11/2025","80.85","80.33","81.22","80.30","9.69M","0.06%"
"12/10/2025","80.80","77.16","80.95","77.10","14.42M","4.72%"
"12/09/2025","77.16","76.08","77.35","75.89","7.97M","1.92%"
"12/08/2025","75.71","76.32","76.67","75.20","10.02M","-0.45%"
"12/05/2025","76.05","75.08","77.00","75.00","8.82M","1.01%"
"12/04/2025","75.29","75.00","76.22","74.90","12.66M","0.80%"
"12/03/2025","74.69","73.61","74.92","73.61","8.39M","1.40%"
"12/02/2025","73.66","73.15","73.84","72.09","8.97M","0.97%"
"12/01/2025","72.95","73.09","73.93","72.91","9.83M","-0.78%"
"11/28/2025","73.52","72.94","73.86","72.91","3.75M","0.98%"
"11/26/2025","72.81","72.44","73.44","72.22","7.70M","0.04%"
"11/25/2025","72.78","71.15","73.11","71.15","12.09M","2.51%"
"11/24/2025","71.00","70.48","71.22","70.25","13.77M","0.95%"
"11/21/2025","70.33","68.29","70.53","68.19","10.85M","3.37%"
"11/20/2025","68.04","68.94","69.89","67.78","9.39M","-0.67%"
"11/19/2025","68.50","68.00","69.66","67.61","10.56M","0.84%"
"11/18/2025","67.93","67.83","68.42","67.06","6.09M","0.03%"
"11/17/2025","67.91","70.31","70.46","67.49","8.03M","-3.70%"
"11/14/2025","70.52","71.36","71.76","70.44","7.10M","-1.91%"
"11/13/2025","71.89","72.16","72.87","71.48","9.00M","0.07%"
"11/12/2025","71.84","71.17","72.39","70.99","9.17M","0.87%"
"11/11/2025","71.22","71.12","71.64","70.99","6.16M","0.24%"
"11/10/2025","71.05","71.00","71.33","69.87","8.59M","0.42%"
"11/07/2025","70.75","68.95","70.76","68.57","8.41M","2.77%"
"11/06/2025","68.84","68.68","69.40","68.21","6.09M","0.10%"
"11/05/2025","68.77","67.04","69.26","67.04","7.81M","2.84%"
"11/04/2025","66.87","68.00","68.13","66.75","8.48M","-1.98%"
"11/03/2025","68.22","68.89","68.93","67.78","10.25M","-1.26%"
"10/31/2025","69.09","68.78","69.32","68.63","6.99M","0.61%"
"10/30/2025","68.67","68.66","69.78","68.39","7.56M","-0.67%"
"10/29/2025","69.13","69.61","70.24","68.59","10.58M","-1.06%"
"10/28/2025","69.87","69.46","70.19","68.66","13.07M","0.71%"
"10/27/2025","69.38","69.57","69.63","68.79","9.72M","-0.40%"
"10/24/2025","69.66","67.46","69.70","67.29","12.57M","4.20%"
"10/23/2025","66.85","67.97","68.48","66.57","12.65M","-0.68%"
"10/22/2025","67.31","67.05","67.58","65.89","18.83M","1.04%"
"10/21/2025","66.62","63.76","67.55","62.36","43.71M","14.86%"
"10/20/2025","58.00","58.54","58.56","57.68","10.18M","-0.65%"
"10/17/2025","58.38","57.73","59.17","57.55","7.96M","1.81%"
"10/16/2025","57.34","57.88","58.40","56.81","6.06M","-0.80%"
"10/15/2025","57.80","57.26","58.25","57.01","7.98M","1.14%"
"10/14/2025","57.15","54.51","57.25","54.33","9.01M","2.75%"
"10/13/2025","55.62","55.90","56.20","55.35","3.99M","0.49%"
"10/10/2025","55.35","56.24","56.55","55.22","5.45M","-1.02%"
"10/09/2025","55.92","56.78","56.87","55.91","5.44M","-0.85%"
"10/08/2025","56.40","57.33","57.70","56.24","5.43M","-1.50%"
"10/07/2025","57.26","58.63","58.66","56.63","10.70M","-1.60%"
"10/06/2025","58.19","59.94","59.94","58.13","8.92M","-3.23%"
"10/03/2025","60.13","59.32","60.61","58.67","13.03M","1.30%"
"10/02/2025","59.36","61.48","61.50","59.21","9.61M","-3.23%"
"10/01/2025","61.34","60.94","61.58","60.13","8.09M","0.61%"
"09/30/2025","60.97","61.71","62.06","60.55","6.96M","-0.25%"
"09/29/2025","61.12","61.85","62.14","60.75","9.79M","-0.20%"
"09/26/2025","61.24","60.65","61.98","60.46","8.64M","1.07%"
"09/25/2025","60.59","59.53","60.63","59.11","7.74M","1.12%"
"09/24/2025","59.92","60.10","60.15","59.06","10.76M","2.29%"
"09/23/2025","58.58","59.05","59.92","58.46","5.90M","-0.51%"
"09/22/2025","58.88","58.78","59.18","58.46","7.63M","-0.17%"
"09/19/2025","58.98","59.50","59.52","58.73","13.16M","-0.47%"
"09/18/2025","59.26","58.80","59.40","58.47","5.92M","0.90%"
"09/17/2025","58.73","58.27","59.57","58.22","6.25M","0.46%"
"09/16/2025","58.46","58.98","59.39","58.16","6.79M","-0.83%"
"09/15/2025","58.95","58.96","59.02","58.32","4.77M","0.77%"
"09/12/2025","58.50","59.85","60.00","58.47","12.02M","-0.36%"
"09/11/2025","58.71","57.54","58.71","57.47","5.81M","2.39%"
"09/10/2025","57.34","57.88","57.88","56.60","7.21M","-1.15%"
"09/09/2025","58.01","58.14","58.15","57.60","4.62M","-0.33%"
"09/08/2025","58.20","58.13","58.26","57.40","6.40M","-0.12%"
"09/05/2025","58.27","58.08","58.81","57.76","7.38M","0.21%"
"09/04/2025","58.15","58.00","58.24","57.48","5.88M","0.69%"
"09/03/2025","57.75","58.12","58.85","57.70","6.76M","-1.33%"
"09/02/2025","58.53","57.54","58.63","56.99","5.68M","-0.10%"
"08/29/2025","58.59","58.48","58.67","57.86","4.97M","0.17%"
"08/28/2025","58.49","58.99","59.00","57.76","7.21M","-0.44%"
"08/27/2025","58.75","58.56","59.23","58.42","9.85M","-0.09%"
"08/26/2025","58.80","58.24","58.94","58.10","7.31M","0.89%"
"08/25/2025","58.28","58.20","58.42","57.88","3.80M","-0.15%"
"08/22/2025","58.37","57.05","58.78","56.99","6.32M","3.29%"
"08/21/2025","56.51","56.39","56.63","55.09","8.19M","-0.46%"
"08/20/2025","56.77","56.90","57.19","56.64","7.26M","-0.51%"
"08/19/2025","57.06","56.48","57.41","56.31","5.99M","1.48%"
"08/18/2025","56.23","56.13","56.55","56.09","6.74M","-0.14%"
"08/15/2025","56.31","56.92","56.99","56.30","5.60M","-0.19%"
"08/14/2025","56.42","55.63","56.51","54.82","6.65M","1.51%"
"08/13/2025","55.58","54.48","55.78","54.16","6.94M","2.62%"
"08/12/2025","54.16","54.32","54.75","53.95","6.78M","0.28%"
"08/11/2025","54.01","53.95","54.75","53.34","6.69M","0.90%"
"08/08/2025","53.53","53.10","53.82","53.09","4.13M","1.10%"
"08/07/2025","52.95","52.80","53.43","52.54","6.03M","0.91%"
"08/06/2025","52.47","52.73","53.13","52.09","5.39M","-0.21%"
"08/05/2025","52.58","53.32","53.33","52.25","6.91M","-0.36%"
"08/04/2025","52.77","52.70","53.24","52.47","7.42M","0.46%"
"08/01/2025","52.53","52.15","53.03","51.88","9.54M","-1.52%"
"07/31/2025","53.34","52.57","54.71","52.46","14.46M","2.36%"
"07/30/2025","52.11","52.39","52.75","51.69","7.85M","0.00%"
"07/29/2025","52.11","53.79","53.79","52.08","8.44M","-2.51%"
"07/28/2025","53.45","53.22","53.94","53.03","6.95M","0.09%"
"07/25/2025","53.40","52.86","53.47","52.08","6.49M","2.03%"
"07/24/2025","52.34","52.97","53.40","52.24","10.22M","-1.49%"
"07/23/2025","53.13","49.90","53.27","49.87","25.66M","8.67%"
"07/22/2025","48.89","51.72","52.09","48.87","33.79M","-8.12%"
"07/21/2025","53.21","53.35","54.30","53.18","13.06M","-0.02%"
"07/18/2025","53.22","53.41","53.71","52.88","6.50M","0.02%"
"07/17/2025","53.21","53.30","53.89","52.89","6.83M","0.06%"
"07/16/2025","53.18","52.74","53.52","52.74","8.24M","0.89%"
"07/15/2025","52.71","53.46","53.75","52.69","7.70M","-1.16%"
"07/14/2025","53.33","53.35","53.69","52.69","6.93M","-0.11%"
"07/11/2025","53.39","52.82","53.56","52.56","7.70M","0.45%"
"07/10/2025","53.15","52.44","53.28","52.26","6.40M","1.10%"
"07/09/2025","52.57","52.63","52.79","52.26","5.32M","0.73%"
"07/08/2025","52.19","52.16","52.86","52.00","7.52M","0.71%"
"07/07/2025","51.82","52.28","53.27","51.41","11.03M","-2.02%"
"07/03/2025","52.89","52.79","53.96","52.70","6.61M","0.40%"
"07/02/2025","52.68","52.03","52.77","51.96","9.46M","1.25%"
"07/01/2025","52.03","48.82","52.13","48.80","13.75M","5.73%"
"06/30/2025","49.21","49.58","49.62","48.93","9.63M","-0.95%"
"06/27/2025","49.68","49.32","50.14","49.08","10.70M","1.06%"
"06/26/2025","49.16","48.04","49.19","47.72","10.39M","2.14%"
"06/25/2025","48.13","49.02","49.10","47.82","6.91M","-1.78%"
"06/24/2025","49.00","48.96","49.37","48.85","12.55M","0.99%"
"06/23/2025","48.52","47.96","48.58","47.63","10.63M","0.66%"
"06/20/2025","48.20","48.42","48.74","47.78","22.25M","0.23%"
"06/18/2025","48.09","48.30","48.70","47.94","8.42M","-0.39%"
"06/17/2025","48.28","48.87","49.25","48.25","9.08M","-2.01%"
