"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","331.20","340.00","342.02","326.79","11.25M","-1.51%"
"01/28/2026","336.28","336.61","337.63","332.13","17.54M","0.38%"
"01/27/2026","335.00","335.63","338.21","333.75","16.08M","0.42%"
"01/26/2026","333.59","328.20","336.35","327.49","18.50M","1.57%"
"01/23/2026","328.43","332.65","334.03","327.97","19.11M","-0.73%"
"01/22/2026","330.84","334.27","335.21","328.88","19.90M","0.75%"
"01/21/2026","328.38","321.10","332.73","319.54","22.79M","1.93%"
"01/20/2026","322.16","321.24","328.09","320.89","27.17M","-2.48%"
"01/16/2026","330.34","334.93","335.24","328.17","21.87M","-0.85%"
"01/15/2026","333.16","338.05","338.13","331.29","16.42M","-0.94%"
"01/14/2026","336.31","334.98","337.03","331.14","17.84M","-0.04%"
"01/13/2026","336.43","335.28","341.20","334.35","24.62M","1.11%"
"01/12/2026","332.73","326.50","334.44","325.51","23.89M","1.09%"
"01/09/2026","329.14","327.49","331.48","326.25","17.92M","0.96%"
"01/08/2026","326.01","329.27","330.54","321.99","21.79M","1.11%"
"01/07/2026","322.43","314.57","326.46","314.50","24.68M","2.51%"
"01/06/2026","314.55","317.31","321.56","312.34","18.99M","-0.87%"
"01/05/2026","317.32","317.70","319.25","315.25","19.93M","0.63%"
"01/02/2026","315.32","317.59","322.91","310.65","22.04M","0.48%"
"12/31/2025","313.80","313.37","315.39","312.20","10.82M","-0.24%"
"12/30/2025","314.55","313.41","317.70","313.25","11.05M","0.05%"
"12/29/2025","314.39","312.82","314.97","311.90","12.32M","-0.18%"
"12/26/2025","314.96","315.92","316.56","313.72","6.73M","-0.22%"
"12/24/2025","315.67","316.15","316.29","313.32","6.14M","0.00%"
"12/23/2025","315.68","311.14","316.30","310.75","13.96M","1.40%"
"12/22/2025","311.33","311.23","311.70","306.59","14.09M","0.88%"
"12/19/2025","308.61","303.27","308.99","302.34","45.23M","1.60%"
"12/18/2025","303.75","303.06","305.26","300.63","21.04M","1.91%"
"12/17/2025","298.06","309.01","309.20","297.45","29.12M","-3.14%"
"12/16/2025","307.73","306.00","311.85","303.83","21.29M","-0.51%"
"12/15/2025","309.32","312.63","312.70","305.74","22.03M","-0.39%"
"12/12/2025","310.52","314.80","316.14","306.96","21.26M","-1.01%"
"12/11/2025","313.70","321.10","321.99","309.88","25.91M","-2.27%"
"12/10/2025","321.00","316.62","321.87","315.40","22.76M","1.02%"
"12/09/2025","317.75","313.10","318.71","312.62","14.15M","1.05%"
"12/08/2025","314.45","321.03","321.23","311.91","22.01M","-2.37%"
"12/05/2025","322.09","320.00","323.83","319.98","15.72M","1.16%"
"12/04/2025","318.39","323.05","323.10","315.59","20.83M","-0.70%"
"12/03/2025","320.62","316.03","322.04","314.28","32.29M","1.46%"
"12/02/2025","316.02","316.90","318.60","314.22","24.67M","0.29%"
"12/01/2025","315.12","317.48","319.63","313.98","28.52M","-1.56%"
"11/28/2025","320.12","323.43","326.88","316.94","19.70M","-0.05%"
"11/26/2025","320.28","320.78","324.99","317.20","29.84M","-1.04%"
"11/25/2025","323.64","326.80","328.67","317.82","50.90M","1.62%"
"11/24/2025","318.47","311.01","319.80","309.40","55.31M","6.28%"
"11/21/2025","299.65","296.87","303.96","294.36","43.67M","3.33%"
"11/20/2025","289.98","304.74","306.89","289.17","34.80M","-1.03%"
"11/19/2025","292.99","287.68","304.25","287.67","43.12M","2.82%"
"11/18/2025","284.96","288.48","289.43","279.01","29.70M","-0.22%"
"11/17/2025","285.60","286.40","294.52","284.23","34.29M","3.11%"
"11/14/2025","276.98","271.89","279.15","271.41","18.33M","-0.77%"
"11/13/2025","279.12","282.98","283.51","278.00","18.06M","-2.89%"
"11/12/2025","287.43","292.08","292.36","284.38","17.00M","-1.48%"
"11/11/2025","291.74","288.20","292.34","287.88","14.16M","0.40%"
"11/10/2025","290.59","285.27","291.46","283.54","19.51M","3.89%"
"11/07/2025","279.70","284.21","284.50","275.74","21.99M","-1.98%"
"11/06/2025","285.34","285.73","288.81","281.62","23.10M","0.21%"
"11/05/2025","284.75","279.38","286.70","277.88","20.06M","2.41%"
