"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","929.52","939.59","954.77","925.13","1.08M","-0.78%"
"01/28/2026","936.81","939.59","937.17","922.76","1.67M","0.76%"
"01/27/2026","929.72","924.00","933.40","920.39","2.01M","-0.23%"
"01/26/2026","931.86","918.41","933.73","917.98","2.66M","1.41%"
"01/23/2026","918.88","934.08","937.19","917.05","3.87M","-3.75%"
"01/22/2026","954.65","960.06","970.95","950.81","2.47M","0.17%"
"01/21/2026","953.01","944.00","968.92","943.45","2.25M","1.02%"
"01/20/2026","943.37","946.38","962.60","939.10","2.63M","-1.94%"
"01/16/2026","962.00","973.00","984.70","957.00","3.07M","-1.42%"
"01/15/2026","975.86","924.90","981.26","924.67","3.77M","4.63%"
"01/14/2026","932.67","932.30","938.15","917.90","2.51M","-0.58%"
"01/13/2026","938.15","947.32","949.94","931.00","1.97M","-1.20%"
"01/12/2026","949.55","934.00","950.56","929.11","2.18M","1.13%"
"01/09/2026","938.98","938.77","946.14","932.70","1.33M","0.44%"
"01/08/2026","934.83","935.47","945.19","932.00","1.96M","-0.66%"
"01/07/2026","941.02","956.88","958.25","934.00","2.68M","-1.51%"
"01/06/2026","955.47","949.41","958.57","943.25","1.97M","0.74%"
"01/05/2026","948.44","914.40","961.69","912.60","3.74M","3.73%"
"01/02/2026","914.34","884.00","914.44","880.75","2.82M","4.02%"
"12/31/2025","879.00","884.10","886.00","876.79","1.22M","-0.61%"
"12/30/2025","884.42","894.74","895.02","881.18","1.83M","-0.87%"
"12/29/2025","892.18","906.45","906.48","891.56","1.58M","-1.64%"
"12/26/2025","907.04","911.00","913.32","905.30","995.33K","-0.41%"
"12/24/2025","910.78","901.16","911.88","898.70","771.78K","1.01%"
"12/23/2025","901.71","900.34","905.92","893.70","1.21M","0.30%"
"12/22/2025","899.00","896.52","905.48","894.84","1.44M","0.62%"
"12/19/2025","893.48","883.17","899.75","881.95","4.81M","1.96%"
"12/18/2025","876.30","880.50","892.78","874.70","2.07M","0.46%"
"12/17/2025","872.33","886.33","895.97","868.44","2.21M","-0.78%"
"12/16/2025","879.15","890.23","896.24","874.32","2.16M","-1.17%"
"12/15/2025","889.59","892.00","904.47","889.59","1.98M","0.18%"
"12/12/2025","887.96","913.75","914.99","886.99","2.72M","-2.53%"
"12/11/2025","911.03","889.98","919.10","888.00","2.68M","2.45%"
"12/10/2025","889.24","871.35","897.20","869.27","2.39M","1.44%"
"12/09/2025","876.58","866.00","883.72","864.31","2.27M","1.14%"
"12/08/2025","866.69","861.10","870.56","856.30","2.24M","1.42%"
"12/05/2025","854.56","837.26","856.20","836.52","2.28M","2.00%"
"12/04/2025","837.83","835.53","843.99","834.50","1.67M","0.15%"
"12/03/2025","836.57","812.95","837.91","812.95","2.35M","2.62%"
"12/02/2025","815.21","811.12","819.70","808.30","2.25M","0.54%"
"12/01/2025","810.86","818.59","824.73","809.61","2.13M","-1.84%"
"11/28/2025","826.04","820.00","830.57","818.95","868.35K","1.23%"
"11/26/2025","816.01","805.84","819.58","805.00","1.86M","1.71%"
"11/25/2025","802.32","797.00","805.26","777.99","2.25M","1.47%"
"11/24/2025","790.71","778.64","793.99","775.36","2.32M","2.15%"
"11/21/2025","774.03","776.83","780.37","754.00","2.28M","0.04%"
"11/20/2025","773.70","795.25","816.00","772.19","2.60M","-1.56%"
"11/19/2025","785.99","776.30","787.87","775.00","1.52M","1.25%"
"11/18/2025","776.30","772.06","787.70","766.54","1.67M","0.10%"
"11/17/2025","775.56","790.00","796.73","770.50","1.85M","-1.94%"
"11/14/2025","790.91","795.55","800.61","778.00","2.55M","-1.81%"
"11/13/2025","805.50","833.06","841.28","805.02","2.56M","-3.99%"
"11/12/2025","838.97","814.13","840.00","814.13","2.95M","3.54%"
"11/11/2025","810.31","798.48","812.00","795.61","1.52M","1.64%"
"11/10/2025","797.20","796.08","806.36","788.80","1.70M","1.38%"
"11/07/2025","786.34","783.00","787.06","762.80","2.10M","-0.16%"
"11/06/2025","787.58","794.00","798.20","777.00","1.57M","-0.69%"
"11/05/2025","793.09","790.44","797.36","775.58","1.83M","0.29%"
"11/04/2025","790.83","777.00","806.00","773.00","2.05M","0.68%"
"11/03/2025","785.52","789.57","796.00","781.44","1.57M","-0.49%"
"10/31/2025","789.37","784.98","791.72","783.00","1.33M","-0.10%"
"10/30/2025","790.16","783.56","807.14","780.60","1.83M","0.91%"
"10/29/2025","783.06","788.00","800.49","778.82","2.25M","-1.14%"
"10/28/2025","792.09","792.05","798.36","787.35","1.24M","0.27%"
"10/27/2025","789.99","789.00","796.71","787.01","1.65M","0.78%"
"10/24/2025","783.88","759.85","784.61","756.00","2.51M","4.41%"
"10/23/2025","750.78","749.34","755.00","744.66","1.62M","0.83%"
"10/22/2025","744.60","760.61","760.61","743.11","2.14M","-1.89%"
"10/21/2025","758.98","759.00","765.30","758.27","1.78M","-0.57%"
"10/20/2025","763.32","757.00","766.42","752.88","1.93M","1.67%"
"10/17/2025","750.77","758.15","758.93","740.01","2.88M","-0.97%"
"10/16/2025","758.09","770.66","781.44","752.41","3.16M","-1.28%"
"10/15/2025","767.93","778.62","782.49","762.66","3.22M","-0.37%"
"10/14/2025","770.76","764.45","786.57","742.46","4.71M","-2.04%"
"10/13/2025","786.78","777.88","791.05","777.88","2.77M","2.93%"
"10/10/2025","764.36","783.12","791.66","764.00","2.46M","-2.00%"
"10/09/2025","779.96","778.85","782.91","771.35","1.58M","0.44%"
"10/08/2025","776.51","791.75","795.00","774.34","1.94M","-1.66%"
"10/07/2025","789.65","798.00","805.32","781.39","1.55M","-0.89%"
"10/06/2025","796.78","795.00","802.50","780.05","1.63M","0.86%"
"10/03/2025","789.98","783.00","794.92","777.86","1.47M","1.36%"
"10/02/2025","779.38","788.88","791.00","772.44","1.55M","-0.78%"
"10/01/2025","785.51","793.62","796.28","783.23","1.79M","-1.36%"
"09/30/2025","796.35","805.50","809.62","786.45","2.46M","-0.97%"
"09/29/2025","804.12","807.80","808.84","797.98","1.06M","0.20%"
"09/26/2025","802.51","797.16","809.50","795.13","1.38M","0.98%"
"09/25/2025","794.76","786.00","798.18","782.01","1.41M","0.29%"
