"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","372.66","374.46","377.06","371.39","1.35M","-0.70%"
"01/28/2026","375.30","380.21","381.00","373.65","3.37M","-1.33%"
"01/27/2026","380.36","384.95","386.50","378.27","3.47M","-1.60%"
"01/26/2026","386.53","385.00","387.42","381.95","3.98M","0.72%"
"01/23/2026","383.77","381.50","384.37","379.21","3.14M","0.72%"
"01/22/2026","381.03","386.45","390.60","380.52","4.83M","-0.94%"
"01/21/2026","384.64","375.80","385.92","374.67","5.17M","2.54%"
"01/20/2026","375.11","372.24","377.34","371.30","5.35M","-1.33%"
"01/16/2026","380.17","379.25","382.77","377.51","3.71M","0.27%"
"01/15/2026","379.16","376.02","380.18","374.46","2.99M","0.85%"
"01/14/2026","375.95","376.69","380.09","373.96","4.96M","-1.00%"
"01/13/2026","379.74","375.86","380.18","370.82","4.79M","1.28%"
"01/12/2026","374.94","374.64","376.42","369.25","5.86M","0.08%"
"01/09/2026","374.64","363.50","375.49","361.31","7.09M","4.19%"
"01/08/2026","359.56","345.31","363.24","344.10","5.20M","3.01%"
"01/07/2026","349.06","353.34","358.50","349.03","4.44M","-0.07%"
"01/06/2026","349.29","341.50","350.68","337.71","4.68M","1.51%"
"01/05/2026","344.09","342.70","347.35","341.25","4.73M","-0.50%"
"01/02/2026","345.82","343.43","348.49","340.92","3.76M","0.50%"
"12/31/2025","344.10","345.50","346.71","343.97","2.32M","-0.65%"
"12/30/2025","346.35","346.03","346.98","343.72","2.39M","-0.32%"
"12/29/2025","347.45","350.00","350.32","344.75","3.79M","-0.67%"
"12/26/2025","349.78","346.99","350.05","346.57","1.79M","0.70%"
"12/24/2025","347.34","344.34","348.26","343.90","1.37M","0.69%"
"12/23/2025","344.97","344.00","347.50","341.94","3.87M","-0.41%"
"12/22/2025","346.39","345.30","347.90","343.70","3.52M","0.40%"
"12/19/2025","345.00","354.11","354.11","344.92","12.83M","-2.81%"
"12/18/2025","354.99","363.54","366.30","354.55","4.81M","-0.49%"
"12/17/2025","356.75","351.97","357.50","350.98","3.88M","1.15%"
"12/16/2025","352.68","356.90","358.74","351.81","3.50M","-1.21%"
"12/15/2025","356.99","359.39","362.67","355.62","4.39M","-0.74%"
"12/12/2025","359.65","359.26","360.76","356.05","3.86M","0.61%"
"12/11/2025","357.46","356.00","362.72","353.94","6.61M","1.80%"
"12/10/2025","351.13","344.10","352.02","344.00","6.32M","1.70%"
"12/09/2025","345.27","347.76","356.67","344.96","5.06M","-1.33%"
"12/08/2025","349.91","351.95","352.09","345.70","7.27M","-1.33%"
"12/05/2025","354.61","350.65","355.62","349.52","5.96M","0.98%"
"12/04/2025","351.17","356.29","357.51","350.00","4.02M","-1.88%"
