"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","225.54","221.24","227.13","221.24","2.60M","4.11%"
"01/28/2026","216.64","220.01","221.27","216.18","5.11M","-1.93%"
"01/27/2026","220.91","221.33","222.78","220.11","3.52M","-0.11%"
"01/26/2026","221.16","221.36","221.83","219.72","3.70M","-0.14%"
"01/23/2026","221.46","221.97","223.32","220.59","3.82M","-0.49%"
"01/22/2026","222.54","220.00","223.44","219.69","4.35M","1.54%"
"01/21/2026","219.17","215.96","220.40","215.54","5.66M","1.91%"
"01/20/2026","215.07","216.69","218.34","214.20","8.22M","-1.97%"
"01/16/2026","219.39","219.22","220.63","216.53","8.53M","2.03%"
"01/15/2026","215.02","213.40","215.55","211.85","5.57M","0.93%"
"01/14/2026","213.04","213.85","214.57","210.98","4.42M","1.31%"
"01/13/2026","210.28","209.27","211.21","208.32","4.12M","0.81%"
"01/12/2026","208.60","207.10","208.71","204.63","5.52M","0.59%"
"01/09/2026","207.38","204.65","208.74","203.51","5.71M","1.04%"
"01/08/2026","205.24","198.94","205.49","198.55","5.19M","2.87%"
"01/07/2026","199.51","205.11","206.00","198.52","5.09M","-2.65%"
"01/06/2026","204.94","200.40","205.56","200.35","4.01M","1.91%"
"01/05/2026","201.09","195.80","201.78","194.92","3.85M","2.66%"
"01/02/2026","195.88","195.69","196.58","193.35","3.16M","0.40%"
"12/31/2025","195.09","196.36","197.05","195.05","2.03M","-0.65%"
"12/30/2025","196.36","196.34","197.58","195.41","1.90M","-0.37%"
"12/29/2025","197.09","197.35","197.60","196.24","2.07M","-0.14%"
"12/26/2025","197.37","196.73","197.48","195.88","1.46M","0.22%"
"12/24/2025","196.93","195.50","197.14","195.01","1.48M","0.73%"
"12/23/2025","195.50","195.80","196.21","194.72","2.42M","-0.23%"
"12/22/2025","195.96","198.28","199.75","195.20","4.38M","-1.58%"
"12/19/2025","199.11","198.83","201.06","198.17","7.87M","0.52%"
"12/18/2025","198.08","200.83","201.33","196.66","4.17M","-0.91%"
"12/17/2025","199.89","198.41","202.46","198.12","6.29M","0.82%"
"12/16/2025","198.26","197.50","198.76","196.69","4.73M","0.41%"
"12/15/2025","197.45","195.65","197.54","193.37","3.46M","1.96%"
"12/12/2025","193.66","194.12","194.72","192.51","3.32M","-0.10%"
"12/11/2025","193.85","192.68","194.43","192.64","3.73M","0.93%"
"12/10/2025","192.06","190.16","192.70","190.12","5.57M","0.99%"
"12/09/2025","190.17","191.17","192.69","189.86","2.77M","-0.95%"
"12/08/2025","191.99","192.14","192.35","190.53","3.24M","0.34%"
"12/05/2025","191.33","192.77","193.36","190.65","4.29M","-0.47%"
"12/04/2025","192.23","193.46","193.92","191.46","4.01M","-0.64%"
"12/03/2025","193.47","193.33","195.20","192.77","4.18M","0.17%"
"12/02/2025","193.15","190.80","193.73","189.53","4.48M","1.54%"
"12/01/2025","190.22","190.28","192.16","189.98","3.22M","-1.03%"
"11/28/2025","192.19","190.00","192.40","189.60","1.64M","1.16%"
"11/26/2025","189.99","192.29","192.29","189.95","3.12M","-0.54%"
"11/25/2025","191.02","189.82","191.63","189.23","3.66M","1.25%"
"11/24/2025","188.66","190.05","190.19","187.04","5.30M","-0.72%"
"11/21/2025","190.02","188.27","191.08","187.84","4.71M","1.00%"
"11/20/2025","188.14","192.43","193.24","186.76","3.67M","-1.28%"
"11/19/2025","190.57","190.68","191.35","189.01","3.39M","-0.46%"
"11/18/2025","191.45","191.82","193.84","190.57","6.07M","-2.36%"
"11/17/2025","196.08","197.89","199.35","194.97","2.84M","-1.49%"
"11/14/2025","199.04","198.46","199.55","195.67","3.73M","-0.42%"
"11/13/2025","199.87","201.27","203.04","199.53","4.16M","-0.85%"
"11/12/2025","201.59","200.98","202.28","199.58","4.61M","0.59%"
"11/11/2025","200.41","196.48","201.51","195.78","4.20M","2.21%"
"11/10/2025","196.07","194.99","196.48","193.62","3.82M","1.03%"
"11/07/2025","194.07","196.04","196.44","193.70","3.71M","-0.94%"
"11/06/2025","195.91","195.99","197.25","195.22","3.03M","-0.58%"
"11/05/2025","197.05","196.12","199.73","195.31","4.21M","0.30%"
"11/04/2025","196.46","197.66","198.01","194.68","5.73M","-0.66%"
"11/03/2025","197.77","201.33","201.45","197.10","4.96M","-1.77%"
"10/31/2025","201.33","198.80","201.87","198.65","4.07M","0.61%"
"10/30/2025","200.11","201.80","205.22","199.80","6.51M","-0.23%"
"10/29/2025","200.58","201.04","202.06","198.33","4.19M","-0.71%"
"10/28/2025","202.01","202.39","203.01","200.84","4.24M","-0.31%"
"10/27/2025","202.63","206.29","206.53","202.28","5.39M","-0.50%"
"10/24/2025","203.64","208.15","208.15","202.33","8.04M","-7.72%"
"10/23/2025","220.67","215.00","222.48","214.25","9.47M","6.81%"
"10/22/2025","206.61","209.80","210.18","205.99","4.27M","-1.18%"
"10/21/2025","209.08","206.14","210.61","205.88","3.80M","1.48%"
"10/20/2025","206.03","204.34","206.18","204.32","3.91M","1.51%"
"10/17/2025","202.96","203.13","205.00","202.02","3.87M","-0.10%"
"10/16/2025","203.17","203.70","204.87","202.24","3.10M","0.33%"
"10/15/2025","202.50","208.78","209.41","202.10","4.43M","-2.93%"
"10/14/2025","208.61","201.42","208.73","201.35","4.05M","2.81%"
"10/13/2025","202.91","202.41","203.24","200.61","3.72M","1.00%"
"10/10/2025","200.91","204.97","205.48","200.72","5.53M","-1.63%"
"10/09/2025","204.23","209.99","210.00","203.48","3.75M","-2.68%"
"10/08/2025","209.85","208.84","209.88","207.90","2.81M","0.42%"
"10/07/2025","208.98","208.63","209.68","207.81","3.87M","-0.01%"
"10/06/2025","209.00","210.00","210.50","207.79","5.16M","-0.02%"
"10/03/2025","209.05","210.98","212.02","208.42","4.33M","-0.93%"
"10/02/2025","211.01","210.50","213.02","210.09","4.31M","0.39%"
"10/01/2025","210.18","210.50","212.79","209.99","3.89M","-0.15%"
"09/30/2025","210.50","208.95","211.11","208.45","4.18M","0.58%"
"09/29/2025","209.28","209.89","210.16","204.37","5.64M","0.52%"
"09/26/2025","208.19","208.42","209.05","207.35","3.55M","0.24%"
"09/25/2025","207.70","208.90","209.38","207.30","4.07M","-0.43%"
"09/24/2025","208.60","209.30","210.28","208.22","6.16M","-0.34%"
"09/23/2025","209.31","209.43","211.02","208.81","6.24M","0.15%"
"09/22/2025","209.00","208.74","210.54","207.33","4.81M","-0.18%"
"09/19/2025","209.37","211.10","211.10","207.42","11.01M","-0.39%"
"09/18/2025","210.20","211.09","213.40","210.05","4.45M","-0.70%"
"09/17/2025","211.68","211.67","213.65","210.25","5.41M","0.35%"
"09/16/2025","210.95","211.68","213.32","210.60","3.34M","-0.37%"
"09/15/2025","211.74","211.76","212.93","210.69","3.79M","0.13%"
"09/12/2025","211.46","214.05","214.58","210.94","3.17M","-1.79%"
"09/11/2025","215.31","211.92","216.16","211.47","5.58M","1.71%"
"09/10/2025","211.70","213.97","214.34","211.38","4.29M","-1.17%"
"09/09/2025","214.20","214.96","215.31","211.94","2.95M","-0.26%"
"09/08/2025","214.75","214.82","215.20","212.54","4.56M","0.23%"
"09/05/2025","214.25","214.98","216.29","213.37","4.10M","-0.42%"
"09/04/2025","215.16","213.73","215.63","212.10","4.66M","0.54%"
"09/03/2025","214.00","217.18","217.23","212.56","3.52M","-1.65%"
"09/02/2025","217.60","217.03","218.12","215.40","3.25M","-0.87%"
"08/29/2025","219.50","221.07","221.60","219.18","1.99M","-0.84%"
"08/28/2025","221.35","221.70","221.90","219.78","2.60M","0.05%"
"08/27/2025","221.25","221.62","222.72","220.69","2.11M","-0.59%"
"08/26/2025","222.56","220.22","222.81","219.84","4.06M","0.88%"
"08/25/2025","220.61","221.74","222.42","220.50","2.26M","-1.00%"
"08/22/2025","222.83","219.56","223.08","218.68","3.28M","2.49%"
