"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","304.85","317.86","319.71","303.51","7.52M","3.63%"
"01/28/2026","294.16","294.17","295.95","291.26","5.79M","0.10%"
"01/27/2026","293.86","297.16","297.33","293.27","2.95M","-0.83%"
"01/26/2026","296.33","293.16","296.82","293.14","3.73M","1.33%"
"01/23/2026","292.44","294.07","294.33","289.79","3.30M","-0.76%"
"01/22/2026","294.67","299.42","300.92","293.53","3.67M","-0.96%"
"01/21/2026","297.54","292.76","297.67","292.51","5.19M","2.12%"
"01/20/2026","291.35","301.35","301.60","290.16","7.28M","-4.68%"
"01/16/2026","305.67","301.00","307.45","300.78","6.20M","2.59%"
"01/15/2026","297.95","309.00","311.88","297.04","4.93M","-3.59%"
"01/14/2026","309.03","303.50","309.19","301.50","3.78M","1.94%"
"01/13/2026","303.16","311.60","312.81","301.87","4.51M","-2.89%"
"01/12/2026","312.18","302.62","312.33","299.96","3.90M","2.62%"
"01/09/2026","304.22","302.61","307.00","302.00","2.72M","0.50%"
"01/08/2026","302.72","295.00","303.67","295.00","3.34M","2.02%"
"01/07/2026","296.73","302.50","304.31","296.35","2.83M","-1.90%"
"01/06/2026","302.47","295.00","303.04","294.42","4.15M","2.54%"
"01/05/2026","294.97","295.77","299.19","294.25","4.19M","1.19%"
"01/02/2026","291.50","297.56","297.57","289.00","4.66M","-1.59%"
"12/31/2025","296.21","301.76","301.85","295.87","3.43M","-1.93%"
"12/30/2025","302.05","306.15","306.23","302.00","1.88M","-1.21%"
"12/29/2025","305.74","304.65","310.00","303.75","4.66M","0.21%"
"12/26/2025","305.09","304.69","305.75","303.67","2.81M","0.17%"
"12/25/2025","304.56","303.76","304.56","304.56","1.21M","0.00%"
"12/24/2025","304.56","303.76","305.15","302.30","1.21M","0.26%"
"12/23/2025","303.78","301.34","305.13","300.65","2.92M","0.33%"
"12/22/2025","302.79","301.03","303.18","298.32","2.61M","0.60%"
"12/19/2025","300.98","300.35","306.86","299.10","11.03M","0.18%"
"12/18/2025","300.45","303.15","304.45","295.70","5.41M","-0.95%"
"12/17/2025","303.32","303.79","306.25","303.08","3.13M","0.05%"
"12/16/2025","303.18","307.32","307.38","300.42","3.37M","-1.78%"
"12/15/2025","308.66","308.98","311.36","306.35","3.57M","-0.19%"
"12/12/2025","309.24","310.57","311.05","303.33","2.95M","-0.48%"
"12/11/2025","310.74","312.00","313.44","308.40","2.76M","-0.62%"
"12/10/2025","312.67","310.23","314.69","306.65","3.41M","0.71%"
"12/09/2025","310.48","309.63","313.97","308.75","2.94M","0.42%"
"12/08/2025","309.18","309.62","315.35","307.95","3.63M","0.40%"
"12/05/2025","307.94","308.59","311.83","307.18","2.34M","-0.02%"
"12/04/2025","307.99","302.88","309.61","302.54","2.96M","1.77%"
"12/03/2025","302.62","302.88","303.97","298.90","3.95M","0.28%"
"12/02/2025","301.78","307.00","310.47","301.57","4.26M","-1.27%"
