"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","495.67","512.46","511.35","491.72","2.98M","-7.99%"
"01/28/2026","538.70","548.77","553.00","537.35","2.26M","-1.23%"
"01/27/2026","545.40","560.58","561.57","537.34","2.46M","-2.91%"
"01/26/2026","561.77","564.15","569.38","561.68","2.11M","-0.39%"
"01/23/2026","563.97","546.82","564.57","545.72","3.27M","2.97%"
"01/22/2026","547.69","526.84","548.25","526.84","3.23M","4.34%"
"01/21/2026","524.92","532.00","537.42","520.69","2.64M","-0.76%"
"01/20/2026","528.95","537.76","540.91","526.74","3.59M","-3.00%"
"01/16/2026","545.29","552.78","554.00","535.10","4.77M","-1.68%"
"01/15/2026","554.58","565.78","571.34","551.63","3.40M","-2.12%"
"01/14/2026","566.60","590.99","592.66","556.66","4.83M","-6.39%"
"01/13/2026","605.28","632.10","637.26","604.39","2.66M","-4.75%"
"01/12/2026","635.44","640.10","642.96","628.64","1.60M","-1.77%"
"01/09/2026","646.90","650.45","652.71","636.00","1.30M","-0.90%"
"01/08/2026","652.75","640.60","657.81","638.75","1.65M","0.25%"
"01/07/2026","651.15","650.00","657.24","645.59","1.40M","0.61%"
"01/06/2026","647.20","630.20","649.24","627.72","2.56M","2.11%"
"01/05/2026","633.84","629.46","639.52","619.70","2.17M","0.70%"
"01/02/2026","629.46","660.60","661.99","622.23","2.74M","-4.98%"
"12/31/2025","662.42","668.02","669.80","662.21","948.49K","-1.11%"
"12/30/2025","669.88","671.56","674.27","668.60","1.19M","-0.63%"
"12/29/2025","674.15","672.80","678.57","670.99","886.04K","-0.35%"
"12/26/2025","676.55","674.34","678.13","673.22","555.03K","0.25%"
"12/24/2025","674.83","672.67","676.49","672.03","334.09K","0.10%"
"12/23/2025","674.14","671.64","676.00","666.40","954.50K","-0.16%"
"12/22/2025","675.21","675.22","679.26","671.00","1.18M","0.58%"
"12/19/2025","671.30","667.80","675.60","665.44","4.56M","0.36%"
"12/18/2025","668.88","663.75","676.54","661.50","2.04M","1.23%"
"12/17/2025","660.78","671.02","676.21","660.16","2.24M","-1.28%"
"12/16/2025","669.35","654.39","671.51","648.21","1.78M","2.25%"
"12/15/2025","654.60","670.04","671.36","653.02","1.71M","-2.43%"
"12/12/2025","670.92","679.40","681.20","666.87","1.94M","-0.75%"
"12/11/2025","676.01","659.43","678.33","657.92","2.82M","2.05%"
"12/10/2025","662.43","653.95","669.43","652.75","1.60M","1.02%"
"12/09/2025","655.75","653.42","660.77","650.47","1.39M","-0.07%"
"12/08/2025","656.24","671.04","671.78","653.74","1.88M","-2.58%"
"12/05/2025","673.63","664.48","676.60","663.54","2.36M","1.59%"
"12/04/2025","663.08","648.59","665.32","647.51","2.17M","2.38%"
"12/03/2025","647.68","630.86","648.10","629.90","1.78M","1.90%"
"12/02/2025","635.63","632.39","635.74","623.99","1.54M","0.63%"
"12/01/2025","631.62","629.11","635.90","627.14","1.86M","-0.39%"
"11/28/2025","634.08","629.13","634.92","626.49","872.94K","0.79%"
"11/26/2025","629.13","647.43","651.88","619.82","2.28M","-2.92%"
"11/25/2025","648.07","651.95","658.47","640.34","1.92M","-0.79%"
"11/24/2025","653.23","665.38","671.01","647.15","3.18M","-1.50%"
"11/21/2025","663.15","669.60","682.27","659.51","3.80M","4.03%"
"11/20/2025","637.44","653.62","664.54","637.44","2.52M","-2.03%"
"11/19/2025","650.62","648.58","656.81","645.87","1.29M","0.14%"
"11/18/2025","649.73","655.79","662.00","644.15","2.44M","0.58%"
"11/17/2025","645.98","662.51","664.00","643.49","1.44M","-2.48%"
"11/14/2025","662.41","650.57","666.82","644.36","1.44M","1.89%"
"11/13/2025","650.11","655.51","662.58","649.00","1.78M","-1.39%"
