"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","505.57","520.02","520.02","504.97","699.19K","-3.16%"
"01/28/2026","522.04","523.91","529.36","520.24","1.85M","-0.57%"
"01/27/2026","525.04","532.61","535.00","523.54","1.50M","-0.71%"
"01/26/2026","528.81","523.95","533.97","518.65","2.57M","0.92%"
"01/23/2026","523.99","530.00","540.00","521.18","2.80M","-0.35%"
"01/22/2026","525.81","525.41","532.00","522.72","2.91M","0.40%"
"01/21/2026","523.69","527.59","530.05","518.64","2.03M","-0.71%"
"01/20/2026","527.44","527.00","532.60","525.23","2.15M","-1.41%"
"01/16/2026","535.00","542.00","543.00","532.63","3.02M","-1.17%"
"01/15/2026","541.34","553.74","553.74","535.69","1.91M","-0.99%"
"01/14/2026","546.76","533.96","551.00","528.00","3.60M","-2.68%"
"01/13/2026","561.82","571.45","572.59","556.04","1.52M","-1.91%"
"01/12/2026","572.74","581.97","582.19","566.80","1.83M","-2.30%"
"01/09/2026","586.24","587.32","589.58","579.62","1.49M","0.20%"
"01/08/2026","585.08","582.68","589.95","582.68","1.49M","-1.21%"
"01/07/2026","592.27","592.89","603.88","590.80","1.86M","-0.10%"
"01/06/2026","592.85","565.00","594.62","564.34","2.63M","4.67%"
"01/05/2026","566.38","561.15","567.08","558.00","1.39M","0.78%"
"01/02/2026","561.98","566.78","567.39","555.40","1.30M","-0.77%"
"12/31/2025","566.36","572.50","573.28","565.77","992.65K","-1.09%"
"12/30/2025","572.63","572.21","574.77","570.45","725.05K","-0.48%"
"12/29/2025","575.40","577.81","580.50","574.22","695.20K","-0.42%"
"12/26/2025","577.81","578.21","579.40","575.96","494.81K","0.11%"
"12/24/2025","577.15","577.34","579.85","575.03","355.21K","-0.03%"
"12/23/2025","577.34","577.14","579.20","573.68","1.28M","-0.43%"
"12/22/2025","579.83","576.00","583.45","573.29","1.45M","1.29%"
"12/19/2025","572.47","561.63","574.57","561.31","4.07M","1.88%"
"12/18/2025","561.89","557.29","566.85","557.26","1.55M","0.90%"
"12/17/2025","556.86","554.68","561.46","554.00","1.71M","0.41%"
"12/16/2025","554.58","559.05","559.69","546.13","1.96M","-0.88%"
"12/15/2025","559.52","546.05","561.62","546.05","2.93M","3.17%"
"12/12/2025","542.32","546.00","548.99","537.69","2.12M","-0.92%"
"12/11/2025","547.36","545.47","553.39","542.71","1.57M","-1.54%"
"12/10/2025","555.92","557.76","560.05","546.55","1.56M","-0.40%"
"12/09/2025","558.13","566.50","569.00","557.50","1.23M","-1.55%"
"12/08/2025","566.89","576.15","576.15","562.67","1.30M","-1.47%"
"12/05/2025","575.34","569.50","576.88","569.43","1.10M","1.18%"
"12/04/2025","568.63","571.98","574.23","564.72","1.15M","-0.19%"
"12/03/2025","569.71","569.48","571.77","563.04","1.09M","0.35%"
"12/02/2025","567.72","568.60","570.75","561.39","1.75M","0.06%"
"12/01/2025","567.37","568.99","573.53","566.63","1.21M","-1.07%"
"11/28/2025","573.48","571.41","574.00","568.27","1.00M","-0.13%"
"11/26/2025","574.23","579.85","582.41","573.75","1.16M","-0.80%"
"11/25/2025","578.87","564.44","580.00","561.29","1.68M","1.83%"
"11/24/2025","568.48","562.93","570.77","560.00","2.40M","1.22%"
"11/21/2025","561.61","551.16","564.00","548.04","2.62M","1.70%"
"11/20/2025","552.23","566.92","574.45","550.00","1.91M","-2.20%"
"11/19/2025","564.64","544.92","566.86","544.19","2.44M","3.27%"
"11/18/2025","546.77","546.05","549.21","538.83","2.30M","0.01%"
"11/17/2025","546.71","546.57","554.35","544.11","1.47M","-0.51%"
"11/14/2025","549.51","559.50","560.02","548.92","1.88M","-2.83%"
"11/13/2025","565.51","566.86","573.32","561.00","2.12M","-1.21%"
"11/12/2025","572.45","574.13","580.47","569.71","1.63M","0.05%"
"11/11/2025","572.17","575.06","579.22","570.50","1.61M","-0.70%"
"11/10/2025","576.20","560.00","578.30","560.00","3.07M","2.89%"
"11/07/2025","560.00","543.24","562.65","541.74","2.71M","2.23%"
"11/06/2025","547.78","547.03","548.55","538.07","2.05M","-0.14%"
"11/05/2025","548.55","538.00","552.00","536.15","2.86M","1.81%"
"11/04/2025","538.82","545.09","546.00","535.40","1.78M","-0.99%"
"11/03/2025","544.21","532.05","544.84","527.60","2.08M","1.86%"
"10/31/2025","534.28","528.63","538.14","526.20","1.76M","0.80%"
"10/30/2025","530.02","534.37","538.00","529.31","1.78M","-1.41%"
"10/29/2025","537.59","543.00","544.95","534.45","1.72M","-1.43%"
"10/28/2025","545.39","546.62","552.20","539.00","1.59M","-1.06%"
"10/27/2025","551.25","544.75","551.63","538.75","2.14M","0.87%"
"10/24/2025","546.51","547.63","552.45","541.46","2.69M","-0.87%"
"10/23/2025","551.30","525.37","552.50","525.08","4.01M","4.61%"
"10/22/2025","527.03","543.00","549.85","522.17","8.35M","13.89%"
"10/21/2025","462.74","459.47","466.98","456.31","4.78M","0.93%"
"10/20/2025","458.47","452.50","461.83","451.35","3.41M","2.77%"
"10/17/2025","446.13","437.17","449.09","434.57","2.21M","2.65%"
"10/16/2025","434.62","438.47","439.49","433.81","1.97M","-0.23%"
"10/15/2025","435.61","437.00","440.82","432.78","1.91M","-0.18%"
"10/14/2025","436.39","430.30","439.20","427.84","2.09M","0.15%"
"10/13/2025","435.73","432.43","438.10","430.00","1.86M","1.43%"
"10/10/2025","429.59","444.06","446.99","429.25","2.77M","-3.19%"
"10/09/2025","443.76","447.76","450.29","443.26","1.58M","-0.97%"
"10/08/2025","448.09","442.30","450.53","439.42","1.77M","1.62%"
"10/07/2025","440.94","449.24","451.00","439.47","1.92M","-1.95%"
"10/06/2025","449.69","459.71","460.30","449.08","2.48M","-0.59%"
"10/03/2025","452.35","443.85","456.59","443.49","2.20M","2.11%"
"10/02/2025","443.01","437.12","443.36","433.00","1.91M","1.13%"
"10/01/2025","438.04","447.00","448.31","430.34","2.50M","-2.05%"
"09/30/2025","447.23","439.00","448.19","438.00","2.13M","1.82%"
"09/29/2025","439.22","442.06","443.26","437.77","3.02M","-0.43%"
"09/26/2025","441.12","441.43","443.45","438.50","1.94M","0.68%"
"09/25/2025","438.12","440.39","442.17","433.43","3.13M","-1.32%"
"09/24/2025","443.99","450.94","451.34","443.55","2.44M","-0.84%"
"09/23/2025","447.75","444.75","450.98","443.17","2.24M","0.72%"
"09/22/2025","444.55","438.12","447.13","433.81","2.65M","1.33%"
"09/19/2025","438.72","439.46","440.50","434.74","3.78M","0.66%"
"09/18/2025","435.83","435.00","436.33","429.80","1.98M","0.50%"
"09/17/2025","433.66","434.60","438.79","430.59","1.64M","-0.19%"
"09/16/2025","434.50","433.65","437.17","429.72","2.94M","0.12%"
"09/15/2025","433.99","449.29","450.58","433.02","3.47M","-3.49%"
"09/12/2025","449.68","453.19","454.15","448.15","2.22M","-1.35%"
"09/11/2025","455.85","451.15","463.05","449.75","2.18M","1.30%"
"09/10/2025","449.98","467.99","468.04","446.53","2.56M","-3.76%"
"09/09/2025","467.54","470.00","472.69","464.36","1.49M","-0.52%"
"09/08/2025","470.00","466.70","470.28","462.62","1.94M","0.67%"
"09/05/2025","466.86","454.83","467.99","454.78","2.62M","2.71%"
"09/04/2025","454.52","440.69","455.28","437.41","3.94M","3.02%"
"09/03/2025","441.18","470.11","471.00","434.80","5.05M","-5.95%"
"09/02/2025","469.07","470.56","472.57","464.75","2.23M","-0.89%"
"08/29/2025","473.30","474.23","475.40","468.77","1.65M","-0.12%"
"08/28/2025","473.84","470.86","474.24","468.00","1.55M","0.57%"
"08/27/2025","471.15","471.35","475.60","470.13","1.62M","-0.66%"
"08/26/2025","474.26","468.64","474.58","464.80","2.93M","1.24%"
"08/25/2025","468.44","475.25","477.86","467.80","1.66M","-1.62%"
"08/22/2025","476.16","473.00","478.97","469.85","2.02M","1.34%"
"08/21/2025","469.88","478.22","479.32","461.25","2.47M","-2.20%"
"08/20/2025","480.45","479.39","483.64","478.08","1.41M","0.26%"
"08/19/2025","479.20","480.98","485.53","476.80","1.88M","-0.43%"
"08/18/2025","481.28","480.84","487.20","479.66","1.64M","0.21%"
"08/15/2025","480.26","480.02","482.04","476.50","1.44M","0.67%"
"08/14/2025","477.08","482.50","483.60","473.79","1.89M","-1.09%"
"08/13/2025","482.35","481.63","482.69","474.91","1.74M","0.87%"
"08/12/2025","478.19","473.57","479.46","473.00","1.53M","1.34%"
"08/11/2025","471.85","468.16","475.83","468.05","1.42M","0.38%"
"08/08/2025","470.08","470.74","474.08","469.11","1.45M","0.06%"
"08/07/2025","469.81","478.42","479.13","463.90","1.78M","-0.90%"
"08/06/2025","474.06","477.04","480.99","473.26","2.19M","-0.62%"
"08/05/2025","477.00","483.22","486.51","476.75","2.61M","-1.32%"
"08/04/2025","483.36","486.75","490.00","478.82","2.49M","0.05%"
"08/01/2025","483.12","475.46","486.06","473.24","2.98M","0.42%"
"07/31/2025","481.09","497.24","498.96","479.60","2.60M","-3.88%"
"07/30/2025","500.51","497.71","503.21","496.95","1.76M","0.73%"
"07/29/2025","496.87","497.25","502.42","496.17","1.83M","0.59%"
"07/28/2025","493.95","498.00","502.81","493.22","2.47M","-0.39%"
