"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","227.52","228.83","229.96","227.21","2.47M","-0.09%"
"01/28/2026","227.72","226.40","228.57","226.07","9.03M","1.46%"
"01/27/2026","224.44","222.00","225.50","220.70","8.15M","1.33%"
"01/26/2026","221.49","220.21","222.03","220.00","6.86M","0.61%"
"01/23/2026","220.14","219.80","221.21","217.84","6.95M","0.76%"
"01/22/2026","218.49","218.77","222.17","218.10","13.16M","0.22%"
"01/21/2026","218.01","211.00","218.68","210.50","14.76M","-0.09%"
"01/20/2026","218.21","217.09","218.73","214.50","14.06M","-0.21%"
"01/16/2026","218.66","219.04","220.11","218.13","10.02M","-0.41%"
"01/15/2026","219.57","218.23","219.75","215.91","8.49M","0.47%"
"01/14/2026","218.55","214.73","218.86","214.15","11.86M","2.29%"
"01/13/2026","213.65","209.91","214.39","208.86","11.38M","1.87%"
"01/12/2026","209.72","205.55","209.90","203.85","11.79M","2.61%"
"01/09/2026","204.39","205.91","206.70","204.01","6.15M","-0.66%"
"01/08/2026","205.75","206.93","208.98","204.97","6.56M","-0.84%"
"01/07/2026","207.49","205.26","208.26","205.03","7.55M","1.32%"
"01/06/2026","204.79","204.60","206.71","204.12","8.11M","0.23%"
"01/05/2026","204.31","205.87","205.93","200.91","9.48M","-1.47%"
"01/02/2026","207.35","206.82","207.38","203.68","6.33M","0.19%"
"12/31/2025","206.95","206.91","207.50","206.37","4.08M","0.02%"
"12/30/2025","206.91","207.51","207.69","206.52","3.94M","-0.31%"
"12/29/2025","207.56","208.00","209.47","207.38","4.35M","-0.03%"
"12/26/2025","207.63","207.53","208.04","206.71","2.32M","-0.07%"
"12/24/2025","207.78","206.00","207.94","205.57","2.38M","0.97%"
"12/23/2025","205.78","205.02","206.53","203.28","7.05M","-0.74%"
"12/22/2025","207.32","206.13","208.08","205.50","8.19M","0.46%"
"12/19/2025","206.37","207.56","209.24","206.03","24.80M","-0.93%"
"12/18/2025","208.31","209.80","211.06","207.76","7.50M","-0.96%"
"12/17/2025","210.33","209.38","211.51","208.46","8.46M","0.49%"
"12/16/2025","209.30","214.00","214.73","208.81","9.95M","-2.27%"
"12/15/2025","214.17","210.35","215.18","209.01","8.47M","1.22%"
"12/12/2025","211.58","210.28","212.27","208.96","6.92M","0.75%"
"12/11/2025","210.01","207.90","211.24","207.83","9.01M","1.68%"
"12/10/2025","206.54","200.59","206.80","200.18","11.60M","3.29%"
"12/09/2025","199.96","202.92","205.54","199.90","7.51M","-0.82%"
"12/08/2025","201.62","202.66","203.26","200.99","7.79M","-0.15%"
"12/05/2025","201.93","202.98","203.45","200.81","7.79M","-0.27%"
"12/04/2025","202.48","204.59","204.86","201.71","9.05M","-1.39%"
"12/03/2025","205.33","205.90","207.02","204.99","8.36M","-0.04%"
"12/02/2025","205.42","205.24","205.61","203.10","8.39M","0.04%"
"12/01/2025","205.34","206.50","207.70","205.34","8.47M","-0.76%"
"11/28/2025","206.92","207.00","207.46","204.63","5.64M","-0.31%"
"11/26/2025","207.56","206.49","207.81","205.94","6.73M","0.43%"
"11/25/2025","206.67","205.18","207.72","205.18","10.28M","0.30%"
"11/24/2025","206.05","203.71","206.12","203.00","14.80M","1.05%"
"11/21/2025","203.90","203.96","206.94","202.99","13.19M","0.41%"
"11/20/2025","203.07","202.00","204.51","201.57","10.61M","0.28%"
"11/19/2025","202.51","200.00","203.48","199.38","14.69M","1.25%"
"11/18/2025","200.00","199.01","200.30","198.53","12.47M","0.21%"
"11/17/2025","199.58","196.96","200.27","195.90","13.26M","1.86%"
"11/14/2025","195.93","195.00","197.18","193.55","8.82M","0.35%"
"11/13/2025","195.25","194.21","196.00","193.45","8.63M","0.44%"
"11/12/2025","194.39","193.36","195.54","193.07","8.80M","0.29%"
"11/11/2025","193.83","189.38","193.92","189.05","7.47M","2.88%"
"11/10/2025","188.41","186.00","188.42","185.12","5.32M","0.99%"
"11/07/2025","186.57","187.74","188.35","185.70","6.96M","-0.21%"
"11/06/2025","186.97","186.76","187.52","185.37","6.77M","0.52%"
"11/05/2025","186.00","186.64","187.83","185.40","5.05M","-0.46%"
"11/04/2025","186.86","186.83","187.82","185.62","7.21M","0.32%"
"11/03/2025","186.26","189.00","189.03","185.52","7.54M","-1.38%"
"10/31/2025","188.87","187.46","189.50","186.76","8.79M","-0.10%"
"10/30/2025","189.05","187.08","189.38","186.91","7.07M","1.31%"
"10/29/2025","186.60","186.70","187.10","184.66","10.55M","-0.18%"
"10/28/2025","186.93","189.26","189.51","186.62","8.33M","-1.77%"
"10/27/2025","190.30","189.99","190.80","189.53","7.13M","-0.05%"
"10/24/2025","190.40","192.20","192.31","189.42","6.90M","-1.08%"
"10/23/2025","192.47","192.56","194.00","191.54","8.88M","-0.24%"
"10/22/2025","192.94","192.00","193.45","191.77","6.34M","0.55%"
"10/21/2025","191.88","193.01","193.55","191.77","6.72M","-0.95%"
"10/20/2025","193.72","193.50","194.48","192.33","8.03M","0.26%"
"10/17/2025","193.22","192.50","193.60","191.68","7.76M","0.57%"
"10/16/2025","192.12","191.34","193.05","190.43","10.61M","0.50%"
"10/15/2025","191.17","191.48","193.57","189.30","9.47M","0.17%"
"10/14/2025","190.85","192.92","194.40","185.88","13.61M","-0.03%"
"10/13/2025","190.90","189.83","191.30","189.28","7.98M","0.09%"
"10/10/2025","190.72","192.01","192.07","189.85","9.60M","-0.19%"
"10/09/2025","191.08","190.00","192.10","189.73","7.48M","0.73%"
"10/08/2025","189.69","188.87","190.21","188.27","5.75M","0.42%"
"10/07/2025","188.89","183.77","189.23","182.94","8.78M","0.39%"
"10/06/2025","188.16","188.00","189.92","187.37","5.81M","-0.25%"
