"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","303.36","302.42","305.63","302.43","3.03M","0.86%"
"01/28/2026","300.77","300.27","301.92","298.05","9.56M","0.15%"
"01/27/2026","300.31","301.33","301.97","298.15","11.53M","-0.24%"
"01/26/2026","301.04","297.81","301.77","297.45","11.75M","1.12%"
"01/23/2026","297.72","302.00","302.37","296.51","11.11M","-1.95%"
"01/22/2026","303.63","304.86","308.20","302.90","10.54M","0.53%"
"01/21/2026","302.04","303.42","305.40","301.15","10.27M","-0.23%"
"01/20/2026","302.74","306.21","311.15","301.86","12.90M","-3.11%"
"01/16/2026","312.47","310.35","317.21","310.00","14.65M","1.04%"
"01/15/2026","309.26","308.47","312.94","307.75","14.75M","0.45%"
"01/14/2026","307.87","308.20","311.76","306.12","25.95M","-0.97%"
"01/13/2026","310.90","324.30","326.86","310.57","19.37M","-4.19%"
"01/12/2026","324.49","321.88","326.02","321.23","12.81M","-1.43%"
"01/09/2026","329.19","329.34","331.90","328.17","6.74M","-0.18%"
"01/08/2026","329.79","326.39","331.40","325.65","11.74M","0.86%"
"01/07/2026","326.99","331.14","332.15","324.60","9.82M","-2.28%"
"01/06/2026","334.61","332.62","335.87","330.65","7.66M","0.17%"
"01/05/2026","334.04","325.50","337.25","325.19","10.75M","2.63%"
"01/02/2026","325.48","322.50","325.73","320.74","8.05M","1.01%"
"12/31/2025","322.22","324.34","324.88","322.04","5.05M","-0.37%"
"12/30/2025","323.42","324.81","324.94","322.49","7.90M","-0.10%"
"12/29/2025","323.75","327.00","327.77","323.53","8.64M","-1.27%"
"12/26/2025","327.91","329.11","330.86","326.54","4.16M","-0.38%"
"12/24/2025","329.17","326.24","329.99","325.50","4.29M","0.99%"
"12/23/2025","325.93","323.61","327.78","323.09","6.67M","0.88%"
"12/22/2025","323.09","317.51","323.23","317.51","8.35M","1.85%"
"12/19/2025","317.21","313.79","318.56","313.19","24.49M","1.35%"
"12/18/2025","313.00","316.00","317.70","312.22","11.44M","-0.63%"
"12/17/2025","314.98","318.43","319.37","314.66","8.72M","-0.18%"
"12/16/2025","315.55","319.09","319.52","314.40","8.33M","-1.40%"
"12/15/2025","320.02","319.59","322.88","318.39","10.86M","0.47%"
"12/12/2025","318.52","319.68","320.27","316.60","8.98M","0.36%"
"12/11/2025","317.38","309.24","318.00","309.24","9.72M","2.34%"
"12/10/2025","310.11","300.50","311.19","298.46","18.87M","3.19%"
"12/09/2025","300.51","314.95","318.80","300.02","18.05M","-4.66%"
"12/08/2025","315.21","315.06","316.47","313.35","7.42M","0.05%"
"12/05/2025","315.04","315.64","318.48","314.68","6.52M","-0.34%"
"12/04/2025","316.10","313.26","318.49","313.00","9.63M","1.27%"
"12/03/2025","312.13","307.20","312.36","306.80","8.54M","1.38%"
"12/02/2025","307.88","308.74","310.48","307.09","7.25M","-0.34%"
"12/01/2025","308.92","312.95","314.04","308.54","7.73M","-1.33%"
"11/28/2025","313.08","309.10","313.72","308.24","4.32M","1.77%"
"11/26/2025","307.64","305.00","308.52","303.20","7.91M","1.53%"
"11/25/2025","303.00","300.05","304.50","295.56","8.88M","1.68%"
"11/24/2025","298.00","298.24","299.82","294.51","10.94M","-0.01%"
"11/21/2025","298.02","301.29","301.68","292.81","11.77M","-0.12%"
"11/20/2025","298.38","306.34","309.92","298.16","7.50M","-1.61%"
"11/19/2025","303.27","299.74","304.45","299.27","5.55M","1.29%"
"11/18/2025","299.41","299.50","302.95","297.02","8.08M","-0.32%"
"11/17/2025","300.37","304.00","305.59","297.67","8.34M","-1.07%"
"11/14/2025","303.61","307.51","307.64","301.23","10.33M","-1.90%"
"11/13/2025","309.48","319.23","320.63","309.10","8.97M","-3.41%"
"11/12/2025","320.41","316.26","322.25","316.21","10.58M","1.52%"
"11/11/2025","315.62","317.50","319.05","315.28","5.03M","-0.40%"
"11/10/2025","316.89","315.00","319.55","314.21","5.79M","0.85%"
"11/07/2025","314.21","311.89","314.43","307.64","7.30M","0.25%"
"11/06/2025","313.42","310.99","314.84","310.26","7.21M","0.56%"
"11/05/2025","311.68","309.61","313.10","305.63","6.87M","0.79%"
"11/04/2025","309.25","306.71","312.22","305.10","7.09M","-0.03%"
"11/03/2025","309.35","311.00","312.32","306.21","7.77M","-0.57%"
"10/31/2025","311.12","308.54","312.87","307.25","7.72M","0.54%"
"10/30/2025","309.44","305.79","312.61","305.10","7.51M","1.29%"
"10/29/2025","305.51","303.51","308.24","303.01","7.52M","0.05%"
"10/28/2025","305.36","304.86","307.97","303.16","6.34M","0.40%"
"10/27/2025","304.15","302.16","304.53","301.01","5.64M","1.23%"
"10/24/2025","300.44","296.08","302.60","295.45","7.23M","2.00%"
"10/23/2025","294.54","294.38","296.37","292.51","5.44M","0.15%"
"10/22/2025","294.11","297.77","298.06","290.54","8.05M","-1.00%"
"10/21/2025","297.09","301.66","304.05","297.00","7.37M","-1.74%"
"10/20/2025","302.36","298.50","303.69","298.16","6.89M","1.61%"
"10/17/2025","297.56","299.16","299.55","294.20","10.15M","-0.33%"
"10/16/2025","298.54","305.35","308.68","297.07","10.55M","-2.34%"
"10/15/2025","305.69","306.39","312.12","305.44","11.35M","1.20%"
"10/14/2025","302.08","305.84","307.00","294.21","16.18M","-1.91%"
"10/13/2025","307.97","305.60","309.46","305.45","10.79M","2.35%"
"10/10/2025","300.89","305.66","310.47","300.81","8.60M","-1.52%"
"10/09/2025","305.53","305.05","308.04","303.39","7.06M","0.49%"
"10/08/2025","304.03","308.21","308.78","303.55","6.49M","-1.19%"
"10/07/2025","307.69","309.35","310.01","304.70","8.45M","-0.48%"
"10/06/2025","309.18","310.18","311.75","305.13","7.21M","-0.27%"
"10/03/2025","310.03","308.51","311.66","308.21","6.03M","0.81%"
"10/02/2025","307.55","310.00","310.56","306.14","7.60M","-1.02%"
"10/01/2025","310.71","313.97","314.59","307.41","9.24M","-1.50%"
"09/30/2025","315.43","316.25","317.41","310.11","11.82M","-0.08%"
"09/29/2025","315.69","317.06","318.01","313.66","6.46M","-0.12%"
"09/26/2025","316.06","314.90","317.81","313.70","7.26M","0.83%"
"09/25/2025","313.45","314.12","315.65","311.80","7.08M","0.01%"
"09/24/2025","313.42","314.05","316.58","311.67","7.31M","0.22%"
"09/23/2025","312.74","311.82","316.31","310.58","8.58M","0.10%"
"09/22/2025","312.44","309.80","313.70","309.55","7.52M","-0.74%"
"09/19/2025","314.78","313.60","315.80","309.12","23.57M","0.49%"
"09/18/2025","313.23","311.79","313.44","309.61","8.05M","0.47%"
"09/17/2025","311.75","310.39","312.91","308.77","8.66M","0.83%"
"09/16/2025","309.19","310.00","310.90","307.13","10.53M","0.09%"
"09/15/2025","308.90","307.17","309.95","307.17","7.12M","0.65%"
"09/12/2025","306.91","305.00","307.55","303.70","6.85M","0.44%"
"09/11/2025","305.56","301.24","305.73","300.79","7.94M","1.67%"
"09/10/2025","300.54","296.70","301.54","295.40","7.79M","0.90%"
"09/09/2025","297.85","292.60","299.00","292.31","7.85M","1.69%"
"09/08/2025","292.91","294.89","296.46","291.44","8.19M","-0.50%"
"09/05/2025","294.38","303.65","305.15","294.31","9.84M","-3.11%"
"09/04/2025","303.82","300.00","304.43","298.28","6.61M","1.44%"
"09/03/2025","299.51","300.57","300.57","296.38","6.32M","-0.06%"
"09/02/2025","299.70","300.26","300.45","294.50","7.22M","-0.57%"
"08/29/2025","301.42","302.04","302.95","299.73","6.80M","0.12%"
"08/28/2025","301.07","300.02","301.24","298.70","6.41M","0.60%"
"08/27/2025","299.28","297.25","301.07","297.04","6.06M","0.24%"
"08/26/2025","298.57","294.16","298.74","293.50","6.71M","1.24%"
"08/25/2025","294.90","296.24","297.35","294.14","5.86M","-0.45%"
"08/22/2025","296.24","293.20","297.16","290.13","8.55M","1.64%"
"08/21/2025","291.47","291.94","292.77","289.47","6.62M","-0.26%"
"08/20/2025","292.24","290.81","293.33","287.27","7.37M","0.54%"
"08/19/2025","290.66","290.83","292.48","289.53","6.03M","-0.30%"
"08/18/2025","291.53","290.00","291.90","288.41","5.39M","0.36%"
"08/15/2025","290.49","294.84","295.50","289.82","7.34M","-1.25%"
"08/14/2025","294.16","290.58","294.20","289.64","6.32M","1.25%"
"08/13/2025","290.53","293.95","294.55","287.16","8.42M","-0.79%"
"08/12/2025","292.85","291.50","294.75","290.34","8.57M","1.14%"
"08/11/2025","289.56","289.40","291.32","288.78","5.51M","0.28%"
"08/08/2025","288.76","288.98","291.23","284.71","6.63M","0.63%"
"08/07/2025","286.94","292.94","293.46","286.41","8.06M","-1.51%"
"08/06/2025","291.35","292.30","293.29","290.16","6.33M","-0.01%"
"08/05/2025","291.37","294.69","295.79","287.24","7.18M","-0.98%"
"08/04/2025","294.26","290.26","294.32","290.26","6.65M","1.69%"
"08/01/2025","289.37","290.40","291.80","284.24","12.01M","-2.32%"
"07/31/2025","296.24","299.14","300.98","295.50","14.75M","-1.13%"
"07/30/2025","299.63","297.42","300.61","297.38","8.06M","0.87%"
"07/29/2025","297.04","300.00","301.29","296.20","7.64M","-0.42%"
"07/28/2025","298.28","297.66","299.43","296.82","5.84M","-0.11%"
"07/25/2025","298.62","296.70","298.90","295.95","5.92M","0.70%"
"07/24/2025","296.55","297.42","299.59","296.20","7.00M","-0.07%"
"07/23/2025","296.76","292.84","296.99","292.55","7.08M","1.83%"
"07/22/2025","291.43","291.50","293.63","289.18","6.72M","0.16%"
"07/21/2025","290.97","291.00","294.18","290.58","7.90M","-0.10%"
"07/18/2025","291.27","289.52","292.50","288.23","12.22M","0.47%"
"07/17/2025","289.90","283.44","290.30","283.44","8.51M","1.43%"
"07/16/2025","285.82","288.40","290.73","283.01","9.98M","-0.25%"
"07/15/2025","286.55","288.00","291.95","285.48","12.53M","-0.74%"
"07/14/2025","288.70","287.07","289.30","285.26","9.08M","0.64%"
"07/11/2025","286.86","285.52","287.38","283.65","7.38M","-0.46%"
"07/10/2025","288.19","283.00","288.31","283.00","8.41M","1.78%"
"07/09/2025","283.16","287.18","287.20","282.48","11.27M","0.13%"
"07/08/2025","282.78","289.27","289.70","280.31","15.44M","-3.15%"
"07/07/2025","291.97","295.25","296.04","290.08","8.83M","-1.36%"
"07/03/2025","296.00","292.15","296.40","291.21","6.54M","1.37%"
"07/02/2025","292.00","292.04","292.82","289.70","8.16M","0.55%"
"07/01/2025","290.41","290.89","291.13","286.59","9.34M","0.17%"
"06/30/2025","289.91","290.40","292.65","288.92","12.69M","0.98%"
"06/27/2025","287.11","285.81","288.70","285.04","17.87M","-0.57%"
"06/26/2025","288.75","284.70","289.41","284.47","8.94M","1.65%"
"06/25/2025","284.06","281.50","284.28","280.91","6.83M","1.00%"
"06/24/2025","281.26","280.21","282.71","279.51","9.27M","1.07%"
"06/23/2025","278.27","275.06","278.55","272.11","8.09M","1.19%"
"06/20/2025","275.00","275.57","277.30","273.81","13.97M","0.38%"
"06/18/2025","273.96","270.00","277.72","269.72","9.59M","1.65%"
"06/17/2025","269.52","268.17","270.59","267.80","6.74M","-0.31%"
"06/16/2025","270.36","267.00","271.73","266.85","8.57M","2.04%"
"06/13/2025","264.95","265.08","267.02","262.71","7.10M","-1.23%"
"06/12/2025","268.24","266.86","268.29","265.14","6.62M","0.03%"
"06/11/2025","268.15","268.68","269.62","265.79","7.43M","-0.17%"
"06/10/2025","268.60","265.88","268.90","265.85","7.54M","0.70%"
"06/09/2025","266.74","266.00","267.90","263.35","8.29M","0.38%"
"06/06/2025","265.73","264.33","266.65","264.26","7.74M","1.44%"
"06/05/2025","261.95","264.74","264.74","260.31","8.18M","-0.86%"
"06/04/2025","264.22","265.92","267.12","264.18","5.92M","-0.77%"
"06/03/2025","266.27","263.73","266.58","262.88","7.00M","0.61%"
"06/02/2025","264.66","263.02","265.03","261.90","6.01M","0.25%"
"05/30/2025","264.00","263.45","265.33","262.73","10.98M","-0.14%"
"05/29/2025","264.37","264.80","265.41","262.53","5.08M","0.33%"
"05/28/2025","263.49","266.24","266.72","262.90","5.54M","-0.68%"
"05/27/2025","265.29","262.04","265.30","261.99","7.51M","1.76%"
"05/23/2025","260.71","256.81","261.99","256.00","6.67M","0.02%"
"05/22/2025","260.67","259.44","262.30","258.87","6.51M","-0.14%"
"05/21/2025","261.04","264.35","265.65","260.73","7.46M","-1.75%"
"05/20/2025","265.68","262.52","266.66","262.30","8.44M","0.30%"
"05/19/2025","264.88","265.55","268.32","261.93","12.15M","-1.00%"
"05/16/2025","267.56","267.50","268.46","264.71","8.93M","0.03%"
"05/15/2025","267.49","266.97","269.52","264.76","9.21M","0.70%"
"05/14/2025","265.64","263.00","266.64","262.29","8.64M","1.00%"
"05/13/2025","263.01","261.03","263.67","260.39","8.59M","1.14%"
"05/12/2025","260.05","262.90","263.60","258.70","9.60M","2.75%"
"05/09/2025","253.08","254.50","255.51","252.34","5.09M","-0.15%"
"05/08/2025","253.47","251.57","255.88","251.55","8.32M","1.64%"
"05/07/2025","249.39","249.85","252.45","248.83","8.72M","0.06%"
"05/06/2025","249.25","250.00","252.65","249.00","6.37M","-1.31%"
"05/05/2025","252.56","251.18","255.16","250.59","5.45M","0.02%"
"05/02/2025","252.51","251.26","253.62","249.46","7.17M","2.28%"
"05/01/2025","246.89","242.84","248.45","242.17","8.69M","0.93%"
"04/30/2025","244.62","241.21","245.22","238.43","12.99M","0.00%"
"04/29/2025","244.62","242.19","245.25","241.69","7.22M","0.58%"
"04/28/2025","243.22","244.56","246.84","240.84","7.39M","-0.14%"
"04/25/2025","243.55","244.65","245.62","241.75","8.59M","-0.45%"
"04/24/2025","244.64","239.74","245.47","237.58","9.06M","1.56%"
"04/23/2025","240.88","240.22","246.79","240.00","14.13M","2.25%"
"04/22/2025","235.59","231.98","235.99","231.37","10.70M","2.88%"
"04/21/2025","228.99","230.63","231.81","226.34","8.72M","-1.28%"
"04/17/2025","231.96","230.80","234.34","230.55","9.56M","1.02%"
"04/16/2025","229.61","232.00","233.58","227.93","9.32M","-1.51%"
"04/15/2025","233.13","236.10","238.65","232.82","10.91M","-0.68%"
"04/14/2025","234.72","237.10","239.78","233.63","13.02M","-0.63%"
"04/11/2025","236.20","226.31","238.57","225.00","20.28M","4.00%"
"04/10/2025","227.11","230.00","230.35","220.10","18.90M","-3.09%"
