"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","73.71","73.25","73.99","73.15","5.26M","0.89%"
"01/28/2026","73.06","73.21","73.62","72.57","14.63M","-0.67%"
"01/27/2026","73.55","72.44","73.56","72.27","13.24M","1.36%"
"01/26/2026","72.56","72.86","73.29","72.54","14.02M","-0.44%"
"01/23/2026","72.88","72.01","73.06","71.78","18.31M","1.41%"
"01/22/2026","71.87","71.82","72.04","71.44","13.96M","-0.19%"
"01/21/2026","72.01","71.98","72.24","70.83","21.66M","0.36%"
"01/20/2026","71.75","70.00","71.78","69.79","22.15M","1.86%"
"01/16/2026","70.44","70.29","70.74","70.04","20.03M","-0.06%"
"01/15/2026","70.48","71.59","71.60","70.36","15.46M","-1.34%"
"01/14/2026","71.44","71.17","71.71","70.81","16.74M","0.28%"
"01/13/2026","71.24","70.42","71.24","70.27","18.32M","1.05%"
"01/12/2026","70.50","70.89","70.96","70.24","20.58M","-0.01%"
"01/09/2026","70.51","69.43","70.66","69.12","19.64M","1.64%"
"01/08/2026","69.37","67.54","69.46","67.45","19.24M","2.71%"
"01/07/2026","67.54","67.99","68.07","67.27","20.22M","-0.44%"
"01/06/2026","67.84","68.01","68.25","67.59","21.02M","-0.15%"
"01/05/2026","67.94","68.92","68.92","67.92","21.19M","-1.71%"
"01/02/2026","69.12","69.85","69.87","68.97","12.15M","-1.13%"
"12/31/2025","69.91","70.07","70.16","69.88","8.13M","-0.23%"
"12/30/2025","70.07","70.00","70.24","69.80","8.61M","-0.13%"
"12/29/2025","70.16","70.00","70.42","69.85","9.69M","0.42%"
"12/26/2025","69.87","69.95","70.16","69.72","5.71M","-0.34%"
"12/24/2025","70.11","69.89","70.16","69.75","4.52M","0.34%"
"12/23/2025","69.87","70.20","70.25","69.69","9.47M","-0.48%"
"12/22/2025","70.21","69.93","70.22","69.65","12.83M","0.21%"
"12/19/2025","70.06","70.06","70.76","70.03","36.91M","-0.43%"
"12/18/2025","70.36","70.27","70.79","70.17","15.52M","-0.44%"
"12/17/2025","70.67","70.57","70.92","70.31","13.67M","0.43%"
"12/16/2025","70.37","71.30","71.30","70.32","17.37M","-0.85%"
"12/15/2025","70.97","70.43","71.32","70.32","18.66M","0.64%"
"12/12/2025","70.52","69.11","70.62","69.04","18.44M","2.04%"
"12/11/2025","69.11","70.55","70.69","68.79","23.12M","-1.57%"
"12/10/2025","70.21","70.39","70.53","69.78","29.79M","0.17%"
"12/09/2025","70.09","70.37","70.63","69.83","13.01M","-0.23%"
"12/08/2025","70.25","69.84","70.38","69.49","17.78M","0.36%"
"12/05/2025","70.00","70.32","70.71","69.87","13.98M","-0.64%"
"12/04/2025","70.45","70.83","71.34","70.37","17.71M","-0.51%"
"12/03/2025","70.81","70.88","71.40","70.61","17.00M","0.20%"
"12/02/2025","70.67","71.80","71.80","70.43","19.87M","-1.78%"
"12/01/2025","71.95","72.60","72.90","71.93","14.39M","-1.60%"
"11/28/2025","73.12","73.00","73.23","72.76","7.42M","0.33%"
"11/26/2025","72.88","72.60","73.08","72.39","11.80M","0.37%"
"11/25/2025","72.61","72.79","72.93","72.14","17.45M","0.03%"
"11/24/2025","72.59","73.16","73.16","71.57","39.82M","-0.49%"
"11/21/2025","72.95","71.68","73.19","71.49","26.49M","2.44%"
"11/20/2025","71.21","70.95","71.48","70.61","15.40M","0.14%"
"11/19/2025","71.11","71.20","71.44","70.81","12.40M","-0.15%"
"11/18/2025","71.22","70.99","71.34","70.57","12.84M","0.76%"
"11/17/2025","70.68","71.20","71.53","70.62","14.77M","-0.67%"
"11/14/2025","71.16","71.40","71.64","70.60","13.17M","0.13%"
"11/13/2025","71.07","71.42","71.67","71.00","14.00M","-0.62%"
"11/12/2025","71.51","71.49","71.89","71.34","13.61M","-0.14%"
"11/11/2025","71.61","70.98","71.75","70.66","16.16M","1.55%"
"11/10/2025","70.52","70.01","70.66","69.44","15.32M","-0.04%"
"11/07/2025","70.55","69.81","70.87","69.41","25.11M","2.16%"
"11/06/2025","69.06","68.30","69.14","67.92","15.91M","0.80%"
"11/05/2025","68.51","68.66","68.83","68.18","12.85M","-0.22%"
"11/04/2025","68.66","68.47","68.73","68.16","12.74M","1.02%"
"11/03/2025","67.97","68.80","68.89","67.66","15.66M","-1.35%"
"10/31/2025","68.90","68.54","69.07","67.90","16.74M","-0.12%"
"10/30/2025","68.98","68.45","69.29","68.39","14.75M","0.92%"
"10/29/2025","68.35","69.92","70.03","68.15","19.79M","-2.58%"
"10/28/2025","70.16","70.04","70.90","69.95","12.73M","0.14%"
"10/27/2025","70.06","69.78","70.11","69.25","13.80M","0.50%"
"10/24/2025","69.71","69.91","70.05","69.64","15.69M","-0.33%"
"10/23/2025","69.94","70.81","70.93","69.72","13.99M","-1.23%"
"10/22/2025","70.81","71.36","71.61","70.51","18.29M","-0.58%"
"10/21/2025","71.22","70.57","71.39","70.23","33.65M","4.06%"
"10/20/2025","68.44","68.43","68.64","67.92","17.79M","0.00%"
"10/17/2025","68.44","68.00","68.50","67.80","15.54M","1.26%"
"10/16/2025","67.59","67.18","68.11","67.16","15.71M","0.76%"
"10/15/2025","67.08","67.26","67.72","66.92","11.19M","-0.64%"
"10/14/2025","67.51","66.87","67.57","66.75","14.25M","1.06%"
"10/13/2025","66.80","66.23","66.80","66.00","13.69M","-0.36%"
"10/10/2025","67.04","66.52","67.39","66.38","17.99M","1.01%"
"10/09/2025","66.37","66.29","66.80","66.12","12.71M","0.38%"
"10/08/2025","66.12","66.67","66.87","66.06","12.61M","-1.00%"
"10/07/2025","66.79","66.22","67.26","65.87","13.33M","1.04%"
"10/06/2025","66.10","66.49","66.50","65.84","14.33M","-0.83%"
"10/03/2025","66.65","66.10","66.99","66.04","12.25M","0.83%"
"10/02/2025","66.10","66.53","66.65","65.86","14.35M","-1.02%"
"10/01/2025","66.78","66.50","66.83","66.29","14.88M","0.69%"
"09/30/2025","66.32","66.07","66.64","65.96","13.81M","0.42%"
"09/29/2025","66.04","65.67","66.10","65.35","14.82M","0.56%"
"09/26/2025","65.67","66.07","66.33","65.50","17.82M","-0.47%"
"09/25/2025","65.98","66.75","66.92","65.95","14.40M","-0.71%"
"09/24/2025","66.45","66.40","66.78","65.96","14.76M","-0.39%"
"09/23/2025","66.71","66.35","66.76","65.90","15.07M","0.76%"
"09/22/2025","66.21","66.16","66.59","66.08","13.30M","-0.33%"
"09/19/2025","66.43","66.49","66.73","66.04","31.19M","-0.05%"
"09/18/2025","66.46","66.80","67.04","66.35","17.72M","-0.87%"
"09/17/2025","67.04","66.40","67.13","66.40","17.37M","1.21%"
"09/16/2025","66.24","66.35","66.51","66.06","18.56M","0.05%"
"09/15/2025","66.21","66.68","66.78","66.10","15.99M","-1.19%"
"09/12/2025","67.01","67.60","67.71","66.93","18.71M","-0.90%"
"09/11/2025","67.62","67.92","68.17","67.58","15.13M","-0.29%"
"09/10/2025","67.82","67.79","68.09","67.21","16.04M","-0.06%"
"09/09/2025","67.86","67.28","68.11","67.28","14.12M","0.64%"
"09/08/2025","67.43","67.86","67.88","67.16","21.67M","-0.78%"
"09/05/2025","67.96","68.01","68.58","67.87","23.98M","-0.42%"
"09/04/2025","68.25","69.11","69.46","68.11","16.74M","-1.07%"
"09/03/2025","68.99","68.66","69.10","67.37","33.58M","-0.10%"
"09/02/2025","69.06","68.96","69.34","68.25","24.77M","0.10%"
"08/29/2025","68.99","68.67","69.14","68.43","14.60M","0.92%"
"08/28/2025","68.36","68.88","68.90","68.28","16.21M","-0.68%"
"08/27/2025","68.83","68.82","68.87","68.46","11.56M","0.15%"
"08/26/2025","68.73","69.04","69.08","68.57","17.96M","-0.29%"
"08/25/2025","68.93","70.11","70.23","68.71","13.63M","-1.71%"
"08/22/2025","70.13","70.96","71.02","69.92","13.00M","-0.75%"
"08/21/2025","70.66","70.60","70.90","70.33","8.84M","-0.06%"
"08/20/2025","70.70","70.74","71.71","70.40","17.53M","0.81%"
"08/19/2025","70.13","69.30","70.22","69.24","13.86M","1.45%"
"08/18/2025","69.13","69.98","70.05","69.05","14.09M","-1.13%"
"08/15/2025","69.92","69.74","70.39","69.57","12.38M","0.53%"
"08/14/2025","69.55","70.38","70.46","69.39","10.72M","-1.29%"
"08/13/2025","70.46","70.69","70.77","70.23","10.36M","-0.35%"
"08/12/2025","70.71","70.82","71.06","70.22","11.07M","-0.06%"
"08/11/2025","70.75","70.30","70.86","69.96","10.91M","0.58%"
"08/08/2025","70.34","70.36","70.87","70.08","9.23M","-0.13%"
"08/07/2025","70.43","69.46","70.71","69.33","15.79M","1.32%"
"08/06/2025","69.51","69.12","69.80","68.63","10.78M","0.67%"
"08/05/2025","69.05","68.90","69.49","68.75","11.99M","0.13%"
