"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","450.75","452.71","453.64","448.16","783.81K","-0.17%"
"01/28/2026","451.50","452.68","453.49","449.00","2.28M","-0.34%"
"01/27/2026","453.03","455.03","457.00","452.44","1.93M","-0.44%"
"01/26/2026","455.03","452.63","455.58","452.15","1.95M","0.77%"
"01/23/2026","451.57","443.24","451.98","443.07","1.64M","1.33%"
"01/22/2026","445.64","439.85","447.29","439.85","2.21M","1.43%"
"01/21/2026","439.35","433.47","440.95","433.03","2.63M","1.43%"
"01/20/2026","433.15","434.32","434.91","429.17","2.96M","-1.32%"
"01/16/2026","438.96","439.46","440.53","435.66","3.30M","-0.25%"
"01/15/2026","440.04","441.78","444.00","437.74","2.34M","0.01%"
"01/14/2026","439.98","441.83","444.36","437.90","2.54M","-0.66%"
"01/13/2026","442.90","443.97","444.67","440.09","1.79M","-0.16%"
"01/12/2026","443.63","442.38","445.98","439.39","2.28M","-0.10%"
"01/09/2026","444.08","437.82","445.05","437.17","1.79M","1.00%"
"01/08/2026","439.69","433.43","442.43","432.41","2.80M","1.28%"
"01/07/2026","434.14","436.91","439.02","432.89","2.32M","-0.69%"
"01/06/2026","437.16","434.07","438.99","433.46","2.36M","0.94%"
"01/05/2026","433.10","425.61","433.99","424.07","2.62M","0.93%"
"01/02/2026","429.11","426.28","430.81","422.08","2.20M","0.64%"
"12/31/2025","426.39","427.11","429.00","426.28","1.57M","-0.46%"
"12/30/2025","428.36","424.00","429.46","423.40","1.50M","0.43%"
"12/29/2025","426.54","423.85","427.30","423.75","2.24M","0.42%"
"12/26/2025","424.77","425.40","426.00","423.41","1.33M","-0.03%"
"12/24/2025","424.90","424.61","426.63","424.14","830.14K","-0.05%"
"12/23/2025","425.10","423.60","425.33","423.00","1.66M","0.38%"
"12/22/2025","423.51","421.55","425.29","420.53","2.35M","0.49%"
"12/19/2025","421.43","418.03","423.39","417.19","6.05M","0.58%"
"12/18/2025","418.99","421.53","424.48","418.47","3.37M","-0.79%"
"12/17/2025","422.34","423.00","424.41","420.78","4.77M","-0.28%"
"12/16/2025","423.51","418.53","424.45","414.90","3.96M","1.56%"
"12/15/2025","416.99","417.42","421.51","410.00","4.80M","0.18%"
"12/12/2025","416.24","406.75","418.02","406.75","4.73M","3.21%"
"12/11/2025","403.30","395.24","404.29","394.87","3.27M","2.70%"
"12/10/2025","392.68","389.62","394.35","389.00","5.12M","0.59%"
"12/09/2025","390.38","391.21","396.83","390.10","3.57M","0.26%"
"12/08/2025","389.38","398.76","399.42","387.78","4.57M","-2.55%"
"12/05/2025","399.57","403.96","404.61","398.93","3.18M","-1.03%"
"12/04/2025","403.73","407.61","408.73","401.93","2.86M","-1.32%"
"12/03/2025","409.15","408.34","411.02","406.00","1.96M","0.09%"
"12/02/2025","408.79","408.00","411.32","404.27","2.14M","0.41%"
"12/01/2025","407.14","410.02","411.57","406.72","2.08M","-0.78%"
"11/28/2025","410.32","407.82","411.58","406.46","1.16M","0.59%"
"11/26/2025","407.90","407.50","410.49","407.02","2.59M","0.01%"
"11/25/2025","407.85","411.67","412.87","406.09","3.58M","0.04%"
"11/24/2025","407.67","410.24","412.45","406.71","4.04M","-1.23%"
"11/21/2025","412.74","407.38","416.42","406.42","3.10M","1.04%"
"11/20/2025","408.51","414.60","415.95","408.21","2.72M","-1.14%"
"11/19/2025","413.20","414.73","416.07","410.73","2.64M","-0.37%"
"11/18/2025","414.72","418.73","419.38","413.65","2.59M","-0.75%"
"11/17/2025","417.85","421.61","423.38","417.56","2.25M","-1.31%"
"11/14/2025","423.39","428.64","430.10","423.07","2.47M","-1.22%"
"11/13/2025","428.64","427.20","429.00","420.92","2.87M","-0.07%"
"11/12/2025","428.96","428.00","431.56","424.89","2.59M","0.54%"
"11/11/2025","426.65","425.74","428.40","421.94","2.48M","1.42%"
"11/10/2025","420.67","420.52","422.17","415.92","2.62M","0.04%"
"11/07/2025","420.51","417.00","422.82","414.00","2.56M","1.25%"
"11/06/2025","415.32","416.35","419.48","413.59","3.44M","-0.70%"
