"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","1,028.32","1,025.40","1,039.20","1,018.00","854.47K","0.44%"
"01/28/2026","1,023.80","1,029.11","1,029.69","1,004.14","3.30M","-1.51%"
"01/27/2026","1,039.51","1,064.11","1,073.39","1,034.81","2.59M","-2.19%"
"01/26/2026","1,062.75","1,062.21","1,067.08","1,043.32","2.24M","-0.14%"
"01/23/2026","1,064.29","1,083.73","1,084.32","1,063.02","2.59M","-2.12%"
"01/22/2026","1,087.38","1,078.52","1,095.48","1,071.74","2.48M","0.82%"
"01/21/2026","1,078.52","1,043.86","1,081.33","1,042.02","3.69M","3.58%"
"01/20/2026","1,041.29","1,028.15","1,045.85","1,015.96","2.48M","0.28%"
"01/16/2026","1,038.40","1,024.43","1,049.94","1,018.00","3.83M","0.53%"
"01/15/2026","1,032.97","1,062.56","1,067.65","1,012.57","4.18M","-3.76%"
"01/14/2026","1,073.29","1,081.75","1,084.00","1,061.12","1.91M","-0.36%"
"01/13/2026","1,077.19","1,083.00","1,090.22","1,069.09","2.19M","-0.35%"
"01/12/2026","1,081.00","1,058.00","1,083.36","1,058.00","2.38M","1.64%"
"01/09/2026","1,063.56","1,086.82","1,104.52","1,063.03","2.56M","-1.99%"
"01/08/2026","1,085.19","1,113.69","1,133.95","1,070.15","3.16M","-2.07%"
"01/07/2026","1,108.09","1,077.00","1,117.66","1,075.96","4.65M","4.14%"
"01/06/2026","1,064.04","1,044.11","1,070.83","1,039.93","2.69M","2.16%"
"01/05/2026","1,041.51","1,069.23","1,085.38","1,033.38","4.08M","-3.60%"
"01/02/2026","1,080.36","1,076.40","1,080.66","1,052.08","2.47M","0.53%"
"12/31/2025","1,074.68","1,079.76","1,083.50","1,074.43","1.65M","-0.47%"
"12/30/2025","1,079.75","1,078.96","1,082.37","1,072.07","1.25M","0.09%"
"12/29/2025","1,078.73","1,077.95","1,085.50","1,074.38","1.65M","0.09%"
"12/26/2025","1,077.75","1,076.98","1,081.39","1,068.30","1.01M","0.07%"
"12/24/2025","1,076.98","1,074.64","1,085.73","1,072.71","932.80K","0.50%"
"12/23/2025","1,071.64","1,063.50","1,088.48","1,063.50","2.11M","-0.45%"
"12/22/2025","1,076.48","1,076.72","1,083.48","1,063.00","2.63M","0.47%"
"12/19/2025","1,071.44","1,059.01","1,075.38","1,059.01","5.83M","1.38%"
"12/18/2025","1,056.88","1,041.80","1,079.26","1,039.54","3.85M","1.45%"
"12/17/2025","1,041.79","1,064.30","1,064.30","1,036.41","3.73M","-1.19%"
"12/16/2025","1,054.29","1,063.50","1,068.25","1,036.23","4.02M","-0.74%"
"12/15/2025","1,062.19","1,032.55","1,065.00","1,032.55","4.65M","3.38%"
"12/12/2025","1,027.51","1,008.76","1,028.90","1,003.50","3.28M","1.80%"
"12/11/2025","1,009.38","1,008.15","1,031.56","987.00","4.52M","1.58%"
"12/10/2025","993.64","985.00","1,003.00","977.12","2.97M","1.16%"
"12/09/2025","982.22","1,002.84","1,012.00","979.18","2.57M","-1.54%"
"12/08/2025","997.59","1,010.74","1,014.20","988.88","3.09M","-1.26%"
"12/05/2025","1,010.31","1,023.84","1,027.39","1,004.00","2.50M","-0.41%"
"12/04/2025","1,014.49","1,032.63","1,032.63","1,007.18","3.85M","-1.85%"
