"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","632.37","608.49","645.31","607.56","1.64M","5.88%"
"01/28/2026","597.27","592.90","599.32","583.00","1.32M","0.39%"
"01/27/2026","594.95","580.00","595.87","573.82","1.71M","2.28%"
"01/26/2026","581.66","590.00","590.40","575.63","1.46M","-1.55%"
"01/23/2026","590.82","594.64","596.22","586.01","1.27M","-0.52%"
"01/22/2026","593.91","585.18","595.95","582.49","1.49M","1.31%"
"01/21/2026","586.23","576.06","588.97","576.06","1.82M","1.77%"
"01/20/2026","576.06","580.00","586.85","573.39","1.52M","-1.09%"
"01/16/2026","582.43","578.21","582.93","577.42","2.38M","0.79%"
"01/15/2026","577.89","568.66","579.60","559.73","1.76M","0.91%"
"01/14/2026","572.70","556.99","578.04","556.12","2.64M","2.58%"
"01/13/2026","558.30","560.02","563.30","550.84","2.01M","1.28%"
"01/12/2026","551.24","548.96","554.27","540.31","2.97M","1.53%"
"01/09/2026","542.92","525.88","546.07","525.88","2.65M","4.72%"
"01/08/2026","518.44","531.89","542.87","513.01","4.11M","4.34%"
"01/07/2026","496.87","525.31","532.38","496.00","4.08M","-4.82%"
"01/06/2026","522.04","517.06","538.73","517.06","2.81M","2.05%"
"01/05/2026","511.57","503.93","515.88","503.00","1.98M","2.92%"
"01/02/2026","497.07","483.25","497.16","476.54","1.13M","2.77%"
"12/31/2025","483.67","489.00","489.68","483.52","670.34K","-0.89%"
"12/30/2025","488.00","489.34","491.70","487.94","996.45K","-0.18%"
"12/29/2025","488.87","483.83","489.43","483.29","933.38K","1.21%"
"12/26/2025","483.03","485.20","487.06","481.18","606.02K","-0.56%"
"12/24/2025","485.75","485.00","491.18","484.45","581.60K","0.66%"
"12/23/2025","482.55","484.00","484.95","481.00","864.25K","-0.21%"
"12/22/2025","483.57","474.96","485.02","474.96","1.12M","1.99%"
"12/19/2025","474.13","466.34","475.72","464.88","2.83M","0.85%"
"12/18/2025","470.14","472.41","476.20","469.00","1.36M","-0.98%"
"12/17/2025","474.79","471.00","476.89","462.25","1.99M","-0.48%"
"12/16/2025","477.06","479.61","479.79","473.86","1.26M","-1.52%"
"12/15/2025","484.42","478.99","484.77","477.23","1.00M","0.87%"
"12/12/2025","480.25","475.66","480.84","470.79","1.38M","1.13%"
"12/11/2025","474.88","470.29","479.70","470.29","1.29M","1.48%"
"12/10/2025","467.94","465.21","473.08","455.88","2.31M","0.22%"
"12/09/2025","466.89","466.28","472.81","465.00","1.10M","0.32%"
"12/08/2025","465.38","453.50","465.56","451.48","1.39M","2.91%"
"12/05/2025","452.20","447.78","452.82","446.41","1.29M","0.86%"
"12/04/2025","448.35","448.18","449.53","445.43","1.28M","0.35%"
"12/03/2025","446.80","443.41","448.47","439.05","1.75M","1.13%"
"12/02/2025","441.82","440.98","442.75","437.25","1.54M","0.60%"
"12/01/2025","439.19","453.28","454.08","438.50","1.66M","-4.08%"
"11/28/2025","457.86","454.54","457.86","452.61","748.02K","0.81%"
"11/26/2025","454.16","453.30","457.26","452.98","1.30M","0.39%"
"11/25/2025","452.41","451.06","454.03","448.48","1.62M","0.30%"
"11/24/2025","451.06","459.43","461.19","450.06","1.41M","-2.11%"
"11/21/2025","460.78","468.60","469.40","459.96","1.58M","-1.60%"
