"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","268.34","268.51","270.98","266.14","908.08K","-0.40%"
"01/28/2026","269.42","273.72","274.00","268.06","2.95M","-1.65%"
"01/27/2026","273.94","277.01","277.01","272.32","2.49M","-1.43%"
"01/26/2026","277.91","278.83","279.50","275.62","2.02M","0.43%"
"01/23/2026","276.73","275.00","277.29","273.98","2.20M","0.65%"
"01/22/2026","274.95","277.37","281.36","274.88","2.88M","-0.78%"
"01/21/2026","277.11","267.44","278.33","267.01","4.02M","3.25%"
"01/20/2026","268.40","272.20","275.24","267.77","3.96M","-3.30%"
"01/16/2026","277.55","276.32","278.44","274.07","2.92M","0.19%"
"01/15/2026","277.01","275.14","278.21","273.44","2.62M","0.75%"
"01/14/2026","274.95","272.20","278.10","272.20","3.21M","0.26%"
"01/13/2026","274.25","273.14","274.74","270.35","2.95M","1.24%"
"01/12/2026","270.89","266.49","271.53","263.61","3.27M","1.38%"
"01/09/2026","267.21","259.95","268.05","259.13","4.09M","4.29%"
"01/08/2026","256.21","245.13","257.82","243.91","3.16M","3.68%"
"01/07/2026","247.12","251.88","256.80","247.10","2.42M","0.26%"
"01/06/2026","246.49","241.49","248.30","240.02","2.57M","0.71%"
"01/05/2026","244.75","245.08","247.83","243.95","2.84M","-0.87%"
"01/02/2026","246.89","241.50","247.23","239.97","2.60M","2.38%"
"12/31/2025","241.16","242.41","243.39","241.03","1.62M","-0.83%"
"12/30/2025","243.18","242.64","243.64","241.04","1.37M","-0.27%"
"12/29/2025","243.83","245.11","245.36","242.63","1.60M","-0.27%"
"12/26/2025","244.49","242.73","244.71","242.30","1.18M","0.61%"
"12/24/2025","243.00","241.75","243.98","241.34","787.86K","0.35%"
"12/23/2025","242.15","241.50","242.21","239.54","1.86M","0.03%"
"12/22/2025","242.07","240.58","242.75","239.63","1.78M","0.68%"
"12/19/2025","240.44","247.04","247.13","240.33","5.46M","-2.93%"
"12/18/2025","247.71","250.76","254.04","247.46","2.55M","-0.10%"
"12/17/2025","247.96","246.00","249.61","245.08","2.03M","0.60%"
"12/16/2025","246.47","250.21","250.97","246.04","2.69M","-0.93%"
"12/15/2025","248.78","247.74","249.44","243.86","3.11M","0.60%"
