"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","316.85","313.22","317.14","312.26","1.08M","1.29%"
"01/28/2026","312.80","315.00","316.28","311.61","2.18M","-0.42%"
"01/27/2026","314.13","312.32","314.56","311.04","2.51M","0.38%"
"01/26/2026","312.95","310.00","314.36","309.97","3.39M","1.20%"
"01/23/2026","309.25","306.10","309.51","305.36","2.35M","1.05%"
"01/22/2026","306.03","306.15","307.63","304.95","2.81M","0.11%"
"01/21/2026","305.69","303.34","305.71","303.14","3.63M","0.94%"
"01/20/2026","302.84","306.44","306.55","302.45","3.02M","-1.49%"
"01/16/2026","307.43","306.89","308.52","305.84","2.59M","-0.39%"
"01/15/2026","308.62","308.93","308.93","303.80","3.19M","0.16%"
"01/14/2026","308.13","309.44","311.18","305.93","2.95M","-0.42%"
"01/13/2026","309.44","305.23","309.66","305.20","2.97M","0.88%"
"01/12/2026","306.75","307.44","307.48","304.17","3.21M","-0.19%"
"01/09/2026","307.32","309.04","309.52","304.60","2.97M","-0.51%"
"01/08/2026","308.88","303.44","309.00","302.63","3.27M","1.55%"
"01/07/2026","304.16","305.33","307.00","303.31","4.10M","0.46%"
"01/06/2026","302.77","299.07","304.22","298.33","3.77M","0.97%"
"01/05/2026","299.86","301.25","302.33","299.61","4.57M","-1.12%"
"01/02/2026","303.26","305.29","305.55","300.29","3.12M","-0.78%"
"12/31/2025","305.63","307.78","308.21","305.35","1.90M","-0.78%"
"12/30/2025","308.03","307.08","308.64","306.77","1.68M","-0.16%"
"12/29/2025","308.53","310.46","311.10","308.22","2.15M","-0.69%"
"12/26/2025","310.68","312.98","313.26","309.87","1.31M","-0.85%"
"12/24/2025","313.33","310.68","313.40","310.28","1.01M","0.80%"
"12/23/2025","310.84","312.10","314.12","310.63","2.92M","-1.70%"
"12/22/2025","316.22","315.00","318.27","314.47","2.51M","0.12%"
"12/19/2025","315.84","318.70","319.33","315.75","7.13M","-1.19%"
"12/18/2025","319.65","319.38","321.79","318.35","3.34M","0.30%"
"12/17/2025","318.69","315.55","319.20","315.00","3.33M","1.33%"
"12/16/2025","314.50","319.11","320.58","314.31","2.97M","-1.33%"
"12/15/2025","318.73","316.70","319.66","315.80","3.81M","0.63%"
"12/12/2025","316.72","310.53","317.79","310.37","3.77M","2.26%"
"12/11/2025","309.71","311.50","312.98","309.06","4.84M","-0.26%"
"12/10/2025","310.53","309.50","311.32","306.01","4.10M","-0.08%"
"12/09/2025","310.79","310.68","312.70","308.42","2.36M","0.32%"
"12/08/2025","309.79","312.00","313.75","309.05","3.58M","-0.46%"
"12/05/2025","311.23","308.66","312.05","308.20","3.15M","0.87%"
"12/04/2025","308.54","308.52","313.80","307.32","4.63M","0.27%"
"12/03/2025","307.71","302.40","308.75","302.06","4.99M","2.32%"
"12/02/2025","300.72","303.80","303.82","299.59","3.95M","-0.94%"
"12/01/2025","303.57","309.48","309.50","303.37","3.35M","-2.65%"
"11/28/2025","311.82","312.37","313.30","310.69","1.85M","-0.19%"
"11/26/2025","312.40","311.57","312.87","309.72","2.79M","0.63%"
"11/25/2025","310.45","306.75","311.46","306.75","4.19M","1.82%"
"11/24/2025","304.90","308.99","310.34","304.03","3.69M","-1.44%"
"11/21/2025","309.35","306.27","310.54","306.15","3.35M","1.71%"
"11/20/2025","304.16","302.45","305.64","301.87","4.21M","0.47%"
"11/19/2025","302.74","304.59","304.84","302.04","2.01M","-0.61%"
"11/18/2025","304.59","305.68","308.44","304.16","2.77M","-0.10%"
"11/17/2025","304.90","307.17","307.70","304.10","2.44M","-0.69%"
"11/14/2025","307.03","308.45","310.75","303.33","3.11M","-0.18%"
"11/13/2025","307.58","307.30","310.10","306.50","2.29M","0.21%"
"11/12/2025","306.94","306.78","309.09","305.78","2.82M","0.04%"
"11/11/2025","306.83","300.86","307.29","300.85","2.76M","2.58%"
"11/10/2025","299.10","299.00","300.02","296.04","3.82M","-0.19%"
"11/07/2025","299.66","300.34","302.55","298.33","3.25M","0.42%"
"11/06/2025","298.41","304.26","306.41","297.51","3.54M","-2.38%"
"11/05/2025","305.67","299.55","310.17","299.21","6.07M","2.16%"
"11/04/2025","299.21","298.21","299.75","296.42","4.15M","0.96%"
"11/03/2025","296.37","297.67","297.92","294.43","3.90M","-0.69%"
"10/31/2025","298.43","300.00","300.71","297.00","3.58M","-1.32%"
"10/30/2025","302.43","300.50","304.39","300.10","3.13M","0.03%"
"10/29/2025","302.35","304.70","304.78","301.21","2.50M","-1.32%"
"10/28/2025","306.40","308.54","310.58","306.33","2.34M","-1.16%"
"10/27/2025","310.00","305.90","310.09","305.34","2.14M","1.38%"
"10/24/2025","305.79","307.63","307.70","305.02","1.99M","-0.38%"
"10/23/2025","306.97","311.97","311.97","306.22","2.08M","-1.01%"
"10/22/2025","310.11","308.22","312.79","307.14","2.74M","0.86%"
"10/21/2025","307.48","308.55","308.55","306.39","2.46M","-0.09%"
"10/20/2025","307.77","307.95","308.70","305.84","2.33M","-0.10%"
"10/17/2025","308.09","306.80","308.33","306.31","2.19M","0.90%"
"10/16/2025","305.33","305.79","307.28","304.71","2.02M","0.03%"
"10/15/2025","305.25","303.63","309.10","303.63","2.52M","0.23%"
"10/14/2025","304.56","300.16","305.52","300.11","2.99M","1.48%"
"10/13/2025","300.11","294.60","300.42","294.00","3.37M","1.04%"
"10/10/2025","297.01","294.70","297.95","292.89","4.02M","1.09%"
"10/09/2025","293.81","293.65","295.12","292.04","2.80M","-0.20%"
"10/08/2025","294.40","296.38","296.66","293.43","2.46M","-0.65%"
"10/07/2025","296.32","295.00","298.07","294.13","2.52M","0.09%"
"10/06/2025","296.04","299.04","299.64","294.91","3.81M","-1.64%"
"10/03/2025","300.98","298.90","301.39","298.66","2.60M","0.37%"
"10/02/2025","299.88","299.60","302.38","298.95","2.69M","-0.21%"
"10/01/2025","300.52","303.26","304.77","298.30","3.06M","-1.11%"
"09/30/2025","303.89","302.75","304.48","302.00","2.64M","0.30%"
"09/29/2025","302.99","305.88","306.11","301.85","3.07M","-0.74%"
"09/26/2025","305.24","303.37","305.78","302.01","2.28M","0.97%"
"09/25/2025","302.30","305.88","306.33","301.95","2.56M","-0.67%"
"09/24/2025","304.33","302.49","305.98","302.01","2.43M","0.38%"
"09/23/2025","303.19","303.74","304.45","300.32","2.98M","0.07%"
"09/22/2025","302.99","302.32","304.25","300.42","3.66M","0.20%"
"09/19/2025","302.38","301.70","304.80","300.75","5.70M","0.41%"
"09/18/2025","301.14","301.47","302.69","297.88","4.65M","-1.26%"
"09/17/2025","304.97","304.90","306.58","303.91","2.68M","0.55%"
"09/16/2025","303.29","303.50","306.00","302.70","3.58M","0.40%"
"09/15/2025","302.07","305.14","305.71","300.51","3.58M","-1.09%"
"09/12/2025","305.40","307.62","308.51","305.25","2.07M","-0.98%"
"09/11/2025","308.43","306.23","308.94","305.25","2.76M","0.81%"
"09/10/2025","305.94","312.09","312.09","304.61","3.48M","-2.11%"
"09/09/2025","312.52","311.21","313.70","310.73","2.31M","-0.09%"
"09/08/2025","312.80","312.82","313.08","309.76","2.87M","-0.50%"
"09/05/2025","314.38","317.36","318.04","313.27","2.53M","-0.82%"
"09/04/2025","316.99","317.82","319.42","316.48","2.88M","0.19%"
"09/03/2025","316.39","315.02","316.87","312.98","3.22M","0.20%"
"09/02/2025","315.76","313.05","316.13","312.33","3.23M","0.71%"
"08/29/2025","313.54","312.23","313.90","311.43","2.49M","0.42%"
"08/28/2025","312.22","311.12","312.52","309.35","3.47M","0.25%"
"08/27/2025","311.43","313.36","315.72","311.34","3.23M","-0.48%"
"08/26/2025","312.94","313.43","315.12","312.30","2.81M","-0.16%"
"08/25/2025","313.44","313.73","315.55","311.95","2.94M","-0.20%"
"08/22/2025","314.07","314.63","316.80","313.15","2.80M","0.27%"
"08/21/2025","313.22","311.87","313.60","311.17","2.28M","0.04%"
"08/20/2025","313.08","313.67","316.15","312.39","3.88M","0.69%"
"08/19/2025","310.93","308.70","314.22","308.45","2.89M","0.72%"
"08/18/2025","308.70","308.37","309.98","306.56","3.27M","-0.07%"
"08/15/2025","308.93","310.16","310.16","306.50","3.42M","-0.01%"
"08/14/2025","308.95","305.50","309.29","302.70","4.70M","1.27%"
"08/13/2025","305.07","301.70","305.31","301.39","3.00M","1.14%"
"08/12/2025","301.64","305.17","305.50","299.89","3.44M","-0.89%"
"08/11/2025","304.36","305.50","307.30","303.78","2.65M","-0.36%"
"08/08/2025","305.45","307.00","308.55","303.89","2.62M","-0.80%"
"08/07/2025","307.91","309.16","310.17","304.35","3.60M","0.08%"
"08/06/2025","307.66","307.00","310.39","301.74","6.47M","2.98%"
"08/05/2025","298.77","303.00","304.60","298.37","4.22M","-1.79%"
"08/04/2025","304.23","300.53","306.35","300.53","4.73M","0.44%"
"08/01/2025","302.89","303.50","303.70","301.38","3.34M","0.94%"
"07/31/2025","300.07","301.02","303.47","300.00","3.64M","-1.17%"
"07/30/2025","303.61","302.57","305.43","301.08","2.81M","0.31%"
"07/29/2025","302.67","298.95","302.83","298.30","3.15M","1.15%"
"07/28/2025","299.22","297.06","299.91","294.99","3.07M","0.25%"
"07/25/2025","298.47","296.81","298.64","294.90","3.40M","1.35%"
"07/24/2025","294.48","296.91","297.46","294.41","4.43M","-1.22%"
"07/23/2025","298.12","299.49","299.88","296.92","2.47M","-0.35%"
"07/22/2025","299.17","295.86","300.10","295.05","2.67M","1.16%"
"07/21/2025","295.74","298.11","298.80","295.28","3.04M","-0.45%"
"07/18/2025","297.07","299.74","300.39","296.43","3.48M","-1.10%"
"07/17/2025","300.37","299.77","302.45","298.42","3.13M","0.49%"
"07/16/2025","298.90","299.78","300.48","296.21","2.80M","-0.24%"
"07/15/2025","299.62","301.30","302.79","299.24","2.94M","-0.75%"
"07/14/2025","301.88","299.18","302.07","294.83","5.71M","0.66%"
"07/11/2025","299.91","298.14","302.74","297.29","4.52M","0.51%"
"07/10/2025","298.39","296.30","300.78","295.02","5.37M","1.83%"
"07/09/2025","293.02","292.25","293.82","291.34","3.27M","0.46%"
"07/08/2025","291.67","293.01","293.02","290.26","3.12M","-0.63%"
"07/07/2025","293.53","294.11","295.68","292.48","3.40M","-0.19%"
"07/03/2025","294.08","294.67","294.83","292.61","1.68M","-0.19%"
"07/02/2025","294.63","298.08","298.08","292.60","4.02M","-0.96%"
"07/01/2025","297.49","292.50","299.65","292.35","5.12M","1.82%"
"06/30/2025","292.17","290.88","293.58","290.88","5.05M","0.21%"
"06/27/2025","291.55","286.01","292.19","285.24","7.42M","2.07%"
"06/26/2025","285.63","285.95","286.79","283.47","5.35M","0.03%"
"06/25/2025","285.55","290.86","291.08","284.30","4.26M","-2.03%"
"06/24/2025","291.47","289.62","292.10","288.58","4.46M","0.67%"
"06/23/2025","289.52","288.52","289.52","285.87","5.17M","0.72%"
"06/20/2025","287.46","289.77","290.61","285.57","7.08M","-0.75%"
"06/18/2025","289.63","293.00","293.11","288.60","4.01M","-0.92%"
"06/17/2025","292.31","296.00","296.01","291.79","3.38M","-1.34%"
"06/16/2025","296.29","303.14","304.00","295.75","4.05M","-1.86%"
"06/13/2025","301.91","301.81","305.11","301.15","2.44M","-0.41%"
"06/12/2025","303.16","301.67","303.18","300.07","2.58M","0.48%"
"06/11/2025","301.72","300.20","303.20","297.19","3.31M","0.43%"
"06/10/2025","300.43","300.01","302.41","299.45","4.70M","-1.43%"
"06/09/2025","304.78","303.73","305.23","299.85","4.06M","-0.84%"
"06/06/2025","307.36","307.15","309.86","306.81","2.62M","-0.52%"
"06/05/2025","308.98","312.00","312.00","307.77","3.82M","-0.83%"
"06/04/2025","311.57","313.00","314.25","309.48","2.07M","-0.26%"
"06/03/2025","312.39","311.84","314.39","309.15","3.03M","-0.09%"
"06/02/2025","312.68","310.73","313.24","309.39","2.58M","-0.37%"
"05/30/2025","313.85","312.00","315.29","310.58","4.06M","0.64%"
"05/29/2025","311.86","312.37","313.50","310.04","2.25M","-0.31%"
"05/28/2025","312.84","314.95","315.65","312.19","1.94M","-0.67%"
"05/27/2025","314.95","314.51","315.62","312.16","2.53M","0.12%"
"05/23/2025","314.57","315.07","315.65","313.03","2.70M","0.08%"
"05/22/2025","314.31","316.12","316.62","312.63","2.64M","-0.67%"
"05/21/2025","316.44","317.52","318.67","315.17","2.39M","-1.05%"
"05/20/2025","319.80","321.22","321.72","318.85","2.03M","-0.45%"
"05/19/2025","321.23","318.11","321.61","318.03","2.75M","0.82%"
"05/16/2025","318.61","314.37","318.66","313.37","2.64M","1.31%"
"05/15/2025","314.48","307.80","315.13","307.80","2.93M","2.27%"
"05/14/2025","307.50","308.24","308.91","305.69","2.66M","-0.39%"
"05/13/2025","308.69","311.65","312.17","308.45","3.02M","-1.04%"
"05/12/2025","311.92","312.01","312.18","305.01","4.14M","-0.56%"
"05/09/2025","313.68","312.90","314.25","311.17","1.92M","0.06%"
"05/08/2025","313.49","318.08","319.66","313.18","2.13M","-1.46%"
"05/07/2025","318.13","316.48","319.24","316.12","2.73M","0.42%"
"05/06/2025","316.79","315.11","317.24","312.87","2.69M","0.34%"
"05/05/2025","315.72","313.00","317.40","310.70","3.53M","1.21%"
"05/02/2025","311.96","313.55","315.97","310.68","3.99M","-0.54%"
"05/01/2025","313.64","313.15","319.25","311.60","5.19M","-1.88%"
"04/30/2025","319.65","316.79","321.00","313.10","5.56M","1.64%"
"04/29/2025","314.50","316.06","316.73","313.00","3.16M","-0.73%"
"04/28/2025","316.81","317.70","318.02","314.25","2.58M","0.02%"
"04/25/2025","316.74","316.50","321.78","315.03","2.28M","0.16%"
"04/24/2025","316.22","318.43","318.89","313.53","2.48M","-0.71%"
"04/23/2025","318.48","318.50","319.89","314.79","3.21M","-0.19%"
"04/22/2025","319.08","311.76","320.00","311.19","4.20M","3.36%"
"04/21/2025","308.72","311.00","311.28","305.11","2.67M","-0.83%"
"04/17/2025","311.30","309.22","312.99","307.13","2.73M","0.71%"
"04/16/2025","309.10","313.57","314.29","307.37","3.10M","-1.08%"
"04/15/2025","312.48","316.13","317.20","311.84","2.90M","-1.14%"
"04/14/2025","316.07","312.43","318.20","311.13","4.07M","1.99%"
"04/11/2025","309.90","306.47","310.89","303.96","4.44M","1.02%"
"04/10/2025","306.78","301.34","307.63","296.92","6.05M","0.93%"
"04/09/2025","303.96","297.41","311.65","296.71","8.27M","1.38%"
"04/08/2025","299.83","303.78","308.25","294.92","5.56M","-0.02%"
"04/07/2025","299.89","292.60","304.88","290.50","7.73M","-0.07%"
"04/04/2025","300.11","314.57","314.96","299.30","8.83M","-5.71%"
"04/03/2025","318.27","311.38","319.72","311.30","7.02M","2.15%"
"04/02/2025","311.58","312.71","313.93","309.83","2.78M","-0.65%"
"04/01/2025","313.63","313.08","314.78","310.95","2.41M","0.40%"
"03/31/2025","312.37","305.00","313.20","304.44","4.42M","1.72%"
"03/28/2025","307.09","309.00","310.00","305.98","3.21M","-1.79%"
"03/27/2025","312.69","315.16","316.64","310.68","3.12M","-0.28%"
"03/26/2025","313.58","307.90","314.06","307.79","2.62M","2.17%"
"03/25/2025","306.92","306.93","308.66","304.03","2.66M","0.41%"
