"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","57.86","57.92","58.46","57.62","3.64M","0.23%"
"01/28/2026","57.73","58.98","59.59","57.36","9.81M","-2.19%"
"01/27/2026","59.02","58.30","60.20","58.25","10.45M","0.84%"
"01/26/2026","58.53","58.29","58.90","57.99","9.76M","0.22%"
"01/23/2026","58.40","57.49","58.43","57.44","10.55M","1.42%"
"01/22/2026","57.58","57.26","58.21","57.21","11.53M","0.40%"
"01/21/2026","57.35","57.67","58.00","56.68","12.52M","-1.10%"
"01/20/2026","57.99","57.13","58.33","56.83","13.06M","1.31%"
"01/16/2026","57.24","57.22","57.56","56.61","12.02M","-0.10%"
"01/15/2026","57.30","57.14","57.56","56.87","8.08M","0.12%"
"01/14/2026","57.23","55.79","57.32","55.71","12.57M","2.31%"
"01/13/2026","55.94","55.20","56.04","54.81","9.87M","1.86%"
"01/12/2026","54.92","55.12","55.40","54.73","11.64M","-0.31%"
"01/09/2026","55.09","53.99","55.24","53.55","9.91M","2.04%"
"01/08/2026","53.99","51.40","54.09","51.20","15.51M","4.81%"
"01/07/2026","51.51","52.85","53.08","51.44","13.17M","-2.31%"
"01/06/2026","52.73","53.48","53.65","52.70","11.22M","-1.88%"
"01/05/2026","53.74","53.36","53.87","52.79","15.82M","0.17%"
"01/02/2026","53.65","53.94","54.28","53.41","10.84M","-0.33%"
"12/31/2025","53.83","54.50","54.50","53.79","6.66M","-1.79%"
"12/30/2025","54.81","54.96","55.25","54.74","6.09M","-0.42%"
"12/29/2025","55.04","54.73","55.06","54.57","7.41M","0.73%"
"12/26/2025","54.64","54.60","54.72","54.31","4.69M","0.04%"
"12/24/2025","54.62","54.21","54.65","54.13","3.83M","0.87%"
"12/23/2025","54.15","54.31","54.42","53.51","8.64M","-0.29%"
"12/22/2025","54.31","54.15","54.91","54.08","8.78M","-0.35%"
"12/19/2025","54.50","54.52","55.26","54.32","29.24M","-0.51%"
"12/18/2025","54.78","53.75","54.84","53.68","19.27M","1.78%"
