"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","100.58","101.00","101.25","99.78","1.72M","-0.21%"
"01/28/2026","100.79","100.46","101.25","100.26","6.64M","0.10%"
"01/27/2026","100.69","100.23","102.03","99.68","7.13M","0.02%"
"01/26/2026","100.67","100.94","102.10","100.57","8.40M","-0.21%"
"01/23/2026","100.88","101.01","101.72","100.23","8.48M","-0.45%"
"01/22/2026","101.34","100.42","102.08","100.11","9.98M","1.05%"
"01/21/2026","100.29","99.29","101.03","98.74","11.30M","1.71%"
"01/20/2026","98.60","96.26","98.67","95.68","10.11M","1.90%"
"01/16/2026","96.76","98.68","98.95","96.67","9.04M","-2.26%"
"01/15/2026","99.00","98.38","99.46","97.64","6.70M","0.26%"
"01/14/2026","98.74","96.33","98.77","95.83","9.91M","2.41%"
"01/13/2026","96.42","97.32","97.32","95.93","5.82M","-0.55%"
"01/12/2026","96.95","97.87","98.00","95.87","7.84M","-0.59%"
"01/09/2026","97.53","98.95","99.19","97.10","5.98M","-1.18%"
"01/08/2026","98.69","99.62","100.40","98.67","5.39M","-1.08%"
"01/07/2026","99.77","100.68","101.32","99.37","7.12M","-0.54%"
"01/06/2026","100.31","98.06","100.54","97.71","7.11M","3.03%"
"01/05/2026","97.36","95.63","97.56","95.17","6.60M","1.36%"
"01/02/2026","96.05","96.04","96.44","95.29","6.22M","-0.01%"
"12/31/2025","96.06","96.55","96.99","95.94","4.73M","-0.62%"
"12/30/2025","96.66","96.32","96.88","96.08","3.74M","0.53%"
"12/29/2025","96.15","96.74","96.91","95.96","4.79M","-0.38%"
"12/26/2025","96.52","96.71","96.75","96.01","4.34M","-0.77%"
"12/24/2025","97.27","97.41","97.60","97.00","1.98M","-0.21%"
"12/23/2025","97.47","97.51","97.89","97.27","3.58M","-0.25%"
"12/22/2025","97.71","98.40","98.48","96.89","6.55M","-0.93%"
"12/19/2025","98.63","98.54","99.24","98.22","12.76M","0.15%"
"12/18/2025","98.48","98.69","99.26","98.08","6.31M","0.18%"
"12/17/2025","98.30","97.81","98.59","97.76","5.57M","0.59%"
"12/16/2025","97.72","98.55","98.62","97.17","5.64M","-0.86%"
"12/15/2025","98.57","99.90","100.67","98.35","9.57M","-1.30%"
"12/12/2025","99.87","99.85","100.11","99.00","6.55M","0.12%"
"12/11/2025","99.75","101.39","101.39","99.62","8.34M","-1.01%"
"12/10/2025","100.77","99.50","101.07","99.49","6.16M","1.15%"
"12/09/2025","99.62","101.43","102.00","99.57","4.67M","-1.62%"
"12/08/2025","101.26","101.81","102.49","101.05","5.53M","-0.10%"
"12/05/2025","101.36","102.11","102.46","101.31","5.16M","-0.62%"
"12/04/2025","101.99","102.04","102.75","101.74","4.48M","0.02%"
"12/03/2025","101.97","102.54","102.91","101.58","4.17M","-0.06%"
"12/02/2025","102.03","103.42","103.47","101.71","5.80M","-1.27%"
"12/01/2025","103.34","105.00","105.73","103.31","6.67M","-1.89%"
"11/28/2025","105.33","105.04","105.33","104.62","2.62M","0.30%"
"11/26/2025","105.02","105.06","106.33","104.70","5.25M","-0.31%"
"11/25/2025","105.35","103.80","105.60","103.80","9.48M","2.08%"
"11/24/2025","103.20","101.53","103.70","100.97","13.93M","1.98%"
"11/21/2025","101.20","99.65","102.03","99.26","11.38M","1.86%"
"11/20/2025","99.35","100.37","101.19","99.08","6.73M","-0.99%"
"11/19/2025","100.34","100.99","102.59","99.97","12.43M","-0.46%"
"11/18/2025","100.80","99.97","102.48","99.41","21.97M","4.69%"
"11/17/2025","96.28","95.82","97.25","95.80","11.09M","0.43%"
"11/14/2025","95.87","95.81","96.57","95.14","6.32M","-0.28%"
"11/13/2025","96.14","95.00","96.71","94.64","5.28M","0.34%"
"11/12/2025","95.81","95.00","96.29","94.82","6.32M","0.43%"
"11/11/2025","95.40","92.97","95.40","92.80","8.56M","2.96%"
"11/10/2025","92.66","91.95","92.79","91.52","5.38M","0.50%"
"11/07/2025","92.20","90.70","92.24","90.20","7.52M","2.38%"
"11/06/2025","90.06","90.09","90.82","89.62","5.46M","-0.38%"
"11/05/2025","90.40","89.80","90.49","89.36","5.68M","-0.02%"
"11/04/2025","90.42","90.18","90.47","89.66","4.73M","0.24%"
"11/03/2025","90.20","90.65","90.65","89.04","7.31M","-0.55%"
"10/31/2025","90.70","90.60","91.32","90.09","5.96M","-0.30%"
"10/30/2025","90.97","91.77","91.94","90.71","5.62M","-0.83%"
"10/29/2025","91.73","92.78","92.81","91.38","6.96M","-1.61%"
"10/28/2025","93.23","93.81","94.60","93.21","4.28M","-0.96%"
"10/27/2025","94.13","93.74","94.24","93.11","5.56M","0.49%"
"10/24/2025","93.67","94.42","94.96","93.29","4.31M","-0.57%"
"10/23/2025","94.21","96.15","96.24","91.87","9.12M","-1.76%"
"10/22/2025","95.90","96.58","97.24","95.55","6.65M","0.07%"
"10/21/2025","95.83","95.62","96.16","95.24","4.41M","-0.09%"
"10/20/2025","95.92","96.09","96.60","94.93","5.14M","0.15%"
"10/17/2025","95.78","95.28","95.81","94.90","6.14M","0.78%"
"10/16/2025","95.04","95.20","95.97","94.70","4.80M","-0.31%"
"10/15/2025","95.34","96.07","96.86","94.06","7.25M","-1.24%"
"10/14/2025","96.54","95.26","96.60","95.26","4.86M","1.00%"
"10/13/2025","95.58","95.70","96.40","95.06","4.62M","0.14%"
"10/10/2025","95.45","96.68","97.04","95.30","6.83M","-1.09%"
"10/09/2025","96.50","98.19","98.24","95.96","6.21M","-1.40%"
"10/08/2025","97.87","98.57","98.68","96.77","7.47M","-0.47%"
"10/07/2025","98.33","98.33","99.37","97.90","5.89M","-0.10%"
"10/06/2025","98.43","97.64","98.66","97.63","8.13M","0.75%"
"10/03/2025","97.70","95.67","97.94","95.38","8.57M","2.33%"
"10/02/2025","95.48","94.41","95.74","93.98","6.21M","0.71%"
"10/01/2025","94.81","95.15","95.73","91.86","10.34M","-0.45%"
"09/30/2025","95.24","93.90","95.39","93.81","7.12M","1.35%"
"09/29/2025","93.97","94.21","94.32","93.29","5.45M","-0.27%"
"09/26/2025","94.22","93.85","94.73","93.48","5.04M","-0.08%"
"09/25/2025","94.30","95.27","95.63","92.72","7.56M","-1.50%"
"09/24/2025","95.74","94.85","95.99","94.80","11.27M","0.82%"
"09/23/2025","94.96","94.52","95.66","94.17","7.10M","0.36%"
"09/22/2025","94.62","95.39","95.50","94.30","7.58M","-0.48%"
"09/19/2025","95.08","95.91","95.91","94.07","15.68M","-0.53%"
"09/18/2025","95.59","94.49","95.64","93.82","9.36M","1.07%"
"09/17/2025","94.58","94.42","95.12","93.81","8.15M","0.41%"
"09/16/2025","94.19","93.27","95.54","93.27","7.72M","0.81%"
"09/15/2025","93.43","94.60","94.93","93.22","5.72M","-0.64%"
"09/12/2025","94.03","93.96","95.29","93.51","7.33M","-0.23%"
"09/11/2025","94.25","92.31","94.27","92.25","6.96M","2.09%"
"09/10/2025","92.32","94.25","94.30","91.59","5.63M","-1.86%"
"09/09/2025","94.07","92.83","94.31","92.73","7.04M","1.16%"
"09/08/2025","92.99","92.16","93.00","91.39","5.02M","0.10%"
"09/05/2025","92.90","93.14","93.94","92.52","4.86M","0.05%"
"09/04/2025","92.85","92.26","94.35","91.79","6.64M","0.65%"
"09/03/2025","92.25","93.15","93.56","91.42","5.37M","-1.16%"
"09/02/2025","93.33","92.54","93.83","92.40","7.15M","0.56%"
"08/29/2025","92.81","92.05","92.82","91.96","5.17M","0.92%"
