"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","77.60","77.29","77.71","76.93","841.04K","1.76%"
"01/28/2026","76.26","76.45","77.34","76.03","2.91M","-0.56%"
"01/27/2026","76.69","77.29","77.38","76.21","3.26M","-0.62%"
"01/26/2026","77.17","75.75","77.25","75.75","4.65M","1.79%"
"01/23/2026","75.81","76.37","76.78","74.88","3.60M","-1.44%"
"01/22/2026","76.92","76.62","77.27","76.20","2.68M","0.42%"
"01/21/2026","76.60","75.99","77.42","75.71","4.01M","1.36%"
"01/20/2026","75.57","75.71","76.88","75.25","3.32M","-1.56%"
"01/16/2026","76.77","77.50","77.86","76.59","4.72M","-1.45%"
"01/15/2026","77.90","78.62","79.33","77.73","3.41M","-0.95%"
"01/14/2026","78.65","77.14","78.82","76.97","3.24M","2.04%"
"01/13/2026","77.08","78.18","79.00","76.64","2.65M","-1.58%"
"01/12/2026","78.32","78.70","79.10","78.02","3.61M","-1.37%"
"01/09/2026","79.41","79.65","80.07","79.00","2.53M","-0.46%"
"01/08/2026","79.78","78.39","80.05","78.39","2.93M","1.93%"
"01/07/2026","78.27","80.57","81.18","78.15","4.54M","-3.58%"
"01/06/2026","81.18","80.78","81.50","79.88","3.44M","-0.72%"
"01/05/2026","81.77","79.77","83.00","79.47","3.86M","1.81%"
"01/02/2026","80.32","78.94","80.50","78.11","3.34M","1.75%"
"12/31/2025","78.94","79.97","79.97","78.90","2.15M","-1.05%"
"12/30/2025","79.78","80.14","80.32","79.64","1.81M","-0.26%"
"12/29/2025","79.99","80.35","80.63","79.79","2.01M","-0.39%"
"12/26/2025","80.30","80.90","80.90","80.15","1.68M","-0.93%"
"12/24/2025","81.05","80.94","81.57","80.78","1.17M","0.17%"
"12/23/2025","80.91","81.34","81.61","80.87","2.14M","-0.54%"
"12/22/2025","81.35","81.42","82.11","81.10","2.38M","-0.27%"
"12/19/2025","81.57","81.63","82.33","81.07","6.55M","-0.17%"
"12/18/2025","81.71","82.47","82.52","80.90","5.53M","-0.99%"
"12/17/2025","82.53","82.66","82.88","81.88","5.43M","0.30%"
"12/16/2025","82.28","83.27","83.85","81.94","4.66M","-0.40%"
"12/15/2025","82.61","82.94","83.43","82.19","4.54M","0.55%"
"12/12/2025","82.16","82.67","83.00","81.80","3.38M","-0.11%"
"12/11/2025","82.25","79.81","82.63","79.61","3.90M","3.04%"
"12/10/2025","79.82","77.75","79.87","77.60","3.08M","2.57%"
"12/09/2025","77.82","78.69","78.87","77.69","2.90M","-0.33%"
"12/08/2025","78.08","78.40","78.66","77.95","3.22M","-0.74%"
"12/05/2025","78.66","78.03","78.72","77.77","3.56M","0.81%"
"12/04/2025","78.03","77.72","78.23","77.41","4.20M","0.67%"
"12/03/2025","77.51","76.48","77.57","76.14","3.42M","1.63%"
"12/02/2025","76.27","76.57","76.68","75.69","3.20M","-0.05%"
"12/01/2025","76.31","76.30","77.20","76.19","2.44M","-0.33%"
"11/28/2025","76.56","76.31","76.92","76.15","1.12M","0.30%"
"11/26/2025","76.33","76.05","76.68","75.90","2.55M","0.78%"
"11/25/2025","75.74","75.69","76.29","75.12","3.31M","0.73%"
"11/24/2025","75.19","74.85","75.27","73.97","4.59M","0.16%"
"11/21/2025","75.07","74.25","75.76","73.56","4.02M","1.56%"
"11/20/2025","73.92","75.50","76.37","73.81","3.43M","-1.12%"
"11/19/2025","74.76","75.27","75.50","74.04","3.00M","-0.81%"
"11/18/2025","75.37","74.90","75.94","74.60","3.58M","-0.21%"
"11/17/2025","75.53","78.63","78.63","74.79","5.03M","-3.95%"
"11/14/2025","78.64","78.89","79.33","78.04","3.28M","-1.04%"
"11/13/2025","79.47","79.95","80.65","79.06","4.52M","-0.92%"
"11/12/2025","80.21","77.83","80.47","77.83","4.22M","3.11%"
