"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","156.38","157.06","158.75","155.25","1.27M","0.28%"
"01/28/2026","155.94","157.86","159.70","155.12","4.32M","-1.34%"
"01/27/2026","158.05","159.65","160.92","157.92","4.66M","-0.92%"
"01/26/2026","159.52","162.00","162.86","159.49","3.89M","-1.94%"
"01/23/2026","162.68","159.88","164.27","159.88","4.46M","1.28%"
"01/22/2026","160.63","156.56","162.50","156.20","5.56M","3.05%"
"01/21/2026","155.88","157.12","158.64","154.34","6.97M","-0.15%"
"01/20/2026","156.12","159.45","163.73","153.07","11.90M","-6.96%"
"01/16/2026","167.80","168.81","171.43","167.00","7.33M","-1.93%"
"01/15/2026","171.10","170.50","173.06","169.93","2.91M","0.65%"
"01/14/2026","169.99","169.40","170.85","168.13","3.12M","0.34%"
"01/13/2026","169.42","168.00","170.40","167.79","2.83M","0.88%"
"01/12/2026","167.94","164.30","168.27","163.11","3.25M","1.63%"
"01/09/2026","165.24","165.49","166.25","163.95","2.31M","0.00%"
"01/08/2026","165.24","161.77","165.79","161.05","2.53M","1.43%"
"01/07/2026","162.91","165.85","165.87","161.77","2.73M","-1.99%"
"01/06/2026","166.21","162.88","166.53","161.82","2.85M","1.63%"
"01/05/2026","163.55","160.98","164.40","160.80","2.89M","1.07%"
"01/02/2026","161.82","160.10","161.89","159.06","1.96M","1.07%"
"12/31/2025","160.10","161.17","161.34","160.04","1.20M","-0.66%"
"12/30/2025","161.17","161.48","161.68","160.64","1.29M","-0.34%"
"12/29/2025","161.72","161.87","162.70","160.82","2.19M","-0.22%"
"12/26/2025","162.08","160.32","162.18","160.00","1.25M","1.09%"
"12/24/2025","160.34","160.11","160.68","159.07","854.42K","0.12%"
"12/23/2025","160.15","159.98","160.49","158.45","1.83M","0.09%"
"12/22/2025","160.00","162.18","162.64","159.07","2.33M","-1.21%"
"12/19/2025","161.96","161.68","163.93","161.68","3.72M","0.12%"
"12/18/2025","161.76","163.37","164.23","161.43","2.61M","-0.25%"
"12/17/2025","162.17","162.19","164.23","161.01","2.64M","-0.63%"
"12/16/2025","163.20","166.00","167.00","162.84","2.79M","-1.51%"
"12/15/2025","165.70","169.56","170.36","165.19","2.58M","-1.89%"
"12/12/2025","168.90","168.47","169.84","167.80","2.42M","0.18%"
"12/11/2025","168.60","166.56","170.00","166.22","2.53M","1.77%"
"12/10/2025","165.66","164.58","166.73","163.41","3.38M","0.35%"
"12/09/2025","165.09","163.40","165.74","163.40","2.34M","0.69%"
"12/08/2025","163.96","165.77","165.82","162.29","3.25M","-2.10%"
"12/05/2025","167.48","169.20","169.34","165.65","3.02M","-1.06%"
"12/04/2025","169.27","171.90","172.01","168.74","2.86M","-2.21%"
"12/03/2025","173.09","172.05","174.69","171.16","2.88M","0.89%"
"12/02/2025","171.56","170.88","171.93","169.65","1.93M","0.63%"
"12/01/2025","170.48","170.68","171.98","169.61","2.24M","-0.91%"
"11/28/2025","172.05","170.65","172.24","170.01","1.60M","0.73%"
"11/26/2025","170.80","171.11","172.37","170.68","2.03M","-0.43%"
"11/25/2025","171.54","170.29","172.16","170.22","2.61M","1.17%"
"11/24/2025","169.56","168.24","170.76","166.64","7.14M","0.87%"
"11/21/2025","168.09","165.36","169.38","165.17","3.18M","2.11%"
"11/20/2025","164.61","168.73","169.75","163.96","3.30M","-1.18%"
"11/19/2025","166.58","165.59","167.31","164.55","2.22M","0.48%"
"11/18/2025","165.79","163.99","166.59","163.31","2.33M","0.24%"
"11/17/2025","165.39","166.91","167.82","164.97","2.91M","-1.31%"
"11/14/2025","167.58","168.91","169.34","166.99","2.75M","-1.78%"
"11/13/2025","170.62","170.42","172.56","169.25","3.88M","-0.27%"
"11/12/2025","171.08","168.66","171.78","168.66","2.69M","1.43%"
"11/11/2025","168.67","167.67","170.18","166.00","2.37M","0.60%"
"11/10/2025","167.67","165.00","169.17","163.97","2.76M","1.72%"
"11/07/2025","164.84","163.91","165.28","162.66","2.51M","0.60%"
"11/06/2025","163.85","164.20","165.49","159.57","5.19M","-0.29%"
"11/05/2025","164.32","160.69","164.82","160.14","2.66M","2.32%"
"11/04/2025","160.59","161.82","162.23","159.35","3.52M","-0.99%"
"11/03/2025","162.19","166.01","166.27","161.49","3.14M","-2.59%"
"10/31/2025","166.50","165.49","167.34","165.21","2.10M","0.03%"
"10/30/2025","166.45","165.01","169.26","164.60","2.14M","1.11%"
"10/29/2025","164.63","167.15","168.00","163.61","3.16M","-1.32%"
"10/28/2025","166.83","168.32","168.50","166.35","2.45M","-0.93%"
"10/27/2025","168.40","169.98","170.63","167.40","2.92M","-0.06%"
"10/24/2025","168.50","172.00","172.85","167.75","3.61M","-1.81%"
"10/23/2025","171.60","167.22","171.63","166.71","4.78M","2.61%"
"10/22/2025","167.23","167.16","169.18","165.53","5.28M","0.35%"
"10/21/2025","166.64","158.00","166.82","152.80","7.30M","7.66%"
"10/20/2025","154.78","153.23","156.07","153.03","4.23M","1.40%"
"10/17/2025","152.64","151.45","153.07","151.27","4.49M","0.81%"
"10/16/2025","151.41","154.47","154.47","150.61","4.28M","-1.34%"
"10/15/2025","153.47","153.69","155.66","152.71","2.38M","0.62%"
"10/14/2025","152.53","149.27","153.71","149.27","2.60M","0.95%"
"10/13/2025","151.10","150.57","152.43","150.41","2.72M","1.58%"
"10/10/2025","148.75","153.24","154.25","148.46","3.50M","-2.70%"
"10/09/2025","152.88","156.10","156.60","151.37","2.51M","-2.00%"
"10/08/2025","156.00","155.71","156.09","152.78","2.08M","0.43%"
"10/07/2025","155.33","156.83","157.94","155.18","1.70M","-0.38%"
"10/06/2025","155.93","158.70","159.21","154.63","2.42M","-1.72%"
"10/03/2025","158.66","158.92","160.39","157.71","3.41M","-0.09%"
"10/02/2025","158.80","157.26","159.58","156.54","2.17M","1.79%"
"10/01/2025","156.00","154.45","156.54","154.26","2.30M","0.53%"
"09/30/2025","155.18","153.85","155.22","152.43","2.18M","0.71%"
"09/29/2025","154.08","153.50","154.40","152.54","2.04M","0.83%"
"09/26/2025","152.81","154.02","154.50","152.37","2.10M","-0.14%"
"09/25/2025","153.03","154.00","154.00","151.82","2.95M","-1.02%"
"09/24/2025","154.60","156.00","156.50","154.46","1.74M","-1.08%"
"09/23/2025","156.29","153.84","158.14","153.84","2.25M","1.58%"
"09/22/2025","153.86","155.60","155.71","153.64","2.48M","-1.75%"
"09/19/2025","156.60","155.91","157.41","154.69","6.51M","0.77%"
"09/18/2025","155.40","155.15","156.92","154.31","1.80M","0.15%"
"09/17/2025","155.16","156.49","158.54","153.54","2.76M","-0.86%"
"09/16/2025","156.50","156.90","157.48","153.63","2.21M","-0.10%"
"09/15/2025","156.66","158.00","158.38","155.25","3.22M","-0.77%"
