"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","61.13","61.00","62.51","61.07","8.38M","-3.17%"
"01/28/2026","63.13","63.50","64.22","63.11","11.62M","-0.77%"
"01/27/2026","63.62","63.00","63.70","62.48","8.74M","1.02%"
"01/26/2026","62.98","62.10","63.20","62.00","11.04M","1.73%"
"01/23/2026","61.91","61.21","61.95","60.96","6.56M","1.44%"
"01/22/2026","61.03","60.82","61.34","60.40","6.27M","-0.08%"
"01/21/2026","61.08","61.31","61.50","60.26","9.10M","-0.11%"
"01/20/2026","61.15","61.74","62.08","61.02","14.21M","-0.99%"
"01/16/2026","61.76","61.48","61.94","60.94","8.98M","0.29%"
"01/15/2026","61.58","61.38","61.88","60.90","7.59M","0.18%"
"01/14/2026","61.47","60.15","61.55","60.10","10.39M","2.19%"
"01/13/2026","60.15","58.55","60.15","58.36","12.44M","2.75%"
"01/12/2026","58.54","57.53","58.56","57.45","10.46M","1.76%"
"01/09/2026","57.53","56.78","57.56","56.65","12.68M","2.92%"
"01/08/2026","55.90","54.75","56.29","54.74","11.04M","2.16%"
"01/07/2026","54.72","55.23","55.41","54.70","8.70M","-0.80%"
"01/06/2026","55.16","56.06","56.34","54.78","11.95M","-2.02%"
"01/05/2026","56.30","57.07","57.12","55.50","14.08M","-1.76%"
"01/02/2026","57.31","57.66","57.79","57.05","12.11M","-0.61%"
"12/31/2025","57.66","57.77","57.91","57.54","5.23M","-0.19%"
"12/30/2025","57.77","57.61","57.85","57.51","5.85M","0.26%"
"12/29/2025","57.62","57.64","57.90","57.53","8.28M","0.03%"
"12/26/2025","57.60","57.85","58.08","57.40","8.98M","-2.34%"
"12/24/2025","58.98","58.86","58.99","58.68","5.05M","0.39%"
"12/23/2025","58.75","58.61","58.76","58.32","7.78M","0.24%"
"12/22/2025","58.61","58.16","58.83","58.01","8.68M","0.93%"
"12/19/2025","58.07","58.25","58.72","58.03","35.09M","-0.55%"
"12/18/2025","58.39","58.92","59.13","58.38","10.78M","-1.33%"
"12/17/2025","59.18","59.51","59.74","58.87","8.39M","-0.25%"
"12/16/2025","59.33","59.19","59.48","58.94","9.08M","0.41%"
"12/15/2025","59.09","58.76","59.81","58.75","11.00M","0.58%"
"12/12/2025","58.75","58.62","58.82","58.22","8.57M","0.05%"
"12/11/2025","58.72","58.86","59.38","58.52","7.52M","0.05%"
"12/10/2025","58.69","58.36","58.87","58.08","7.83M","0.88%"
"12/09/2025","58.18","58.33","58.55","57.95","5.70M","0.12%"
"12/08/2025","58.11","57.95","58.20","57.57","6.81M","0.21%"
"12/05/2025","57.99","58.20","58.45","57.92","5.75M","-0.60%"
"12/04/2025","58.34","58.57","58.66","57.99","6.73M","-0.12%"
"12/03/2025","58.41","59.01","59.34","58.35","9.34M","-0.70%"
"12/02/2025","58.82","59.11","59.35","58.48","8.32M","-0.54%"
"12/01/2025","59.14","59.00","59.18","58.70","7.82M","0.22%"
"11/28/2025","59.01","58.69","59.01","58.68","3.21M","0.55%"
"11/26/2025","58.69","58.50","58.90","58.40","5.91M","0.60%"
"11/25/2025","58.34","57.72","58.44","57.45","9.62M","1.76%"
