"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","108.89","107.31","109.31","107.31","3.97M","1.86%"
"01/28/2026","106.90","107.55","107.93","106.03","7.49M","-0.95%"
"01/27/2026","107.92","107.50","108.35","106.84","7.91M","0.48%"
"01/26/2026","107.40","107.80","108.42","107.06","9.90M","-0.72%"
"01/23/2026","108.18","109.09","109.09","107.21","10.49M","-0.92%"
"01/22/2026","109.18","110.78","111.32","108.58","9.36M","-1.74%"
"01/21/2026","111.11","109.19","111.97","108.73","12.84M","1.52%"
"01/20/2026","109.45","108.11","109.64","106.93","15.24M","0.57%"
"01/16/2026","108.83","110.71","110.73","108.43","14.85M","-1.93%"
"01/15/2026","110.97","110.62","111.58","108.45","11.78M","-0.04%"
"01/14/2026","111.01","108.97","111.22","107.95","11.96M","2.54%"
"01/13/2026","108.26","109.05","109.31","107.22","9.34M","-0.85%"
"01/12/2026","109.19","110.97","111.46","108.78","10.67M","-1.21%"
"01/09/2026","110.53","110.87","112.48","110.22","11.04M","-0.41%"
"01/08/2026","110.99","110.61","112.90","109.25","20.28M","2.20%"
"01/07/2026","108.60","109.50","111.46","107.95","16.32M","-0.25%"
"01/06/2026","108.87","107.68","110.17","107.68","14.48M","1.33%"
"01/05/2026","107.44","107.01","108.44","105.80","15.86M","0.93%"
"01/02/2026","106.45","105.53","106.62","104.43","9.99M","1.13%"
"12/31/2025","105.26","105.93","106.10","104.99","7.56M","-0.75%"
"12/30/2025","106.06","106.73","106.88","105.64","6.50M","-0.53%"
"12/29/2025","106.62","106.85","107.59","106.43","8.09M","-0.15%"
"12/26/2025","106.78","106.45","107.05","106.03","6.28M","0.31%"
"12/24/2025","106.45","105.36","106.95","105.28","5.34M","1.34%"
"12/23/2025","105.04","104.56","105.39","104.32","13.59M","0.31%"
"12/22/2025","104.72","100.63","104.95","100.40","17.14M","3.59%"
"12/19/2025","101.09","100.60","102.19","100.11","44.98M","0.40%"
"12/18/2025","100.69","99.27","101.37","98.86","14.31M","1.52%"
"12/17/2025","99.18","98.18","100.14","98.06","13.18M","0.93%"
"12/16/2025","98.27","100.30","100.34","96.79","16.66M","-1.98%"
"12/15/2025","100.26","99.99","100.94","98.00","16.74M","-0.04%"
"12/12/2025","100.30","98.96","100.66","98.32","11.81M","1.30%"
"12/11/2025","99.01","98.44","99.14","97.58","11.81M","1.42%"
"12/10/2025","97.62","98.05","98.17","96.47","18.08M","0.75%"
"12/09/2025","96.89","99.32","99.85","96.06","16.28M","-2.06%"
"12/08/2025","98.93","99.38","99.67","97.81","12.90M","-0.79%"
"12/05/2025","99.72","101.40","102.09","99.19","16.43M","-1.16%"
"12/04/2025","100.89","102.10","102.60","100.54","12.77M","-1.35%"
"12/03/2025","102.27","101.89","103.09","101.52","12.54M","1.23%"
"12/02/2025","101.03","101.53","101.80","100.31","11.79M","-0.79%"
"12/01/2025","101.83","104.72","105.68","101.71","14.18M","-2.86%"
"11/28/2025","104.83","104.83","105.40","104.12","6.15M","0.19%"
"11/26/2025","104.63","104.60","105.75","104.20","12.62M","-0.97%"
"11/25/2025","105.66","100.73","105.84","100.71","22.23M","5.24%"
"11/24/2025","100.40","99.12","102.36","99.12","28.32M","2.70%"
"11/21/2025","97.76","95.48","100.27","95.36","23.18M","2.94%"
"11/20/2025","94.97","94.97","96.00","93.90","12.55M","-0.08%"
"11/19/2025","95.05","96.00","97.14","94.09","14.64M","-1.43%"
"11/18/2025","96.43","94.11","97.66","92.11","28.15M","3.84%"
"11/17/2025","92.86","93.23","94.75","92.68","14.35M","-0.06%"
"11/14/2025","92.92","92.20","95.07","91.49","19.63M","-0.01%"
"11/13/2025","92.93","91.31","94.26","90.90","16.09M","1.62%"
"11/12/2025","91.45","91.41","92.91","91.16","13.22M","0.55%"
"11/11/2025","90.95","87.35","91.07","87.26","15.44M","4.84%"
"11/10/2025","86.75","86.69","87.37","85.80","8.32M","0.54%"
"11/07/2025","86.28","85.95","86.58","85.24","9.21M","0.58%"
"11/06/2025","85.78","84.48","86.17","84.35","10.60M","1.65%"
"11/05/2025","84.39","84.03","85.38","82.91","9.44M","0.63%"
"11/04/2025","83.86","82.70","84.96","82.01","12.85M","1.66%"
"11/03/2025","82.49","85.76","86.10","82.34","13.88M","-4.06%"
"10/31/2025","85.98","85.42","86.46","84.56","12.38M","-0.35%"
"10/30/2025","86.28","84.62","87.30","83.30","16.68M","-0.35%"
"10/29/2025","86.58","86.94","87.84","86.07","10.92M","-0.52%"
"10/28/2025","87.03","88.11","88.11","86.93","8.35M","-1.10%"
"10/27/2025","88.00","87.51","88.29","87.03","7.23M","0.58%"
"10/24/2025","87.49","87.33","88.06","87.11","7.90M","0.36%"
"10/23/2025","87.18","87.56","88.11","86.91","7.69M","-0.49%"
"10/22/2025","87.61","87.68","88.79","87.01","10.93M","-0.01%"
"10/21/2025","87.62","86.96","87.67","86.23","9.85M","1.51%"
"10/20/2025","86.32","85.25","87.00","85.03","8.61M","1.80%"
"10/17/2025","84.79","83.28","84.89","83.16","10.76M","1.04%"
"10/16/2025","83.92","84.41","85.50","83.60","11.71M","-0.23%"
"10/15/2025","84.11","84.19","84.69","83.61","9.17M","-0.70%"
"10/14/2025","84.70","85.38","85.68","84.15","9.68M","-1.17%"
"10/13/2025","85.70","85.65","86.46","85.24","6.55M","-0.34%"
"10/10/2025","85.99","87.93","88.24","85.92","11.23M","-1.73%"
"10/09/2025","87.50","86.96","87.80","86.64","10.94M","1.27%"
"10/08/2025","86.40","87.93","87.93","86.20","9.70M","-1.38%"
"10/07/2025","87.61","88.67","88.94","87.14","9.45M","-1.34%"
"10/06/2025","88.80","88.83","90.31","88.55","11.65M","-0.44%"
"10/03/2025","89.19","89.63","90.70","88.10","12.97M","-0.36%"
"10/02/2025","89.51","89.95","91.00","88.22","14.58M","-0.69%"
"10/01/2025","90.13","85.19","90.75","85.19","33.46M","7.39%"
"09/30/2025","83.93","78.42","84.00","78.39","21.64M","6.81%"
"09/29/2025","78.58","78.60","78.80","78.03","12.74M","0.03%"
"09/26/2025","78.56","78.76","78.96","77.69","12.21M","1.24%"
"09/25/2025","77.60","79.78","79.88","77.58","14.92M","-2.60%"
"09/24/2025","79.67","79.90","80.11","79.33","11.80M","-0.36%"
"09/23/2025","79.96","80.09","81.11","79.67","13.15M","-0.55%"
"09/22/2025","80.40","81.76","81.94","80.26","11.99M","-1.36%"
"09/19/2025","81.51","81.81","82.40","81.00","25.63M","-0.02%"
"09/18/2025","81.53","81.22","81.68","80.82","10.46M","0.48%"
"09/17/2025","81.14","80.98","82.25","80.80","12.64M","0.06%"
