"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","181.26","184.00","184.97","179.83","2.44M","-0.59%"
"01/28/2026","182.34","183.63","183.01","180.38","5.54M","-0.18%"
"01/27/2026","182.66","182.24","183.97","181.15","5.14M","0.43%"
"01/26/2026","181.88","179.36","182.44","178.86","6.39M","1.61%"
"01/23/2026","179.00","181.87","181.87","177.95","8.53M","-2.21%"
"01/22/2026","183.05","184.53","186.04","182.26","8.97M","-0.15%"
"01/21/2026","183.32","182.47","186.42","182.02","11.72M","0.67%"
"01/20/2026","182.10","185.25","186.70","181.28","11.30M","-3.70%"
"01/16/2026","189.09","190.55","192.68","189.00","8.40M","-1.12%"
"01/15/2026","191.23","181.00","192.16","181.00","12.96M","5.78%"
"01/14/2026","180.78","182.19","182.35","178.93","8.43M","-1.08%"
"01/13/2026","182.76","186.96","187.02","182.15","6.59M","-2.04%"
"01/12/2026","186.57","184.63","187.27","183.92","5.64M","0.13%"
"01/09/2026","186.32","185.70","186.92","185.04","4.63M","0.89%"
"01/08/2026","184.68","183.91","186.14","183.66","3.75M","-0.06%"
"01/07/2026","184.79","187.30","187.75","184.34","3.53M","-1.58%"
"01/06/2026","187.75","186.70","188.82","185.75","3.80M","0.65%"
"01/05/2026","186.54","182.20","188.51","182.05","6.79M","2.55%"
"01/02/2026","181.90","178.51","181.96","177.14","4.51M","2.46%"
"12/31/2025","177.53","179.51","179.71","177.40","3.10M","-0.87%"
"12/30/2025","179.08","180.28","180.38","178.26","2.37M","-0.48%"
"12/29/2025","179.94","181.18","181.70","179.75","2.46M","-1.06%"
"12/26/2025","181.87","181.85","182.34","181.10","2.56M","0.12%"
"12/24/2025","181.65","180.16","182.00","179.53","2.65M","1.20%"
"12/23/2025","179.50","179.83","180.58","179.13","3.51M","-0.14%"
"12/22/2025","179.76","177.59","180.26","177.41","4.57M","1.57%"
"12/19/2025","176.98","173.46","177.70","173.46","10.64M","2.32%"
"12/18/2025","172.96","176.54","177.07","172.58","7.99M","-1.05%"
"12/17/2025","174.80","178.04","179.45","174.46","5.80M","-0.97%"
"12/16/2025","176.51","178.13","178.65","175.68","6.84M","-0.72%"
"12/15/2025","177.79","179.91","180.90","177.73","5.22M","-0.35%"
