"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","88.46","88.62","89.19","87.64","3.54M","1.02%"
"01/28/2026","87.57","87.72","88.62","87.06","8.20M","0.48%"
"01/27/2026","87.15","84.50","88.96","83.79","15.47M","1.97%"
"01/26/2026","85.47","85.27","86.28","84.84","10.99M","0.78%"
"01/23/2026","84.81","85.25","85.25","84.20","13.30M","-0.31%"
"01/22/2026","85.07","84.58","85.51","83.67","9.80M","1.45%"
"01/21/2026","83.85","84.04","84.39","83.20","8.30M","0.41%"
"01/20/2026","83.51","83.01","83.93","82.52","10.05M","-0.14%"
"01/16/2026","83.63","83.00","84.05","82.14","12.87M","1.75%"
"01/15/2026","82.19","81.98","82.67","81.54","7.42M","0.26%"
"01/14/2026","81.98","80.94","82.63","80.94","10.28M","0.42%"
"01/13/2026","81.64","81.16","81.93","80.42","8.54M","0.64%"
"01/12/2026","81.12","79.85","81.15","79.52","11.09M","1.54%"
"01/09/2026","79.89","80.20","80.92","79.87","5.84M","0.50%"
"01/08/2026","79.49","78.45","79.96","78.38","8.70M","1.43%"
"01/07/2026","78.37","80.67","80.79","78.36","9.86M","-3.31%"
"01/06/2026","81.05","81.25","81.59","80.50","7.25M","-0.33%"
"01/05/2026","81.32","81.16","81.34","79.25","8.30M","0.48%"
"01/02/2026","80.93","80.45","81.02","79.58","8.85M","0.81%"
"12/31/2025","80.28","80.68","80.68","80.21","5.04M","-0.31%"
"12/30/2025","80.53","80.20","80.67","80.15","4.08M","0.32%"
"12/29/2025","80.27","80.42","81.25","80.22","5.85M","-0.17%"
"12/26/2025","80.41","80.48","80.64","80.05","3.64M","-0.05%"
"12/24/2025","80.45","80.14","80.47","79.69","3.01M","0.83%"
"12/23/2025","79.79","80.03","80.70","79.75","7.87M","-0.31%"
"12/22/2025","80.04","79.02","80.18","78.72","7.14M","0.63%"
"12/19/2025","79.54","80.57","81.14","79.53","30.49M","-1.62%"
"12/18/2025","80.85","80.40","81.18","80.00","9.20M","0.70%"
"12/17/2025","80.29","80.97","81.31","79.65","10.21M","-1.27%"
"12/16/2025","81.32","81.64","81.85","80.19","6.62M","-0.40%"
"12/15/2025","81.65","82.01","82.24","80.53","9.49M","0.00%"
"12/12/2025","81.65","81.84","82.27","81.32","7.78M","0.54%"
"12/11/2025","81.21","81.25","82.41","81.07","9.49M","-0.07%"
"12/10/2025","81.27","80.05","81.92","79.64","13.34M","2.05%"
"12/09/2025","79.64","80.80","81.14","79.50","13.76M","-1.13%"
"12/08/2025","80.55","83.14","83.16","80.41","18.14M","-3.10%"
"12/05/2025","83.13","83.51","84.19","83.06","8.19M","-0.31%"
"12/04/2025","83.39","84.52","84.81","82.74","12.49M","-1.84%"
"12/03/2025","84.95","84.66","85.97","84.50","9.62M","0.44%"
"12/02/2025","84.58","84.91","85.28","84.25","7.09M","-0.08%"
"12/01/2025","84.65","85.59","85.67","84.39","7.99M","-1.90%"
"11/28/2025","86.29","85.43","86.47","85.15","4.12M","0.88%"
"11/26/2025","85.54","85.25","85.69","84.69","6.55M","0.84%"
"11/25/2025","84.83","84.69","85.34","84.18","7.92M","0.71%"
"11/24/2025","84.23","83.77","84.79","83.01","13.29M","0.90%"
"11/21/2025","83.48","84.18","84.67","81.64","13.93M","-0.97%"
"11/20/2025","84.30","84.79","86.49","84.20","10.97M","0.04%"
"11/19/2025","84.27","85.12","85.34","83.92","11.14M","-0.44%"
"11/18/2025","84.64","86.12","86.69","84.62","11.06M","-1.29%"
"11/17/2025","85.75","83.69","85.77","83.69","11.61M","2.23%"
"11/14/2025","83.88","83.51","84.49","82.53","8.35M","-0.13%"
"11/13/2025","83.99","85.78","85.93","83.93","11.86M","-2.21%"
"11/12/2025","85.89","85.43","86.25","85.01","7.60M","0.15%"
"11/11/2025","85.76","84.69","85.83","84.55","11.73M","1.17%"
"11/10/2025","84.77","84.18","85.46","83.69","11.70M","1.00%"
"11/07/2025","83.93","81.91","84.00","81.62","9.17M","2.35%"
"11/06/2025","82.00","82.12","82.96","81.99","6.21M","-0.17%"
"11/05/2025","82.14","81.42","82.63","81.11","7.29M","0.55%"
"11/04/2025","81.69","81.78","82.21","80.80","6.47M","-0.11%"
"11/03/2025","81.78","81.30","82.10","80.60","8.51M","0.47%"
"10/31/2025","81.40","81.34","82.03","80.86","9.41M","-0.29%"
"10/30/2025","81.64","81.82","82.58","81.44","7.62M","-0.15%"
"10/29/2025","81.76","83.30","83.79","81.04","11.68M","-2.17%"
"10/28/2025","83.57","87.52","87.53","82.91","14.00M","-2.86%"
"10/27/2025","86.03","83.99","87.29","83.79","18.74M","1.92%"
"10/24/2025","84.41","83.58","84.78","83.36","6.25M","1.39%"
"10/23/2025","83.25","83.89","83.89","82.57","5.63M","0.49%"
"10/22/2025","82.84","84.07","84.22","82.47","9.21M","-1.37%"
"10/21/2025","83.99","85.00","85.11","83.03","7.28M","-0.92%"
"10/20/2025","84.77","85.19","85.34","84.31","5.23M","0.28%"
"10/17/2025","84.53","85.45","85.82","84.17","9.14M","-0.61%"
"10/16/2025","85.05","86.22","86.74","84.97","8.33M","-0.86%"
"10/15/2025","85.79","85.07","86.49","84.83","9.27M","1.36%"
"10/14/2025","84.64","84.17","84.84","83.43","8.91M","0.40%"
"10/13/2025","84.30","83.13","85.03","83.01","8.42M","1.14%"
"10/10/2025","83.35","83.90","84.83","83.19","10.29M","-0.43%"
"10/09/2025","83.71","84.46","84.82","83.45","7.49M","-0.39%"
"10/08/2025","84.04","83.70","84.39","82.87","13.78M","1.00%"
"10/07/2025","83.21","83.13","84.61","82.41","16.11M","1.34%"
"10/06/2025","82.11","80.14","82.36","80.14","15.77M","2.56%"
"10/03/2025","80.06","78.45","81.36","77.65","12.12M","2.40%"
"10/02/2025","78.18","78.64","78.89","77.54","9.27M","-0.62%"
"10/01/2025","78.67","76.32","78.70","76.22","15.04M","4.21%"
"09/30/2025","75.49","76.46","76.70","75.12","9.39M","-0.94%"
"09/29/2025","76.21","75.68","76.29","75.27","10.37M","0.47%"
"09/26/2025","75.85","74.73","75.86","74.63","8.27M","1.61%"
"09/25/2025","74.65","74.06","74.91","73.59","12.92M","1.11%"
"09/24/2025","73.83","72.19","73.88","72.05","11.28M","2.09%"
"09/23/2025","72.32","72.10","72.62","71.72","7.80M","-0.04%"
"09/22/2025","72.35","71.40","72.54","71.27","9.86M","1.79%"
"09/19/2025","71.08","70.98","71.40","70.37","14.82M","0.41%"
"09/18/2025","70.79","70.00","71.09","69.37","8.49M","0.68%"
"09/17/2025","70.31","70.28","71.01","70.10","10.80M","0.69%"
"09/16/2025","69.83","71.29","71.54","69.76","7.93M","-2.34%"
"09/15/2025","71.50","71.58","72.20","71.30","10.40M","-0.20%"
