"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","62.44","61.95","62.53","61.46","4.91M","0.32%"
"01/28/2026","62.24","63.05","63.48","61.97","10.36M","-1.35%"
"01/27/2026","63.09","64.75","64.83","62.88","13.54M","-2.92%"
"01/26/2026","64.99","64.81","65.64","64.78","14.77M","-0.08%"
"01/23/2026","65.04","65.25","65.45","64.44","11.24M","-0.64%"
"01/22/2026","65.46","65.41","66.55","65.25","11.85M","0.08%"
"01/21/2026","65.41","63.88","65.42","63.61","17.17M","2.80%"
"01/20/2026","63.63","63.49","64.58","63.01","20.41M","-1.16%"
"01/16/2026","64.38","64.39","64.59","63.68","15.90M","-0.33%"
"01/15/2026","64.59","65.76","65.76","64.21","13.30M","-1.49%"
"01/14/2026","65.57","66.29","67.13","65.04","15.94M","-1.10%"
"01/13/2026","66.30","66.25","67.08","65.85","13.69M","1.01%"
"01/12/2026","65.64","65.25","66.34","64.24","13.90M","-0.42%"
"01/09/2026","65.92","65.11","66.54","64.40","18.47M","1.01%"
"01/08/2026","65.26","62.17","65.74","61.70","21.57M","3.23%"
"01/07/2026","63.22","65.52","65.61","63.19","18.28M","-3.26%"
"01/06/2026","65.35","64.06","65.43","63.41","19.97M","1.27%"
"01/05/2026","64.53","63.74","65.37","63.39","23.48M","1.98%"
"01/02/2026","63.28","64.00","64.13","62.55","22.28M","-0.67%"
"12/31/2025","63.71","62.25","64.20","61.92","35.46M","4.12%"
"12/30/2025","61.19","61.30","61.30","60.64","13.51M","-0.03%"
"12/29/2025","61.21","60.54","61.75","60.51","18.06M","0.46%"
"12/26/2025","60.93","60.00","60.93","59.86","22.30M","1.55%"
"12/24/2025","60.00","58.88","60.58","58.88","36.07M","4.64%"
"12/23/2025","57.34","57.18","57.60","56.99","23.28M","0.21%"
"12/22/2025","57.22","58.99","59.08","57.14","38.70M","-2.54%"
"12/19/2025","58.71","59.20","60.38","58.22","108.65M","-10.54%"
"12/18/2025","65.63","66.01","67.00","65.40","35.65M","-0.09%"
"12/17/2025","65.69","66.56","66.83","65.62","13.21M","-2.13%"
"12/16/2025","67.12","67.29","68.20","66.74","16.38M","-0.97%"
"12/15/2025","67.78","67.40","68.35","66.69","15.29M","0.46%"
"12/12/2025","67.47","68.17","69.14","67.12","14.83M","-0.40%"
"12/11/2025","67.74","65.83","67.82","65.56","16.15M","2.96%"
