"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","115.24","118.53","118.58","113.60","32.12M","-11.10%"
"01/28/2026","129.62","132.27","133.67","129.14","21.25M","-1.65%"
"01/27/2026","131.80","135.83","136.03","130.86","11.80M","-3.33%"
"01/26/2026","136.34","134.55","136.63","133.27","17.49M","2.43%"
"01/23/2026","133.11","128.65","133.85","128.23","16.61M","3.54%"
"01/22/2026","128.56","126.00","128.73","125.10","12.94M","2.60%"
"01/21/2026","125.30","128.00","128.01","123.78","16.12M","-0.08%"
"01/20/2026","125.40","126.57","128.78","125.03","19.71M","-1.50%"
"01/16/2026","127.31","129.70","131.35","126.85","20.05M","-2.94%"
"01/15/2026","131.17","135.15","136.24","129.93","14.58M","-2.56%"
"01/14/2026","134.61","137.39","138.19","132.61","15.65M","-2.59%"
"01/13/2026","138.19","142.14","144.70","137.18","12.90M","-3.12%"
"01/12/2026","142.64","141.64","143.76","141.15","9.90M","0.59%"
"01/09/2026","141.80","147.35","147.35","141.43","11.85M","-3.00%"
"01/08/2026","146.19","149.94","150.30","146.18","7.43M","-3.12%"
"01/07/2026","150.90","148.00","152.11","147.75","6.20M","1.40%"
"01/06/2026","148.81","147.42","149.57","146.70","6.43M","0.82%"
"01/05/2026","147.60","146.51","149.81","145.79","9.85M","0.10%"
"01/02/2026","147.45","153.08","153.20","145.64","9.90M","-3.75%"
"12/31/2025","153.19","153.99","154.54","152.68","5.26M","-0.67%"
"12/30/2025","154.23","153.85","154.69","153.25","5.11M","-0.23%"
"12/29/2025","154.58","153.07","155.69","152.79","7.16M","0.45%"
"12/26/2025","153.89","152.50","154.48","152.21","5.45M","0.85%"
"12/24/2025","152.59","153.50","153.94","152.01","3.90M","-1.15%"
"12/23/2025","154.36","155.50","156.09","151.63","12.57M","-1.48%"
"12/22/2025","156.68","156.86","157.15","153.15","11.12M","0.88%"
"12/19/2025","155.31","152.97","156.16","152.54","25.26M","1.26%"
"12/18/2025","153.38","156.51","157.78","151.15","9.64M","-1.98%"
"12/17/2025","156.48","157.00","161.93","156.29","11.77M","0.16%"
"12/16/2025","156.22","154.89","157.21","153.91","16.67M","2.08%"
"12/15/2025","153.04","159.60","160.68","152.11","29.63M","-11.54%"
"12/12/2025","173.01","173.48","174.93","171.58","7.50M","-0.28%"
"12/11/2025","173.50","170.60","175.00","170.22","7.04M","1.63%"
"12/10/2025","170.71","170.11","172.33","169.11","8.46M","-0.16%"
"12/09/2025","170.98","170.52","172.20","169.80","4.90M","0.16%"
"12/08/2025","170.70","170.85","174.40","170.09","7.74M","-0.10%"
"12/05/2025","170.87","168.17","172.30","167.60","6.47M","1.85%"
"12/04/2025","167.77","168.20","169.30","166.14","5.55M","0.72%"
"12/03/2025","166.58","164.40","166.60","162.69","4.62M","1.03%"
"12/02/2025","164.88","165.72","166.68","164.80","6.55M","0.28%"
"12/01/2025","164.41","160.33","165.21","159.80","6.93M","1.19%"
"11/28/2025","162.48","161.60","162.80","161.00","4.52M","1.21%"
"11/26/2025","160.54","163.45","164.40","159.97","10.04M","-2.74%"
"11/25/2025","165.06","162.47","166.18","162.20","7.28M","1.16%"
"11/24/2025","163.17","162.68","163.90","160.76","8.95M","0.30%"
"11/21/2025","162.69","160.46","163.92","159.00","7.35M","1.62%"
"11/20/2025","160.09","166.10","166.34","159.46","8.10M","-1.96%"
"11/19/2025","163.29","163.33","164.23","161.51","9.58M","-0.19%"
"11/18/2025","163.59","165.42","167.00","162.32","7.64M","-2.13%"
"11/17/2025","167.16","169.38","170.70","165.64","5.70M","-1.72%"
"11/14/2025","170.09","168.40","173.06","167.81","5.92M","0.09%"
"11/13/2025","169.94","170.48","172.60","168.80","8.15M","-1.66%"
"11/12/2025","172.81","173.74","174.00","169.83","7.60M","0.39%"
"11/11/2025","172.13","172.69","174.13","171.87","5.18M","-0.65%"
"11/10/2025","173.26","172.77","173.72","170.23","7.05M","0.51%"
"11/07/2025","172.37","170.27","172.62","168.11","8.16M","0.36%"
"11/06/2025","171.75","174.95","175.80","170.00","10.23M","-2.37%"
"11/05/2025","175.93","178.33","178.52","174.46","7.60M","-0.89%"
"11/04/2025","177.51","180.00","181.73","175.31","9.72M","-2.87%"
"11/03/2025","182.77","184.43","184.43","177.20","8.73M","-0.59%"
"10/31/2025","183.86","188.64","189.53","180.66","11.87M","-1.65%"
"10/30/2025","186.94","185.35","192.97","179.38","15.20M","2.52%"
"10/29/2025","182.34","186.91","186.91","182.02","13.43M","-2.79%"
"10/28/2025","187.58","189.86","190.20","187.58","4.72M","-0.89%"
"10/27/2025","189.26","188.81","190.34","187.40","5.74M","1.73%"
"10/24/2025","186.03","189.15","190.00","185.78","5.36M","-0.96%"
"10/23/2025","187.83","186.24","188.92","185.60","4.22M","0.38%"
"10/22/2025","187.13","188.36","189.60","185.58","6.08M","-0.62%"
"10/21/2025","188.30","183.50","188.89","182.06","6.30M","2.61%"
"10/20/2025","183.51","181.33","184.40","181.27","5.36M","1.54%"
"10/17/2025","180.72","178.00","181.31","177.59","4.20M","1.02%"
"10/16/2025","178.90","182.79","185.80","177.61","5.39M","-0.95%"
"10/15/2025","180.61","183.60","184.42","179.94","3.82M","-0.90%"
