"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","163.57","170.15","170.15","161.52","17.27M","-5.34%"
"01/28/2026","172.80","174.92","181.68","171.86","35.88M","-1.20%"
"01/27/2026","174.90","179.19","179.72","173.68","27.09M","-4.13%"
"01/26/2026","182.44","179.10","185.31","178.53","21.10M","2.98%"
"01/23/2026","177.16","172.62","179.65","172.00","23.01M","-0.57%"
"01/22/2026","178.18","179.37","180.16","176.50","21.14M","2.47%"
"01/21/2026","173.88","179.68","180.60","170.60","38.19M","-3.36%"
"01/20/2026","179.92","187.19","187.19","179.36","29.13M","-5.85%"
"01/16/2026","191.09","189.91","191.87","186.53","19.22M","0.65%"
"01/15/2026","189.85","195.01","195.01","189.39","16.42M","-1.94%"
"01/14/2026","193.61","201.68","201.68","190.81","22.47M","-4.29%"
"01/13/2026","202.29","205.00","207.80","200.65","15.86M","-1.17%"
"01/12/2026","204.68","197.60","206.60","197.01","25.43M","3.10%"
"01/09/2026","198.52","191.65","200.18","188.78","26.15M","4.68%"
"01/08/2026","189.65","190.88","190.95","186.15","19.47M","-1.65%"
"01/07/2026","192.84","195.30","195.67","192.00","11.17M","-0.47%"
"01/06/2026","193.75","192.56","194.88","190.70","16.47M","0.60%"
"01/05/2026","192.59","198.34","201.69","192.33","22.64M","-1.59%"
"01/02/2026","195.71","197.47","198.59","194.21","14.54M","0.41%"
"12/31/2025","194.91","196.42","197.20","194.73","10.34M","-1.17%"
"12/30/2025","197.21","196.06","198.38","195.71","14.20M","0.94%"
"12/29/2025","195.38","194.16","198.51","192.64","14.75M","-1.32%"
"12/26/2025","197.99","198.06","200.37","196.11","11.26M","0.25%"
"12/24/2025","197.49","195.00","198.28","194.42","9.28M","1.10%"
"12/23/2025","195.34","196.43","197.20","192.19","18.30M","-1.53%"
"12/22/2025","198.38","196.82","198.80","192.83","27.15M","3.34%"
"12/19/2025","191.97","188.38","195.12","188.12","77.01M","6.63%"
"12/18/2025","180.03","182.72","184.76","178.58","36.30M","0.88%"
"12/17/2025","178.46","183.31","186.50","177.07","50.22M","-5.40%"
"12/16/2025","188.65","184.70","189.80","184.49","32.43M","2.02%"
"12/15/2025","184.92","188.29","188.97","181.40","43.90M","-2.66%"
"12/12/2025","189.97","196.37","197.85","185.98","55.20M","-4.47%"
"12/11/2025","198.85","190.62","201.99","186.23","100.61M","-10.83%"
"12/10/2025","223.01","221.80","225.32","217.58","47.93M","0.67%"
"12/09/2025","221.53","220.03","222.62","218.28","17.64M","0.45%"
"12/08/2025","220.54","221.35","224.75","216.91","24.71M","1.36%"
"12/05/2025","217.58","219.00","219.50","213.62","24.21M","1.52%"
"12/04/2025","214.33","207.86","215.41","206.32","23.32M","3.18%"
"12/03/2025","207.73","200.33","207.92","199.40","19.06M","3.30%"
"12/02/2025","201.10","205.14","209.70","200.00","19.66M","0.08%"
"12/01/2025","200.94","200.50","203.50","196.70","13.46M","-0.50%"
"11/28/2025","201.95","199.51","202.34","197.61","13.85M","-1.47%"
"11/26/2025","204.96","209.50","210.00","202.24","26.54M","4.02%"
"11/25/2025","197.03","194.08","199.41","185.63","29.59M","-1.62%"
"11/24/2025","200.28","196.85","203.82","194.30","31.14M","0.76%"
"11/21/2025","198.76","207.08","208.31","193.55","44.83M","-5.66%"
"11/20/2025","210.69","231.16","234.00","210.30","27.46M","-6.58%"
"11/19/2025","225.53","219.06","228.15","217.31","21.68M","2.29%"
"11/18/2025","220.49","216.21","223.70","214.50","21.10M","0.29%"
"11/17/2025","219.86","218.21","222.80","215.56","16.14M","-1.34%"
"11/14/2025","222.85","210.83","227.05","210.77","36.05M","2.43%"
"11/13/2025","217.57","224.99","225.16","215.22","30.01M","-4.15%"
"11/12/2025","226.99","236.74","236.81","226.17","24.19M","-3.88%"
"11/11/2025","236.15","236.23","237.45","228.89","20.69M","-1.94%"
"11/10/2025","240.83","245.95","247.24","237.07","16.70M","0.66%"
"11/07/2025","239.26","239.00","240.40","232.35","20.97M","-1.86%"
"11/06/2025","243.80","247.94","249.07","239.29","18.68M","-2.60%"
"11/05/2025","250.31","247.91","252.40","247.03","11.99M","0.86%"
"11/04/2025","248.17","249.98","255.28","245.18","19.77M","-3.75%"
"11/03/2025","257.85","265.24","265.62","255.23","15.71M","-1.81%"
"10/31/2025","262.61","259.51","265.81","256.71","16.90M","2.23%"
"10/30/2025","256.89","268.74","269.76","256.28","27.95M","-6.69%"
"10/29/2025","275.30","281.46","281.62","271.35","18.01M","-1.97%"
"10/28/2025","280.83","283.00","285.46","280.54","12.45M","-0.20%"
"10/27/2025","281.40","286.57","287.00","279.81","13.86M","-0.68%"
"10/24/2025","283.33","285.92","287.19","282.24","13.19M","1.16%"
"10/23/2025","280.07","272.96","283.10","272.39","16.87M","2.72%"
"10/22/2025","272.66","274.82","277.20","269.25","16.47M","-0.90%"
"10/21/2025","275.15","278.11","280.30","272.26","18.37M","-0.73%"
"10/20/2025","277.18","288.95","289.24","275.31","32.81M","-4.85%"
"10/17/2025","291.31","303.75","304.28","287.50","37.65M","-6.93%"
"10/16/2025","313.00","305.60","322.54","303.07","32.50M","3.09%"
"10/15/2025","303.62","304.90","311.01","298.92","13.70M","1.55%"
"10/14/2025","299.00","303.57","304.42","291.98","17.35M","-2.93%"
"10/13/2025","308.01","298.70","310.70","297.74","21.70M","5.14%"
"10/10/2025","292.96","300.28","307.72","292.01","28.90M","-1.35%"
"10/09/2025","296.96","291.55","300.97","287.26","26.48M","2.89%"
"10/08/2025","288.63","285.42","291.53","283.60","18.98M","1.54%"
"10/07/2025","284.24","293.22","293.22","271.00","31.72M","-2.52%"
"10/06/2025","291.59","292.38","296.68","290.80","14.08M","1.90%"
"10/03/2025","286.14","289.60","294.64","284.00","13.69M","-0.91%"
"10/02/2025","288.78","291.80","294.97","286.05","16.22M","-0.08%"
"10/01/2025","289.01","278.80","289.99","277.88","23.38M","2.76%"
"09/30/2025","281.24","283.69","284.00","275.90","23.88M","-0.54%"
"09/29/2025","282.76","284.60","285.98","279.61","25.78M","-0.25%"
"09/26/2025","283.46","293.00","294.00","283.00","25.99M","-2.70%"
"09/25/2025","291.33","295.27","298.75","288.55","39.27M","-5.55%"
"09/24/2025","308.46","311.86","312.47","300.03","33.77M","-1.71%"
"09/23/2025","313.83","324.00","325.00","310.05","35.28M","-4.36%"
"09/22/2025","328.15","309.63","329.50","306.92","44.44M","6.31%"
"09/19/2025","308.66","299.00","311.11","297.32","40.78M","4.06%"
"09/18/2025","296.62","303.04","303.82","292.00","24.67M","-1.59%"
"09/17/2025","301.41","307.69","308.66","295.03","27.71M","-1.71%"
"09/16/2025","306.65","314.06","319.97","302.27","51.92M","1.49%"
"09/15/2025","302.14","306.45","307.03","297.29","40.00M","3.41%"
"09/12/2025","292.18","305.79","307.97","291.75","51.78M","-5.09%"
"09/11/2025","307.86","330.34","331.00","304.60","69.99M","-6.23%"
"09/10/2025","328.33","319.19","345.72","312.09","131.62M","35.95%"
"09/09/2025","241.51","239.94","243.49","234.56","41.18M","1.27%"
"09/08/2025","238.48","239.89","242.42","235.31","18.80M","2.44%"
"09/05/2025","232.80","232.55","234.62","225.88","15.39M","4.39%"
"09/04/2025","223.00","222.00","223.57","219.56","10.30M","-0.20%"
"09/03/2025","223.45","225.90","225.90","221.75","8.90M","-0.82%"
"09/02/2025","225.30","222.00","225.45","218.79","10.46M","-0.37%"
"08/29/2025","226.13","237.61","238.22","223.11","16.62M","-5.90%"
"08/28/2025","240.32","235.54","241.95","235.12","8.69M","1.91%"
"08/27/2025","235.81","234.99","236.53","232.68","5.64M","0.68%"
"08/26/2025","234.21","235.00","236.90","232.71","11.81M","-0.51%"
"08/25/2025","235.41","237.35","239.03","235.27","6.31M","-0.41%"
"08/22/2025","236.37","234.06","238.50","231.46","9.34M","1.38%"
"08/21/2025","233.16","233.04","235.92","232.43","7.40M","-0.81%"
"08/20/2025","235.06","232.18","235.88","228.25","11.26M","0.19%"
"08/19/2025","234.62","249.25","249.25","232.23","16.82M","-5.80%"
"08/18/2025","249.07","246.20","249.16","243.62","6.76M","0.32%"
"08/15/2025","248.28","246.92","250.63","242.93","11.55M","1.36%"
"08/14/2025","244.96","244.95","248.92","242.57","10.29M","0.32%"
"08/13/2025","244.18","257.17","257.67","242.63","14.18M","-3.81%"
"08/12/2025","253.86","252.58","257.87","251.08","10.00M","0.47%"
"08/11/2025","252.68","248.40","254.69","245.56","9.01M","1.05%"
"08/08/2025","250.05","250.03","250.89","247.86","8.31M","0.26%"
