"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","149.65","148.88","150.86","148.60","2.49M","0.77%"
"01/28/2026","148.50","148.41","150.04","147.76","5.95M","-0.19%"
"01/27/2026","148.78","145.75","148.82","145.33","7.11M","1.99%"
"01/26/2026","145.87","144.80","145.92","144.14","6.59M","0.89%"
"01/23/2026","144.58","143.86","144.84","143.06","5.87M","0.12%"
"01/22/2026","144.40","146.68","147.13","144.17","8.17M","-1.59%"
"01/21/2026","146.74","147.05","148.01","144.94","7.68M","-0.62%"
"01/20/2026","147.66","146.21","147.66","144.32","9.98M","0.92%"
"01/16/2026","146.32","147.16","147.55","145.51","10.31M","-0.17%"
"01/15/2026","146.57","146.06","147.02","145.53","5.80M","0.45%"
"01/14/2026","145.92","143.14","146.30","143.14","8.33M","1.70%"
"01/13/2026","143.48","141.10","143.65","141.04","9.03M","1.50%"
"01/12/2026","141.36","139.91","141.51","138.56","12.22M","1.04%"
"01/09/2026","139.91","139.44","140.79","138.70","6.77M","0.39%"
"01/08/2026","139.37","136.57","139.48","136.01","8.76M","1.72%"
"01/07/2026","137.01","139.21","139.83","136.96","8.54M","-1.40%"
"01/06/2026","138.96","139.68","140.06","138.57","9.58M","-0.69%"
"01/05/2026","139.92","141.66","141.81","139.40","9.03M","-1.62%"
"01/02/2026","142.23","143.22","143.41","142.10","7.18M","-0.90%"
"12/31/2025","143.52","143.82","144.03","143.16","4.38M","-0.44%"
"12/30/2025","144.16","143.97","145.27","143.92","4.71M","-0.06%"
"12/29/2025","144.24","143.74","145.05","143.60","7.20M","0.32%"
"12/26/2025","143.78","143.56","143.94","143.09","4.98M","0.03%"
"12/25/2025","143.74","143.79","143.74","143.74","2.62M","0.00%"
"12/24/2025","143.74","143.79","143.99","142.95","2.62M","0.04%"
"12/23/2025","143.68","147.19","147.19","143.56","7.25M","-2.29%"
"12/22/2025","147.05","147.52","148.98","146.41","8.82M","-0.75%"
"12/19/2025","148.16","149.15","149.89","147.90","17.54M","-0.81%"
"12/18/2025","149.37","149.80","150.37","149.25","6.64M","-0.47%"
"12/17/2025","150.08","150.38","151.24","149.48","8.07M","-0.19%"
"12/16/2025","150.37","151.99","152.35","149.99","7.52M","-0.56%"
"12/15/2025","151.22","150.93","151.70","150.28","8.41M","0.38%"
"12/12/2025","150.65","149.75","150.67","148.74","8.14M","1.08%"
"12/11/2025","149.04","150.15","150.89","148.13","7.85M","-0.44%"
"12/10/2025","149.70","147.77","149.78","147.00","18.53M","3.50%"
"12/09/2025","144.64","146.35","147.56","143.91","10.04M","-0.68%"
"12/08/2025","145.63","145.01","146.56","144.20","6.33M","0.42%"
"12/05/2025","145.02","145.62","145.80","144.51","5.97M","-1.29%"
"12/04/2025","146.91","147.75","148.25","146.13","6.80M","-0.78%"
"12/03/2025","148.06","148.69","150.70","147.91","5.11M","-0.37%"
"12/02/2025","148.61","149.46","149.51","146.53","6.83M","-0.60%"
"12/01/2025","149.51","148.63","149.82","148.51","7.62M","0.52%"
"11/28/2025","148.74","147.23","148.82","147.23","2.97M","0.51%"
"11/26/2025","147.98","146.32","148.47","146.23","5.18M","1.28%"
"11/25/2025","146.11","145.93","147.12","145.57","8.95M","0.42%"
"11/24/2025","145.50","145.83","146.34","144.76","9.39M","-0.57%"
"11/21/2025","146.33","146.28","148.93","145.98","7.91M","0.16%"
"11/20/2025","146.10","146.60","147.08","144.90","6.88M","-0.69%"
"11/19/2025","147.11","148.30","148.80","146.69","8.12M","-1.12%"
"11/18/2025","148.77","148.30","149.83","147.45","10.82M","0.64%"
"11/17/2025","147.83","146.12","148.10","145.22","7.32M","1.36%"
"11/14/2025","145.85","145.89","146.84","143.93","5.77M","0.57%"
"11/13/2025","145.02","144.10","146.39","143.65","6.66M","0.44%"
"11/12/2025","144.39","144.56","145.49","144.06","5.79M","-0.48%"
"11/11/2025","145.08","143.28","145.76","142.68","7.68M","1.72%"
"11/10/2025","142.62","142.49","143.02","141.26","6.62M","-0.23%"
"11/07/2025","142.95","142.93","144.05","141.65","7.59M","0.97%"
"11/06/2025","141.58","142.41","143.21","141.30","6.45M","-0.90%"
"11/05/2025","142.86","142.90","143.28","141.58","7.14M","-0.03%"
"11/04/2025","142.90","144.70","144.93","142.06","8.30M","-0.49%"
"11/03/2025","143.60","145.86","145.91","143.25","8.33M","-1.70%"
"10/31/2025","146.09","146.20","147.00","145.30","6.31M","-0.99%"
"10/30/2025","147.55","146.34","148.09","146.25","5.75M","0.95%"
"10/29/2025","146.16","148.05","148.66","143.67","7.77M","-2.64%"
"10/28/2025","150.12","151.41","153.21","149.92","5.63M","-1.64%"
