"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","149.82","147.45","150.11","147.11","4.61M","1.68%"
"01/28/2026","147.34","147.45","148.71","146.79","7.47M","-0.67%"
"01/27/2026","148.34","148.07","149.64","147.93","9.55M","-0.77%"
"01/26/2026","149.49","150.12","150.88","148.52","12.66M","-0.44%"
"01/23/2026","150.15","150.84","151.65","149.80","14.56M","0.15%"
"01/22/2026","149.93","148.08","150.91","147.50","18.50M","2.65%"
"01/21/2026","146.06","147.06","147.37","144.97","14.13M","-0.64%"
"01/20/2026","147.00","144.46","147.00","144.12","12.90M","1.71%"
"01/16/2026","144.53","143.76","144.73","143.65","11.73M","-0.07%"
"01/15/2026","144.63","145.68","146.35","144.35","10.10M","-1.18%"
"01/14/2026","146.35","144.68","146.90","144.37","13.47M","1.46%"
"01/13/2026","144.24","144.00","144.34","142.97","15.55M","0.54%"
"01/12/2026","143.46","142.28","143.88","141.71","12.81M","1.12%"
"01/09/2026","141.87","141.70","142.33","140.83","9.53M","0.24%"
"01/08/2026","141.53","137.89","141.78","137.82","9.30M","2.53%"
"01/07/2026","138.04","139.80","139.80","137.62","14.37M","-1.34%"
"01/06/2026","139.91","140.39","141.42","139.51","10.42M","-0.33%"
"01/05/2026","140.37","141.10","141.35","139.60","12.30M","-1.00%"
"01/02/2026","141.79","143.11","143.34","141.24","8.95M","-1.06%"
"12/31/2025","143.31","144.00","144.13","143.23","5.29M","-0.51%"
"12/30/2025","144.05","144.29","144.46","143.57","6.01M","-0.36%"
"12/29/2025","144.57","144.80","145.07","143.95","7.66M","-0.12%"
"12/26/2025","144.74","144.31","145.64","144.31","4.71M","0.17%"
"12/24/2025","144.49","142.90","144.74","142.83","3.26M","0.91%"
"12/23/2025","143.18","142.49","143.73","142.08","9.54M","0.34%"
"12/22/2025","142.69","143.71","144.40","142.42","11.73M","-1.23%"
"12/19/2025","144.46","145.51","146.05","143.94","19.35M","-0.73%"
"12/18/2025","145.52","146.62","147.50","145.35","12.24M","-1.55%"
"12/17/2025","147.81","146.69","148.45","146.45","9.83M","1.79%"
"12/16/2025","145.21","146.10","146.54","144.65","10.25M","0.06%"
"12/15/2025","145.13","143.27","145.32","143.20","13.88M","1.60%"
"12/12/2025","142.84","141.00","143.11","140.84","10.27M","1.48%"
"12/11/2025","140.76","141.00","141.84","140.35","11.80M","0.67%"
"12/10/2025","139.82","139.65","141.28","139.54","13.65M","0.14%"
"12/09/2025","139.63","139.19","140.88","139.00","10.38M","0.93%"
"12/08/2025","138.34","142.90","142.90","138.14","17.51M","-3.56%"
"12/05/2025","143.45","145.16","145.63","143.25","12.79M","-1.31%"
"12/04/2025","145.36","146.67","147.42","144.50","10.48M","-0.92%"
"12/03/2025","146.71","145.91","148.29","145.86","9.13M","0.58%"
"12/02/2025","145.86","145.29","146.19","142.51","16.38M","-1.07%"
"12/01/2025","147.44","148.10","148.89","147.35","8.24M","-0.49%"
"11/28/2025","148.16","147.80","148.71","147.18","4.71M","-0.06%"
"11/26/2025","148.25","147.92","148.97","147.60","9.24M","-0.16%"
"11/25/2025","148.49","147.32","148.65","147.22","10.48M","1.03%"
"11/24/2025","146.98","150.10","150.41","146.54","13.85M","-2.61%"
"11/21/2025","150.92","148.38","151.50","148.30","12.02M","1.84%"
