"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","150.59","157.36","157.36","147.15","38.74M","-4.30%"
"01/28/2026","157.35","164.40","165.04","157.24","44.82M","-5.04%"
"01/27/2026","165.70","167.48","169.44","164.69","26.54M","-1.06%"
"01/26/2026","167.47","168.21","170.59","167.32","22.78M","-1.26%"
"01/23/2026","169.60","167.27","172.00","166.30","30.29M","2.23%"
"01/22/2026","165.90","168.93","169.00","164.95","28.50M","0.34%"
"01/21/2026","165.33","168.40","169.49","161.11","47.85M","-1.90%"
"01/20/2026","168.53","167.63","171.97","166.24","36.71M","-1.42%"
"01/16/2026","170.96","179.36","182.43","170.01","59.48M","-3.45%"
"01/15/2026","177.07","178.71","180.60","176.53","31.11M","-0.75%"
"01/14/2026","178.40","178.13","181.60","173.95","33.65M","-0.31%"
"01/13/2026","178.96","178.88","181.10","176.14","27.77M","-0.25%"
"01/12/2026","179.41","177.68","182.50","176.34","34.95M","1.08%"
"01/09/2026","177.49","177.02","178.72","174.75","31.36M","0.36%"
"01/08/2026","176.86","185.62","185.66","174.37","47.30M","-2.65%"
"01/07/2026","181.68","179.80","187.28","177.66","45.35M","1.10%"
"01/06/2026","179.71","175.76","180.19","174.77","34.84M","3.26%"
"01/05/2026","174.04","174.88","175.82","171.79","39.51M","3.68%"
"01/02/2026","167.86","181.30","181.35","166.35","60.63M","-5.56%"
"12/31/2025","177.75","181.13","181.53","177.25","23.00M","-1.71%"
"12/30/2025","180.84","184.35","184.73","180.70","23.34M","-1.81%"
"12/29/2025","184.18","186.85","187.20","183.64","28.24M","-2.40%"
"12/26/2025","188.71","195.01","196.35","188.62","26.26M","-2.81%"
"12/25/2025","194.17","193.16","194.17","194.17","11.71M","0.00%"
"12/24/2025","194.17","193.16","195.17","192.83","11.71M","0.02%"
"12/23/2025","194.13","192.82","195.37","191.74","24.04M","0.08%"
"12/22/2025","193.98","195.04","198.88","192.43","36.69M","0.31%"
"12/19/2025","193.38","186.74","195.00","186.73","76.93M","4.14%"
"12/18/2025","185.69","181.51","187.33","181.51","40.22M","4.74%"
"12/17/2025","177.29","187.71","187.75","176.50","50.42M","-5.57%"
"12/16/2025","187.75","181.65","188.50","181.14","42.07M","2.46%"
"12/15/2025","183.25","185.08","187.78","180.03","32.80M","-0.17%"
"12/12/2025","183.57","185.81","186.52","177.67","42.43M","-2.12%"
"12/11/2025","187.54","184.80","188.05","180.21","36.84M","-0.20%"
"12/10/2025","187.91","184.95","190.39","182.75","59.40M","3.34%"
"12/09/2025","181.84","180.97","182.85","180.38","18.94M","0.19%"
"12/08/2025","181.49","182.21","183.88","179.54","30.46M","-0.15%"
"12/05/2025","181.76","178.23","182.15","177.16","32.08M","2.16%"
"12/04/2025","177.92","176.37","178.44","174.43","29.22M","1.04%"
"12/03/2025","176.08","170.14","177.91","168.83","30.54M","3.16%"
"12/02/2025","170.69","169.59","175.75","169.59","35.37M","1.91%"
"12/01/2025","167.49","165.00","169.10","163.12","27.78M","-0.57%"
"11/28/2025","168.45","167.76","168.80","165.88","17.20M","1.62%"
"11/26/2025","165.77","166.85","168.34","163.88","34.61M","1.36%"
"11/25/2025","163.55","160.07","164.65","156.55","36.52M","0.80%"
"11/24/2025","162.25","157.47","165.17","157.00","57.88M","4.78%"
"11/21/2025","154.85","156.01","158.11","147.56","71.35M","-0.57%"
"11/20/2025","155.74","172.07","174.57","154.40","78.44M","-5.85%"
"11/19/2025","165.42","167.80","169.60","162.42","46.11M","-1.14%"
"11/18/2025","167.33","168.37","172.83","165.50","53.71M","-2.29%"
"11/17/2025","171.25","170.53","174.24","167.68","50.34M","-1.59%"
"11/14/2025","174.01","166.98","177.29","164.50","62.60M","1.09%"
"11/13/2025","172.14","181.71","182.70","170.73","63.19M","-6.53%"
"11/12/2025","184.17","190.58","190.58","180.40","55.35M","-3.56%"
"11/11/2025","190.96","190.34","192.93","187.13","49.82M","-1.37%"
"11/10/2025","193.61","184.31","194.93","183.52","87.76M","8.81%"
"11/07/2025","177.93","173.15","178.70","168.91","73.99M","1.65%"
"11/06/2025","175.05","187.99","191.09","174.53","78.47M","-6.84%"
"11/05/2025","187.90","189.00","190.32","181.21","76.12M","-1.49%"
"11/04/2025","190.74","192.07","195.70","185.56","121.38M","-7.94%"
"11/03/2025","207.18","205.04","207.52","201.82","81.02M","3.35%"
"10/31/2025","200.47","199.20","204.18","197.92","52.70M","3.04%"
"10/30/2025","194.55","198.43","199.67","194.12","43.54M","-2.14%"
"10/29/2025","198.81","191.08","199.85","190.49","65.54M","4.86%"
"10/28/2025","189.60","189.48","191.78","186.78","38.20M","0.22%"
"10/27/2025","189.18","188.97","192.83","187.52","47.15M","2.46%"
"10/24/2025","184.63","182.88","186.17","182.85","34.81M","2.30%"
"10/23/2025","180.48","175.45","181.56","175.01","35.81M","2.84%"
"10/22/2025","175.49","181.93","182.21","169.42","58.26M","-3.32%"
"10/21/2025","181.51","182.06","182.39","178.65","27.53M","-0.04%"
"10/20/2025","181.59","179.49","183.09","177.44","31.98M","1.93%"
"10/17/2025","178.15","177.75","181.59","173.95","43.42M","0.02%"
"10/16/2025","178.12","181.78","184.82","176.45","42.87M","-0.84%"
"10/15/2025","179.62","181.65","184.35","176.02","37.37M","-0.07%"
"10/14/2025","179.74","176.00","182.34","170.82","49.26M","1.43%"
"10/13/2025","177.21","178.68","179.22","173.45","41.33M","1.01%"
"10/10/2025","175.44","185.17","187.10","173.53","55.19M","-5.41%"
"10/09/2025","185.47","183.58","187.62","179.95","45.05M","1.04%"
"10/08/2025","183.56","182.80","184.26","181.20","36.30M","0.76%"
"10/07/2025","182.17","180.31","186.18","179.42","58.18M","1.47%"
"10/06/2025","179.53","179.18","182.95","177.83","52.50M","3.73%"
"10/03/2025","173.07","186.40","186.84","170.77","105.53M","-7.47%"
"10/02/2025","187.05","186.70","188.20","182.95","39.85M","1.14%"
"10/01/2025","184.95","181.32","186.28","179.50","45.72M","1.39%"
"09/30/2025","182.42","178.98","182.77","178.22","43.56M","1.99%"
"09/29/2025","178.86","179.64","181.48","177.16","38.41M","0.73%"
"09/26/2025","177.57","179.05","180.12","174.91","44.28M","-0.87%"
"09/25/2025","179.12","175.80","184.32","174.29","72.32M","-0.25%"
"09/24/2025","179.56","183.91","184.85","177.12","45.38M","-1.64%"
"09/23/2025","182.55","182.51","185.75","177.01","62.35M","1.80%"
"09/22/2025","179.33","180.88","182.25","178.29","45.92M","-1.68%"
"09/19/2025","182.39","177.07","184.42","176.71","109.13M","3.06%"
"09/18/2025","176.97","170.27","178.80","169.39","70.77M","5.13%"
"09/17/2025","168.33","169.02","169.68","161.27","69.26M","-1.13%"
"09/16/2025","170.26","171.04","171.31","168.96","34.60M","-0.55%"
"09/15/2025","171.21","169.60","171.80","167.41","45.40M","-0.13%"
"09/12/2025","171.43","165.35","171.53","164.01","54.50M","4.30%"
"09/11/2025","164.36","167.24","167.46","163.22","42.03M","-1.43%"
"09/10/2025","166.74","166.00","169.00","163.44","62.21M","2.70%"
"09/09/2025","162.36","157.25","162.75","156.37","61.36M","4.01%"
"09/08/2025","156.10","154.91","158.30","154.84","47.64M","1.95%"
"09/05/2025","153.11","157.82","158.97","148.04","81.86M","-1.94%"
"09/04/2025","156.14","154.87","157.04","153.16","53.29M","0.80%"
"09/03/2025","154.90","158.00","161.15","152.71","66.05M","-1.39%"
"09/02/2025","157.09","151.20","158.39","150.28","65.43M","0.24%"
"08/29/2025","156.71","156.98","158.42","153.00","45.27M","-0.89%"
"08/28/2025","158.12","157.63","158.23","152.55","57.89M","0.89%"
"08/27/2025","156.72","162.32","162.40","155.98","76.38M","-2.58%"
"08/26/2025","160.87","155.39","162.13","154.57","86.57M","2.35%"
"08/25/2025","157.17","156.10","158.59","149.37","86.88M","-0.99%"
"08/22/2025","158.74","155.32","163.20","151.77","102.10M","1.64%"
"08/21/2025","156.18","157.17","157.97","153.81","94.68M","0.11%"
"08/20/2025","156.01","152.30","156.46","142.34","220.34M","-1.10%"
"08/19/2025","157.75","171.36","172.30","156.90","137.92M","-9.35%"
"08/18/2025","174.03","175.27","177.90","171.39","62.66M","-1.77%"
"08/15/2025","177.17","179.73","180.00","173.38","60.29M","-2.13%"
